,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2687,2003-06-15,8012.0,8261.0,8000.0,8250.0,10905501363,1342983,212,8012.0,8250.0,1382-03-25
2686,2003-06-16,8265.0,8265.0,8264.0,8264.0,74384000,9000,6,8250.0,8264.0,1382-03-26
2685,2003-06-17,8293.0,8293.0,8292.0,8293.0,55976000,6750,6,8264.0,8293.0,1382-03-27
2684,2003-06-18,8368.0,8380.0,8367.0,8380.0,105675500,12625,11,8293.0,8380.0,1382-03-28
2683,2003-06-21,8503.0,8503.0,8502.0,8502.0,68022830,8000,5,8380.0,8502.0,1382-03-31
2682,2003-06-22,8573.0,8578.0,8572.0,8574.0,80403770,9376,11,8502.0,8574.0,1382-04-01
2681,2003-06-23,8821.0,8822.0,8750.0,8818.0,195912519,22268,12,8574.0,8818.0,1382-04-02
2680,2003-06-24,8899.0,9258.0,8898.0,9258.0,109352704,12248,6,8818.0,9258.0,1382-04-03
2679,2003-06-25,9720.0,9720.0,9720.0,9720.0,221441040,22782,14,9258.0,9720.0,1382-04-04
2678,2003-06-28,10206.0,10206.0,9852.0,9860.0,632361788,62298,30,9720.0,9860.0,1382-04-07
2677,2003-06-29,9905.0,9907.0,9891.0,9907.0,145606472,14700,8,9860.0,9907.0,1382-04-08
2676,2003-06-30,10199.0,10200.0,9927.0,9930.0,541182172,53952,24,9907.0,9930.0,1382-04-09
2675,2003-07-01,10425.0,10426.0,9931.0,9931.0,265536036,25861,11,9930.0,9931.0,1382-04-10
2674,2003-07-02,10200.0,10426.0,9945.0,9945.0,209250272,20330,12,9931.0,9945.0,1382-04-11
2673,2003-07-05,9969.0,10000.0,9953.0,9968.0,218863274,21917,12,9945.0,9968.0,1382-04-14
2672,2003-07-06,10000.0,10442.0,10000.0,10210.0,384728590,37720,17,9968.0,10210.0,1382-04-15
2671,2003-07-07,10382.0,10382.0,10210.0,10382.0,51566000,5000,4,10210.0,10382.0,1382-04-16
2670,2003-07-08,10901.0,10901.0,10385.0,10800.0,295370700,28000,6,10382.0,10800.0,1382-04-17
2669,2003-07-09,10805.0,10905.0,10805.0,10905.0,21760000,2000,3,10800.0,10905.0,1382-04-18
2668,2003-07-12,11400.0,11400.0,11400.0,11400.0,102600000,9000,1,10905.0,11400.0,1382-04-21
2667,2003-07-13,11800.0,11970.0,11800.0,11970.0,165710000,14000,3,11400.0,11970.0,1382-04-22
2666,2003-07-14,12568.0,12568.0,12568.0,12568.0,17595200,1400,1,11970.0,12568.0,1382-04-23
