,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
482,2019-07-08,12300.0,12300.0,12300.0,12300.0,155093529000,12609230,925,12141.0,12300.0,1398-04-17
481,2019-07-09,12915.0,12915.0,12915.0,12915.0,48132590625,3726875,352,12300.0,12915.0,1398-04-18
480,2019-07-10,13560.0,13560.0,13560.0,13560.0,66789902040,4925509,322,12915.0,13560.0,1398-04-19
479,2019-07-13,14238.0,14238.0,13610.0,14135.0,168742491025,11938240,2293,13560.0,14238.0,1398-04-22
478,2019-07-14,14470.0,14470.0,13702.0,13988.0,45325735300,3240337,1283,14135.0,14103.0,1398-04-23
477,2019-07-15,14237.0,14599.0,14014.0,14261.0,42634559750,2989650,1035,13988.0,14019.0,1398-04-24
476,2019-07-16,14000.0,14300.0,13548.0,13581.0,26225790693,1931076,490,14261.0,13548.0,1398-04-25
475,2019-07-17,13000.0,14260.0,12910.0,13974.0,78517893685,5619018,940,13581.0,14157.0,1398-04-26
474,2019-07-20,14010.0,14444.0,13700.0,13977.0,21629431661,1547536,523,13974.0,13998.0,1398-04-29
473,2019-07-21,14048.0,14048.0,13279.0,13433.0,26806675074,1995627,912,13977.0,13291.0,1398-04-30
472,2019-07-22,13291.0,13700.0,13291.0,13455.0,16282150758,1210140,545,13433.0,13443.0,1398-04-31
471,2019-07-23,13680.0,13680.0,12783.0,12844.0,31636413578,2463047,818,13455.0,12800.0,1398-05-01
470,2019-07-24,12900.0,12990.0,12417.0,12640.0,20995621809,1661021,557,12844.0,12900.0,1398-05-02
469,2019-07-27,12999.0,13239.0,12600.0,13030.0,11853229059,909676,518,12640.0,13239.0,1398-05-05
468,2019-07-28,13300.0,13300.0,12702.0,12901.0,5174447358,401089,285,13030.0,12800.0,1398-05-06
467,2019-07-29,13300.0,13300.0,12666.0,12998.0,6898767386,530753,263,12901.0,12950.0,1398-05-07
466,2019-07-30,12999.0,13229.0,12795.0,13012.0,10452209821,803265,349,12998.0,12966.0,1398-05-08
465,2019-07-31,12803.0,13490.0,12800.0,13194.0,11701853565,886881,493,13012.0,13014.0,1398-05-09
