,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
364,2014-01-07,4900.0,4900.0,4900.0,4900.0,4900000,1000,1,1000.0,4900.0,1392-10-17
363,2014-01-29,5600.0,5600.0,5600.0,5600.0,56000000,10000,2,4900.0,5600.0,1392-11-09
362,2014-03-09,4000.0,4000.0,4000.0,4000.0,260000000,65000,2,5600.0,4000.0,1392-12-18
361,2014-03-10,4000.0,4000.0,4000.0,4000.0,110000000,27500,1,4000.0,4000.0,1392-12-19
360,2014-03-11,4000.0,4000.0,4000.0,4000.0,40000000,10000,2,4000.0,4000.0,1392-12-20
359,2014-03-30,3210.0,3211.0,3210.0,3210.0,66161680,20608,2,4000.0,3211.0,1393-01-10
358,2014-04-06,3211.0,3211.0,3211.0,3211.0,32110000,10000,1,3210.0,3211.0,1393-01-17
357,2014-04-07,2031.0,2031.0,2031.0,2031.0,144201,71,1,3211.0,2031.0,1393-01-18
356,2014-04-13,2110.0,2110.0,2110.0,2110.0,1282880,608,1,2031.0,2110.0,1393-01-24
355,2014-04-28,2700.0,2700.0,2700.0,2700.0,8100000,3000,1,2110.0,2700.0,1393-02-08
354,2014-06-03,2700.0,2700.0,2700.0,2700.0,540000,200,2,2700.0,2700.0,1393-03-13
353,2014-06-07,2700.0,2700.0,2700.0,2700.0,675000,250,1,2700.0,2700.0,1393-03-17
352,2014-06-08,2700.0,2700.0,2700.0,2700.0,243000,90,5,2700.0,2700.0,1393-03-18
351,2014-06-11,2700.0,2700.0,2700.0,2700.0,135000,50,1,2700.0,2700.0,1393-03-21
350,2014-06-14,2700.0,2700.0,2700.0,2700.0,27000,10,1,2700.0,2700.0,1393-03-24
349,2014-06-16,2700.0,2700.0,2050.0,2277.0,1384200,608,3,2700.0,2050.0,1393-03-26
348,2014-06-25,2050.0,2050.0,2050.0,2050.0,16400,8,1,2277.0,2050.0,1393-04-04
347,2014-06-28,2060.0,2060.0,2060.0,2060.0,412000,200,2,2050.0,2060.0,1393-04-07
346,2014-07-13,2050.0,2050.0,2038.0,2049.0,11073352,5404,2,2060.0,2038.0,1393-04-22
345,2014-08-18,2038.0,2038.0,2038.0,2038.0,31322022,15369,3,2049.0,2038.0,1393-05-27
344,2014-08-19,2038.0,2038.0,2038.0,2038.0,203800,100,1,2038.0,2038.0,1393-05-28
343,2014-08-23,2030.0,2030.0,2030.0,2030.0,2030000,1000,1,2038.0,2030.0,1393-06-01
342,2014-09-06,2000.0,2100.0,2000.0,2019.0,46489657,23029,5,2030.0,2100.0,1393-06-15
341,2014-09-07,2100.0,2100.0,2100.0,2100.0,1050000,500,1,2019.0,2100.0,1393-06-16
340,2014-09-10,1600.0,1600.0,1600.0,1600.0,784000,490,1,2100.0,1600.0,1393-06-19
339,2014-09-24,2000.0,2000.0,2000.0,2000.0,1000000,500,1,1600.0,2000.0,1393-07-02
338,2014-10-14,2090.0,2090.0,1900.0,2044.0,31823900,15571,4,2000.0,1900.0,1393-07-22
337,2014-10-15,2000.0,2085.0,2000.0,2077.0,2305000,1110,3,2044.0,2085.0,1393-07-23
336,2014-10-21,2000.0,2700.0,2000.0,2517.0,149393691,59359,8,2077.0,2699.0,1393-07-29
335,2014-10-26,2500.0,2500.0,2500.0,2500.0,1250000,500,1,2517.0,2500.0,1393-08-04
334,2014-11-02,2500.0,2500.0,2500.0,2500.0,250000,100,1,2500.0,2500.0,1393-08-11
333,2014-12-16,2211.0,2211.0,2211.0,2211.0,11055000,5000,1,2500.0,2211.0,1393-09-25
332,2014-12-24,2290.0,2290.0,2290.0,2290.0,2290000,1000,1,2211.0,2290.0,1393-10-03
331,2014-12-27,2290.0,2290.0,2290.0,2290.0,1122100,490,1,2290.0,2290.0,1393-10-06
330,2014-12-28,2290.0,2290.0,2290.0,2290.0,1145000,500,1,2290.0,2290.0,1393-10-07
329,2015-01-05,1940.0,2000.0,1900.0,1970.0,160625100,81529,5,2290.0,2000.0,1393-10-15
328,2015-01-10,1521.0,1521.0,1521.0,1521.0,30420000,20000,1,1970.0,1521.0,1393-10-20
