,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2145,2001-05-30,1600.0,1800.0,1600.0,1800.0,3624000,2140,3,1600.0,1800.0,1380-03-09
2144,2001-06-02,1799.0,1800.0,1799.0,1800.0,150672047,83753,17,1800.0,1800.0,1380-03-12
2143,2001-06-03,1800.0,1800.0,1800.0,1800.0,1859400,1033,1,1800.0,1800.0,1380-03-13
2142,2001-06-12,1800.0,1800.0,1782.0,1800.0,214972200,120429,22,1800.0,1800.0,1380-03-22
2141,2001-06-13,1800.0,1800.0,1800.0,1800.0,360000,200,1,1800.0,1800.0,1380-03-23
2140,2001-06-16,1782.0,1800.0,1782.0,1800.0,41430168,23224,12,1800.0,1800.0,1380-03-26
2139,2001-07-08,1500.0,1500.0,1500.0,1500.0,3000000,2000,1,1800.0,1500.0,1380-04-17
2138,2001-07-09,1500.0,1500.0,1500.0,1500.0,997500,665,2,1500.0,1500.0,1380-04-18
2137,2001-07-11,1500.0,1500.0,1500.0,1500.0,16860000,11240,3,1500.0,1500.0,1380-04-20
2136,2001-07-14,1500.0,1500.0,1500.0,1500.0,2149500,1433,1,1500.0,1500.0,1380-04-23
2135,2001-07-15,1500.0,1500.0,1500.0,1500.0,17625000,11750,4,1500.0,1500.0,1380-04-24
2134,2001-07-16,1500.0,1500.0,1500.0,1500.0,17566500,11711,5,1500.0,1500.0,1380-04-25
2133,2001-07-18,1499.0,1500.0,1499.0,1500.0,479720,320,2,1500.0,1500.0,1380-04-27
2132,2001-07-22,1501.0,1501.0,1500.0,1500.0,20011000,13340,5,1500.0,1500.0,1380-04-31
2131,2001-08-14,1500.0,1500.0,1500.0,1500.0,180000,120,2,1500.0,1500.0,1380-05-23
2130,2001-08-15,1515.0,1515.0,1515.0,1515.0,1515000,1000,2,1500.0,1515.0,1380-05-24
2129,2001-08-18,1530.0,1530.0,1530.0,1530.0,6260760,4092,4,1515.0,1530.0,1380-05-27
2128,2001-08-22,1530.0,1530.0,1530.0,1530.0,32582880,21296,3,1530.0,1530.0,1380-05-31
2127,2001-08-26,1545.0,1545.0,1545.0,1545.0,370800,240,3,1530.0,1545.0,1380-06-04
2126,2001-08-28,1560.0,1560.0,1560.0,1560.0,780000,500,1,1545.0,1560.0,1380-06-06
2125,2001-08-29,1575.0,1575.0,1575.0,1575.0,5080950,3226,5,1560.0,1575.0,1380-06-07
2124,2001-09-02,1580.0,1580.0,1580.0,1580.0,1580000,1000,1,1575.0,1580.0,1380-06-11
2123,2001-09-03,1590.0,1590.0,1590.0,1590.0,1590000,1000,1,1580.0,1590.0,1380-06-12
2122,2001-09-04,1590.0,1605.0,1590.0,1605.0,1750500,1100,2,1590.0,1605.0,1380-06-13
2121,2001-09-05,1605.0,1621.0,1605.0,1621.0,16714530,10330,7,1605.0,1621.0,1380-06-14
2120,2001-09-09,1637.0,1637.0,1637.0,1637.0,1637000,1000,1,1621.0,1637.0,1380-06-18
2119,2001-09-16,1637.0,1653.0,1637.0,1653.0,1648808,1000,4,1637.0,1653.0,1380-06-25
2118,2001-09-23,1669.0,1669.0,1669.0,1669.0,1669000,1000,1,1653.0,1669.0,1380-07-01
