,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1123,2014-01-05,1000.0,1000.0,1000.0,1000.0,85560000,85560,2,392.0,1000.0,1392-10-15
1122,2014-01-11,1510.0,1510.0,1500.0,1509.0,86000000,57000,2,1000.0,1500.0,1392-10-21
1121,2014-01-15,1501.0,2000.0,1501.0,1561.0,32474304,20804,4,1509.0,1501.0,1392-10-25
1120,2014-01-25,1600.0,2000.0,1501.0,1877.0,738511560,393543,10,1561.0,2000.0,1392-11-05
1119,2014-01-26,2000.0,2000.0,2000.0,2000.0,20002000,10001,2,1877.0,2000.0,1392-11-06
1118,2014-01-28,1600.0,1600.0,1600.0,1600.0,29849600,18656,4,2000.0,1600.0,1392-11-08
1117,2014-02-03,1600.0,1700.0,1600.0,1610.0,156174400,96984,8,1600.0,1700.0,1392-11-14
1116,2014-02-05,1700.0,1700.0,1700.0,1700.0,159461700,93801,2,1610.0,1700.0,1392-11-16
1115,2014-02-12,1600.0,1600.0,1600.0,1600.0,8000000,5000,2,1700.0,1600.0,1392-11-23
1114,2014-02-17,1600.0,1600.0,1600.0,1600.0,16000000,10000,1,1600.0,1600.0,1392-11-28
1113,2014-02-19,1600.0,1600.0,1600.0,1600.0,348800,218,4,1600.0,1600.0,1392-11-30
1112,2014-02-23,1600.0,1600.0,1600.0,1600.0,16000000,10000,2,1600.0,1600.0,1392-12-04
1111,2014-03-02,1511.0,1511.0,1511.0,1511.0,19643000,13000,1,1600.0,1511.0,1392-12-11
1110,2014-03-04,1510.0,1510.0,1510.0,1510.0,60400000,40000,1,1511.0,1510.0,1392-12-13
1109,2014-03-09,1122.0,1122.0,1100.0,1104.0,132440000,120000,4,1510.0,1100.0,1392-12-18
1108,2014-03-11,1101.0,1101.0,1004.0,1072.0,7617416,7104,2,1104.0,1004.0,1392-12-20
1107,2014-03-17,1004.0,1004.0,1004.0,1004.0,6571180,6545,2,1072.0,1004.0,1392-12-26
1106,2014-04-08,1390.0,1390.0,1390.0,1390.0,11133900,8010,2,1004.0,1390.0,1393-01-19
1105,2014-04-12,1400.0,1400.0,1400.0,1400.0,84000000,60000,1,1390.0,1400.0,1393-01-23
1104,2014-04-15,1390.0,1390.0,1390.0,1390.0,4974810,3579,1,1400.0,1390.0,1393-01-26
1103,2014-04-16,1390.0,1390.0,1390.0,1390.0,1390000,1000,1,1390.0,1390.0,1393-01-27
1102,2014-05-12,1390.0,1390.0,1390.0,1390.0,14654770,10543,3,1390.0,1390.0,1393-02-22
1101,2014-05-14,1390.0,1390.0,1390.0,1390.0,3484730,2507,1,1390.0,1390.0,1393-02-24
1100,2014-07-02,1387.0,1390.0,1387.0,1390.0,58029060,41754,10,3541.0,1387.0,1393-04-11
1099,2014-07-05,1400.0,1400.0,1390.0,1392.0,16592200,11923,4,1390.0,1390.0,1393-04-14
1098,2014-07-06,1390.0,1390.0,1390.0,1390.0,5697610,4099,1,1392.0,1390.0,1393-04-15
1097,2014-07-13,1390.0,1390.0,1390.0,1390.0,7087610,5099,2,1390.0,1390.0,1393-04-22
1096,2014-07-14,1390.0,1390.0,1390.0,1390.0,5004000,3600,1,1390.0,1390.0,1393-04-23
1095,2014-08-02,1390.0,1390.0,1390.0,1390.0,5004000,3600,1,1390.0,1390.0,1393-05-11
1094,2014-08-11,1390.0,1390.0,1300.0,1326.0,18868080,14226,3,1390.0,1300.0,1393-05-20
1093,2014-08-17,1390.0,1390.0,1006.0,1043.0,69835664,66970,4,1326.0,1006.0,1393-05-26
1092,2014-08-18,1300.0,3000.0,1300.0,1652.0,401668030,243203,16,1043.0,3000.0,1393-05-27
1091,2014-08-19,2400.0,2400.0,2400.0,2400.0,48000000,20000,1,1652.0,2400.0,1393-05-28
1090,2014-08-20,2500.0,2700.0,1701.0,2195.0,105739000,48171,4,2400.0,2700.0,1393-05-29
1089,2014-08-23,2500.0,2900.0,2500.0,2654.0,217762500,82065,9,2195.0,2900.0,1393-06-01
1088,2014-08-26,2500.0,2500.0,2062.0,2209.0,194276500,87935,14,2654.0,2062.0,1393-06-04
1087,2014-08-27,1950.0,2800.0,1941.0,2244.0,245671000,109458,9,2209.0,2800.0,1393-06-05
1086,2014-09-24,700.0,900.0,700.0,844.0,21100000,25000,3,629.0,900.0,1393-07-02
1085,2014-09-28,1000.0,1100.0,1000.0,1067.0,47998900,44999,8,844.0,1000.0,1393-07-06
1084,2014-09-29,1420.0,1610.0,1130.0,1225.0,69727390,56899,6,1067.0,1130.0,1393-07-07
1083,2014-09-30,1150.0,1150.0,1100.0,1135.0,9080000,8000,3,1225.0,1100.0,1393-07-08
1082,2014-10-01,1130.0,1130.0,1130.0,1130.0,14690000,13000,2,1135.0,1130.0,1393-07-09
1081,2014-10-04,1010.0,1010.0,1010.0,1010.0,18180000,18000,1,1130.0,1010.0,1393-07-12
1080,2014-10-08,1195.0,1195.0,1195.0,1195.0,1195000,1000,1,1010.0,1195.0,1393-07-16
1079,2014-10-11,1194.0,1260.0,1194.0,1246.0,129681500,104106,8,1195.0,1260.0,1393-07-19
1078,2014-10-14,1291.0,1291.0,1261.0,1270.0,8261805,6505,3,1246.0,1261.0,1393-07-22
1077,2014-10-15,1261.0,1261.0,1261.0,1261.0,2522000,2000,1,1270.0,1261.0,1393-07-23
1076,2014-10-20,1251.0,1251.0,1200.0,1241.0,58310000,47000,4,1261.0,1200.0,1393-07-28
1075,2014-10-22,1050.0,1050.0,1050.0,1050.0,49350000,47000,3,1241.0,1050.0,1393-07-30
1074,2014-10-27,1280.0,1280.0,1280.0,1280.0,8960000,7000,1,1050.0,1280.0,1393-08-05
