,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
3223,2001-04-23,7370.0,8268.0,7000.0,8268.0,7908850,1050,6,7370.0,8268.0,1380-02-03
3222,2001-04-30,8681.0,8681.0,8681.0,8681.0,8733086,1006,3,8268.0,8681.0,1380-02-10
3221,2001-05-01,8898.0,8898.0,8898.0,8898.0,4449000,500,6,8681.0,8898.0,1380-02-11
3220,2001-05-02,9120.0,9120.0,9120.0,9120.0,4560000,500,4,8898.0,9120.0,1380-02-12
3219,2001-05-07,9348.0,9348.0,9348.0,9348.0,9348000,1000,5,9120.0,9348.0,1380-02-17
3218,2001-05-08,9581.0,9581.0,9581.0,9581.0,9581000,1000,7,9348.0,9581.0,1380-02-18
3217,2001-05-09,9676.0,9676.0,9676.0,9676.0,4838000,500,5,9581.0,9676.0,1380-02-19
3216,2001-05-12,9772.0,9772.0,9772.0,9772.0,4886000,500,4,9676.0,9772.0,1380-02-22
3215,2001-05-15,9869.0,9869.0,9869.0,9869.0,5427950,550,6,9772.0,9869.0,1380-02-25
3214,2001-05-16,9967.0,9967.0,9967.0,9967.0,9967000,1000,3,9869.0,9967.0,1380-02-26
3213,2001-05-19,10066.0,10066.0,5533.0,10066.0,2574477036,257697,111,9967.0,10066.0,1380-02-29
3212,2001-05-28,10166.0,10166.0,10166.0,10166.0,10166000,1000,3,10066.0,10166.0,1380-03-07
3211,2001-05-29,10267.0,10267.0,10267.0,10267.0,10267000,1000,2,10166.0,10267.0,1380-03-08
3210,2001-05-30,10369.0,10369.0,10369.0,10369.0,10369000,1000,1,10267.0,10369.0,1380-03-09
3209,2001-06-06,10472.0,10472.0,10472.0,10472.0,10472000,1000,2,10369.0,10472.0,1380-03-16
3208,2001-06-09,10576.0,10576.0,10576.0,10576.0,57744960,5460,4,10472.0,10576.0,1380-03-19
3207,2001-06-11,10681.0,10681.0,10681.0,10681.0,13725085,1285,2,10576.0,10681.0,1380-03-21
3206,2001-06-12,10787.0,10787.0,10787.0,10787.0,11865700,1100,2,10681.0,10787.0,1380-03-22
3205,2001-06-13,10894.0,10894.0,10894.0,10894.0,27235000,2500,3,10787.0,10894.0,1380-03-23
3204,2001-06-16,10895.0,10895.0,10895.0,10895.0,10895000,1000,1,10894.0,10895.0,1380-03-26
3203,2001-06-18,10900.0,11003.0,10900.0,11003.0,2753126200,250218,69,10895.0,11003.0,1380-03-28
3202,2001-06-19,11006.0,11006.0,11004.0,11004.0,24760000,2250,3,11003.0,11004.0,1380-03-29
3201,2001-06-23,11004.0,11004.0,11004.0,11004.0,38591028,3507,2,11004.0,11004.0,1380-04-02
3200,2001-06-24,11004.0,11004.0,11003.0,11003.0,3345141,304,2,11004.0,11003.0,1380-04-03
3199,2001-06-27,11009.0,11009.0,11009.0,11009.0,36935195,3355,2,11003.0,11009.0,1380-04-06
3198,2001-07-02,11017.0,11119.0,11017.0,11119.0,22177500,2000,3,11009.0,11119.0,1380-04-11
3197,2001-07-03,11200.0,11200.0,11200.0,11200.0,58352000,5210,6,11119.0,11200.0,1380-04-12
