,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
19,2015-12-07,6004.0,6004.0,6004.0,6004.0,404303356,67339,1,750.0,6004.0,1394-09-16
18,2016-01-10,6004.0,6004.0,6004.0,6004.0,16468972,2743,1,6004.0,6004.0,1394-10-20
17,2016-01-13,6004.0,6004.0,6004.0,6004.0,127128696,21174,1,6004.0,6004.0,1394-10-23
16,2016-09-04,6004.0,6004.0,6004.0,6004.0,246164,41,1,6004.0,6004.0,1395-06-14
15,2016-10-01,6004.0,6004.0,6004.0,6004.0,44123396,7349,1,6004.0,6004.0,1395-07-10
14,2016-10-24,6004.0,6004.0,6004.0,6004.0,1699642340,283085,3,6004.0,6004.0,1395-08-03
13,2016-11-06,6101.0,6101.0,6101.0,6101.0,74731149,12249,1,6004.0,6101.0,1395-08-16
12,2016-12-21,5601.0,5601.0,5601.0,5601.0,24969258,4458,1,5601.0,5601.0,1395-10-01
11,2017-01-09,5700.0,5700.0,5700.0,5700.0,1835400,322,1,5601.0,5700.0,1395-10-20
10,2017-02-20,5700.0,5700.0,5700.0,5700.0,1829700,321,1,5700.0,5700.0,1395-12-02
9,2018-05-07,50100.0,50100.0,50100.0,50100.0,116623230900,2327809,124,4700.0,50100.0,1397-02-17
8,2018-05-09,53333.0,53333.0,53333.0,53333.0,8053336333,151001,9,50100.0,53333.0,1397-02-19
7,2018-06-27,53334.0,53334.0,53334.0,53334.0,125708238,2357,2,53333.0,53334.0,1397-04-06
6,2018-07-14,53500.0,53500.0,53500.0,53500.0,117914000,2204,2,53334.0,53500.0,1397-04-23
5,2018-09-01,53500.0,53500.0,53500.0,53500.0,266002000,4972,8,53500.0,53500.0,1397-06-10
4,2018-10-01,56175.0,56175.0,56175.0,56175.0,759429825,13519,2,53500.0,56175.0,1397-07-09
3,2018-10-10,56175.0,56175.0,56175.0,56175.0,18088350,322,1,56175.0,56175.0,1397-07-18
2,2018-11-28,56840.0,56840.0,56840.0,56840.0,2785103160,48999,3,56175.0,56840.0,1397-09-07
1,2020-06-13,2741.0,2741.0,2741.0,2662.0,9322141,3401,2,2662.0,2741.0,1399-03-24
0,2020-07-19,2741.0,2741.0,2741.0,2662.0,3327574,1214,1,2662.0,2741.0,1399-04-29
