,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
3071,2001-04-09,6915.0,6915.0,6915.0,6915.0,1763325,255,1,6915.0,6915.0,1380-01-20
3070,2001-04-10,6915.0,6915.0,6915.0,6915.0,345750,50,1,6915.0,6915.0,1380-01-21
3069,2001-04-11,6915.0,6915.0,6900.0,6915.0,8017575,1160,4,6915.0,6915.0,1380-01-22
3068,2001-04-15,6916.0,7100.0,6916.0,7100.0,3985708,563,2,6915.0,7100.0,1380-01-26
3067,2001-04-17,7126.0,7131.0,7125.0,7131.0,8580285,1204,3,7100.0,7131.0,1380-01-28
3066,2001-04-18,7211.0,7211.0,7211.0,7211.0,1838805,255,1,7131.0,7211.0,1380-01-29
3065,2001-04-22,7571.0,7571.0,7300.0,7571.0,8030900,1063,3,7211.0,7571.0,1380-02-02
3064,2001-04-23,7571.0,7571.0,7571.0,7571.0,476973,63,1,7571.0,7571.0,1380-02-03
3063,2001-04-24,7620.0,7620.0,7620.0,7620.0,6477000,850,1,7571.0,7620.0,1380-02-04
3062,2001-04-25,7949.0,7949.0,7671.0,7949.0,15270228,1934,4,7620.0,7949.0,1380-02-05
3061,2001-04-28,7949.0,7949.0,7949.0,7949.0,8394144,1056,8,7949.0,7949.0,1380-02-08
3060,2001-04-29,8100.0,8100.0,8100.0,8100.0,10165500,1255,3,7949.0,8100.0,1380-02-09
3059,2001-04-30,8109.0,8109.0,8109.0,8109.0,1386639,171,1,8100.0,8109.0,1380-02-10
3058,2001-05-01,8346.0,8346.0,8346.0,8346.0,8871798,1063,2,8109.0,8346.0,1380-02-11
3057,2001-05-02,8346.0,8346.0,8346.0,8346.0,4256460,510,1,8346.0,8346.0,1380-02-12
3056,2001-05-08,8346.0,8346.0,8346.0,8346.0,6827028,818,2,8346.0,8346.0,1380-02-18
3055,2001-05-09,8510.0,8763.0,8510.0,8763.0,29460270,3385,5,8346.0,8763.0,1380-02-19
3054,2001-05-12,8763.0,8763.0,8763.0,8763.0,552069,63,1,8763.0,8763.0,1380-02-22
3053,2001-05-13,8763.0,8763.0,8763.0,8763.0,8850630,1010,4,8763.0,8763.0,1380-02-23
3052,2001-05-21,8451.0,8451.0,8450.0,8450.0,50701000,6000,3,8763.0,8450.0,1380-02-31
3051,2001-05-26,8450.0,8450.0,8400.0,8400.0,27129700,3226,5,8450.0,8400.0,1380-03-05
3050,2001-05-27,8400.0,8400.0,8400.0,8400.0,23696400,2821,2,8400.0,8400.0,1380-03-06
3049,2001-05-29,8405.0,8405.0,8400.0,8404.0,32160575,3828,9,8400.0,8404.0,1380-03-08
3048,2001-05-30,8700.0,8750.0,8700.0,8750.0,8715725,1000,4,8404.0,8750.0,1380-03-09
3047,2001-06-02,8750.0,8750.0,8750.0,8750.0,7131250,815,2,8750.0,8750.0,1380-03-12
3046,2001-06-13,8739.0,8750.0,8739.0,8750.0,21860975,2500,13,8750.0,8750.0,1380-03-23
3045,2001-06-16,8749.0,8749.0,8749.0,8749.0,962390,110,1,8750.0,8749.0,1380-03-26
3044,2001-06-17,8749.0,8749.0,8749.0,8749.0,3499600,400,1,8749.0,8749.0,1380-03-27
3043,2001-06-19,8699.0,8699.0,8699.0,8699.0,1304850,150,1,8749.0,8699.0,1380-03-29
3042,2001-06-23,8697.0,8697.0,8697.0,8697.0,5392140,620,4,8699.0,8697.0,1380-04-02
3041,2001-06-25,8696.0,8698.0,8696.0,8697.0,114801825,13200,19,8697.0,8697.0,1380-04-04
3040,2001-06-26,8698.0,8698.0,8688.0,8688.0,1251272,144,3,8697.0,8688.0,1380-04-05
3039,2001-06-27,8600.0,8669.0,8553.0,8600.0,68811000,8000,11,8688.0,8600.0,1380-04-06
