,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
548,2019-02-05,7322.0,7500.0,7020.0,7271.0,13193077279,1814511,334,1000.0,7078.0,1397-11-16
547,2019-02-06,6908.0,7000.0,6908.0,6909.0,7362131258,1065641,248,7271.0,6908.0,1397-11-17
546,2019-02-10,6564.0,6564.0,6564.0,6564.0,15742191768,2398262,227,6909.0,6564.0,1397-11-21
545,2019-02-12,6236.0,6420.0,6236.0,6272.0,34813232147,5550876,1015,6564.0,6237.0,1397-11-23
544,2019-02-13,6270.0,6432.0,6052.0,6349.0,6711458013,1057157,389,6272.0,6395.0,1397-11-24
543,2019-02-16,6462.0,6478.0,6100.0,6230.0,7811992044,1253892,328,6349.0,6200.0,1397-11-27
542,2019-02-17,6100.0,6380.0,5919.0,6125.0,13696686217,2236084,647,6230.0,6251.0,1397-11-28
541,2019-02-18,6300.0,6358.0,6120.0,6201.0,3598575047,580360,186,6125.0,6140.0,1397-11-29
540,2019-02-19,6201.0,6511.0,6150.0,6444.0,11332917574,1758754,259,6201.0,6511.0,1397-11-30
539,2019-02-20,6664.0,6766.0,6444.0,6716.0,11339369396,1688391,439,6444.0,6766.0,1397-12-01
538,2019-02-23,7000.0,7051.0,6871.0,7027.0,8197833029,1166600,146,6716.0,7051.0,1397-12-04
537,2019-02-24,7378.0,7378.0,7370.0,7378.0,9808260580,1329410,205,7027.0,7378.0,1397-12-05
536,2019-02-25,7746.0,7746.0,7740.0,7746.0,8599496502,1110187,137,7378.0,7746.0,1397-12-06
535,2019-02-26,8133.0,8133.0,7830.0,8080.0,23807767825,2946426,598,7746.0,8133.0,1397-12-07
534,2019-02-27,8484.0,8484.0,8484.0,8484.0,9320420592,1098588,107,8080.0,8484.0,1397-12-08
533,2019-03-02,8908.0,8908.0,8908.0,8860.0,3918255064,439858,70,8484.0,8908.0,1397-12-11
532,2019-03-03,9303.0,9303.0,8600.0,9194.0,88134413089,9586389,1475,8860.0,9249.0,1397-12-12
531,2019-03-04,9110.0,9195.0,8735.0,8841.0,29555602116,3342873,856,9194.0,8735.0,1397-12-13
530,2019-03-05,8610.0,8841.0,8415.0,8596.0,14260540373,1658891,676,8841.0,8420.0,1397-12-14
529,2019-03-06,8460.0,8558.0,8167.0,8241.0,16693956887,2025761,430,8596.0,8167.0,1397-12-15
528,2019-03-09,8653.0,8653.0,8321.0,8570.0,25246066795,2945769,597,8241.0,8653.0,1397-12-18
527,2019-03-10,8899.0,8990.0,8508.0,8749.0,20223573978,2311494,773,8570.0,8585.0,1397-12-19
526,2019-03-11,8620.0,8700.0,8312.0,8476.0,16397185645,1934525,617,8749.0,8438.0,1397-12-20
525,2019-03-12,8314.0,8529.0,8060.0,8156.0,10979528718,1346270,490,8476.0,8100.0,1397-12-21
524,2019-03-13,8000.0,8520.0,8000.0,8448.0,15756893595,1865187,496,8156.0,8462.0,1397-12-22
523,2019-03-16,8400.0,8550.0,8250.0,8340.0,6190587965,742306,482,8448.0,8300.0,1397-12-25
522,2019-03-17,8200.0,8380.0,8113.0,8196.0,7846330072,957388,439,8340.0,8191.0,1397-12-26
521,2019-03-18,8202.0,8295.0,8022.0,8131.0,6180015204,760025,289,8196.0,8170.0,1397-12-27
520,2019-03-19,8380.0,8400.0,8158.0,8297.0,3363314195,403538,193,8131.0,8349.0,1397-12-28
519,2019-03-25,8470.0,8480.0,8300.0,8357.0,3981252786,476228,181,8297.0,8311.0,1398-01-05
518,2019-03-26,8363.0,8420.0,8241.0,8286.0,6591983157,795586,293,8357.0,8251.0,1398-01-06
517,2019-03-27,8319.0,8398.0,8200.0,8286.0,2861340613,345333,218,8286.0,8280.0,1398-01-07
516,2019-03-30,8499.0,8499.0,8259.0,8315.0,5207348073,626243,248,8286.0,8296.0,1398-01-10
515,2019-03-31,8470.0,8470.0,8220.0,8274.0,5449916513,658691,275,8315.0,8290.0,1398-01-11
514,2019-04-06,8349.0,8424.0,8259.0,8329.0,5653353119,678783,264,8274.0,8330.0,1398-01-17
513,2019-04-07,8450.0,8450.0,8220.0,8349.0,6771162009,811039,353,8329.0,8240.0,1398-01-18
512,2019-04-08,8379.0,8766.0,8180.0,8522.0,23001967883,2698971,559,8349.0,8765.0,1398-01-19
511,2019-04-09,8800.0,8948.0,8663.0,8927.0,23651281424,2649490,610,8522.0,8948.0,1398-01-20
510,2019-04-10,8530.0,9373.0,8530.0,9310.0,19773784464,2123873,413,8927.0,9373.0,1398-01-21
509,2019-04-13,9600.0,9775.0,9353.0,9707.0,23801612436,2451902,757,9310.0,9400.0,1398-01-24
508,2019-04-14,9400.0,9714.0,9222.0,9387.0,22524515876,2399548,771,9707.0,9588.0,1398-01-25
507,2019-04-15,9689.0,9800.0,9563.0,9696.0,13996114132,1443560,514,9387.0,9565.0,1398-01-26
506,2019-04-16,9649.0,10169.0,9520.0,9935.0,22947570269,2309707,551,9696.0,10039.0,1398-01-27
505,2019-04-17,10180.0,10431.0,10180.0,10402.0,16395191904,1576225,288,9935.0,10431.0,1398-01-28
504,2019-04-20,10922.0,10922.0,10922.0,10922.0,14594795550,1336275,196,10402.0,10922.0,1398-01-31
503,2019-04-22,11468.0,11468.0,11390.0,11454.0,21699464353,1894562,302,10922.0,11468.0,1398-02-02
502,2019-04-23,12026.0,12026.0,11468.0,11979.0,38881809648,3245698,497,11454.0,12026.0,1398-02-03
501,2019-04-24,12500.0,12500.0,12400.0,12479.0,6163606633,493850,88,11979.0,12480.0,1398-02-04
500,2019-04-27,13102.0,13757.0,13102.0,13646.0,25707053178,1883831,222,12479.0,13757.0,1398-02-07
499,2019-04-28,14328.0,14328.0,14328.0,14328.0,8694330696,606807,128,13646.0,14328.0,1398-02-08
498,2019-04-29,15044.0,15044.0,13612.0,14877.0,127948808717,8600425,1461,14328.0,15044.0,1398-02-09
497,2019-04-30,15620.0,15620.0,14256.0,15297.0,75348427065,4925640,1666,14877.0,14550.0,1398-02-10
496,2019-05-01,14533.0,15500.0,14533.0,14742.0,67245844950,4561392,1154,15297.0,14639.0,1398-02-11
