,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
591,2013-11-12,3000.0,3000.0,3000.0,3000.0,2370000,790,1,1000.0,3000.0,1392-08-21
590,2013-11-30,1000.0,1000.0,1000.0,1000.0,2860000,2860,2,3000.0,1000.0,1392-09-09
589,2014-02-17,3000.0,3000.0,3000.0,3000.0,39540000,13180,2,940.0,3000.0,1392-11-28
588,2014-05-31,5000.0,5000.0,5000.0,5000.0,11500000,2300,2,3000.0,5000.0,1393-03-10
587,2014-06-11,4500.0,4500.0,4500.0,4500.0,6561000,1458,1,5000.0,4500.0,1393-03-21
586,2014-06-30,2200.0,2200.0,2200.0,2200.0,6182000,2810,1,4500.0,2200.0,1393-04-09
585,2014-07-06,2003.0,2003.0,2003.0,2003.0,1001500,500,1,2200.0,2003.0,1393-04-15
584,2014-07-21,5000.0,5000.0,2003.0,4107.0,32501012,7914,3,2003.0,2003.0,1393-04-30
583,2014-08-31,3990.0,3990.0,3990.0,3990.0,399000,100,1,4107.0,3990.0,1393-06-09
582,2014-11-12,3000.0,3000.0,3000.0,3000.0,27900000,9300,1,3990.0,3000.0,1393-08-21
581,2014-12-09,3020.0,3020.0,3020.0,3020.0,3805200,1260,1,3000.0,3020.0,1393-09-18
580,2015-01-07,3050.0,3050.0,3050.0,3050.0,762500,250,1,3020.0,3050.0,1393-10-17
579,2015-01-11,3050.0,3050.0,3040.0,3040.0,12343100,4060,3,3050.0,3040.0,1393-10-21
578,2015-03-11,3500.0,3500.0,3500.0,3500.0,14210000,4060,1,3040.0,3500.0,1393-12-20
577,2015-04-20,3500.0,3500.0,3500.0,3500.0,9639000,2754,1,3500.0,3500.0,1394-01-31
576,2015-04-21,3500.0,3500.0,3500.0,3500.0,3356500,959,1,3500.0,3500.0,1394-02-01
575,2015-05-30,4000.0,4000.0,4000.0,4000.0,8000000,2000,1,3500.0,4000.0,1394-03-09
574,2015-05-31,4000.0,4000.0,4000.0,4000.0,23600000,5900,1,4000.0,4000.0,1394-03-10
573,2015-07-07,3510.0,4000.0,3510.0,3875.0,20808700,5370,3,4000.0,4000.0,1394-04-16
572,2015-08-03,4000.0,4000.0,4000.0,4000.0,8120000,2030,1,3875.0,4000.0,1394-05-12
571,2015-09-08,4450.0,4500.0,4450.0,4483.0,26898000,6000,3,4000.0,4500.0,1394-06-17
570,2015-09-16,4500.0,4500.0,4500.0,4500.0,12024000,2672,4,4483.0,4500.0,1394-06-25
569,2016-01-12,4500.0,4500.0,4500.0,4500.0,45000,10,1,4500.0,4500.0,1394-10-22
568,2016-01-16,4500.0,4500.0,4400.0,4499.0,18357000,4080,2,4500.0,4400.0,1394-10-26
567,2016-02-07,4500.0,4500.0,4500.0,4500.0,15795000,3510,1,4499.0,4500.0,1394-11-18
566,2016-02-13,4500.0,4500.0,4500.0,4500.0,2610000,580,1,4500.0,4500.0,1394-11-24
565,2016-07-18,3500.0,3500.0,3500.0,3500.0,24220000,6920,1,4500.0,3500.0,1395-04-28
564,2016-07-24,3500.0,3500.0,3500.0,3500.0,7000,2,1,3500.0,3500.0,1395-05-03
563,2016-08-02,3500.0,3500.0,3500.0,3500.0,7000000,2000,1,3500.0,3500.0,1395-05-12
562,2016-08-15,3500.0,3500.0,3500.0,3500.0,14210000,4060,2,3500.0,3500.0,1395-05-25
561,2016-08-16,3500.0,3500.0,3500.0,3500.0,346500,99,1,3500.0,3500.0,1395-05-26
560,2016-11-13,3500.0,3500.0,3500.0,3500.0,2765000,790,1,3500.0,3500.0,1395-08-23
559,2016-12-31,3550.0,3550.0,3550.0,3550.0,14413000,4060,1,3500.0,3550.0,1395-10-11
558,2017-01-25,3700.0,3700.0,3700.0,3700.0,15022000,4060,1,3550.0,3700.0,1395-11-06
557,2017-02-04,3850.0,3850.0,3850.0,3850.0,19250000,5000,1,3700.0,3850.0,1395-11-16
556,2017-02-07,3850.0,3850.0,3850.0,3850.0,15400000,4000,1,3850.0,3850.0,1395-11-19
555,2017-02-08,3850.0,3850.0,3850.0,3850.0,46046000,11960,1,3850.0,3850.0,1395-11-20
554,2017-03-27,4235.0,4235.0,4235.0,4235.0,804650,190,2,3850.0,4235.0,1396-01-07
553,2017-03-29,4658.0,4658.0,4658.0,4658.0,19610180,4210,3,4235.0,4658.0,1396-01-09
552,2017-04-04,5123.0,5123.0,5120.0,5122.0,11216370,2190,3,4658.0,5120.0,1396-01-15
551,2017-04-08,5120.0,5120.0,5120.0,5120.0,5120000,1000,1,5122.0,5120.0,1396-01-19
550,2017-04-09,5000.0,5000.0,5000.0,5000.0,7190000,1438,3,5120.0,5000.0,1396-01-20
549,2017-04-19,5300.0,5500.0,5300.0,5398.0,22024000,4080,3,5000.0,5300.0,1396-01-30
548,2017-04-24,5350.0,5350.0,5350.0,5350.0,1658500,310,1,5398.0,5350.0,1396-02-04
547,2017-04-26,5800.0,5800.0,5800.0,5800.0,23849600,4112,1,5350.0,5800.0,1396-02-06
546,2017-04-30,6350.0,6350.0,6350.0,6350.0,95250000,15000,1,5800.0,6350.0,1396-02-10
545,2017-05-28,6985.0,6985.0,6985.0,6985.0,31013400,4440,1,6350.0,6985.0,1396-03-07
544,2017-05-30,7650.0,7650.0,6985.0,7021.0,61332730,8735,10,6985.0,6985.0,1396-03-09
