,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
139,2014-02-08,1400.0,1400.0,1400.0,1400.0,645400,461,1,1000.0,1400.0,1392-11-19
138,2014-02-17,1401.0,1401.0,1401.0,1401.0,35499939,25339,5,1400.0,1401.0,1392-11-28
137,2014-02-24,2032.0,2032.0,2032.0,2032.0,39270432,19326,8,1401.0,2032.0,1392-12-05
136,2014-07-09,5000.0,5000.0,5000.0,5000.0,216820000,43364,16,2032.0,5000.0,1393-04-18
135,2014-07-13,5000.0,5000.0,5000.0,5000.0,290000,58,1,5000.0,5000.0,1393-04-22
134,2014-08-31,5000.0,5000.0,5000.0,5000.0,18455000,3691,2,5000.0,5000.0,1393-06-09
133,2014-12-07,5000.0,5000.0,5000.0,5000.0,181140000,36228,5,5000.0,5000.0,1393-09-16
132,2015-01-19,5000.0,5000.0,5000.0,5000.0,148420000,29684,6,5000.0,5000.0,1393-10-29
131,2015-06-23,5000.0,5000.0,5000.0,5000.0,1500000,300,1,5000.0,5000.0,1394-04-02
130,2015-07-01,5000.0,5000.0,5000.0,5000.0,198860000,39772,8,5000.0,5000.0,1394-04-10
129,2015-08-18,3300.0,3300.0,3300.0,3300.0,990000,300,1,3300.0,3300.0,1394-05-27
128,2015-09-14,3700.0,3700.0,3610.0,3688.0,42534130,11533,2,3300.0,3610.0,1394-06-23
127,2015-10-21,3800.0,4001.0,3800.0,3837.0,21101000,5500,2,3688.0,4001.0,1394-07-29
126,2015-10-26,4130.0,4130.0,4130.0,4130.0,12390000,3000,1,3837.0,4130.0,1394-08-04
125,2015-10-27,4200.0,4200.0,4200.0,4200.0,6300000,1500,1,4130.0,4200.0,1394-08-05
124,2015-11-02,4210.0,4210.0,4210.0,4210.0,307330,73,1,4200.0,4210.0,1394-08-11
123,2015-12-15,4280.0,4280.0,4280.0,4280.0,2140000,500,1,4210.0,4280.0,1394-09-24
122,2015-12-16,4400.0,4400.0,4400.0,4400.0,17600000,4000,1,4280.0,4400.0,1394-09-25
121,2016-01-18,4400.0,4400.0,4400.0,4400.0,6160000,1400,2,4400.0,4400.0,1394-10-28
120,2016-04-17,4500.0,5000.0,4500.0,4994.0,25270000,5060,4,4400.0,5000.0,1395-01-29
119,2016-04-20,5000.0,5000.0,5000.0,5000.0,2365000,473,1,4994.0,5000.0,1395-02-01
118,2016-07-05,5100.0,5100.0,5100.0,5100.0,22950000,4500,4,5000.0,5100.0,1395-04-15
117,2016-07-19,5000.0,5000.0,5000.0,5000.0,184225000,36845,17,5100.0,5000.0,1395-04-29
116,2016-12-27,3550.0,3550.0,3550.0,3550.0,100156150,28213,11,3500.0,3550.0,1395-10-07
115,2017-01-03,3600.0,3600.0,3600.0,3600.0,8301600,2306,1,3550.0,3600.0,1395-10-14
114,2017-03-04,3600.0,3600.0,3600.0,3600.0,10800000,3000,1,3600.0,3600.0,1395-12-14
113,2018-05-12,5000.0,5000.0,5000.0,2608.0,2500000,500,1,2600.0,5000.0,1397-02-22
112,2018-06-18,5500.0,5500.0,5500.0,2630.0,6050000,1100,1,2608.0,5500.0,1397-03-28
111,2018-07-14,5501.0,5501.0,5501.0,2640.0,2750500,500,1,2630.0,5501.0,1397-04-23
110,2019-01-21,5250.0,5250.0,5250.0,2392.0,36330000,6920,2,2250.0,5250.0,1397-11-01
109,2019-02-25,7000.0,7000.0,7000.0,2396.0,945000,135,1,2392.0,7000.0,1397-12-06
108,2019-09-21,1509.0,1509.0,1509.0,1509.0,2957640,1960,1,1466.0,1509.0,1398-06-30
107,2019-09-23,1509.0,1509.0,1509.0,1509.0,694140,460,2,1509.0,1509.0,1398-07-01
106,2020-03-04,1584.0,1584.0,1584.0,1509.0,912384,576,1,1509.0,1584.0,1398-12-14
105,2020-03-09,1554.0,1554.0,1554.0,1509.0,716394,461,1,1509.0,1554.0,1398-12-19
104,2020-03-14,1554.0,1554.0,1554.0,1509.0,3760680,2420,1,1509.0,1554.0,1398-12-24
103,2020-04-04,1554.0,1554.0,1554.0,1509.0,54390,35,1,1509.0,1554.0,1399-01-16
102,2020-04-14,1554.0,1554.0,1554.0,1509.0,15300684,9846,6,1509.0,1554.0,1399-01-26
101,2020-04-15,1584.0,1584.0,1584.0,1509.0,365904,231,1,1509.0,1584.0,1399-01-27
100,2020-04-19,1554.0,1554.0,1554.0,1509.0,777000,500,1,1509.0,1554.0,1399-01-31
99,2020-04-27,1584.0,1584.0,1584.0,1509.0,1460448,922,1,1509.0,1584.0,1399-02-08
98,2020-04-29,1554.0,1554.0,1554.0,1509.0,15000762,9653,2,1509.0,1554.0,1399-02-10
97,2020-05-03,1584.0,1584.0,1584.0,1509.0,3652704,2306,1,1509.0,1584.0,1399-02-14
96,2020-05-09,1584.0,1584.0,1584.0,1509.0,912384,576,1,1509.0,1584.0,1399-02-20
95,2020-05-19,1584.0,1584.0,1584.0,1509.0,728640,460,2,1509.0,1584.0,1399-02-30
94,2020-06-07,1554.0,1554.0,1554.0,1509.0,1432788,922,1,1509.0,1554.0,1399-03-18
93,2020-06-09,1554.0,1554.0,1554.0,1509.0,32655756,21014,3,1509.0,1554.0,1399-03-20
92,2020-06-13,1554.0,1554.0,1554.0,1509.0,357420,230,1,1509.0,1554.0,1399-03-24
91,2020-06-16,1554.0,1554.0,1554.0,1509.0,178710,115,1,1509.0,1554.0,1399-03-27
