,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1796,2001-04-07,14369.0,14369.0,14369.0,14369.0,6494788,452,4,0.0,14369.0,1380-01-18
1795,2001-04-10,14345.0,14345.0,14340.0,14340.0,17754660,1238,19,14369.0,14340.0,1380-01-21
1794,2001-04-11,14000.0,14000.0,13989.0,14000.0,87433730,6246,23,14340.0,14000.0,1380-01-22
1793,2001-04-14,13999.0,14001.0,13991.0,13995.0,151041712,10790,35,14000.0,13995.0,1380-01-25
1792,2001-05-05,13000.0,13002.0,13000.0,13000.0,126106000,9700,101,13995.0,13000.0,1380-02-15
1791,2001-05-06,13000.0,13000.0,13000.0,13000.0,182000000,14000,92,13000.0,13000.0,1380-02-16
1790,2001-05-07,13000.0,13000.0,13000.0,13000.0,113087000,8699,126,13000.0,13000.0,1380-02-17
1789,2001-05-09,13004.0,13004.0,13004.0,13004.0,25357800,1950,20,13000.0,13004.0,1380-02-19
1788,2001-05-13,13499.0,13500.0,13499.0,13500.0,16469380,1220,15,13004.0,13500.0,1380-02-23
1787,2001-05-19,14175.0,14175.0,14175.0,14175.0,23927400,1688,19,13500.0,14175.0,1380-02-29
1786,2001-05-20,14883.0,14883.0,14883.0,14883.0,14883000,1000,4,14175.0,14883.0,1380-02-30
1785,2001-05-21,15627.0,15627.0,15627.0,15627.0,24112461,1543,19,14883.0,15627.0,1380-02-31
1784,2001-05-26,16408.0,16408.0,16408.0,16408.0,32816000,2000,4,15627.0,16408.0,1380-03-05
1783,2001-05-27,16411.0,16411.0,16411.0,16411.0,1230825,75,1,16408.0,16411.0,1380-03-06
1782,2001-05-29,16442.0,16444.0,16441.0,16444.0,26406352,1606,8,16411.0,16444.0,1380-03-08
1781,2001-05-30,16452.0,16470.0,16452.0,16470.0,17280900,1050,17,16444.0,16470.0,1380-03-09
1780,2001-06-02,16605.0,17000.0,16600.0,17000.0,74414800,4425,9,16470.0,17000.0,1380-03-12
1779,2001-06-03,16999.0,17000.0,16999.0,17000.0,8499800,500,2,17000.0,17000.0,1380-03-13
1778,2001-06-06,17022.0,17200.0,17022.0,17200.0,23081200,1344,20,17000.0,17200.0,1380-03-16
1777,2001-06-09,17250.0,17250.0,17250.0,17250.0,15525000,900,1,17200.0,17250.0,1380-03-19
1776,2001-06-12,17385.0,17385.0,17385.0,17385.0,17385000,1000,3,17250.0,17385.0,1380-03-22
1775,2001-06-13,17500.0,17500.0,17500.0,17500.0,17500000,1000,1,17385.0,17500.0,1380-03-23
1774,2001-06-16,17500.0,17500.0,17500.0,17500.0,9625000,550,2,17500.0,17500.0,1380-03-26
1773,2001-06-17,17500.0,17500.0,17500.0,17500.0,42000000,2400,3,17500.0,17500.0,1380-03-27
1772,2001-06-18,17500.0,17500.0,17500.0,17500.0,30625000,1750,4,17500.0,17500.0,1380-03-28
1771,2001-06-19,17500.0,17500.0,17498.0,17500.0,109723450,6270,13,17500.0,17500.0,1380-03-29
1770,2001-06-23,17498.0,17500.0,17498.0,17500.0,979960,56,2,17500.0,17500.0,1380-04-02
1769,2001-06-26,17400.0,17400.0,17400.0,17400.0,36905400,2121,2,17500.0,17400.0,1380-04-05
