,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
25,2014-01-14,20000.0,20000.0,20000.0,20000.0,1860000000,93000,2,1000.0,20000.0,1392-10-24
24,2018-01-28,26250.0,26250.0,26250.0,24342.0,164220000,6256,1,17500.0,26250.0,1396-11-08
23,2018-01-30,36513.0,0.0,0.0,33860.0,228425328,6256,1,24342.0,36513.0,1396-11-10
22,2018-02-28,26264.0,26264.0,26264.0,26264.0,164307584,6256,4,26264.0,26264.0,1396-12-09
21,2018-03-03,28880.0,28888.0,28880.0,28882.0,79599328,2756,3,26264.0,28888.0,1396-12-12
20,2018-04-03,31770.0,31770.0,31770.0,31770.0,171875700,5410,10,28882.0,31770.0,1397-01-14
19,2018-04-30,31770.0,31770.0,31770.0,31770.0,11119500,350,2,31770.0,31770.0,1397-02-10
18,2018-05-07,34947.0,34947.0,34947.0,31771.0,1537668,44,1,31770.0,34947.0,1397-02-17
17,2018-05-09,34950.0,34950.0,34950.0,31946.0,192225000,5500,2,31771.0,34950.0,1397-02-19
16,2018-06-27,35140.0,35140.0,35140.0,32091.0,160027560,4554,1,31946.0,35140.0,1397-04-06
15,2018-08-11,36000.0,45000.0,36000.0,32260.0,252990000,5890,2,31591.0,45000.0,1397-05-20
14,2018-09-05,47000.0,47000.0,47000.0,32411.0,48269000,1027,2,32260.0,47000.0,1397-06-14
13,2018-09-12,47000.0,47000.0,47000.0,32996.0,188329000,4007,11,32411.0,47000.0,1397-06-21
12,2018-10-06,47000.0,47000.0,47000.0,33115.0,39950000,850,1,32996.0,47000.0,1397-07-14
11,2018-10-10,47000.0,47000.0,47000.0,33136.0,7050000,150,1,33115.0,47000.0,1397-07-18
10,2018-10-17,47000.0,47000.0,47000.0,33416.0,95034000,2022,2,33136.0,47000.0,1397-07-25
9,2019-07-31,37250.0,37250.0,37250.0,33141.0,558750000,15000,3,32416.0,37250.0,1398-05-09
8,2019-08-03,39899.0,39899.0,39899.0,33193.0,30802028,772,1,33141.0,39899.0,1398-05-12
7,2019-08-05,39915.0,39915.0,39915.0,34015.0,488080620,12228,3,33193.0,39915.0,1398-05-14
6,2019-08-14,40000.0,40000.0,40000.0,34023.0,5320000,133,3,34015.0,40000.0,1398-05-23
5,2019-08-19,39900.0,39900.0,39900.0,34061.0,25695600,644,2,34023.0,39900.0,1398-05-28
4,2019-10-07,35082.0,35082.0,35082.0,35082.0,4280004,122,2,34061.0,35082.0,1398-07-15
3,2019-12-11,36134.0,36134.0,36134.0,36134.0,67787384,1876,1,35082.0,36134.0,1398-09-20
2,2020-08-05,36188.0,36188.0,36188.0,35161.0,533773000,14750,2,35134.0,36188.0,1399-05-15
1,2020-11-10,36919.0,36919.0,36919.0,35161.0,5168660,140,1,35161.0,36919.0,1399-08-20
0,2021-01-30,36919.0,36919.0,36919.0,35162.0,13290840,360,2,35161.0,36919.0,1399-11-11
