,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
422,2007-06-12,10879.0,11000.0,10500.0,10838.0,7980690663,736343,280,10879.0,10838.0,1386-03-22
421,2007-06-13,11271.0,11271.0,11271.0,11271.0,479389443,42533,26,10838.0,11271.0,1386-03-23
420,2007-06-16,11273.0,11274.0,10821.0,10902.0,6159810854,564993,222,11271.0,10902.0,1386-03-26
419,2007-06-17,10500.0,10877.0,10500.0,10546.0,3388460191,321289,157,10902.0,10546.0,1386-03-27
418,2007-06-19,10400.0,10400.0,10128.0,10171.0,4205244732,413415,154,10546.0,10171.0,1386-03-29
417,2007-06-20,10101.0,10577.0,10100.0,10506.0,6056597944,576438,228,10171.0,10506.0,1386-03-30
416,2010-07-19,6215.0,6400.0,6215.0,6300.0,9185069025,1457956,220,10506.0,6290.0,1389-04-28
415,2010-07-20,6300.0,6300.0,6233.0,6256.0,2040260798,326122,86,6300.0,6234.0,1389-04-29
414,2010-07-21,6217.0,6220.0,6122.0,6192.0,10219299951,1650458,111,6256.0,6160.0,1389-04-30
413,2010-07-24,6400.0,6500.0,6220.0,6386.0,9093847291,1424069,128,6192.0,6500.0,1389-05-02
412,2010-07-25,6750.0,6800.0,6652.0,6709.0,6320233892,942065,137,6386.0,6750.0,1389-05-03
411,2010-07-26,6620.0,6750.0,6620.0,6681.0,15171409146,2270706,230,6709.0,6687.0,1389-05-04
410,2010-07-28,6600.0,6699.0,6600.0,6644.0,2751901603,414224,56,6681.0,6620.0,1389-05-06
409,2010-07-31,6698.0,6888.0,6689.0,6753.0,16934771133,2507874,62,6644.0,6752.0,1389-05-09
408,2010-08-01,6630.0,6680.0,6621.0,6633.0,659765003,99465,26,6753.0,6650.0,1389-05-10
407,2010-08-02,6780.0,6900.0,6660.0,6805.0,8890218949,1306467,155,6633.0,6845.0,1389-05-11
406,2010-08-03,6705.0,6970.0,6705.0,6858.0,6328084590,922780,100,6805.0,6805.0,1389-05-12
405,2010-08-04,6702.0,6800.0,6702.0,6797.0,8497216638,1250206,80,6858.0,6800.0,1389-05-13
404,2010-08-07,6800.0,6920.0,6800.0,6898.0,8730897513,1265634,85,6797.0,6900.0,1389-05-16
403,2010-08-08,6989.0,6989.0,6853.0,6910.0,2648442600,383261,48,6898.0,6900.0,1389-05-17
402,2010-08-09,6896.0,6900.0,6787.0,6858.0,1997721566,291316,36,6910.0,6788.0,1389-05-18
401,2010-08-10,6710.0,6749.0,6700.0,6705.0,2235287229,333360,51,6858.0,6749.0,1389-05-19
400,2010-08-11,6715.0,6749.0,6711.0,6721.0,1333067299,198334,21,6705.0,6721.0,1389-05-20
399,2010-08-14,6601.0,6601.0,6520.0,6567.0,765781392,116619,17,6721.0,6525.0,1389-05-23
398,2010-08-15,6504.0,6504.0,6430.0,6496.0,1255086880,193224,26,6567.0,6500.0,1389-05-24
397,2010-08-16,6619.0,6619.0,6500.0,6559.0,1346689120,205324,41,6496.0,6500.0,1389-05-25
396,2010-08-17,6589.0,6700.0,6589.0,6606.0,1296039542,196188,47,6559.0,6600.0,1389-05-26
395,2010-08-18,6743.0,6743.0,6600.0,6602.0,563604715,85372,13,6606.0,6600.0,1389-05-27
394,2010-08-21,6488.0,6689.0,6488.0,6516.0,4326323,664,3,6602.0,6488.0,1389-05-30
393,2010-08-22,6454.0,6500.0,6411.0,6426.0,700065870,108935,13,6516.0,6500.0,1389-05-31
392,2010-08-23,6500.0,6500.0,6470.0,6473.0,36308500,5609,2,6426.0,6470.0,1389-06-01
391,2010-08-24,6500.0,6620.0,6500.0,6559.0,2705703465,412521,40,6473.0,6620.0,1389-06-02
390,2010-08-25,6550.0,6699.0,6528.0,6601.0,1169487362,177172,39,6559.0,6614.0,1389-06-03
389,2010-08-28,6630.0,6649.0,6624.0,6636.0,517360191,77959,13,6601.0,6649.0,1389-06-06
388,2010-08-29,6749.0,6849.0,6747.0,6794.0,3955901392,582270,58,6636.0,6821.0,1389-06-07
387,2010-08-30,6807.0,6938.0,6807.0,6896.0,15426116664,2236994,132,6794.0,6920.0,1389-06-08
386,2010-08-31,6789.0,6900.0,6789.0,6861.0,569291802,82969,17,6896.0,6900.0,1389-06-09
385,2010-09-04,6946.0,7298.0,6946.0,7109.0,3096324763,435573,61,6861.0,7297.0,1389-06-13
384,2010-09-05,7390.0,7400.0,7120.0,7240.0,2018713122,278817,35,7109.0,7120.0,1389-06-14
383,2010-09-06,7201.0,7279.0,7201.0,7216.0,2924851245,405339,38,7240.0,7279.0,1389-06-15
382,2010-09-07,7279.0,7279.0,7100.0,7142.0,1424470823,199446,25,7216.0,7132.0,1389-06-16
381,2010-09-08,7002.0,7002.0,7000.0,7001.0,981274176,140162,11,7142.0,7000.0,1389-06-17
380,2010-09-12,7000.0,7000.0,6999.0,7000.0,350306881,50047,6,7001.0,7000.0,1389-06-21
379,2010-09-13,6677.0,6798.0,6677.0,6732.0,339266274,50399,16,7000.0,6695.0,1389-06-22
378,2010-09-14,6790.0,6999.0,6667.0,6761.0,8012273193,1185013,162,6732.0,6710.0,1389-06-23
377,2010-11-09,6500.0,6500.0,6500.0,6500.0,10911257500,1678655,171,6761.0,6500.0,1389-08-18
