,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
587,2018-11-17,6800.0,6800.0,6800.0,6800.0,4182000000000,615000000,308461,1000.0,6800.0,1397-08-26
586,2018-11-18,7140.0,7140.0,7140.0,7140.0,5855428320,820088,698,6800.0,7140.0,1397-08-27
585,2018-11-19,7497.0,7497.0,7497.0,7497.0,9366594363,1249379,1105,7140.0,7497.0,1397-08-28
584,2018-11-20,7871.0,7871.0,7871.0,7871.0,12654230313,1607703,1349,7497.0,7871.0,1397-08-29
583,2018-11-21,8264.0,8264.0,8264.0,8264.0,36011685712,4357658,3220,7871.0,8264.0,1397-08-30
582,2018-11-24,8677.0,8677.0,8501.0,8674.0,1672166803974,192779906,121523,8264.0,8677.0,1397-09-03
581,2018-11-26,8742.0,8777.0,8241.0,8479.0,1778403591495,209746265,139718,8674.0,8375.0,1397-09-05
580,2018-11-27,8330.0,8760.0,8250.0,8515.0,729869663519,85714127,54210,8479.0,8698.0,1397-09-06
579,2018-11-28,8699.0,8713.0,8420.0,8510.0,275944210546,32423977,19877,8515.0,8479.0,1397-09-07
578,2018-12-01,8340.0,8370.0,8085.0,8123.0,382287080918,47065032,18373,8510.0,8086.0,1397-09-10
577,2018-12-02,8190.0,8397.0,8123.0,8249.0,175930357728,21327568,9985,8123.0,8250.0,1397-09-11
576,2018-12-03,8350.0,8400.0,8221.0,8297.0,141462860042,17050255,7715,8249.0,8333.0,1397-09-12
575,2018-12-04,8269.0,8300.0,8111.0,8184.0,134324090270,16413905,6415,8297.0,8294.0,1397-09-13
574,2018-12-05,8156.0,8229.0,8145.0,8177.0,108476936267,13266319,5979,8184.0,8157.0,1397-09-14
573,2018-12-08,8111.0,8198.0,7955.0,8063.0,160695751071,19929309,8274,8177.0,8020.0,1397-09-17
572,2018-12-09,8000.0,8008.0,7861.0,7925.0,128973489157,16274655,7370,8063.0,7906.0,1397-09-18
571,2018-12-10,7856.0,8220.0,7750.0,8027.0,111376177649,13875357,6562,7925.0,8105.0,1397-09-19
570,2018-12-12,8011.0,8050.0,7900.0,7980.0,68111894316,8535096,5727,8027.0,7951.0,1397-09-21
569,2018-12-15,7901.0,7950.0,7800.0,7896.0,75484084623,9560272,3925,7980.0,7860.0,1397-09-24
568,2018-12-16,7890.0,7890.0,7592.0,7699.0,87343696985,11344115,4179,7896.0,7631.0,1397-09-25
567,2018-12-17,7551.0,7630.0,7453.0,7533.0,59246020687,7864344,4262,7699.0,7482.0,1397-09-26
566,2018-12-18,7400.0,7777.0,7266.0,7506.0,56775671000,7564321,3395,7533.0,7550.0,1397-09-27
565,2018-12-19,7466.0,7550.0,7352.0,7401.0,72557410666,9803553,2514,7506.0,7392.0,1397-09-28
564,2018-12-22,7314.0,7390.0,7213.0,7286.0,34426442525,4725223,2593,7401.0,7299.0,1397-10-01
563,2018-12-23,7358.0,7730.0,7358.0,7601.0,57468126357,7560869,3388,7286.0,7630.0,1397-10-02
562,2018-12-24,7629.0,7725.0,7455.0,7601.0,56239951622,7399009,3091,7601.0,7650.0,1397-10-03
561,2018-12-29,7700.0,7700.0,7700.0,7700.0,3379583900,438907,141,7601.0,7700.0,1397-10-08
560,2018-12-30,7701.0,7716.0,7330.0,7636.0,60472562602,7919362,2878,7700.0,7683.0,1397-10-09
559,2018-12-31,7650.0,7860.0,7600.0,7729.0,41436768620,5360945,2592,7636.0,7828.0,1397-10-10
558,2019-01-01,7750.0,8180.0,7743.0,8032.0,86117134410,10722295,3846,7729.0,8101.0,1397-10-11
557,2019-01-02,8100.0,8180.0,8000.0,8047.0,66907762851,8314661,2617,8032.0,8070.0,1397-10-12
556,2019-01-05,7999.0,8001.0,7860.0,7938.0,41757272043,5260710,1799,8047.0,7896.0,1397-10-15
555,2019-01-06,7805.0,8000.0,7782.0,7859.0,50214214303,6389119,1915,7938.0,7999.0,1397-10-16
554,2019-01-07,7860.0,8010.0,7860.0,7954.0,27686030147,3480739,1544,7859.0,7922.0,1397-10-17
553,2019-01-08,8000.0,8150.0,7888.0,8020.0,47918844709,5975201,2044,7954.0,8030.0,1397-10-18
552,2019-01-09,8020.0,8137.0,8001.0,8024.0,23318348219,2905936,1222,8020.0,8001.0,1397-10-19
551,2019-01-12,8000.0,8024.0,7922.0,7954.0,34913864356,4389547,1424,8024.0,7953.0,1397-10-22
550,2019-01-13,7927.0,8000.0,7851.0,7916.0,35361652216,4467052,2465,7954.0,7917.0,1397-10-23
549,2019-01-14,7852.0,8100.0,7830.0,7976.0,38418169593,4816484,1681,7916.0,7971.0,1397-10-24
548,2019-01-15,7911.0,8053.0,7900.0,7975.0,37760697135,4734934,1272,7976.0,7900.0,1397-10-25
547,2019-01-16,7950.0,7950.0,7850.0,7880.0,25011268439,3174175,1172,7975.0,7860.0,1397-10-26
546,2019-01-19,7876.0,8000.0,7876.0,7945.0,19877355562,2501873,1083,7880.0,7943.0,1397-10-29
545,2019-01-20,7910.0,8051.0,7910.0,7981.0,30504045450,3822157,1364,7945.0,7932.0,1397-10-30
544,2019-01-21,7903.0,7940.0,7835.0,7886.0,33946827674,4304441,1155,7981.0,7900.0,1397-11-01
543,2019-01-22,7820.0,7905.0,7801.0,7837.0,18646706086,2379168,1212,7886.0,7901.0,1397-11-02
542,2019-01-23,7830.0,7840.0,7802.0,7824.0,18964335760,2423731,2545,7837.0,7830.0,1397-11-03
541,2019-01-26,7886.0,7900.0,7800.0,7814.0,20079367110,2569611,1146,7824.0,7801.0,1397-11-06
540,2019-01-27,7791.0,7791.0,7700.0,7730.0,23193586391,3000274,1123,7814.0,7739.0,1397-11-07
539,2019-01-28,7700.0,7711.0,7550.0,7586.0,67665666678,8920366,1325,7730.0,7677.0,1397-11-08
