,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
3881,2001-03-25,1504.0,1504.0,1504.0,1504.0,4244288,2822,5,1504.0,1504.0,1380-01-05
3880,2001-03-26,1501.0,1502.0,1499.0,1502.0,39518812,26318,15,1504.0,1502.0,1380-01-06
3879,2001-03-27,1502.0,1502.0,1489.0,1502.0,30170194,20147,17,1502.0,1502.0,1380-01-07
3878,2001-03-28,1502.0,1502.0,1502.0,1502.0,13125978,8739,9,1502.0,1502.0,1380-01-08
3877,2001-03-31,1502.0,1504.0,1502.0,1503.0,16540260,11000,3,1502.0,1503.0,1380-01-11
3876,2001-04-03,1520.0,1520.0,1511.0,1520.0,13212638,8722,8,1503.0,1520.0,1380-01-14
3875,2001-04-07,1520.0,1524.0,1520.0,1524.0,3090560,2028,2,1520.0,1524.0,1380-01-18
3874,2001-04-08,1563.0,1600.0,1528.0,1600.0,68724726,43937,27,1524.0,1600.0,1380-01-19
3873,2001-04-09,1600.0,1680.0,1600.0,1652.0,58423210,35269,24,1600.0,1652.0,1380-01-20
3872,2001-04-10,1660.0,1701.0,1660.0,1700.0,52146704,31057,22,1652.0,1700.0,1380-01-21
3871,2001-04-11,1700.0,1700.0,1700.0,1700.0,6800000,4000,4,1700.0,1700.0,1380-01-22
3870,2001-04-14,1693.0,1693.0,1693.0,1693.0,16930,10,1,1700.0,1693.0,1380-01-25
3869,2001-04-15,1678.0,1679.0,1678.0,1679.0,3172960,1890,3,1693.0,1679.0,1380-01-26
3868,2001-04-16,1674.0,1674.0,1599.0,1599.0,12791843,7978,12,1679.0,1599.0,1380-01-27
3867,2001-04-17,1570.0,1600.0,1570.0,1600.0,21524622,13579,15,1599.0,1600.0,1380-01-28
3866,2001-04-18,1601.0,1625.0,1600.0,1625.0,31581274,19583,17,1600.0,1625.0,1380-01-29
3865,2001-04-21,1625.0,1625.0,1602.0,1602.0,8473955,5271,4,1625.0,1602.0,1380-02-01
3864,2001-04-22,1602.0,1628.0,1602.0,1628.0,79169019,49113,27,1602.0,1628.0,1380-02-02
3863,2001-04-23,1650.0,1654.0,1630.0,1653.0,68955910,41895,16,1628.0,1653.0,1380-02-03
3862,2001-04-24,1675.0,1678.0,1675.0,1675.0,65354000,39000,18,1653.0,1675.0,1380-02-04
3861,2001-04-25,1675.0,1680.0,1675.0,1680.0,64188800,38256,30,1675.0,1680.0,1380-02-05
3860,2001-04-28,1698.0,1750.0,1685.0,1740.0,207953651,120781,60,1680.0,1740.0,1380-02-08
3859,2001-04-29,1738.0,1739.0,1710.0,1729.0,54386592,31524,25,1740.0,1729.0,1380-02-09
3858,2001-04-30,1700.0,1700.0,1680.0,1680.0,63839460,37587,35,1729.0,1680.0,1380-02-10
3857,2001-05-01,1697.0,1697.0,1680.0,1680.0,9159997,5434,7,1680.0,1680.0,1380-02-11
3856,2001-05-02,1680.0,1680.0,1678.0,1680.0,17431779,10384,17,1680.0,1680.0,1380-02-12
3855,2001-05-05,1679.0,1690.0,1679.0,1690.0,79578701,47236,25,1680.0,1690.0,1380-02-15
3854,2001-05-06,1690.0,1691.0,1690.0,1690.0,57815435,34210,18,1690.0,1690.0,1380-02-16
3853,2001-05-07,1691.0,1700.0,1691.0,1691.0,74951100,44265,31,1690.0,1691.0,1380-02-17
3852,2001-05-08,1688.0,1691.0,1660.0,1691.0,24940700,14766,17,1691.0,1691.0,1380-02-18
3851,2001-05-09,1690.0,1700.0,1671.0,1671.0,25266358,14998,9,1691.0,1671.0,1380-02-19
3850,2001-05-12,1671.0,1672.0,1652.0,1669.0,57631108,34548,26,1671.0,1669.0,1380-02-22
3849,2001-05-13,1670.0,1697.0,1670.0,1670.0,35744393,21248,15,1669.0,1670.0,1380-02-23
3848,2001-05-15,1668.0,1692.0,1659.0,1692.0,65275367,39158,29,1670.0,1692.0,1380-02-25
3847,2001-05-16,1689.0,1776.0,1689.0,1776.0,310174510,175826,64,1692.0,1776.0,1380-02-26
3846,2001-05-19,1790.0,1829.0,1785.0,1804.0,76082957,42287,19,1776.0,1804.0,1380-02-29
