,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2755,2001-07-08,6000.0,6000.0,6000.0,6000.0,6000000,1000,1,6000.0,6000.0,1380-04-17
2754,2001-07-09,6000.0,6000.0,6000.0,6000.0,4290000,715,4,6000.0,6000.0,1380-04-18
2753,2001-07-10,5999.0,5999.0,5998.0,5998.0,23994000,4000,4,6000.0,5998.0,1380-04-19
2752,2001-08-19,5000.0,5000.0,5000.0,5000.0,5000000,1000,1,5998.0,5000.0,1380-05-28
2751,2001-08-20,5001.0,5001.0,5001.0,5001.0,12502500,2500,8,5000.0,5001.0,1380-05-29
2750,2001-08-21,5001.0,5001.0,5001.0,5001.0,13002600,2600,4,5001.0,5001.0,1380-05-30
2749,2001-08-22,5004.0,5005.0,5004.0,5004.0,6696352,1338,7,5001.0,5004.0,1380-05-31
2748,2001-08-25,5004.0,5005.0,5004.0,5005.0,11510000,2300,4,5004.0,5005.0,1380-06-03
2747,2001-08-26,5006.0,5006.0,5006.0,5006.0,22637132,4522,5,5005.0,5006.0,1380-06-04
2746,2001-08-27,5009.0,5009.0,5007.0,5007.0,10014500,2000,5,5006.0,5007.0,1380-06-05
2745,2001-08-28,5007.0,5007.0,5007.0,5007.0,21029400,4200,6,5007.0,5007.0,1380-06-06
2744,2001-08-29,5007.0,5007.0,5007.0,5007.0,2253150,450,1,5007.0,5007.0,1380-06-07
2743,2001-09-01,5007.0,5007.0,5007.0,5007.0,1652310,330,1,5007.0,5007.0,1380-06-10
2742,2001-09-02,5000.0,5000.0,5000.0,5000.0,3370000,674,2,5007.0,5000.0,1380-06-11
2741,2001-09-03,5000.0,5000.0,5000.0,5000.0,480000,96,1,5000.0,5000.0,1380-06-12
2740,2001-09-04,5000.0,5000.0,5000.0,5000.0,2020000,404,1,5000.0,5000.0,1380-06-13
2739,2001-09-05,5000.0,5000.0,5000.0,5000.0,2500000,500,2,5000.0,5000.0,1380-06-14
2738,2001-09-09,5000.0,5001.0,5000.0,5000.0,19612004,3922,9,5000.0,5000.0,1380-06-18
2737,2001-09-11,5000.0,5000.0,5000.0,5000.0,6750000,1350,2,5000.0,5000.0,1380-06-20
2736,2001-09-12,5001.0,5001.0,5001.0,5001.0,20004000,4000,4,5000.0,5001.0,1380-06-21
2735,2001-09-16,5000.0,5000.0,5000.0,5000.0,7600000,1520,4,5001.0,5000.0,1380-06-25
2734,2001-09-17,5000.0,5000.0,5000.0,5000.0,2400000,480,2,5000.0,5000.0,1380-06-26
2733,2001-09-18,4998.0,5000.0,4998.0,4999.0,7453897,1491,4,5000.0,4999.0,1380-06-27
2732,2001-09-19,5000.0,5000.0,5000.0,5000.0,300000,60,1,4999.0,5000.0,1380-06-28
2731,2001-09-23,5000.0,5000.0,5000.0,5000.0,3010000,602,2,5000.0,5000.0,1380-07-01
2730,2001-09-24,5000.0,5000.0,5000.0,5000.0,3000000,600,1,5000.0,5000.0,1380-07-02
2729,2001-09-26,5000.0,5000.0,5000.0,5000.0,1010000,202,1,5000.0,5000.0,1380-07-04
2728,2001-09-30,5000.0,5000.0,5000.0,5000.0,4500000,900,2,5000.0,5000.0,1380-07-08
2727,2001-10-06,5000.0,5000.0,5000.0,5000.0,6160000,1232,2,5000.0,5000.0,1380-07-14
2726,2001-10-07,5000.0,5000.0,5000.0,5000.0,12825000,2565,2,5000.0,5000.0,1380-07-15
2725,2001-10-08,5001.0,5003.0,5001.0,5002.0,30013020,6000,6,5000.0,5002.0,1380-07-16
2724,2001-10-09,5003.0,5003.0,5002.0,5002.0,35017000,7000,3,5002.0,5002.0,1380-07-17
2723,2001-10-10,5002.0,5004.0,5002.0,5004.0,42027800,8400,5,5002.0,5004.0,1380-07-18
2722,2001-10-13,5004.0,5009.0,5003.0,5009.0,62066258,12402,8,5004.0,5009.0,1380-07-21
2721,2001-10-14,5012.0,5018.0,5012.0,5018.0,35096000,7000,2,5009.0,5018.0,1380-07-22
2720,2001-10-16,5022.0,5024.0,5022.0,5024.0,37619760,7490,2,5018.0,5024.0,1380-07-24
2719,2001-10-17,5031.0,5100.0,5031.0,5100.0,66009000,13000,5,5024.0,5100.0,1380-07-25
2718,2001-10-20,5103.0,5105.0,5101.0,5105.0,36745200,7200,5,5100.0,5105.0,1380-07-28
2717,2001-10-21,5111.0,5118.0,5111.0,5118.0,24281139,4749,5,5105.0,5118.0,1380-07-29
2716,2001-10-22,5200.0,5200.0,5150.0,5200.0,166300000,32000,5,5118.0,5200.0,1380-07-30
2715,2001-10-23,5250.0,5300.0,5250.0,5300.0,10550000,2000,2,5200.0,5300.0,1380-08-01
2714,2001-10-27,5250.0,5250.0,5250.0,5250.0,10500000,2000,2,5300.0,5250.0,1380-08-05
2713,2001-10-28,5251.0,5251.0,5251.0,5251.0,35496760,6760,8,5250.0,5251.0,1380-08-06
2712,2001-10-29,5251.0,5252.0,5251.0,5252.0,15675620,2985,6,5251.0,5252.0,1380-08-07
