,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1391,2013-10-20,950.0,950.0,950.0,950.0,298550800,314264,1,1000.0,950.0,1392-07-28
1390,2013-11-03,950.0,950.0,950.0,950.0,9965500,10490,1,950.0,950.0,1392-08-12
1389,2013-11-12,950.0,950.0,950.0,950.0,8763750,9225,1,950.0,950.0,1392-08-21
1388,2013-12-11,950.0,950.0,950.0,950.0,26049950,27421,1,950.0,950.0,1392-09-20
1387,2013-12-25,1023.0,1023.0,1000.0,1000.0,182253750,182248,3,950.0,1000.0,1392-10-04
1386,2014-01-04,1200.0,1200.0,1200.0,1200.0,21600000,18000,2,1000.0,1200.0,1392-10-14
1385,2014-01-13,1500.0,1502.0,1500.0,1502.0,61984540,41270,2,1200.0,1502.0,1392-10-23
1384,2014-01-21,1490.0,1502.0,1490.0,1496.0,76230930,50951,9,1502.0,1500.0,1392-11-01
1383,2014-01-29,1500.0,1502.0,1500.0,1502.0,195917438,130469,10,1496.0,1500.0,1392-11-09
1382,2014-02-05,1502.0,1510.0,1502.0,1503.0,3697090,2459,2,1502.0,1510.0,1392-11-16
1381,2014-02-08,1502.0,1502.0,1460.0,1492.0,77914518,52208,3,1503.0,1460.0,1392-11-19
1380,2014-02-17,1501.0,1501.0,1501.0,1501.0,4325882,2882,1,1492.0,1501.0,1392-11-28
1379,2014-02-18,1460.0,1460.0,1460.0,1460.0,64412280,44118,2,1501.0,1460.0,1392-11-29
1378,2014-02-19,1490.0,1490.0,1490.0,1490.0,1490000,1000,1,1460.0,1490.0,1392-11-30
1377,2014-02-23,1500.0,1500.0,1500.0,1500.0,97500000,65000,3,1490.0,1500.0,1392-12-04
1376,2014-02-26,1220.0,1220.0,1220.0,1220.0,2440000,2000,1,1500.0,1220.0,1392-12-07
1375,2014-03-05,1350.0,1500.0,1350.0,1476.0,106596050,72198,4,1220.0,1490.0,1392-12-14
1374,2014-03-10,1200.0,1200.0,1200.0,1200.0,21744000,18120,2,1476.0,1200.0,1392-12-19
1373,2014-03-26,1111.0,1111.0,1111.0,1111.0,74437,67,1,1200.0,1111.0,1393-01-06
1372,2014-03-29,1250.0,1300.0,1250.0,1290.0,16125000,12500,2,1111.0,1300.0,1393-01-09
1371,2014-04-05,1113.0,1250.0,1113.0,1174.0,21130000,18000,2,1290.0,1250.0,1393-01-16
1370,2014-04-08,1300.0,1300.0,1300.0,1300.0,221000000,170000,1,1174.0,1300.0,1393-01-19
1369,2014-04-12,1440.0,1450.0,1440.0,1442.0,21918750,15195,3,1300.0,1440.0,1393-01-23
1368,2014-04-16,1450.0,1450.0,1435.0,1442.0,38945000,27000,3,1442.0,1435.0,1393-01-27
1367,2014-04-26,1500.0,1500.0,1350.0,1377.0,306149920,222278,5,1442.0,1350.0,1393-02-06
1366,2014-05-03,1200.0,1200.0,1200.0,1200.0,12000000,10000,1,1377.0,1200.0,1393-02-13
1365,2014-05-10,1500.0,1500.0,1129.0,1305.0,14172200,10856,3,1200.0,1129.0,1393-02-20
1364,2014-05-12,1690.0,1700.0,1688.0,1691.0,42275000,25000,4,1305.0,1689.0,1393-02-22
1363,2014-05-14,1700.0,1700.0,1688.0,1700.0,172533000,101500,3,1691.0,1689.0,1393-02-24
1362,2014-05-17,1699.0,1699.0,1150.0,1412.0,28245000,20000,3,1700.0,1150.0,1393-02-27
1361,2014-05-18,1400.0,1400.0,1160.0,1284.0,60355000,47000,5,1412.0,1160.0,1393-02-28
1360,2014-05-24,1690.0,1699.0,1690.0,1692.0,53481200,31600,3,1284.0,1699.0,1393-03-03
1359,2014-05-25,1699.0,1699.0,1699.0,1699.0,8495000,5000,1,1692.0,1699.0,1393-03-04
1358,2014-05-26,1699.0,1699.0,1350.0,1501.0,52824800,35200,4,1699.0,1350.0,1393-03-05
1357,2014-06-01,1500.0,1500.0,1353.0,1470.0,4398036,2992,2,1501.0,1353.0,1393-03-11
1356,2014-06-03,1600.0,2500.0,1600.0,2386.0,442089400,185281,7,1470.0,2500.0,1393-03-13
1355,2014-06-07,2800.0,2800.0,2490.0,2778.0,501038100,180364,5,2386.0,2490.0,1393-03-17
1354,2014-06-08,2500.0,2800.0,2500.0,2687.0,43000000,16000,3,2778.0,2500.0,1393-03-18
1353,2014-06-09,3000.0,3000.0,2500.0,2747.0,283058500,103034,12,2687.0,2600.0,1393-03-19
1352,2014-06-11,2700.0,2800.0,2420.0,2711.0,129356300,47707,7,2747.0,2600.0,1393-03-21
1351,2014-06-14,2500.0,3000.0,2500.0,2949.0,181319733,61479,10,2711.0,2999.0,1393-03-24
1350,2014-06-15,3000.0,3000.0,3000.0,3000.0,30000000,10000,2,2949.0,3000.0,1393-03-25
1349,2014-06-16,3000.0,3000.0,3000.0,3000.0,15000000,5000,1,3000.0,3000.0,1393-03-26
1348,2014-06-18,3000.0,3000.0,3000.0,3000.0,39000000,13000,2,3000.0,3000.0,1393-03-28
1347,2014-06-23,3200.0,3500.0,3000.0,3229.0,184811020,57235,11,3000.0,3490.0,1393-04-02
1346,2014-06-25,3490.0,3490.0,2390.0,3169.0,14537930,4587,2,3229.0,2390.0,1393-04-04
1345,2014-07-02,2070.0,2070.0,2070.0,2070.0,1035000,500,1,3169.0,2070.0,1393-04-11
1344,2014-07-07,2100.0,2100.0,2100.0,2100.0,4200000,2000,1,2070.0,2100.0,1393-04-16
1343,2014-07-09,2110.0,2110.0,2110.0,2110.0,968490,459,1,2100.0,2110.0,1393-04-18
1342,2014-08-02,2500.0,2950.0,2500.0,2810.0,252800800,89961,4,2110.0,2950.0,1393-05-11
1341,2014-08-10,2110.0,2110.0,2110.0,2110.0,968490,459,1,2810.0,2110.0,1393-05-19
1340,2014-08-18,2110.0,2850.0,2110.0,2692.0,28071550,10429,5,2110.0,2850.0,1393-05-27
1339,2014-09-08,3000.0,3500.0,3000.0,3302.0,262394360,79473,8,2692.0,3400.0,1393-06-17
1338,2014-09-10,3750.0,3900.0,2500.0,3291.0,242215000,73600,9,3302.0,3900.0,1393-06-19
1337,2014-09-13,4000.0,4000.0,2900.0,3964.0,96447000,24330,5,3291.0,3899.0,1393-06-22
1336,2014-09-14,4000.0,4000.0,4000.0,4000.0,19488000,4872,1,3964.0,4000.0,1393-06-23
1335,2014-09-16,4000.0,4000.0,4000.0,4000.0,40000,10,1,4000.0,4000.0,1393-06-25
