,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
586,2019-01-23,2050.0,2050.0,2050.0,2050.0,1036015802100,505373562,360083,1000.0,2050.0,1397-11-03
585,2019-01-26,2152.0,2152.0,2152.0,2062.0,521354280,242265,232,2050.0,2152.0,1397-11-06
584,2019-01-27,2165.0,2165.0,2165.0,2159.0,4088266925,1888345,918,2062.0,2165.0,1397-11-07
583,2019-01-29,2266.0,2266.0,2266.0,2266.0,5447912668,2404198,927,2159.0,2266.0,1397-11-09
582,2019-01-30,2379.0,2379.0,2379.0,2379.0,16499230956,6935364,3926,2266.0,2379.0,1397-11-10
581,2019-02-02,2497.0,2497.0,2261.0,2443.0,343496256018,140628139,86809,2379.0,2284.0,1397-11-13
580,2019-02-03,2321.0,2350.0,2321.0,2322.0,154055999752,66345970,41491,2443.0,2321.0,1397-11-14
579,2019-02-04,2273.0,2349.0,2211.0,2274.0,257824904259,113377785,69429,2322.0,2254.0,1397-11-15
578,2019-02-05,2255.0,2301.0,2228.0,2255.0,90681135535,40208386,22325,2274.0,2253.0,1397-11-16
577,2019-02-06,2250.0,2288.0,2231.0,2245.0,69692375545,31042916,13598,2255.0,2241.0,1397-11-17
576,2019-02-10,2242.0,2289.0,2220.0,2253.0,78914994252,35020203,17493,2245.0,2252.0,1397-11-21
575,2019-02-12,2275.0,2349.0,2242.0,2294.0,115529533113,50358618,22214,2253.0,2284.0,1397-11-23
574,2019-02-13,2294.0,2329.0,2262.0,2296.0,108142702633,47108163,29317,2294.0,2296.0,1397-11-24
573,2019-02-16,2295.0,2330.0,2256.0,2300.0,84901372715,36915874,19366,2296.0,2315.0,1397-11-27
572,2019-02-17,2311.0,2322.0,2291.0,2302.0,56986568111,24754828,6480,2300.0,2294.0,1397-11-28
571,2019-02-18,2292.0,2299.0,2282.0,2289.0,46025997112,20103569,5774,2302.0,2290.0,1397-11-29
570,2019-02-19,2290.0,2293.0,2260.0,2283.0,39082664220,17120344,5784,2289.0,2264.0,1397-11-30
569,2019-02-20,2284.0,2284.0,2251.0,2267.0,46184827534,20374489,5423,2283.0,2269.0,1397-12-01
568,2019-02-23,2260.0,2265.0,2221.0,2240.0,49345133086,22027148,6821,2267.0,2225.0,1397-12-04
567,2019-02-24,2220.0,2261.0,2212.0,2234.0,36858010127,16499846,5087,2240.0,2247.0,1397-12-05
566,2019-02-25,2224.0,2245.0,2200.0,2224.0,25421184161,11432002,4429,2234.0,2207.0,1397-12-06
565,2019-02-26,2200.0,2229.0,2182.0,2208.0,25348485545,11478140,3507,2224.0,2199.0,1397-12-07
564,2019-02-27,2208.0,2291.0,2208.0,2264.0,35367528456,15618436,3827,2208.0,2249.0,1397-12-08
563,2019-03-02,2265.0,2330.0,2264.0,2315.0,52473993512,22665469,5444,2264.0,2322.0,1397-12-11
562,2019-03-03,2320.0,2361.0,2310.0,2343.0,59328488660,25318437,5400,2315.0,2351.0,1397-12-12
561,2019-03-04,2373.0,2400.0,2250.0,2343.0,33569113739,14330434,4029,2343.0,2319.0,1397-12-13
560,2019-03-05,2300.0,2320.0,2261.0,2283.0,16722816462,7325877,2479,2343.0,2300.0,1397-12-14
559,2019-03-06,2273.0,2319.0,2273.0,2287.0,11420170246,4994591,1875,2283.0,2281.0,1397-12-15
558,2019-03-09,2291.0,2367.0,2281.0,2311.0,16449145902,7118298,2490,2287.0,2307.0,1397-12-18
557,2019-03-10,2301.0,2330.0,2290.0,2313.0,50344600288,21769517,3222,2311.0,2300.0,1397-12-19
556,2019-03-11,2301.0,2411.0,2298.0,2354.0,88892398683,37758724,6938,2313.0,2402.0,1397-12-20
555,2019-03-18,2060.0,2060.0,2011.0,2052.0,10495558126,5115497,1049,1934.0,2051.0,1397-12-27
554,2019-03-19,2081.0,2084.0,2029.0,2058.0,25756270245,12517902,2589,2052.0,2084.0,1397-12-28
553,2019-03-25,2073.0,2086.0,2044.0,2059.0,13766722490,6685836,1669,2058.0,2049.0,1398-01-05
552,2019-03-26,2059.0,2075.0,2042.0,2050.0,12899439616,6293720,1845,2059.0,2075.0,1398-01-06
551,2019-03-27,2069.0,2082.0,2048.0,2061.0,9502113981,4610586,1421,2050.0,2078.0,1398-01-07
550,2019-03-30,2084.0,2110.0,2050.0,2076.0,16609909571,8001133,1613,2061.0,2108.0,1398-01-10
549,2019-03-31,2106.0,2140.0,2077.0,2103.0,14810359029,7041796,1463,2076.0,2117.0,1398-01-11
548,2019-04-06,2119.0,2120.0,2083.0,2098.0,16243860630,7741313,1706,2103.0,2103.0,1398-01-17
547,2019-04-07,2090.0,2140.0,2090.0,2118.0,24138396748,11394411,1997,2098.0,2110.0,1398-01-18
546,2019-04-08,2130.0,2130.0,2080.0,2102.0,31988181237,15215589,1874,2118.0,2109.0,1398-01-19
545,2019-04-09,2088.0,2117.0,2065.0,2080.0,15760546162,7577680,1761,2102.0,2085.0,1398-01-20
544,2019-04-10,2099.0,2119.0,2070.0,2098.0,13260812660,6319478,1748,2080.0,2092.0,1398-01-21
543,2019-04-13,2082.0,2100.0,2060.0,2076.0,16053440348,7731192,1797,2098.0,2070.0,1398-01-24
542,2019-04-14,2065.0,2095.0,2065.0,2075.0,13934073745,6715822,1757,2076.0,2069.0,1398-01-25
541,2019-04-15,2080.0,2120.0,2080.0,2099.0,18540194842,8834769,2177,2075.0,2082.0,1398-01-26
540,2019-04-16,2095.0,2095.0,2065.0,2077.0,14953990019,7199175,1566,2099.0,2085.0,1398-01-27
539,2019-04-17,2076.0,2090.0,2069.0,2080.0,24068307463,11569170,1462,2077.0,2090.0,1398-01-28
538,2019-04-20,2090.0,2128.0,2083.0,2109.0,15268246901,7240219,1436,2080.0,2111.0,1398-01-31
537,2019-04-22,2101.0,2111.0,2057.0,2074.0,17426140789,8400165,1635,2109.0,2069.0,1398-02-02
536,2019-04-23,2064.0,2095.0,2064.0,2080.0,9828694861,4726038,1098,2074.0,2085.0,1398-02-03
535,2019-04-24,2080.0,2110.0,2075.0,2097.0,13508646022,6442228,1163,2080.0,2100.0,1398-02-04
534,2019-04-27,2109.0,2109.0,2082.0,2094.0,11502927332,5492638,1875,2097.0,2090.0,1398-02-07
533,2019-04-28,2085.0,2094.0,2068.0,2076.0,17378325689,8370857,2521,2094.0,2070.0,1398-02-08
532,2019-04-29,2067.0,2090.0,2060.0,2070.0,20745367418,10023544,4091,2076.0,2081.0,1398-02-09
531,2019-04-30,2081.0,2173.0,2081.0,2142.0,29246566183,13656562,2530,2070.0,2138.0,1398-02-10
530,2019-05-01,2167.0,2245.0,2155.0,2219.0,24271944558,10937893,2106,2142.0,2241.0,1398-02-11
529,2019-05-04,2250.0,2286.0,2241.0,2261.0,25322495844,11200962,1684,2219.0,2267.0,1398-02-14
528,2019-05-05,2252.0,2308.0,2180.0,2249.0,22084598179,9817703,1582,2261.0,2221.0,1398-02-15
527,2019-05-06,2195.0,2225.0,2137.0,2161.0,23153481160,10715234,1441,2249.0,2152.0,1398-02-16
526,2019-05-07,2075.0,2110.0,2068.0,2078.0,12472796893,6003553,1093,2161.0,2089.0,1398-02-17
525,2019-05-08,2089.0,2151.0,2085.0,2118.0,11013414511,5200067,1093,2078.0,2145.0,1398-02-18
524,2019-05-11,2150.0,2219.0,2110.0,2156.0,12869182745,5969538,1129,2118.0,2130.0,1398-02-21
523,2019-05-12,2145.0,2148.0,2074.0,2094.0,7355534471,3512596,712,2156.0,2108.0,1398-02-22
522,2019-05-13,2110.0,2135.0,2096.0,2113.0,5524029220,2614457,680,2094.0,2118.0,1398-02-23
521,2019-05-14,2110.0,2155.0,2110.0,2129.0,16126314719,7576098,1125,2113.0,2118.0,1398-02-24
520,2019-05-15,2114.0,2120.0,2098.0,2108.0,8185019300,3883262,699,2129.0,2105.0,1398-02-25
519,2019-05-18,2100.0,2140.0,2092.0,2106.0,9525192549,4523228,898,2108.0,2099.0,1398-02-28
518,2019-05-19,2100.0,2110.0,2085.0,2095.0,10186790629,4863272,860,2106.0,2101.0,1398-02-29
517,2019-05-20,2092.0,2141.0,2080.0,2096.0,11028336858,5262197,891,2095.0,2115.0,1398-02-30
516,2019-05-21,2106.0,2155.0,2106.0,2134.0,7901698967,3703152,1211,2096.0,2130.0,1398-02-31
515,2019-05-22,2137.0,2200.0,2125.0,2161.0,10444411802,4833899,1100,2134.0,2135.0,1398-03-01
514,2019-05-25,2166.0,2166.0,2115.0,2140.0,5237840473,2447038,656,2161.0,2160.0,1398-03-04
513,2019-05-26,2125.0,2162.0,2122.0,2135.0,7160189866,3353325,1225,2140.0,2131.0,1398-03-05
512,2019-05-28,2155.0,2156.0,2112.0,2124.0,10113105675,4762417,1007,2135.0,2131.0,1398-03-07
511,2019-05-29,2130.0,2160.0,2130.0,2143.0,7928163943,3699051,729,2124.0,2135.0,1398-03-08
510,2019-06-01,2143.0,2150.0,2123.0,2136.0,8425056249,3943691,677,2143.0,2133.0,1398-03-11
509,2019-06-02,2126.0,2154.0,2126.0,2140.0,9575566044,4474651,855,2136.0,2144.0,1398-03-12
508,2019-06-03,2131.0,2219.0,2131.0,2185.0,12338550807,5647410,1139,2140.0,2179.0,1398-03-13
507,2019-06-08,2190.0,2190.0,2150.0,2160.0,6329772799,2930819,559,2185.0,2159.0,1398-03-18
506,2019-06-09,2180.0,2180.0,2155.0,2165.0,9324700289,4306593,924,2160.0,2162.0,1398-03-19
505,2019-06-10,2170.0,2273.0,2160.0,2248.0,34553739617,15370653,1740,2165.0,2273.0,1398-03-20
504,2019-06-11,2290.0,2360.0,2279.0,2347.0,76734313003,32695527,1907,2248.0,2360.0,1398-03-21
503,2019-06-12,2429.0,2464.0,2410.0,2458.0,130345703346,53024539,2867,2347.0,2464.0,1398-03-22
502,2019-06-15,2458.0,2567.0,2351.0,2478.0,41329054877,16678877,1910,2458.0,2455.0,1398-03-25
501,2019-06-16,2425.0,2478.0,2355.0,2381.0,63792665654,26787318,2222,2478.0,2355.0,1398-03-26
500,2019-06-17,2305.0,2365.0,2305.0,2340.0,13623025653,5821268,1437,2381.0,2329.0,1398-03-27
499,2019-06-18,2334.0,2391.0,2281.0,2332.0,8576550445,3678445,666,2340.0,2311.0,1398-03-28
498,2019-06-19,2321.0,2350.0,2240.0,2290.0,33985416677,14839289,889,2332.0,2263.0,1398-03-29
497,2019-06-22,2280.0,2300.0,2245.0,2262.0,10671834938,4717480,475,2290.0,2264.0,1398-04-01
496,2019-06-23,2251.0,2375.0,2251.0,2339.0,10802034859,4617400,1008,2262.0,2374.0,1398-04-02
495,2019-06-24,2350.0,2440.0,2350.0,2375.0,13159117837,5541397,673,2339.0,2368.0,1398-04-03
494,2019-06-25,2364.0,2400.0,2288.0,2357.0,10205677264,4329774,696,2375.0,2380.0,1398-04-04
493,2019-06-26,2391.0,2418.0,2340.0,2377.0,8474546772,3565228,596,2357.0,2368.0,1398-04-05
492,2019-06-30,2402.0,2464.0,2370.0,2405.0,18247790889,7588733,950,2377.0,2391.0,1398-04-09
491,2019-07-01,2438.0,2438.0,2300.0,2380.0,10849147378,4558899,669,2405.0,2355.0,1398-04-10
490,2019-07-02,2357.0,2415.0,2357.0,2397.0,16973891737,7082280,797,2380.0,2400.0,1398-04-11
489,2019-07-03,2400.0,2415.0,2338.0,2389.0,9784726584,4096416,696,2397.0,2401.0,1398-04-12
488,2019-07-06,2390.0,2390.0,2300.0,2348.0,100089962224,42632946,2500,2389.0,2339.0,1398-04-15
487,2019-07-07,2350.0,2374.0,2315.0,2333.0,11633311328,4986758,581,2348.0,2344.0,1398-04-16
486,2019-07-08,2337.0,2385.0,2337.0,2356.0,7787708857,3304940,512,2333.0,2362.0,1398-04-17
485,2019-07-09,2362.0,2472.0,2362.0,2393.0,19836600400,8288682,1221,2356.0,2472.0,1398-04-18
484,2019-07-10,2450.0,2512.0,2396.0,2506.0,56409533189,22511646,2161,2393.0,2510.0,1398-04-19
483,2019-07-13,2491.0,2551.0,2420.0,2483.0,14931865649,6013627,1348,2506.0,2549.0,1398-04-22
482,2019-07-14,2550.0,2578.0,2453.0,2514.0,16151590180,6425853,906,2483.0,2497.0,1398-04-23
481,2019-07-15,2478.0,2499.0,2425.0,2450.0,9677881930,3949758,606,2514.0,2426.0,1398-04-24
480,2019-07-16,2435.0,2435.0,2328.0,2349.0,17151238543,7300023,725,2450.0,2370.0,1398-04-25
479,2019-07-17,2342.0,2426.0,2342.0,2383.0,4530791347,1900270,469,2349.0,2377.0,1398-04-26
478,2019-07-20,2383.0,2430.0,2343.0,2379.0,6920677606,2909325,583,2383.0,2359.0,1398-04-29
477,2019-07-21,2379.0,2461.0,2370.0,2428.0,7700937498,3171336,614,2379.0,2461.0,1398-04-30
476,2019-07-22,2428.0,2539.0,2428.0,2526.0,109781473322,43458832,2604,2428.0,2472.0,1398-04-31
475,2019-07-23,2514.0,2514.0,2420.0,2447.0,5671918625,2317833,352,2526.0,2438.0,1398-05-01
474,2019-07-24,2435.0,2440.0,2370.0,2392.0,8943013826,3738473,453,2447.0,2370.0,1398-05-02
473,2019-07-27,2400.0,2427.0,2340.0,2357.0,5554800444,2356517,466,2392.0,2341.0,1398-05-05
472,2019-07-28,2357.0,2394.0,2336.0,2351.0,4741329780,2016697,415,2357.0,2350.0,1398-05-06
471,2019-07-29,2341.0,2380.0,2330.0,2351.0,4649925990,1977745,411,2351.0,2370.0,1398-05-07
470,2019-07-30,2393.0,2430.0,2374.0,2398.0,5546368996,2312797,389,2351.0,2389.0,1398-05-08
469,2019-07-31,2400.0,2418.0,2350.0,2360.0,4954602167,2099762,391,2398.0,2364.0,1398-05-09
468,2019-08-03,2347.0,2394.0,2331.0,2354.0,4949605442,2102801,399,2360.0,2350.0,1398-05-12
467,2019-08-04,2398.0,2471.0,2352.0,2403.0,85634994955,35632324,1636,2354.0,2471.0,1398-05-13
466,2019-08-05,2523.0,2523.0,2523.0,2523.0,30339344961,12025107,491,2403.0,2523.0,1398-05-14
465,2019-08-06,2649.0,2649.0,2565.0,2639.0,139909887926,53014517,3091,2523.0,2649.0,1398-05-15
464,2019-08-07,2680.0,2766.0,2610.0,2712.0,56908460512,20987752,1727,2639.0,2699.0,1398-05-16
463,2019-08-10,2672.0,2770.0,2577.0,2651.0,43900309379,16560264,1646,2712.0,2600.0,1398-05-19
462,2019-08-11,2600.0,2697.0,2580.0,2643.0,21151685672,8003038,865,2651.0,2580.0,1398-05-20
461,2019-08-13,2630.0,2775.0,2585.0,2717.0,51129428209,18820672,1580,2643.0,2775.0,1398-05-22
