,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
661,2018-10-08,1299.0,1299.0,1299.0,1299.0,57228654369,44055931,912,990.0,1299.0,1397-07-16
660,2018-10-09,1363.0,1363.0,1363.0,1363.0,55254842368,40539136,1721,1299.0,1363.0,1397-07-17
659,2018-10-10,1417.0,1431.0,1390.0,1427.0,92315190985,64676417,2851,1363.0,1431.0,1397-07-18
658,2018-10-13,1356.0,1356.0,1356.0,1356.0,1394358528,1028288,57,1427.0,1356.0,1397-07-21
657,2018-10-14,1289.0,1289.0,1289.0,1289.0,1004784523,779507,40,1356.0,1289.0,1397-07-22
656,2018-10-15,1225.0,1276.0,1225.0,1230.0,56881619959,46258403,2876,1289.0,1225.0,1397-07-23
655,2018-10-16,1245.0,1291.0,1245.0,1287.0,50539961426,39284030,1915,1230.0,1291.0,1397-07-24
654,2018-10-17,1295.0,1351.0,1290.0,1324.0,47318061675,35749113,2119,1287.0,1313.0,1397-07-25
653,2018-10-20,1302.0,1390.0,1302.0,1343.0,34830054092,25929691,1587,1324.0,1342.0,1397-07-28
652,2018-10-21,1350.0,1364.0,1290.0,1328.0,16035300167,12070470,863,1343.0,1312.0,1397-07-29
651,2018-10-22,1305.0,1339.0,1305.0,1319.0,14968019145,11351176,854,1328.0,1306.0,1397-07-30
650,2018-10-23,1360.0,1384.0,1342.0,1380.0,30527228026,22128452,1365,1319.0,1384.0,1397-08-01
649,2018-10-24,1414.0,1449.0,1322.0,1434.0,59110536494,41208412,2493,1380.0,1400.0,1397-08-02
648,2018-10-27,1411.0,1411.0,1366.0,1384.0,9319080906,6731735,544,1434.0,1411.0,1397-08-05
647,2018-10-28,1389.0,1409.0,1341.0,1382.0,5827091709,4217013,266,1384.0,1380.0,1397-08-06
646,2018-10-29,1435.0,1435.0,1346.0,1357.0,5220921514,3847140,347,1382.0,1370.0,1397-08-07
645,2018-10-31,1346.0,1406.0,1345.0,1388.0,5418391089,3903792,297,1357.0,1345.0,1397-08-09
644,2018-11-03,1387.0,1387.0,1325.0,1348.0,3243551163,2406737,209,1388.0,1350.0,1397-08-12
643,2018-11-04,1349.0,1350.0,1330.0,1335.0,1947705306,1458467,119,1348.0,1338.0,1397-08-13
642,2018-11-05,1380.0,1380.0,1333.0,1351.0,1754836995,1298721,140,1335.0,1335.0,1397-08-14
641,2018-11-06,1360.0,1390.0,1320.0,1353.0,3351048234,2477628,236,1351.0,1357.0,1397-08-15
640,2018-11-10,1353.0,1380.0,1326.0,1343.0,3172633996,2362024,160,1353.0,1335.0,1397-08-19
639,2018-11-11,1315.0,1348.0,1300.0,1313.0,1345744333,1025068,105,1343.0,1300.0,1397-08-20
638,2018-11-12,1339.0,1355.0,1315.0,1323.0,1233622374,932124,86,1313.0,1320.0,1397-08-21
637,2018-11-13,1359.0,1370.0,1322.0,1341.0,4135499834,3083784,234,1323.0,1340.0,1397-08-22
636,2018-11-14,1310.0,1319.0,1288.0,1302.0,3930960126,3018146,183,1341.0,1305.0,1397-08-23
635,2018-11-17,1270.0,1330.0,1239.0,1264.0,6742522071,5333397,378,1302.0,1310.0,1397-08-26
634,2018-11-18,1276.0,1300.0,1248.0,1278.0,1805050859,1411984,114,1264.0,1278.0,1397-08-27
633,2018-11-19,1260.0,1305.0,1221.0,1274.0,1779434160,1397221,110,1278.0,1274.0,1397-08-28
632,2018-11-20,1329.0,1337.0,1295.0,1332.0,3475497968,2609166,179,1274.0,1337.0,1397-08-29
631,2018-11-21,1398.0,1398.0,1397.0,1398.0,58260449765,41674168,1936,1332.0,1398.0,1397-08-30
630,2018-11-24,1420.0,1467.0,1400.0,1457.0,56210228422,38567609,2755,1398.0,1467.0,1397-09-03
629,2018-11-26,1457.0,1470.0,1386.0,1410.0,9596332175,6806019,701,1457.0,1424.0,1397-09-05
628,2018-11-27,1450.0,1450.0,1370.0,1410.0,15693593444,11126895,1227,1410.0,1399.0,1397-09-06
627,2018-11-28,1410.0,1452.0,1378.0,1405.0,21207471071,15099492,1283,1410.0,1439.0,1397-09-07
626,2018-12-01,1444.0,1450.0,1335.0,1354.0,9790352394,7228059,687,1405.0,1375.0,1397-09-10
625,2018-12-02,1369.0,1405.0,1338.0,1354.0,23901857834,17654776,808,1354.0,1370.0,1397-09-11
624,2018-12-03,1398.0,1400.0,1340.0,1357.0,15065910742,11099897,752,1354.0,1359.0,1397-09-12
623,2018-12-04,1352.0,1370.0,1326.0,1340.0,5293397693,3950230,422,1357.0,1327.0,1397-09-13
622,2018-12-05,1347.0,1390.0,1320.0,1350.0,11900164422,8815725,784,1340.0,1320.0,1397-09-14
621,2018-12-08,1364.0,1364.0,1314.0,1332.0,3939258889,2957354,297,1350.0,1330.0,1397-09-17
620,2018-12-09,1312.0,1398.0,1312.0,1381.0,29387642913,21283708,1483,1332.0,1370.0,1397-09-18
619,2018-12-10,1379.0,1398.0,1330.0,1348.0,7426198414,5510759,477,1381.0,1330.0,1397-09-19
618,2018-12-12,1330.0,1338.0,1310.0,1319.0,5072783976,3845157,417,1348.0,1330.0,1397-09-21
617,2018-12-15,1330.0,1345.0,1313.0,1329.0,5814889061,4374547,311,1319.0,1335.0,1397-09-24
616,2018-12-16,1345.0,1345.0,1311.0,1314.0,2880900721,2191695,191,1329.0,1311.0,1397-09-25
615,2018-12-17,1304.0,1334.0,1304.0,1317.0,6351513111,4822328,410,1314.0,1328.0,1397-09-26
614,2018-12-18,1330.0,1382.0,1310.0,1377.0,39883093684,28954027,1617,1317.0,1382.0,1397-09-27
613,2018-12-19,1360.0,1400.0,1327.0,1354.0,9408314999,6950301,567,1377.0,1361.0,1397-09-28
612,2018-12-22,1369.0,1369.0,1309.0,1322.0,2237305386,1692703,209,1354.0,1324.0,1397-10-01
611,2018-12-23,1320.0,1388.0,1320.0,1380.0,25313816773,18347695,1027,1322.0,1388.0,1397-10-02
610,2018-12-24,1390.0,1390.0,1346.0,1379.0,23024250603,16699500,701,1380.0,1380.0,1397-10-03
609,2018-12-25,1390.0,1440.0,1340.0,1401.0,20194925140,14416933,1256,1379.0,1432.0,1397-10-04
608,2018-12-26,1431.0,1431.0,1400.0,1415.0,5969345052,4217368,406,1401.0,1415.0,1397-10-05
607,2018-12-29,1379.0,1440.0,1362.0,1389.0,4046683984,2913370,306,1415.0,1376.0,1397-10-08
606,2018-12-30,1360.0,1398.0,1340.0,1351.0,4114533057,3046475,300,1389.0,1340.0,1397-10-09
605,2018-12-31,1340.0,1372.0,1340.0,1356.0,1306564480,963595,134,1351.0,1356.0,1397-10-10
604,2019-01-01,1346.0,1360.0,1340.0,1350.0,3904677017,2893258,318,1356.0,1345.0,1397-10-11
603,2019-01-02,1350.0,1354.0,1324.0,1336.0,3054834640,2286084,346,1350.0,1340.0,1397-10-12
602,2019-01-05,1368.0,1368.0,1311.0,1327.0,4102964712,3091913,318,1336.0,1314.0,1397-10-15
601,2019-01-06,1349.0,1349.0,1308.0,1320.0,10608690141,8038510,622,1327.0,1322.0,1397-10-16
600,2019-01-07,1310.0,1334.0,1303.0,1318.0,6055892944,4596406,498,1320.0,1303.0,1397-10-17
599,2019-01-08,1320.0,1333.0,1297.0,1317.0,7707378757,5853295,470,1318.0,1327.0,1397-10-18
598,2019-01-09,1315.0,1340.0,1300.0,1320.0,6810931601,5161376,368,1317.0,1323.0,1397-10-19
597,2019-01-12,1320.0,1380.0,1310.0,1347.0,12244630563,9093005,694,1320.0,1366.0,1397-10-22
596,2019-01-13,1340.0,1384.0,1340.0,1366.0,7886914144,5775016,550,1347.0,1369.0,1397-10-23
595,2019-01-14,1351.0,1380.0,1348.0,1363.0,9257566092,6790647,490,1366.0,1367.0,1397-10-24
594,2019-01-15,1368.0,1407.0,1330.0,1379.0,11070692218,8030310,600,1363.0,1360.0,1397-10-25
593,2019-01-16,1365.0,1410.0,1352.0,1388.0,10406039228,7498836,482,1379.0,1385.0,1397-10-26
592,2019-01-19,1356.0,1426.0,1356.0,1413.0,8194492819,5801022,520,1388.0,1406.0,1397-10-29
591,2019-01-20,1418.0,1441.0,1368.0,1423.0,9670176724,6795166,523,1413.0,1430.0,1397-10-30
590,2019-01-21,1425.0,1425.0,1352.0,1370.0,3011331923,2198396,186,1423.0,1367.0,1397-11-01
589,2019-01-22,1400.0,1400.0,1364.0,1378.0,2642090696,1917645,224,1370.0,1380.0,1397-11-02
588,2019-01-23,1379.0,1408.0,1361.0,1382.0,2956610730,2140053,227,1378.0,1361.0,1397-11-03
587,2019-01-26,1367.0,1382.0,1361.0,1372.0,2587247392,1886130,171,1382.0,1366.0,1397-11-06
586,2019-01-27,1400.0,1400.0,1347.0,1364.0,1746806297,1280417,122,1372.0,1358.0,1397-11-07
585,2019-01-28,1350.0,1400.0,1336.0,1379.0,6932147423,5026792,416,1364.0,1380.0,1397-11-08
584,2019-01-29,1398.0,1398.0,1340.0,1354.0,1665273311,1230002,102,1379.0,1370.0,1397-11-09
583,2019-01-30,1395.0,1395.0,1346.0,1365.0,2841376539,2082101,251,1354.0,1359.0,1397-11-10
582,2019-02-02,1387.0,1387.0,1320.0,1347.0,718928785,533862,70,1365.0,1320.0,1397-11-13
581,2019-02-03,1320.0,1360.0,1308.0,1328.0,1843870437,1388949,144,1347.0,1340.0,1397-11-14
580,2019-02-04,1340.0,1349.0,1300.0,1323.0,586826468,443463,67,1328.0,1330.0,1397-11-15
579,2019-02-05,1303.0,1349.0,1303.0,1317.0,1651246495,1253363,149,1323.0,1333.0,1397-11-16
578,2019-02-06,1333.0,1349.0,1325.0,1336.0,935186028,699837,106,1317.0,1325.0,1397-11-17
577,2019-02-10,1325.0,1356.0,1320.0,1331.0,596294996,448016,67,1336.0,1323.0,1397-11-21
576,2019-02-12,1350.0,1388.0,1320.0,1366.0,23448132604,17169634,1603,1331.0,1352.0,1397-11-23
575,2019-02-13,1352.0,1352.0,1311.0,1321.0,949988463,718946,106,1366.0,1326.0,1397-11-24
574,2019-02-16,1321.0,1365.0,1319.0,1352.0,12025840523,8896332,868,1321.0,1350.0,1397-11-27
573,2019-02-17,1373.0,1373.0,1320.0,1328.0,1001740241,754377,89,1352.0,1328.0,1397-11-28
572,2019-02-18,1316.0,1349.0,1316.0,1322.0,847041655,640630,83,1328.0,1320.0,1397-11-29
571,2019-02-19,1340.0,1340.0,1290.0,1312.0,5263659796,4012861,385,1322.0,1300.0,1397-11-30
570,2019-02-20,1317.0,1318.0,1273.0,1309.0,21060343899,16084320,1605,1312.0,1310.0,1397-12-01
569,2019-02-23,1310.0,1334.0,1291.0,1319.0,22713815271,17224975,1601,1309.0,1291.0,1397-12-04
568,2019-02-24,1280.0,1326.0,1280.0,1301.0,797222334,612803,81,1319.0,1300.0,1397-12-05
567,2019-02-25,1280.0,1320.0,1279.0,1285.0,806937321,628192,141,1301.0,1297.0,1397-12-06
566,2019-02-26,1270.0,1300.0,1260.0,1279.0,3221053992,2518168,293,1285.0,1271.0,1397-12-07
565,2019-02-27,1287.0,1319.0,1285.0,1311.0,7297244723,5564583,428,1279.0,1315.0,1397-12-08
564,2019-03-02,1318.0,1319.0,1270.0,1278.0,1726780684,1351178,155,1311.0,1280.0,1397-12-11
563,2019-03-03,1280.0,1299.0,1279.0,1285.0,536682951,417719,69,1278.0,1283.0,1397-12-12
562,2019-03-04,1306.0,1306.0,1221.0,1270.0,1485036866,1169275,151,1285.0,1287.0,1397-12-13
561,2019-03-05,1290.0,1300.0,1270.0,1298.0,8687321548,6694395,622,1270.0,1295.0,1397-12-14
560,2019-03-06,1304.0,1306.0,1280.0,1298.0,1108014958,853797,107,1298.0,1290.0,1397-12-15
559,2019-03-09,1280.0,1300.0,1275.0,1293.0,1450297573,1121607,140,1298.0,1276.0,1397-12-18
558,2019-03-10,1275.0,1300.0,1270.0,1278.0,1344016826,1051672,161,1293.0,1285.0,1397-12-19
557,2019-03-11,1267.0,1270.0,1223.0,1231.0,10228206656,8308727,655,1278.0,1230.0,1397-12-20
556,2019-03-12,1232.0,1246.0,1202.0,1212.0,7378565943,6085761,498,1231.0,1229.0,1397-12-21
