,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2932,2004-04-26,1763.0,1763.0,1650.0,1715.0,842492065,491000,427,0.0,1715.0,1383-02-07
2931,2004-04-28,1800.0,1800.0,1800.0,1800.0,183780000,102100,54,1715.0,1800.0,1383-02-09
2930,2004-05-01,1890.0,1890.0,1890.0,1890.0,221317110,117099,60,1800.0,1890.0,1383-02-12
2929,2004-05-02,1984.0,1984.0,1984.0,1984.0,698887808,352262,157,1890.0,1984.0,1383-02-13
2928,2004-05-03,2083.0,2083.0,2083.0,2083.0,525253446,252162,144,1984.0,2083.0,1383-02-14
2927,2004-05-04,2187.0,2187.0,2187.0,2187.0,501829020,229460,105,2083.0,2187.0,1383-02-15
2926,2004-05-05,2296.0,2296.0,2296.0,2296.0,1095136896,476976,372,2187.0,2296.0,1383-02-16
2925,2004-05-08,2410.0,2410.0,2410.0,2410.0,402315760,166936,132,2296.0,2410.0,1383-02-19
2924,2004-05-09,2530.0,2530.0,2530.0,2530.0,287003200,113440,57,2410.0,2530.0,1383-02-20
2923,2004-05-10,2656.0,2656.0,2646.0,2646.0,107671574,40539,57,2530.0,2646.0,1383-02-21
2922,2004-05-11,2778.0,2778.0,2774.0,2774.0,118026104,42486,77,2646.0,2774.0,1383-02-22
2921,2004-05-12,2912.0,2912.0,2760.0,2904.0,2330569555,802328,406,2774.0,2904.0,1383-02-23
2920,2004-05-15,2904.0,2904.0,2759.0,2790.0,1169558588,419186,210,2904.0,2790.0,1383-02-26
2919,2004-05-16,2790.0,2800.0,2651.0,2657.0,602744117,226780,168,2790.0,2657.0,1383-02-27
2918,2004-05-17,2600.0,2645.0,2525.0,2571.0,425829511,165577,126,2657.0,2571.0,1383-02-28
2917,2004-05-18,2571.0,2699.0,2571.0,2644.0,171893295,65009,80,2571.0,2644.0,1383-02-29
2916,2004-05-19,2775.0,2775.0,2512.0,2674.0,474826105,177553,114,2644.0,2674.0,1383-02-30
2915,2004-05-22,2674.0,2674.0,2541.0,2558.0,105305634,41278,35,2674.0,2558.0,1383-03-02
2914,2004-05-23,2500.0,2534.0,2431.0,2439.0,439479765,180122,85,2558.0,2439.0,1383-03-03
2913,2004-05-24,2427.0,2435.0,2318.0,2435.0,7666350,3210,7,2439.0,2435.0,1383-03-04
2912,2004-05-25,2314.0,2400.0,2314.0,2317.0,359527128,155147,111,2435.0,2317.0,1383-03-05
2911,2004-05-26,2323.0,2432.0,2314.0,2394.0,1779659968,750080,175,2317.0,2394.0,1383-03-06
2910,2004-05-29,2400.0,2513.0,2400.0,2504.0,527739475,210738,93,2394.0,2504.0,1383-03-09
2909,2004-05-30,2629.0,2629.0,2629.0,2629.0,368648896,140224,63,2504.0,2629.0,1383-03-10
2908,2004-05-31,2760.0,2760.0,2760.0,2760.0,566600400,205290,83,2629.0,2760.0,1383-03-11
2907,2004-06-01,2798.0,2798.0,2622.0,2686.0,1048551541,390303,188,2760.0,2686.0,1383-03-12
2906,2004-06-02,2711.0,2796.0,2590.0,2648.0,459914785,173620,90,2686.0,2648.0,1383-03-13
2905,2004-06-05,2648.0,2780.0,2641.0,2738.0,469691954,171499,78,2648.0,2738.0,1383-03-16
2904,2004-06-06,2874.0,2874.0,2763.0,2855.0,556829105,195008,122,2738.0,2855.0,1383-03-17
2903,2004-06-07,2978.0,2997.0,2970.0,2982.0,547930042,183729,106,2855.0,2982.0,1383-03-18
2902,2004-06-08,3131.0,3131.0,2980.0,3095.0,910782041,294270,137,2982.0,3095.0,1383-03-19
2901,2004-06-09,3070.0,3070.0,2941.0,2949.0,286342793,97068,79,3095.0,2949.0,1383-03-20
2900,2004-06-12,2802.0,2802.0,2802.0,2802.0,283722114,101257,42,2949.0,2802.0,1383-03-23
2899,2004-06-13,2770.0,2770.0,2662.0,2710.0,88207392,32908,35,2802.0,2710.0,1383-03-24
2898,2004-06-14,2575.0,2700.0,2575.0,2601.0,602561514,231634,223,2710.0,2601.0,1383-03-25
2897,2004-06-15,2666.0,2731.0,2660.0,2706.0,402767845,148816,83,2601.0,2706.0,1383-03-26
2896,2004-06-16,2731.0,2841.0,2731.0,2829.0,402655660,142292,74,2706.0,2829.0,1383-03-27
2895,2004-06-19,2900.0,2970.0,2900.0,2967.0,484763400,163359,94,2829.0,2967.0,1383-03-30
2894,2004-06-20,2972.0,2972.0,2819.0,2856.0,233103065,81605,66,2967.0,2856.0,1383-03-31
2893,2004-06-21,2810.0,2810.0,2714.0,2745.0,294188513,107147,51,2856.0,2745.0,1383-04-01
2892,2004-06-22,2697.0,2714.0,2611.0,2638.0,215046096,81503,93,2745.0,2638.0,1383-04-02
2891,2004-06-23,2714.0,2750.0,2700.0,2718.0,276430074,101684,46,2638.0,2718.0,1383-04-03
2890,2004-06-26,2705.0,2830.0,2704.0,2773.0,272837578,98364,79,2718.0,2773.0,1383-04-06
2889,2004-06-27,2840.0,2840.0,2651.0,2783.0,112790965,40507,41,2773.0,2783.0,1383-04-07
2888,2004-06-28,2700.0,2704.0,2644.0,2674.0,228564556,85451,51,2783.0,2674.0,1383-04-08
2887,2004-06-29,2612.0,2647.0,2599.0,2616.0,181704074,69450,32,2674.0,2616.0,1383-04-09
2886,2004-06-30,2599.0,2600.0,2486.0,2507.0,106981682,42706,39,2616.0,2507.0,1383-04-10
2885,2004-07-03,2382.0,2486.0,2382.0,2401.0,226837845,94458,40,2507.0,2401.0,1383-04-13
2884,2004-07-04,2499.0,2521.0,2498.0,2516.0,172520508,68563,72,2401.0,2516.0,1383-04-14
2883,2004-07-05,2590.0,2641.0,2500.0,2549.0,264760481,103836,123,2516.0,2549.0,1383-04-15
2882,2004-07-06,2588.0,2588.0,2503.0,2520.0,90458082,35977,36,2549.0,2520.0,1383-04-16
2881,2004-07-07,2506.0,2506.0,2400.0,2481.0,184168367,74223,49,2520.0,2481.0,1383-04-17
2880,2004-07-10,2415.0,2430.0,2400.0,2416.0,227313933,94084,37,2481.0,2416.0,1383-04-20
2879,2004-07-11,2402.0,2475.0,2300.0,2327.0,313162450,134542,119,2416.0,2327.0,1383-04-21
2878,2004-07-12,2324.0,2438.0,2322.0,2380.0,152432875,64043,46,2327.0,2380.0,1383-04-22
2877,2004-07-13,2437.0,2499.0,2437.0,2470.0,228733843,92572,78,2380.0,2470.0,1383-04-23
2876,2004-07-14,2593.0,2593.0,2510.0,2577.0,267665856,103862,81,2470.0,2577.0,1383-04-24
2875,2004-07-17,2650.0,2705.0,2599.0,2683.0,525039300,195668,100,2577.0,2683.0,1383-04-27
2874,2004-07-18,2698.0,2800.0,2698.0,2749.0,450214340,163721,94,2683.0,2749.0,1383-04-28
2873,2004-07-19,2751.0,2799.0,2704.0,2758.0,351678453,127486,114,2749.0,2758.0,1383-04-29
2872,2004-07-20,2743.0,2743.0,2630.0,2692.0,670872968,249197,81,2758.0,2692.0,1383-04-30
2871,2004-07-24,2692.0,2709.0,2590.0,2691.0,574904762,213635,106,2692.0,2691.0,1383-05-03
