,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1057,2015-06-23,1020.0,1200.0,1000.0,1198.0,2420200000,2020000,4,1000.0,1200.0,1394-04-02
1056,2015-06-24,1200.0,1300.0,1200.0,1237.0,173250000,140000,8,1198.0,1245.0,1394-04-03
1055,2015-06-27,1499.0,1499.0,1300.0,1317.0,2285978800,1735200,41,1237.0,1300.0,1394-04-06
1054,2015-06-28,1300.0,1360.0,1120.0,1287.0,992712450,771375,25,1317.0,1200.0,1394-04-07
1053,2015-06-29,1200.0,1250.0,1200.0,1224.0,191878750,156811,13,1287.0,1250.0,1394-04-08
1052,2015-06-30,1200.0,1270.0,1150.0,1217.0,1319290240,1084144,32,1224.0,1240.0,1394-04-09
1051,2015-07-01,1200.0,1250.0,1200.0,1201.0,1273771547,1060740,13,1217.0,1200.0,1394-04-10
1050,2015-07-04,1202.0,1250.0,1200.0,1229.0,496333800,403960,22,1201.0,1202.0,1394-04-13
1049,2015-07-05,1260.0,1260.0,1210.0,1228.0,516578800,420550,18,1229.0,1230.0,1394-04-14
1048,2015-07-07,1260.0,1260.0,1200.0,1215.0,5515492320,4539185,76,1228.0,1200.0,1394-04-16
1047,2015-07-11,1250.0,1250.0,1200.0,1215.0,847944651,697730,22,1215.0,1215.0,1394-04-20
1046,2015-07-12,1210.0,1215.0,1200.0,1212.0,472063315,389441,9,1215.0,1200.0,1394-04-21
1045,2015-07-13,1200.0,1231.0,1200.0,1207.0,3315177624,2746884,47,1212.0,1215.0,1394-04-22
1044,2015-07-14,1200.0,1250.0,1200.0,1204.0,3375415413,2802580,62,1207.0,1201.0,1394-04-23
1043,2015-07-15,1200.0,1200.0,1200.0,1200.0,1571376000,1309480,35,1204.0,1200.0,1394-04-24
1042,2015-07-20,1200.0,1230.0,1150.0,1202.0,5149111500,4282960,57,1200.0,1200.0,1394-04-29
1041,2015-08-09,1190.0,1250.0,1000.0,1249.0,1643809000,1316100,8,1202.0,1250.0,1394-05-18
1040,2015-08-10,1190.0,1250.0,1075.0,1237.0,8038319430,6500250,191,1249.0,1250.0,1394-05-19
1039,2015-08-12,1200.0,1250.0,1200.0,1249.0,1971056645,1578454,61,1237.0,1250.0,1394-05-21
1038,2015-08-15,1250.0,1250.0,1250.0,1250.0,1606946250,1285557,34,1249.0,1250.0,1394-05-24
1037,2015-08-16,1249.0,1250.0,1151.0,1243.0,1987387210,1598400,64,1250.0,1250.0,1394-05-25
1036,2015-08-17,1095.0,1250.0,1095.0,1223.0,2076347800,1697620,42,1243.0,1150.0,1394-05-26
1035,2015-08-18,1250.0,1250.0,1200.0,1210.0,1975174000,1632500,19,1223.0,1200.0,1394-05-27
1034,2015-08-19,1239.0,1239.0,1200.0,1202.0,426780000,355000,8,1210.0,1200.0,1394-05-28
1033,2015-08-22,1249.0,1249.0,1160.0,1220.0,1525493000,1250700,14,1202.0,1160.0,1394-05-31
1032,2015-08-23,1140.0,1140.0,1120.0,1121.0,452970000,404000,11,1220.0,1120.0,1394-06-01
1031,2015-08-24,1200.0,1200.0,1120.0,1198.0,14892019545,12427783,193,1121.0,1200.0,1394-06-02
1030,2015-08-25,1200.0,1202.0,1200.0,1200.0,42353570480,35294640,50,1198.0,1200.0,1394-06-03
1029,2015-08-26,1200.0,1200.0,1200.0,1200.0,176280000,146900,6,1200.0,1200.0,1394-06-04
1028,2015-08-29,1200.0,1200.0,1200.0,1200.0,1288363200,1073636,26,1200.0,1200.0,1394-06-07
1027,2015-08-30,1200.0,1200.0,1200.0,1200.0,24981000000,20817500,8,1200.0,1200.0,1394-06-08
1026,2015-08-31,1200.0,1200.0,1200.0,1200.0,759718800,633099,17,1200.0,1200.0,1394-06-09
1025,2015-09-01,1200.0,1200.0,1190.0,1200.0,1374866520,1145808,19,1200.0,1200.0,1394-06-10
1024,2015-09-02,1200.0,1200.0,1190.0,1200.0,3948760000,3290800,18,1200.0,1200.0,1394-06-11
1023,2015-09-05,1200.0,1200.0,1200.0,1200.0,2610912000,2175760,12,1200.0,1200.0,1394-06-14
1022,2015-09-06,1200.0,1200.0,1190.0,1200.0,1804820000,1504100,12,1200.0,1200.0,1394-06-15
1021,2015-09-07,1200.0,1200.0,1180.0,1198.0,1317260000,1099550,20,1200.0,1180.0,1394-06-16
1020,2015-09-08,1180.0,1200.0,1180.0,1198.0,556922660,464931,16,1198.0,1200.0,1394-06-17
1019,2015-09-09,1200.0,1220.0,1180.0,1200.0,2497412000,2082010,19,1198.0,1220.0,1394-06-18
1018,2015-09-12,1200.0,1200.0,1200.0,1200.0,2478118800,2065099,15,1200.0,1200.0,1394-06-21
1017,2015-09-13,1200.0,1200.0,1200.0,1200.0,2629729200,2191441,29,1200.0,1200.0,1394-06-22
1016,2015-09-14,1202.0,1202.0,1190.0,1200.0,2652501000,2210500,9,1200.0,1200.0,1394-06-23
1015,2015-09-15,1200.0,1200.0,1190.0,1200.0,15550740000,12961700,53,1200.0,1200.0,1394-06-24
1014,2015-09-16,1200.0,1200.0,1160.0,1198.0,1090600000,910000,15,1200.0,1200.0,1394-06-25
1013,2015-09-19,1200.0,1200.0,1150.0,1196.0,813427000,680000,11,1198.0,1200.0,1394-06-28
1012,2015-09-20,1145.0,1200.0,1140.0,1185.0,1877652000,1584300,26,1196.0,1140.0,1394-06-29
1011,2015-09-21,1200.0,1210.0,1200.0,1200.0,409068000,340800,10,1185.0,1200.0,1394-06-30
1010,2015-09-22,1200.0,1200.0,1200.0,1200.0,880801200,734001,15,1200.0,1200.0,1394-06-31
1009,2015-09-23,1200.0,1210.0,1200.0,1200.0,3655262320,3046010,30,1200.0,1200.0,1394-07-01
1008,2015-09-26,1200.0,1200.0,1200.0,1200.0,1036458000,863715,16,1200.0,1200.0,1394-07-04
1007,2015-09-27,1200.0,1202.0,1130.0,1197.0,928796950,776250,16,1200.0,1200.0,1394-07-05
1006,2015-09-28,1200.0,1200.0,1200.0,1200.0,1078800000,899000,18,1197.0,1200.0,1394-07-06
1005,2015-09-29,1200.0,1201.0,1200.0,1200.0,1007305000,839400,12,1200.0,1200.0,1394-07-07
1004,2015-09-30,1200.0,1200.0,1200.0,1200.0,740400000,617000,13,1200.0,1200.0,1394-07-08
1003,2015-10-03,1220.0,1220.0,1200.0,1200.0,362187180,301809,7,1200.0,1200.0,1394-07-11
1002,2015-10-04,1200.0,1200.0,1200.0,1200.0,906000000,755000,11,1200.0,1200.0,1394-07-12
1001,2015-10-05,1200.0,1200.0,1200.0,1200.0,3322812000,2769010,36,1200.0,1200.0,1394-07-13
1000,2015-10-06,1200.0,1200.0,1200.0,1200.0,1464970800,1220809,18,1200.0,1200.0,1394-07-14
999,2015-10-07,1200.0,1200.0,1200.0,1200.0,115200000,96000,2,1200.0,1200.0,1394-07-15
998,2015-10-10,1200.0,1200.0,1200.0,1200.0,1420800000,1184000,14,1200.0,1200.0,1394-07-18
997,2015-10-11,1200.0,1200.0,1200.0,1200.0,1572600000,1310500,21,1200.0,1200.0,1394-07-19
996,2015-10-12,1200.0,1200.0,1200.0,1200.0,1139400000,949500,10,1200.0,1200.0,1394-07-20
995,2015-10-13,1210.0,1250.0,1200.0,1206.0,2949079580,2444689,42,1200.0,1200.0,1394-07-21
994,2015-10-14,1212.0,1241.0,1200.0,1203.0,572555420,476111,11,1206.0,1241.0,1394-07-22
993,2015-10-17,1200.0,1220.0,1200.0,1200.0,314531000,262000,9,1203.0,1200.0,1394-07-25
992,2015-10-18,1220.0,1220.0,1200.0,1200.0,1813230400,1511000,19,1200.0,1200.0,1394-07-26
991,2015-10-19,1200.0,1200.0,1200.0,1200.0,586951200,489126,8,1200.0,1200.0,1394-07-27
990,2015-10-20,1200.0,1220.0,1200.0,1200.0,1447136280,1205874,21,1200.0,1201.0,1394-07-28
989,2015-10-21,1200.0,1200.0,1200.0,1200.0,1190978400,992482,15,1200.0,1200.0,1394-07-29
988,2015-10-25,1200.0,1200.0,1200.0,1200.0,374268000,311890,10,1200.0,1200.0,1394-08-03
987,2015-10-26,1200.0,1210.0,1200.0,1200.0,1146489800,955400,18,1200.0,1200.0,1394-08-04
986,2015-10-27,1200.0,1200.0,1200.0,1200.0,1262432400,1052027,9,1200.0,1200.0,1394-08-05
985,2015-10-28,1200.0,1220.0,1200.0,1200.0,780122000,650100,9,1200.0,1220.0,1394-08-06
984,2015-10-31,1200.0,1215.0,1199.0,1200.0,571410950,476210,11,1200.0,1215.0,1394-08-09
983,2015-11-01,1200.0,1200.0,1200.0,1200.0,821529600,684608,16,1200.0,1200.0,1394-08-10
982,2015-11-02,1200.0,1200.0,1200.0,1200.0,751200000,626000,14,1200.0,1200.0,1394-08-11
981,2015-11-03,1200.0,1200.0,1200.0,1200.0,337724400,281437,9,1200.0,1200.0,1394-08-12
980,2015-11-04,1200.0,1200.0,1200.0,1200.0,348000000,290000,5,1200.0,1200.0,1394-08-13
979,2015-11-07,1200.0,1200.0,1200.0,1200.0,568275600,473563,15,1200.0,1200.0,1394-08-16
978,2015-11-08,1200.0,1200.0,1160.0,1195.0,741120800,619934,19,1200.0,1160.0,1394-08-17
977,2015-11-09,1160.0,1200.0,1160.0,1198.0,1099734001,917965,19,1195.0,1200.0,1394-08-18
976,2015-11-10,1200.0,1200.0,1200.0,1200.0,1005600000,838000,5,1198.0,1200.0,1394-08-19
