,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1147,2014-05-26,3351.0,3351.0,3351.0,3351.0,97179,29,4,1000.0,3351.0,1393-03-05
1146,2014-05-31,3900.0,3900.0,3900.0,3900.0,39000000,10000,1,3351.0,3900.0,1393-03-10
1145,2014-06-01,4066.0,4066.0,4060.0,4064.0,258078486,63496,4,3900.0,4060.0,1393-03-11
1144,2014-06-02,4075.0,4075.0,4074.0,4074.0,383661804,94164,2,4064.0,4074.0,1393-03-12
1143,2014-06-07,4210.0,4251.0,4200.0,4214.0,106528552,25280,3,4074.0,4251.0,1393-03-17
1142,2014-06-08,4254.0,4254.0,4254.0,4254.0,12762000,3000,1,4214.0,4254.0,1393-03-18
1141,2014-06-09,4410.0,4410.0,4410.0,4410.0,1342889100,304510,3,4254.0,4410.0,1393-03-19
1140,2014-06-10,4301.0,4500.0,4301.0,4449.0,3280326000,737300,10,4410.0,4301.0,1393-03-20
1139,2014-06-11,4335.0,4650.0,4335.0,4585.0,989683740,215861,9,4449.0,4650.0,1393-03-21
1138,2014-06-14,4590.0,4590.0,4515.0,4550.0,98274000,21600,2,4585.0,4515.0,1393-03-24
1137,2014-06-15,4600.0,4601.0,4505.0,4586.0,621867174,135593,6,4550.0,4505.0,1393-03-25
1136,2014-06-21,4520.0,4520.0,4520.0,4520.0,66055280,14614,1,4586.0,4520.0,1393-03-31
1135,2014-06-28,4520.0,4520.0,4520.0,4520.0,24860000,5500,2,4520.0,4520.0,1393-04-07
1134,2014-06-29,4550.0,4600.0,4550.0,4590.0,54731100,11925,5,4520.0,4600.0,1393-04-08
1133,2014-07-01,4590.0,4590.0,4520.0,4533.0,24405680,5384,2,4590.0,4520.0,1393-04-10
1132,2014-07-06,4600.0,4600.0,4600.0,4600.0,70085600,15236,1,4533.0,4600.0,1393-04-15
1131,2014-07-08,4535.0,4535.0,4535.0,4535.0,39767415,8769,1,4600.0,4535.0,1393-04-17
1130,2014-07-13,4500.0,4530.0,4450.0,4509.0,164392700,36460,5,4535.0,4530.0,1393-04-22
1129,2014-07-20,4550.0,4550.0,4550.0,4550.0,50050000,11000,1,4509.0,4550.0,1393-04-29
1128,2014-07-27,4502.0,4550.0,4502.0,4548.0,1995110866,438683,5,4550.0,4550.0,1393-05-05
1127,2014-08-03,4503.0,4503.0,4503.0,4503.0,90060000,20000,2,4548.0,4503.0,1393-05-12
1126,2014-08-04,4500.0,4500.0,4400.0,4456.0,395913600,88844,2,4503.0,4400.0,1393-05-13
1125,2014-08-06,4500.0,4500.0,4500.0,4500.0,493951500,109767,6,4456.0,4500.0,1393-05-15
