,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2999,2001-04-08,1000.0,1000.0,1000.0,1000.0,548000,548,1,1000.0,1000.0,1380-01-19
2998,2001-04-28,1000.0,1000.0,1000.0,1000.0,84670000,84670,68,1000.0,1000.0,1380-02-08
2997,2001-04-29,1000.0,1000.0,1000.0,1000.0,67078000,67078,22,1000.0,1000.0,1380-02-09
2996,2001-04-30,1000.0,1000.0,1000.0,1000.0,280000,280,1,1000.0,1000.0,1380-02-10
2995,2001-05-01,1000.0,1000.0,1000.0,1000.0,5642000,5642,2,1000.0,1000.0,1380-02-11
2994,2001-05-06,1000.0,1000.0,1000.0,1000.0,1500000,1500,1,1000.0,1000.0,1380-02-16
2993,2001-05-09,1000.0,1000.0,1000.0,1000.0,5000000,5000,2,1000.0,1000.0,1380-02-19
2992,2001-05-12,1000.0,1000.0,1000.0,1000.0,24674000,24674,8,1000.0,1000.0,1380-02-22
2991,2001-05-16,1000.0,1000.0,1000.0,1000.0,20000000,20000,12,1000.0,1000.0,1380-02-26
2990,2001-05-19,1000.0,1000.0,1000.0,1000.0,2700000,2700,2,1000.0,1000.0,1380-02-29
2989,2001-05-21,1000.0,1000.0,1000.0,1000.0,12324000,12324,7,1000.0,1000.0,1380-02-31
2988,2001-05-23,1010.0,1010.0,1010.0,1010.0,26925590,26659,9,1000.0,1010.0,1380-03-02
2987,2001-05-26,1010.0,1010.0,1010.0,1010.0,163620,162,1,1010.0,1010.0,1380-03-05
2986,2001-05-28,1010.0,1010.0,1010.0,1010.0,3151200,3120,5,1010.0,1010.0,1380-03-07
2985,2001-05-29,1010.0,1010.0,1010.0,1010.0,295930,293,1,1010.0,1010.0,1380-03-08
2984,2001-05-30,1010.0,1010.0,1010.0,1010.0,3181500,3150,5,1010.0,1010.0,1380-03-09
2983,2001-06-02,1010.0,1010.0,1010.0,1010.0,12038190,11919,5,1010.0,1010.0,1380-03-12
2982,2001-06-03,1010.0,1010.0,1010.0,1010.0,13211810,13081,4,1010.0,1010.0,1380-03-13
2981,2001-06-06,1010.0,1010.0,1009.0,1010.0,11105474,10996,10,1010.0,1010.0,1380-03-16
2980,2001-06-09,1010.0,1010.0,1000.0,1010.0,26282330,26053,9,1010.0,1010.0,1380-03-19
2979,2001-10-09,1000.0,1000.0,1000.0,1000.0,1000000,1000,3,1010.0,1000.0,1380-07-17
2978,2001-10-20,1000.0,1010.0,1000.0,1010.0,35709000,35609,18,1000.0,1010.0,1380-07-28
2977,2001-10-21,1020.0,1020.0,1000.0,1000.0,12220400,12020,4,1010.0,1000.0,1380-07-29
2976,2001-10-22,1000.0,1001.0,1000.0,1000.0,35059360,35039,13,1000.0,1000.0,1380-07-30
2975,2001-10-23,1010.0,1010.0,1010.0,1010.0,48679980,48198,17,1000.0,1010.0,1380-08-01
2974,2001-10-24,1011.0,1013.0,1010.0,1010.0,9041446294,8943086,34,1010.0,1010.0,1380-08-02
2973,2001-10-27,1020.0,1020.0,1020.0,1020.0,2182800,2140,2,1010.0,1020.0,1380-08-05
2972,2001-10-28,1030.0,1030.0,1030.0,1030.0,1174200,1140,2,1020.0,1030.0,1380-08-06
2971,2001-10-30,1040.0,1040.0,1040.0,1040.0,3459040,3326,7,1030.0,1040.0,1380-08-08
2970,2001-10-31,1050.0,1050.0,1050.0,1050.0,1050000,1000,2,1040.0,1050.0,1380-08-09
2969,2001-11-03,1060.0,1060.0,1060.0,1060.0,2240840,2114,2,1050.0,1060.0,1380-08-12
2968,2001-11-04,1070.0,1070.0,1070.0,1070.0,1070000,1000,3,1060.0,1070.0,1380-08-13
2967,2001-11-05,1080.0,1080.0,1080.0,1080.0,1080000,1000,2,1070.0,1080.0,1380-08-14
2966,2001-11-06,1090.0,1090.0,1090.0,1090.0,1090000,1000,3,1080.0,1090.0,1380-08-15
2965,2001-11-10,1100.0,1100.0,1090.0,1090.0,113378060,103224,29,1090.0,1090.0,1380-08-19
2964,2001-11-11,1090.0,1090.0,1085.0,1090.0,25451190,23364,8,1090.0,1090.0,1380-08-20
2963,2001-11-12,1090.0,1090.0,1090.0,1090.0,490500,450,1,1090.0,1090.0,1380-08-21
2962,2001-11-13,1092.0,1093.0,1090.0,1090.0,12872023,11800,8,1090.0,1090.0,1380-08-22
2961,2001-11-19,1090.0,1091.0,1085.0,1085.0,7043735,6475,8,1090.0,1085.0,1380-08-28
2960,2001-12-01,1085.0,1085.0,1085.0,1085.0,5683230,5238,2,1085.0,1085.0,1380-09-10
2959,2001-12-02,1080.0,1085.0,1080.0,1085.0,2445845,2257,5,1085.0,1085.0,1380-09-11
2958,2001-12-03,1084.0,1084.0,1084.0,1084.0,1626000,1500,1,1085.0,1084.0,1380-09-12
2957,2001-12-04,1085.0,1085.0,1085.0,1085.0,15449315,14239,3,1084.0,1085.0,1380-09-13
2956,2001-12-05,1085.0,1085.0,1083.0,1085.0,128843387,118762,19,1085.0,1085.0,1380-09-14
2955,2001-12-12,1085.0,1085.0,1080.0,1080.0,580060,536,2,1085.0,1080.0,1380-09-21
2954,2001-12-15,1080.0,1085.0,1080.0,1085.0,61148850,56499,13,1080.0,1085.0,1380-09-24
2953,2001-12-17,1084.0,1085.0,1084.0,1085.0,433734,400,3,1085.0,1085.0,1380-09-26
2952,2001-12-18,1082.0,1082.0,1082.0,1082.0,119020,110,1,1085.0,1082.0,1380-09-27
2951,2001-12-19,1080.0,1080.0,1080.0,1080.0,5400000,5000,1,1082.0,1080.0,1380-09-28
2950,2001-12-22,1079.0,1080.0,1079.0,1079.0,10951950,10150,4,1080.0,1079.0,1380-10-01
2949,2001-12-23,1076.0,1078.0,1076.0,1078.0,25871614,24000,7,1079.0,1078.0,1380-10-02
2948,2001-12-25,1073.0,1085.0,1070.0,1085.0,189181108,175000,58,1078.0,1085.0,1380-10-04
2947,2001-12-26,1085.0,1094.0,1085.0,1094.0,321327626,294879,51,1085.0,1094.0,1380-10-05
2946,2001-12-30,1104.0,1104.0,1104.0,1104.0,2208000,2000,1,1094.0,1104.0,1380-10-09
2945,2001-12-31,1115.0,1115.0,1115.0,1115.0,3813300,3420,3,1104.0,1115.0,1380-10-10
2944,2002-01-01,1126.0,1126.0,1126.0,1126.0,34060374,30249,13,1115.0,1126.0,1380-10-11
2943,2002-01-02,1137.0,1137.0,1137.0,1137.0,1732788,1524,2,1126.0,1137.0,1380-10-12
2942,2002-01-06,1148.0,1148.0,1148.0,1148.0,1606052,1399,4,1137.0,1148.0,1380-10-16
2941,2002-01-07,1159.0,1159.0,1159.0,1159.0,1159000,1000,1,1148.0,1159.0,1380-10-17
2940,2002-01-12,1170.0,1170.0,1170.0,1170.0,1170000,1000,1,1159.0,1170.0,1380-10-22
2939,2002-01-15,1181.0,1181.0,1181.0,1181.0,1181000,1000,1,1170.0,1181.0,1380-10-25
