,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2587,2009-02-18,1050.0,1050.0,1050.0,1050.0,347393807250,330851245,800,1000.0,1050.0,1387-11-30
2586,2009-02-21,1051.0,1076.0,1042.0,1050.0,352194689892,335334212,6457,1050.0,1057.0,1387-12-03
2585,2009-02-22,1065.0,1074.0,1055.0,1065.0,8981292784,8435464,603,1050.0,1055.0,1387-12-04
2584,2009-02-23,1066.0,1067.0,1059.0,1061.0,9090532333,8570222,937,1065.0,1060.0,1387-12-05
2583,2009-02-25,1061.0,1064.0,1050.0,1058.0,7863032258,7434309,616,1061.0,1060.0,1387-12-07
2582,2009-02-28,1059.0,1060.0,1050.0,1055.0,4135976082,3924844,341,1058.0,1051.0,1387-12-10
2581,2009-03-01,1054.0,1055.0,1027.0,1050.0,24877673335,23696125,1097,1055.0,1042.0,1387-12-11
2580,2009-03-02,1050.0,1065.0,1027.0,1050.0,11053165184,10528791,612,1050.0,1058.0,1387-12-12
2579,2009-03-03,1055.0,1059.0,1054.0,1053.0,2797050794,2650575,182,1050.0,1055.0,1387-12-13
2578,2009-03-04,1056.0,1060.0,1056.0,1055.0,2436021996,2304953,187,1053.0,1056.0,1387-12-14
2577,2009-03-07,1061.0,1061.0,1059.0,1058.0,3885084432,3667884,213,1055.0,1059.0,1387-12-17
2576,2009-03-08,1060.0,1060.0,1054.0,1058.0,5541590793,5236516,330,1058.0,1059.0,1387-12-18
2575,2009-03-09,1060.0,1063.0,1055.0,1059.0,5081985875,4797840,297,1058.0,1058.0,1387-12-19
2574,2009-03-10,1060.0,1061.0,1050.0,1060.0,3643801356,3438096,205,1059.0,1060.0,1387-12-20
2573,2009-03-11,1061.0,1063.0,1060.0,1060.0,2240352741,2111176,149,1060.0,1060.0,1387-12-21
2572,2009-03-14,1061.0,1062.0,1061.0,1061.0,4244184581,4000145,232,1060.0,1061.0,1387-12-24
2571,2009-03-16,1062.0,1063.0,1058.0,1061.0,4179711793,3937907,226,1061.0,1058.0,1387-12-26
2570,2009-03-17,1062.0,1062.0,1061.0,1061.0,4242529688,3998308,218,1061.0,1061.0,1387-12-27
2569,2009-03-18,1061.0,1064.0,1061.0,1061.0,2325864856,2191144,143,1061.0,1063.0,1387-12-28
2568,2009-03-25,1063.0,1080.0,1063.0,1065.0,2053259183,1916886,111,1061.0,1080.0,1388-01-05
2567,2009-03-28,1078.0,1096.0,1076.0,1079.0,3001934288,2749128,146,1065.0,1096.0,1388-01-08
2566,2009-03-29,1111.0,1111.0,1111.0,1080.0,101123220,91020,5,1079.0,1111.0,1388-01-09
2565,2009-03-30,1112.0,1112.0,1112.0,1086.0,1041008808,936159,68,1080.0,1112.0,1388-01-10
2564,2009-03-31,1118.0,1118.0,1086.0,1105.0,8117487932,7348064,426,1086.0,1087.0,1388-01-11
2563,2009-04-04,1108.0,1133.0,1099.0,1110.0,7632804156,6876866,454,1105.0,1105.0,1388-01-15
2562,2009-04-05,1115.0,1123.0,1091.0,1110.0,3942619347,3553767,217,1110.0,1095.0,1388-01-16
2561,2009-04-06,1110.0,1119.0,1078.0,1099.0,5305791798,4831781,289,1110.0,1100.0,1388-01-17
2560,2009-04-07,1090.0,1106.0,1081.0,1098.0,4893066892,4456751,325,1099.0,1099.0,1388-01-18
2559,2009-04-08,1085.0,1096.0,1078.0,1096.0,950562965,877368,102,1098.0,1082.0,1388-01-19
2558,2009-04-11,1093.0,1099.0,1070.0,1091.0,2987936180,2748606,208,1096.0,1081.0,1388-01-22
2557,2009-04-12,1079.0,1083.0,1063.0,1083.0,2406949045,2243981,176,1091.0,1063.0,1388-01-23
2556,2009-04-13,1071.0,1106.0,1071.0,1090.0,4316073392,3952220,254,1083.0,1073.0,1388-01-24
2555,2009-04-14,1086.0,1099.0,1075.0,1093.0,5304292247,4852993,257,1090.0,1098.0,1388-01-25
2554,2009-04-15,1090.0,1110.0,1090.0,1097.0,2549351346,2314256,174,1093.0,1107.0,1388-01-26
2553,2009-04-18,1109.0,1110.0,1103.0,1101.0,2352794700,2126749,140,1097.0,1105.0,1388-01-29
2552,2009-04-19,1110.0,1134.0,1100.0,1114.0,9862474346,8852608,577,1101.0,1100.0,1388-01-30
2551,2009-04-20,1129.0,1147.0,1125.0,1143.0,12650184833,11066992,606,1114.0,1147.0,1388-01-31
2550,2009-04-21,1177.0,1177.0,1177.0,1150.0,1216800255,1033815,46,1143.0,1177.0,1388-02-01
2549,2009-04-22,1163.0,1172.0,1129.0,1150.0,2647262911,2300464,220,1150.0,1129.0,1388-02-02
2548,2009-04-25,1141.0,1141.0,1117.0,1129.0,5955435253,5274735,357,1150.0,1128.0,1388-02-05
2547,2009-04-26,1127.0,1139.0,1100.0,1126.0,1355389359,1213875,144,1129.0,1100.0,1388-02-06
2546,2009-04-27,1120.0,1129.0,1102.0,1123.0,2433173409,2173117,173,1126.0,1119.0,1388-02-07
2545,2009-04-28,1122.0,1149.0,1102.0,1124.0,2372441425,2105602,263,1123.0,1106.0,1388-02-08
2544,2009-04-29,1130.0,1130.0,1106.0,1122.0,953839280,858625,116,1124.0,1108.0,1388-02-09
2543,2009-05-02,1110.0,1129.0,1103.0,1118.0,1860613473,1675253,171,1122.0,1103.0,1388-02-12
2542,2009-05-03,1128.0,1128.0,1097.0,1112.0,3317704163,2994367,323,1118.0,1100.0,1388-02-13
2541,2009-05-04,1103.0,1125.0,1085.0,1106.0,4632577926,4194127,329,1112.0,1100.0,1388-02-14
2540,2009-05-05,1086.0,1120.0,1086.0,1110.0,2519958040,2260882,189,1106.0,1120.0,1388-02-15
2539,2009-05-06,1120.0,1143.0,1120.0,1135.0,4936149594,4329696,333,1110.0,1143.0,1388-02-16
2538,2009-05-09,1169.0,1169.0,1169.0,1158.0,4066124517,3478293,205,1135.0,1169.0,1388-02-19
2537,2009-05-10,1192.0,1192.0,1192.0,1168.0,1928585672,1617941,86,1158.0,1192.0,1388-02-20
2536,2009-05-11,1203.0,1203.0,1150.0,1192.0,18631262406,15625032,933,1168.0,1174.0,1388-02-21
2535,2009-05-12,1168.0,1168.0,1157.0,1190.0,379894351,328293,36,1192.0,1157.0,1388-02-22
2534,2009-05-13,1155.0,1170.0,1155.0,1170.0,3615458165,3128384,228,1190.0,1155.0,1388-02-23
2533,2009-05-16,1135.0,1170.0,1135.0,1162.0,2812423694,2440878,179,1170.0,1138.0,1388-02-26
2532,2009-05-17,1158.0,1178.0,1132.0,1156.0,3118042151,2708887,210,1162.0,1134.0,1388-02-27
2531,2009-05-18,1160.0,1190.0,1157.0,1177.0,8359191940,7099935,549,1156.0,1160.0,1388-02-28
2530,2009-05-19,1160.0,1200.0,1160.0,1183.0,5184474275,4375902,286,1177.0,1162.0,1388-02-29
2529,2009-05-20,1160.0,1199.0,1160.0,1183.0,5285797744,4466305,272,1183.0,1176.0,1388-02-30
2528,2009-05-26,1199.0,1199.0,1160.0,1180.0,12490357437,10583943,546,1183.0,1170.0,1388-03-05
2527,2009-05-27,1178.0,1198.0,1169.0,1186.0,7699536673,6492368,352,1180.0,1180.0,1388-03-06
2526,2009-05-30,1189.0,1190.0,1171.0,1188.0,5401274957,4545235,232,1186.0,1171.0,1388-03-09
2525,2009-05-31,1178.0,1192.0,1170.0,1187.0,6873299391,5788385,311,1188.0,1180.0,1388-03-10
2524,2009-06-01,1186.0,1186.0,1165.0,1184.0,1018436757,869709,75,1187.0,1166.0,1388-03-11
2523,2009-06-02,1165.0,1173.0,1160.0,1181.0,1025441979,880495,92,1184.0,1169.0,1388-03-12
2522,2009-06-03,1169.0,1184.0,1169.0,1180.0,1612090378,1368031,96,1181.0,1171.0,1388-03-13
2521,2009-06-06,1153.0,1170.0,1153.0,1175.0,1705828478,1466006,88,1180.0,1170.0,1388-03-16
2520,2009-06-07,1155.0,1182.0,1155.0,1174.0,3274153888,2788842,186,1175.0,1179.0,1388-03-17
2519,2009-06-08,1175.0,1180.0,1169.0,1174.0,4823629479,4109486,92,1174.0,1178.0,1388-03-18
2518,2009-06-09,1160.0,1180.0,1160.0,1174.0,2853253723,2430908,136,1174.0,1177.0,1388-03-19
2517,2009-06-10,1151.0,1187.0,1151.0,1175.0,3158049415,2687050,157,1174.0,1180.0,1388-03-20
2516,2009-06-13,1170.0,1170.0,1152.0,1170.0,2489168874,2142402,111,1175.0,1153.0,1388-03-23
2515,2009-06-14,1150.0,1169.0,1135.0,1139.0,10277338184,9021000,442,1170.0,1135.0,1388-03-24
2514,2009-06-15,1133.0,1173.0,1107.0,1136.0,2545353771,2248475,168,1139.0,1121.0,1388-03-25
2513,2009-06-16,1110.0,1150.0,1110.0,1143.0,9755646356,8532558,388,1136.0,1144.0,1388-03-26
2512,2009-06-17,1150.0,1154.0,1144.0,1148.0,9821461023,8557645,283,1143.0,1147.0,1388-03-27
2511,2009-06-20,1150.0,1175.0,1150.0,1151.0,1187869771,1019090,62,1148.0,1156.0,1388-03-30
2510,2009-06-21,1160.0,1170.0,1151.0,1152.0,1091266003,942720,62,1151.0,1154.0,1388-03-31
2509,2009-06-22,1156.0,1170.0,1156.0,1157.0,2248178095,1929794,60,1152.0,1170.0,1388-04-01
2508,2009-06-23,1179.0,1184.0,1170.0,1166.0,2957779701,2514050,122,1157.0,1175.0,1388-04-02
2507,2009-06-24,1183.0,1190.0,1175.0,1185.0,6013717365,5070421,223,1166.0,1181.0,1388-04-03
2506,2009-06-27,1190.0,1200.0,1184.0,1189.0,3058253531,2565071,144,1185.0,1185.0,1388-04-06
2505,2009-06-28,1190.0,1191.0,1155.0,1183.0,3771035754,3197891,179,1189.0,1180.0,1388-04-07
2504,2009-06-29,1189.0,1190.0,1185.0,1185.0,3312300137,2789903,139,1183.0,1190.0,1388-04-08
2503,2009-06-30,1190.0,1190.0,1176.0,1185.0,1790473706,1509920,100,1185.0,1187.0,1388-04-09
2502,2009-07-01,1188.0,1189.0,1187.0,1186.0,1537847241,1294974,105,1185.0,1189.0,1388-04-10
2501,2009-07-04,1190.0,1190.0,1188.0,1187.0,2211324733,1860281,89,1186.0,1188.0,1388-04-13
2500,2009-07-05,1189.0,1198.0,1189.0,1188.0,1671434152,1404219,76,1187.0,1189.0,1388-04-14
2499,2009-07-07,1190.0,1191.0,1190.0,1189.0,1598639460,1343394,56,1188.0,1190.0,1388-04-16
2498,2009-07-11,1191.0,1198.0,1191.0,1190.0,4282871859,3595861,162,1189.0,1194.0,1388-04-20
2497,2009-07-12,1192.0,1194.0,1192.0,1191.0,2809310381,2356696,106,1190.0,1192.0,1388-04-21
2496,2009-07-13,1193.0,1195.0,1191.0,1193.0,13919468958,11666856,508,1191.0,1193.0,1388-04-22
2495,2009-07-14,1196.0,1210.0,1195.0,1196.0,6446282089,5387872,259,1193.0,1210.0,1388-04-23
2494,2009-07-15,1200.0,1231.0,1180.0,1197.0,33912791595,28334944,1245,1196.0,1197.0,1388-04-24
2493,2009-07-26,1100.0,1100.0,1050.0,1058.0,4096541730,3870930,250,1027.0,1052.0,1388-05-04
2492,2009-07-27,1060.0,1060.0,1041.0,1050.0,6840299548,6514549,329,1058.0,1041.0,1388-05-05
2491,2009-07-28,1050.0,1059.0,1050.0,1050.0,4963095323,4726366,292,1050.0,1050.0,1388-05-06
2490,2009-07-29,1050.0,1051.0,1050.0,1050.0,106769127551,101684640,241,1050.0,1050.0,1388-05-07
2489,2009-08-01,1050.0,1058.0,1045.0,1051.0,6020384537,5729065,250,1050.0,1045.0,1388-05-10
2488,2009-08-02,1052.0,1057.0,1052.0,1051.0,2012941870,1913039,107,1051.0,1055.0,1388-05-11
2487,2009-08-03,1052.0,1053.0,1051.0,1051.0,2080731986,1977788,101,1051.0,1053.0,1388-05-12
2486,2009-08-04,1052.0,1053.0,1051.0,1051.0,2104728223,2000695,103,1051.0,1052.0,1388-05-13
2485,2009-08-05,1052.0,1053.0,1050.0,1052.0,9390050100,8926666,359,1051.0,1052.0,1388-05-14
2484,2009-08-08,1054.0,1054.0,1052.0,1053.0,9718649062,9230221,383,1052.0,1052.0,1388-05-17
2483,2009-08-09,1054.0,1054.0,1036.0,1051.0,11760617063,11189999,489,1053.0,1050.0,1388-05-18
2482,2009-08-10,1051.0,1053.0,1040.0,1051.0,5271216018,5016000,219,1051.0,1050.0,1388-05-19
2481,2009-08-11,1051.0,1053.0,1030.0,1049.0,7820316513,7452724,316,1051.0,1051.0,1388-05-20
