,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2492,2009-05-18,1205.0,1241.0,1200.0,1204.0,737313616800,612322042,1632,1000.0,1201.0,1388-02-28
2491,2009-05-19,1240.0,1240.0,1240.0,1240.0,181017205080,145981617,3938,1204.0,1240.0,1388-02-29
2490,2009-05-20,1256.0,1277.0,1255.0,1271.0,131954707643,103791602,5598,1240.0,1277.0,1388-02-30
2489,2009-05-23,1290.0,1290.0,1256.0,1269.0,17314104651,13641791,1129,1271.0,1257.0,1388-03-02
2488,2009-05-24,1269.0,1269.0,1231.0,1256.0,158824644494,126463300,6182,1269.0,1260.0,1388-03-03
2487,2009-05-25,1257.0,1273.0,1255.0,1256.0,36845487356,29336312,1377,1256.0,1255.0,1388-03-04
2486,2009-05-26,1250.0,1263.0,1249.0,1256.0,27565253218,21938798,1210,1256.0,1260.0,1388-03-05
2485,2009-05-27,1260.0,1271.0,1259.0,1264.0,6640717956,5252030,447,1256.0,1261.0,1388-03-06
2484,2009-05-30,1269.0,1273.0,1261.0,1267.0,11265636962,8891604,547,1264.0,1267.0,1388-03-09
2483,2009-05-31,1263.0,1268.0,1260.0,1261.0,31510197955,24984387,1246,1267.0,1260.0,1388-03-10
2482,2009-06-01,1257.0,1257.0,1232.0,1240.0,19544283445,15759128,1705,1261.0,1240.0,1388-03-11
2481,2009-06-02,1234.0,1245.0,1234.0,1240.0,20942873001,16889158,1450,1240.0,1242.0,1388-03-12
2480,2009-06-03,1242.0,1255.0,1240.0,1245.0,4644912535,3728915,307,1240.0,1241.0,1388-03-13
2479,2009-06-06,1240.0,1243.0,1234.0,1240.0,17268863877,13926707,2085,1245.0,1236.0,1388-03-16
2478,2009-06-07,1234.0,1241.0,1234.0,1240.0,21417889521,17274139,2752,1240.0,1240.0,1388-03-17
2477,2009-06-08,1238.0,1241.0,1232.0,1240.0,18921635318,15259974,2628,1240.0,1240.0,1388-03-18
2476,2009-06-09,1240.0,1241.0,1230.0,1239.0,26513593630,21397315,3405,1240.0,1240.0,1388-03-19
2475,2009-06-10,1239.0,1244.0,1239.0,1240.0,17009085917,13715539,2347,1239.0,1241.0,1388-03-20
2474,2009-06-13,1239.0,1241.0,1205.0,1234.0,13146819975,10650085,2445,1240.0,1211.0,1388-03-23
2473,2009-06-14,1217.0,1221.0,1197.0,1216.0,14197132074,11675966,2000,1234.0,1197.0,1388-03-24
2472,2009-06-15,1200.0,1203.0,1181.0,1200.0,27931304118,23280888,3847,1216.0,1182.0,1388-03-25
2471,2009-06-16,1182.0,1182.0,1164.0,1171.0,4037212099,3465616,516,1200.0,1164.0,1388-03-26
2470,2009-06-17,1164.0,1173.0,1164.0,1169.0,2089729052,1792116,231,1171.0,1168.0,1388-03-27
2469,2009-06-20,1170.0,1189.0,1165.0,1169.0,2844444431,2434055,369,1169.0,1171.0,1388-03-30
2468,2009-06-21,1170.0,1175.0,1170.0,1169.0,1321956988,1129370,175,1169.0,1170.0,1388-03-31
2467,2009-06-22,1173.0,1193.0,1172.0,1171.0,694842579,586908,68,1169.0,1189.0,1388-04-01
2466,2009-06-23,1181.0,1196.0,1181.0,1176.0,1386576976,1167837,99,1171.0,1190.0,1388-04-02
2465,2009-06-24,1199.0,1211.0,1199.0,1188.0,1871316772,1549201,89,1176.0,1211.0,1388-04-03
2464,2009-06-27,1222.0,1223.0,1221.0,1202.0,2034796954,1663798,88,1188.0,1223.0,1388-04-06
2463,2009-06-28,1238.0,1238.0,1235.0,1238.0,9206639525,7436760,964,1202.0,1238.0,1388-04-07
2462,2009-06-29,1238.0,1260.0,1223.0,1241.0,6869097560,5535261,1058,1238.0,1241.0,1388-04-08
2461,2009-06-30,1250.0,1260.0,1239.0,1250.0,4022206818,3210263,579,1241.0,1245.0,1388-04-09
2460,2009-07-01,1245.0,1259.0,1238.0,1250.0,2224321320,1780855,121,1250.0,1238.0,1388-04-10
2459,2009-07-04,1238.0,1249.0,1230.0,1240.0,10100199357,8148131,848,1250.0,1240.0,1388-04-13
2458,2009-07-05,1231.0,1252.0,1230.0,1247.0,8316427732,6667604,775,1240.0,1248.0,1388-04-14
2457,2009-07-07,1250.0,1251.0,1248.0,1248.0,2062950282,1650729,308,1247.0,1250.0,1388-04-16
2456,2009-07-11,1250.0,1268.0,1250.0,1259.0,8726471950,6932980,1183,1248.0,1268.0,1388-04-20
2455,2009-07-12,1260.0,1267.0,1259.0,1262.0,5984268689,4740895,649,1259.0,1265.0,1388-04-21
2454,2009-07-14,1270.0,1299.0,1270.0,1285.0,25433088973,19794781,1105,1262.0,1297.0,1388-04-23
2453,2009-07-15,1290.0,1310.0,1290.0,1296.0,40469848218,31224484,816,1285.0,1305.0,1388-04-24
2452,2009-07-18,1303.0,1310.0,1280.0,1295.0,57967278497,44745489,2282,1296.0,1288.0,1388-04-27
2451,2009-07-19,1300.0,1330.0,1290.0,1306.0,13883808785,10628371,666,1295.0,1325.0,1388-04-28
2450,2009-07-26,1098.0,1127.0,1080.0,1093.0,7000975408,6405665,408,1091.0,1095.0,1388-05-04
2449,2009-07-27,1074.0,1097.0,1061.0,1067.0,12681788863,11885187,840,1093.0,1062.0,1388-05-05
2448,2009-07-28,1050.0,1075.0,1036.0,1068.0,5277273494,4941513,649,1067.0,1068.0,1388-05-06
2447,2009-07-29,1066.0,1085.0,1062.0,1069.0,3553852312,3321859,424,1068.0,1085.0,1388-05-07
2446,2009-08-01,1063.0,1073.0,1063.0,1069.0,2665618363,2492608,358,1069.0,1070.0,1388-05-10
2445,2009-08-02,1066.0,1085.0,1064.0,1071.0,3675489915,3431005,533,1069.0,1071.0,1388-05-11
2444,2009-08-03,1071.0,1079.0,1070.0,1072.0,3879473262,3618769,568,1071.0,1073.0,1388-05-12
2443,2009-08-04,1073.0,1090.0,1070.0,1074.0,2687798756,2500059,342,1072.0,1075.0,1388-05-13
2442,2009-08-05,1076.0,1084.0,1072.0,1076.0,5546570880,5154594,462,1074.0,1075.0,1388-05-14
2441,2009-08-08,1077.0,1080.0,1072.0,1077.0,3529457197,3277020,199,1076.0,1077.0,1388-05-17
2440,2009-08-09,1080.0,1090.0,1080.0,1082.0,4833000345,4466521,235,1077.0,1090.0,1388-05-18
2439,2009-08-10,1095.0,1100.0,1080.0,1084.0,2188892769,2014683,202,1082.0,1084.0,1388-05-19
2438,2009-08-11,1088.0,1090.0,1084.0,1086.0,2887793656,2655619,218,1084.0,1090.0,1388-05-20
2437,2009-08-12,1090.0,1100.0,1086.0,1088.0,2788210382,2557837,226,1086.0,1099.0,1388-05-21
2436,2009-08-15,1092.0,1110.0,1090.0,1092.0,1239238360,1124911,86,1088.0,1106.0,1388-05-24
2435,2009-08-16,1106.0,1110.0,1100.0,1101.0,3564272816,3229688,201,1092.0,1109.0,1388-05-25
2434,2009-08-17,1110.0,1110.0,1105.0,1105.0,2498491005,2255361,141,1101.0,1110.0,1388-05-26
2433,2009-08-18,1105.0,1118.0,1100.0,1106.0,2725965213,2462746,143,1105.0,1108.0,1388-05-27
2432,2009-08-19,1105.0,1109.0,1076.0,1102.0,4482559120,4069774,117,1106.0,1076.0,1388-05-28
2431,2009-08-22,1104.0,1110.0,1103.0,1105.0,2062572267,1860804,140,1102.0,1109.0,1388-05-31
2430,2009-08-23,1110.0,1122.0,1108.0,1107.0,1931236637,1739764,123,1105.0,1122.0,1388-06-01
2429,2009-08-24,1111.0,1122.0,1080.0,1102.0,3457701906,3141945,186,1107.0,1090.0,1388-06-02
2428,2009-08-25,1094.0,1120.0,1076.0,1119.0,59744791711,53412521,209,1102.0,1080.0,1388-06-03
2427,2009-08-26,1086.0,1099.0,1086.0,1087.0,5679330528,5226396,240,1119.0,1086.0,1388-06-04
2426,2009-08-29,1055.0,1080.0,1055.0,1076.0,2197044540,2062539,150,1087.0,1055.0,1388-06-07
2425,2009-08-30,1076.0,1090.0,1044.0,1064.0,3964836762,3732676,202,1076.0,1090.0,1388-06-08
2424,2009-08-31,1072.0,1094.0,1071.0,1078.0,2431741253,2232447,151,1064.0,1090.0,1388-06-09
2423,2009-09-01,1082.0,1110.0,1079.0,1086.0,2765950350,2533701,246,1078.0,1110.0,1388-06-10
2422,2009-09-02,1080.0,1111.0,1078.0,1094.0,2445165667,2220428,267,1086.0,1107.0,1388-06-11
2421,2009-09-05,1090.0,1098.0,1090.0,1094.0,1600933275,1464630,279,1094.0,1090.0,1388-06-14
2420,2009-09-06,1094.0,1094.0,1063.0,1090.0,1353754106,1253456,170,1094.0,1063.0,1388-06-15
2419,2009-09-07,1085.0,1091.0,1080.0,1089.0,1124571875,1034545,101,1090.0,1084.0,1388-06-16
2418,2009-09-08,1080.0,1084.0,1070.0,1089.0,175847840,163230,25,1089.0,1070.0,1388-06-17
2417,2009-09-09,1069.0,1120.0,1069.0,1119.0,22844366550,20423337,111,1089.0,1089.0,1388-06-18
2416,2009-09-13,1088.0,1089.0,1086.0,1117.0,223085625,205165,35,1119.0,1086.0,1388-06-22
2415,2009-09-14,1084.0,1120.0,1084.0,1117.0,28742989126,25738532,114,1117.0,1084.0,1388-06-23
2414,2009-09-15,1084.0,1090.0,1084.0,1097.0,2730274126,2517419,148,1117.0,1084.0,1388-06-24
2413,2009-09-16,1072.0,1079.0,1070.0,1095.0,330233797,307821,76,1097.0,1070.0,1388-06-25
2412,2009-09-19,1075.0,1087.0,1071.0,1094.0,190390169,177354,28,1095.0,1071.0,1388-06-28
2411,2009-09-21,1082.0,1094.0,1073.0,1093.0,475527948,438931,46,1094.0,1080.0,1388-06-30
2410,2009-09-22,1070.0,1070.0,1065.0,1089.0,639871940,598827,55,1093.0,1070.0,1388-06-31
2409,2009-09-23,1078.0,1100.0,1065.0,1084.0,2424300140,2245116,129,1089.0,1090.0,1388-07-01
2408,2009-09-26,1087.0,1088.0,1070.0,1083.0,254876320,237498,42,1084.0,1070.0,1388-07-04
2407,2009-09-27,1075.0,1083.0,1070.0,1082.0,824277982,765692,79,1083.0,1078.0,1388-07-05
2406,2009-09-28,1079.0,1079.0,1067.0,1081.0,486524095,454291,45,1082.0,1067.0,1388-07-06
2405,2009-09-29,1074.0,1086.0,1070.0,1080.0,1072843035,995676,79,1081.0,1076.0,1388-07-07
2404,2009-09-30,1082.0,1096.0,1080.0,1082.0,1647395603,1516870,116,1080.0,1080.0,1388-07-08
2403,2009-10-03,1088.0,1112.0,1088.0,1094.0,2173815137,1960958,157,1082.0,1105.0,1388-07-11
2402,2009-10-04,1111.0,1115.0,1098.0,1098.0,1221796091,1101909,96,1094.0,1109.0,1388-07-12
2401,2009-10-05,1100.0,1124.0,1099.0,1105.0,1892380182,1697251,166,1098.0,1124.0,1388-07-13
2400,2009-10-06,1124.0,1138.0,1124.0,1112.0,1346491378,1191362,74,1105.0,1138.0,1388-07-14
2399,2009-10-07,1145.0,1145.0,1145.0,1115.0,395584905,345489,29,1112.0,1145.0,1388-07-15
2398,2009-10-10,1148.0,1148.0,1148.0,1118.0,403391128,351386,36,1115.0,1148.0,1388-07-18
2397,2009-10-11,1151.0,1151.0,1151.0,1121.0,372053844,323244,30,1118.0,1151.0,1388-07-19
2396,2009-10-12,1154.0,1154.0,1127.0,1145.0,4237061159,3689301,280,1121.0,1141.0,1388-07-20
