,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
885,2014-09-28,1000.0,1000.0,1000.0,1000.0,2000000,2000,2,850.0,1000.0,1393-07-06
884,2014-09-29,1099.0,1100.0,1099.0,1100.0,329900000,300000,5,1000.0,1100.0,1393-07-07
883,2014-09-30,1099.0,1099.0,1090.0,1098.0,236188890,215110,8,1100.0,1098.0,1393-07-08
882,2014-10-04,1090.0,1100.0,1090.0,1098.0,91239000,83100,7,1098.0,1090.0,1393-07-12
881,2014-10-06,1090.0,1090.0,1090.0,1090.0,38150000,35000,1,1098.0,1090.0,1393-07-14
880,2014-10-07,1090.0,1090.0,1090.0,1090.0,7139500,6550,3,1090.0,1090.0,1393-07-15
879,2014-10-12,1089.0,1089.0,1089.0,1089.0,10890000,10000,1,1090.0,1089.0,1393-07-20
878,2014-10-18,1000.0,1000.0,1000.0,1000.0,6000000,6000,1,1089.0,1000.0,1393-07-26
877,2014-10-20,1087.0,1087.0,1087.0,1087.0,869600,800,3,1000.0,1087.0,1393-07-28
876,2014-10-21,1087.0,1087.0,1087.0,1087.0,32610000,30000,1,1087.0,1087.0,1393-07-29
875,2014-10-22,1086.0,1086.0,1086.0,1086.0,11946000,11000,1,1087.0,1086.0,1393-07-30
874,2014-10-25,1000.0,1000.0,1000.0,1000.0,8000000,8000,1,1086.0,1000.0,1393-08-03
873,2014-10-26,1000.0,1000.0,1000.0,1000.0,227100000,227100,7,1000.0,1000.0,1393-08-04
872,2014-10-27,1000.0,1000.0,1000.0,1000.0,2900000,2900,1,1000.0,1000.0,1393-08-05
871,2014-10-28,1012.0,1060.0,1011.0,1028.0,59855640,58240,4,1000.0,1060.0,1393-08-06
870,2014-10-29,1010.0,1020.0,1010.0,1017.0,109824000,108000,9,1028.0,1020.0,1393-08-07
869,2014-11-01,1020.0,1030.0,1020.0,1022.0,143100000,140000,2,1017.0,1030.0,1393-08-10
868,2014-11-02,1031.0,1060.0,1013.0,1035.0,41381000,40000,7,1022.0,1031.0,1393-08-11
867,2014-11-08,1040.0,1040.0,1040.0,1040.0,93600000,90000,3,1035.0,1040.0,1393-08-17
866,2014-11-09,1040.0,1060.0,1040.0,1042.0,10416000,10000,2,1040.0,1060.0,1393-08-18
865,2014-11-10,1040.0,1040.0,1000.0,1019.0,10191320,10000,2,1042.0,1000.0,1393-08-19
864,2014-11-12,1000.0,1030.0,1000.0,1015.0,20300000,20000,2,1019.0,1030.0,1393-08-21
863,2014-11-15,950.0,1000.0,950.0,958.0,57500000,60000,2,1015.0,1000.0,1393-08-24
862,2014-11-17,1000.0,1000.0,951.0,990.0,34655000,35000,4,958.0,1000.0,1393-08-26
861,2014-11-18,952.0,1010.0,952.0,992.0,44212026,44552,2,990.0,1010.0,1393-08-27
860,2014-11-24,1000.0,1000.0,1000.0,1000.0,4900000,4900,1,992.0,1000.0,1393-09-03
859,2014-11-25,1010.0,1010.0,1000.0,1009.0,1211000,1200,2,1000.0,1000.0,1393-09-04
858,2014-11-29,950.0,950.0,950.0,950.0,3800000,4000,1,1009.0,950.0,1393-09-08
857,2014-12-01,954.0,954.0,954.0,954.0,47700000,50000,1,950.0,954.0,1393-09-10
856,2014-12-02,955.0,955.0,955.0,955.0,427840,448,1,954.0,955.0,1393-09-11
855,2014-12-03,955.0,955.0,952.0,953.0,62492160,65552,3,955.0,952.0,1393-09-12
854,2014-12-06,956.0,956.0,956.0,956.0,4780000,5000,1,953.0,956.0,1393-09-15
853,2014-12-08,955.0,955.0,955.0,955.0,9550000,10000,1,956.0,955.0,1393-09-17
852,2014-12-09,956.0,956.0,956.0,956.0,1663440,1740,2,955.0,956.0,1393-09-18
851,2014-12-10,950.0,950.0,950.0,950.0,2850000,3000,1,956.0,950.0,1393-09-19
850,2014-12-15,950.0,955.0,950.0,952.0,23800000,25000,3,950.0,950.0,1393-09-24
849,2014-12-16,960.0,960.0,960.0,960.0,28800000,30000,1,952.0,960.0,1393-09-25
848,2014-12-17,904.0,904.0,904.0,904.0,2531200,2800,1,960.0,904.0,1393-09-26
847,2014-12-20,911.0,911.0,903.0,904.0,45206000,50000,2,904.0,903.0,1393-09-29
846,2014-12-24,998.0,998.0,998.0,998.0,9181600,9200,1,904.0,998.0,1393-10-03
845,2015-01-07,900.0,920.0,880.0,904.0,180734300,200000,7,998.0,920.0,1393-10-17
844,2015-01-10,988.0,988.0,988.0,988.0,19760,20,2,904.0,988.0,1393-10-20
843,2015-01-11,800.0,855.0,800.0,830.0,15350000,18500,2,988.0,855.0,1393-10-21
842,2015-01-20,850.0,850.0,850.0,850.0,6800000,8000,1,830.0,850.0,1393-10-30
841,2015-01-21,821.0,850.0,820.0,834.0,60025000,72000,4,850.0,850.0,1393-11-01
840,2015-01-24,812.0,850.0,812.0,827.0,26054000,31500,4,834.0,850.0,1393-11-04
839,2015-02-10,800.0,800.0,800.0,800.0,25200000,31500,2,827.0,800.0,1393-11-21
838,2015-02-15,900.0,900.0,800.0,857.0,52700000,61500,3,800.0,800.0,1393-11-26
837,2015-02-16,850.0,850.0,820.0,832.0,69890000,84000,3,857.0,821.0,1393-11-27
836,2015-02-17,801.0,821.0,801.0,818.0,55638000,68000,3,832.0,821.0,1393-11-28
835,2015-02-21,831.0,831.0,831.0,831.0,8293380,9980,1,818.0,831.0,1393-12-02
834,2015-02-28,801.0,865.0,801.0,827.0,198597220,240220,8,831.0,865.0,1393-12-09
833,2015-03-01,870.0,870.0,870.0,870.0,5307000,6100,1,827.0,870.0,1393-12-10
832,2015-03-04,800.0,800.0,800.0,800.0,17920000,22400,1,870.0,800.0,1393-12-13
831,2015-03-07,800.0,800.0,800.0,800.0,28000000,35000,1,800.0,800.0,1393-12-16
830,2015-03-10,756.0,756.0,756.0,756.0,74844,99,1,800.0,756.0,1393-12-19
829,2015-03-15,800.0,849.0,800.0,823.0,69960000,85000,2,756.0,849.0,1393-12-24
828,2015-03-16,800.0,850.0,800.0,822.0,55890000,68000,3,823.0,850.0,1393-12-25
827,2015-03-18,800.0,801.0,800.0,800.0,139945701,174901,5,822.0,801.0,1393-12-27
826,2015-03-25,800.0,810.0,800.0,802.0,78600000,98000,3,800.0,810.0,1394-01-05
825,2015-03-29,785.0,808.0,785.0,804.0,65462515,81379,5,802.0,808.0,1394-01-09
824,2015-03-30,831.0,890.0,831.0,860.0,34420000,40000,2,804.0,890.0,1394-01-10
823,2015-03-31,930.0,930.0,885.0,888.0,44097000,49650,3,860.0,890.0,1394-01-11
822,2015-04-04,958.0,1100.0,958.0,1004.0,2218798900,2210100,10,888.0,1000.0,1394-01-15
821,2015-04-05,960.0,1200.0,890.0,1043.0,456150500,437250,14,1004.0,910.0,1394-01-16
820,2015-04-06,1000.0,1000.0,1000.0,1000.0,820000000,820000,3,1043.0,1000.0,1394-01-17
819,2015-04-07,999.0,1000.0,910.0,978.0,180907500,185000,7,1000.0,960.0,1394-01-18
818,2015-04-08,1000.0,1000.0,1000.0,1000.0,17000000,17000,1,978.0,1000.0,1394-01-19
817,2015-04-18,999.0,1000.0,999.0,1000.0,404995000,405000,4,1000.0,1000.0,1394-01-29
816,2015-04-21,1020.0,1020.0,912.0,993.0,39720000,40000,2,1000.0,912.0,1394-02-01
815,2015-04-22,1020.0,1100.0,1020.0,1099.0,72529180,66009,3,993.0,1100.0,1394-02-02
814,2015-04-27,1100.0,1100.0,1100.0,1100.0,55055000,50050,1,1099.0,1100.0,1394-02-07
813,2015-05-05,1000.0,1099.0,1000.0,1086.0,120675300,111170,4,1100.0,1099.0,1394-02-15
812,2015-05-10,1099.0,1100.0,1099.0,1099.0,70033300,63700,2,1086.0,1100.0,1394-02-20
811,2015-05-12,1086.0,1100.0,1086.0,1092.0,24955100,22850,2,1099.0,1100.0,1394-02-22
810,2015-05-20,1139.0,1139.0,1139.0,1139.0,22780000,20000,1,1092.0,1139.0,1394-02-30
809,2015-05-23,1140.0,1180.0,1140.0,1161.0,191540000,165000,4,1139.0,1180.0,1394-03-02
808,2015-06-02,1180.0,1180.0,1180.0,1180.0,634840,538,1,1161.0,1180.0,1394-03-12
807,2015-06-07,1183.0,1183.0,1183.0,1183.0,532350,450,1,1180.0,1183.0,1394-03-17
806,2015-06-08,1204.0,1204.0,1203.0,1203.0,120320000,100000,4,1183.0,1203.0,1394-03-18
805,2015-06-13,1350.0,1498.0,1350.0,1498.0,29326400,19580,4,1203.0,1498.0,1394-03-23
804,2015-06-14,1450.0,1450.0,1330.0,1370.0,27545000,20100,3,1498.0,1330.0,1394-03-24
803,2015-06-15,1410.0,1410.0,1150.0,1151.0,2433820000,2115000,4,1370.0,1150.0,1394-03-25
802,2015-06-20,1550.0,1550.0,1550.0,1550.0,11935000000,7700000,7,1151.0,1550.0,1394-03-30
801,2015-06-23,1400.0,1474.0,1400.0,1443.0,215616500,149380,12,1550.0,1474.0,1394-04-02
800,2015-06-24,1499.0,1499.0,1474.0,1494.0,156775540,104970,7,1443.0,1486.0,1394-04-03
799,2015-06-27,1499.0,1499.0,1474.0,1498.0,110826000,74000,5,1494.0,1499.0,1394-04-06
798,2015-06-28,1500.0,1500.0,1474.0,1477.0,116706000,79000,6,1498.0,1474.0,1394-04-07
797,2015-07-01,1550.0,1550.0,1550.0,1550.0,18600000,12000,1,1477.0,1550.0,1394-04-10
796,2015-07-04,1500.0,1550.0,1474.0,1481.0,279201430,188459,11,1550.0,1474.0,1394-04-13
795,2015-07-05,1497.0,1497.0,1490.0,1497.0,565039840,377540,3,1481.0,1496.0,1394-04-14
794,2015-07-06,1496.0,1550.0,1490.0,1549.0,4378790960,2826010,5,1497.0,1550.0,1394-04-15
793,2015-07-07,1475.0,1496.0,1475.0,1492.0,23873000,16000,3,1549.0,1496.0,1394-04-16
792,2015-07-11,1550.0,1550.0,1550.0,1550.0,4340000000,2800000,2,1492.0,1550.0,1394-04-20
791,2015-07-13,1498.0,1500.0,1498.0,1499.0,209900000,140000,3,1550.0,1500.0,1394-04-22
790,2015-07-15,1550.0,1550.0,1496.0,1550.0,2170994840,1400665,2,1499.0,1496.0,1394-04-24
789,2015-07-26,1550.0,1550.0,1550.0,1550.0,4340000000,2800000,2,1473.0,1550.0,1394-05-04
788,2015-07-27,1495.0,1499.0,1495.0,1497.0,104790000,70000,3,1550.0,1499.0,1394-05-05
787,2015-08-01,1464.0,1465.0,1464.0,1464.0,28328900,19350,4,1497.0,1465.0,1394-05-10
786,2015-08-03,1464.0,1464.0,1464.0,1464.0,1083360,740,1,1464.0,1464.0,1394-05-12
785,2015-08-04,1464.0,1464.0,1464.0,1464.0,25268640,17260,2,1464.0,1464.0,1394-05-13
784,2015-08-05,1363.0,1460.0,1363.0,1454.0,165095150,113530,5,1464.0,1460.0,1394-05-14
783,2015-08-08,1550.0,1699.0,1455.0,1488.0,658265800,442350,20,1454.0,1455.0,1394-05-17
782,2015-08-09,1550.0,1800.0,1455.0,1521.0,91275000,60000,5,1488.0,1455.0,1394-05-18
781,2015-08-12,1800.0,1800.0,1550.0,1552.0,1377203000,887335,3,1521.0,1550.0,1394-05-21
780,2015-08-15,1790.0,1800.0,1789.0,1791.0,68040000,38000,4,1552.0,1789.0,1394-05-24
779,2015-08-19,1488.0,1780.0,1488.0,1561.0,199800000,128000,8,1791.0,1500.0,1394-05-28
778,2015-08-23,1690.0,1690.0,1501.0,1663.0,58205000,35000,2,1561.0,1501.0,1394-06-01
777,2015-08-24,1501.0,1503.0,1500.0,1502.0,43549000,29000,4,1663.0,1503.0,1394-06-02
776,2015-08-25,1700.0,1700.0,1700.0,1700.0,42500000,25000,1,1502.0,1700.0,1394-06-03
775,2015-08-26,1720.0,1720.0,1500.0,1502.0,39197000,26100,3,1700.0,1500.0,1394-06-04
774,2015-08-30,1511.0,1511.0,1510.0,1510.0,135915000,90000,2,1502.0,1510.0,1394-06-08
773,2015-08-31,1530.0,1530.0,1530.0,1530.0,21420000,14000,1,1510.0,1530.0,1394-06-09
772,2015-09-01,1503.0,1530.0,1502.0,1505.0,188080000,125000,3,1530.0,1502.0,1394-06-10
771,2015-09-02,1502.0,1503.0,1470.0,1502.0,409986000,273000,10,1505.0,1470.0,1394-06-11
770,2015-09-07,1470.0,1470.0,1467.0,1470.0,249840000,170000,2,1502.0,1467.0,1394-06-16
769,2015-09-08,1455.0,1455.0,1455.0,1455.0,145500,100,1,1470.0,1455.0,1394-06-17
768,2015-09-09,1400.0,1460.0,1400.0,1426.0,118080000,82800,5,1455.0,1460.0,1394-06-18
767,2015-09-12,1450.0,1470.0,1450.0,1459.0,224615000,154000,4,1426.0,1470.0,1394-06-21
766,2015-09-13,1480.0,1490.0,1457.0,1483.0,281720000,190000,5,1459.0,1457.0,1394-06-22
765,2015-09-14,1486.0,1486.0,1456.0,1471.0,147100000,100000,2,1483.0,1456.0,1394-06-23
764,2015-09-15,1480.0,1480.0,1480.0,1480.0,14800000,10000,1,1471.0,1480.0,1394-06-24
763,2015-09-16,1490.0,1500.0,1490.0,1495.0,149500000,100000,2,1480.0,1500.0,1394-06-25
762,2015-09-27,1470.0,1470.0,1470.0,1470.0,147000,100,1,1495.0,1470.0,1394-07-05
761,2015-09-28,1455.0,1455.0,1455.0,1455.0,58200,40,1,1470.0,1455.0,1394-07-06
760,2015-10-06,1310.0,1310.0,1310.0,1310.0,65500000,50000,1,1455.0,1310.0,1394-07-14
759,2015-10-11,1300.0,1301.0,1300.0,1300.0,26010000,20000,2,1310.0,1301.0,1394-07-19
758,2015-10-13,1251.0,1251.0,1250.0,1250.0,62520000,50000,2,1300.0,1250.0,1394-07-21
757,2015-10-20,1300.0,1300.0,1270.0,1282.0,166700000,130000,4,1250.0,1270.0,1394-07-28
756,2015-10-27,1330.0,1379.0,1330.0,1370.0,310969840,226960,7,1282.0,1379.0,1394-08-05
755,2015-10-28,1340.0,1340.0,1281.0,1326.0,112705000,85000,5,1370.0,1300.0,1394-08-06
754,2015-10-31,1281.0,1281.0,1281.0,1281.0,6405000,5000,1,1326.0,1281.0,1394-08-09
753,2015-11-01,1379.0,1379.0,1300.0,1358.0,61110000,45000,3,1281.0,1324.0,1394-08-10
752,2015-11-03,1300.0,1370.0,1278.0,1307.0,718561000,549900,17,1358.0,1278.0,1394-08-12
751,2015-11-04,1388.0,1410.0,1294.0,1351.0,547037200,405060,13,1307.0,1295.0,1394-08-13
750,2015-11-07,1300.0,1499.0,1300.0,1438.0,1050002260,730348,15,1351.0,1450.0,1394-08-16
749,2015-11-10,1353.0,1353.0,1353.0,1353.0,67650000,50000,1,1438.0,1353.0,1394-08-19
748,2015-11-11,1326.0,1326.0,1326.0,1326.0,6630000,5000,1,1353.0,1326.0,1394-08-20
747,2015-11-15,1400.0,1400.0,1328.0,1376.0,205728000,149520,11,1326.0,1328.0,1394-08-24
746,2015-11-16,1429.0,1430.0,1398.0,1423.0,270370000,190000,3,1376.0,1398.0,1394-08-25
745,2015-11-17,1480.0,1480.0,1398.0,1451.0,805422960,555270,9,1423.0,1423.0,1394-08-26
744,2015-11-18,1450.0,1450.0,1450.0,1450.0,14500,10,1,1451.0,1450.0,1394-08-27
743,2015-11-22,1420.0,1500.0,1420.0,1450.0,681400000,470000,5,1450.0,1500.0,1394-09-01
742,2015-11-23,1410.0,1410.0,1410.0,1410.0,14100000,10000,1,1450.0,1410.0,1394-09-02
741,2015-11-24,1514.0,1550.0,1450.0,1495.0,717830000,480200,8,1410.0,1500.0,1394-09-03
740,2015-11-25,1500.0,1500.0,1500.0,1500.0,750000,500,1,1495.0,1500.0,1394-09-04
739,2015-12-01,1420.0,1422.0,1411.0,1419.0,42565000,30000,3,1500.0,1411.0,1394-09-10
738,2015-12-05,1413.0,1413.0,1411.0,1412.0,63555000,45000,2,1419.0,1411.0,1394-09-14
737,2015-12-06,1375.0,1380.0,1375.0,1378.0,46850000,34000,2,1412.0,1380.0,1394-09-15
736,2015-12-13,1450.0,1450.0,1403.0,1416.0,11325000,8000,3,1378.0,1403.0,1394-09-22
735,2015-12-14,1500.0,1500.0,1392.0,1483.0,177729357,119857,5,1416.0,1392.0,1394-09-23
734,2015-12-15,1390.0,1390.0,1390.0,1390.0,19460000,14000,1,1483.0,1390.0,1394-09-24
733,2015-12-16,1500.0,1500.0,1390.0,1492.0,723848770,485143,3,1390.0,1390.0,1394-09-25
732,2015-12-22,1400.0,1400.0,1380.0,1387.0,41610000,30000,3,1492.0,1380.0,1394-10-01
731,2015-12-28,1380.0,1400.0,1380.0,1382.0,414506230,299857,16,1387.0,1380.0,1394-10-07
730,2015-12-30,1380.0,1382.0,1380.0,1380.0,27797626,20143,8,1382.0,1382.0,1394-10-09
729,2016-01-03,1380.0,1381.0,1380.0,1380.0,271877000,197000,2,1380.0,1381.0,1394-10-13
728,2016-01-04,1382.0,1382.0,1380.0,1381.0,184790374,133857,3,1380.0,1380.0,1394-10-14
727,2016-01-10,1382.0,1382.0,1381.0,1381.0,1381001,1000,2,1381.0,1381.0,1394-10-20
726,2016-01-11,1351.0,1351.0,1351.0,1351.0,20265000,15000,1,1381.0,1351.0,1394-10-21
725,2016-01-12,1351.0,1351.0,1351.0,1351.0,27020000,20000,1,1351.0,1351.0,1394-10-22
724,2016-01-16,1351.0,1351.0,1351.0,1351.0,1351000,1000,1,1351.0,1351.0,1394-10-26
723,2016-02-01,1400.0,1400.0,1350.0,1353.0,9469950,7000,3,1351.0,1350.0,1394-11-12
722,2016-02-06,1350.0,1490.0,1350.0,1387.0,190370850,137282,5,1353.0,1490.0,1394-11-17
721,2016-02-08,1490.0,1490.0,1490.0,1490.0,15379780,10322,2,1387.0,1490.0,1394-11-19
720,2016-02-13,1400.0,1400.0,1400.0,1400.0,21000000,15000,2,1490.0,1400.0,1394-11-24
719,2016-02-14,1383.0,1400.0,1370.0,1388.0,340098700,245000,7,1400.0,1370.0,1394-11-25
718,2016-02-17,1300.0,1300.0,1300.0,1300.0,26390000,20300,1,1388.0,1300.0,1394-11-28
