,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
3324,2003-12-01,1426.0,1430.0,1411.0,1419.0,2043704958,1440000,377,1426.0,1419.0,1382-09-10
3323,2003-12-02,1489.0,1489.0,1489.0,1489.0,52115000,35000,17,1419.0,1489.0,1382-09-11
3322,2003-12-03,1563.0,1563.0,1563.0,1563.0,171930000,110000,38,1489.0,1563.0,1382-09-12
3321,2003-12-07,1641.0,1641.0,1641.0,1641.0,292283433,178113,63,1563.0,1641.0,1382-09-16
3320,2003-12-08,1723.0,1723.0,1723.0,1723.0,536299257,311259,88,1641.0,1723.0,1382-09-17
3319,2003-12-09,1809.0,1809.0,1809.0,1809.0,3813574608,2108112,415,1723.0,1809.0,1382-09-18
3318,2003-12-10,1899.0,1899.0,1819.0,1898.0,1188775647,626043,145,1809.0,1898.0,1382-09-19
3317,2003-12-13,1992.0,1992.0,1900.0,1989.0,1318326535,662590,172,1898.0,1989.0,1382-09-22
3316,2003-12-14,1989.0,2088.0,1900.0,2035.0,937511257,460679,147,1989.0,2035.0,1382-09-23
3315,2003-12-15,2037.0,2037.0,1934.0,1968.0,251492152,127777,60,2035.0,1968.0,1382-09-24
3314,2003-12-16,1891.0,1990.0,1870.0,1906.0,332155583,174200,63,1968.0,1906.0,1382-09-25
3313,2003-12-17,1899.0,1900.0,1830.0,1880.0,88822068,47229,22,1906.0,1880.0,1382-09-26
3312,2003-12-21,1855.0,1855.0,1786.0,1789.0,52396580,29288,15,1880.0,1789.0,1382-09-30
3311,2003-12-22,1710.0,1878.0,1700.0,1784.0,158729884,88927,39,1789.0,1784.0,1382-10-01
3310,2003-12-23,1873.0,1873.0,1873.0,1873.0,75916436,40532,9,1784.0,1873.0,1382-10-02
3309,2003-12-24,1966.0,1966.0,1963.0,1965.0,436633274,222124,50,1873.0,1965.0,1382-10-03
3308,2003-12-27,1975.0,2000.0,1910.0,1970.0,358203514,181797,41,1965.0,1970.0,1382-10-06
3307,2003-12-28,2000.0,2040.0,1970.0,2003.0,518086794,258580,67,1970.0,2003.0,1382-10-07
3306,2003-12-29,2030.0,2030.0,1980.0,2008.0,430102045,214108,51,2003.0,2008.0,1382-10-08
3305,2003-12-30,1996.0,2000.0,1940.0,1992.0,138742992,69646,27,2008.0,1992.0,1382-10-09
3304,2003-12-31,2000.0,2000.0,1893.0,1938.0,274399553,141548,39,1992.0,1938.0,1382-10-10
3303,2004-01-03,2000.0,2000.0,1910.0,1923.0,411618161,214004,52,1938.0,1923.0,1382-10-13
3302,2004-01-04,1997.0,1999.0,1910.0,1926.0,770992254,400204,63,1923.0,1926.0,1382-10-14
3301,2004-01-05,1926.0,1949.0,1850.0,1911.0,444514634,232585,52,1926.0,1911.0,1382-10-15
3300,2004-01-12,1993.0,2160.0,1993.0,2116.0,786231824,371410,97,1911.0,2116.0,1382-10-22
3299,2004-01-28,2116.0,2116.0,2116.0,2116.0,4661548,2203,5,2116.0,2116.0,1382-11-08
3298,2004-01-31,2200.0,2200.0,2115.0,2140.0,339620534,158649,49,2116.0,2140.0,1382-11-11
3297,2004-02-01,2121.0,2150.0,2121.0,2144.0,32618028,15188,8,2140.0,2144.0,1382-11-12
3296,2004-02-03,2103.0,2134.0,2037.0,2134.0,10321660,4921,9,2144.0,2134.0,1382-11-14
3295,2004-02-04,2037.0,2131.0,2037.0,2131.0,1231288,604,2,2134.0,2131.0,1382-11-15
3294,2004-02-07,2025.0,2126.0,2025.0,2126.0,2005760,990,2,2131.0,2126.0,1382-11-18
3293,2004-02-08,2020.0,2117.0,2020.0,2117.0,4061170,2010,2,2126.0,2117.0,1382-11-19
3292,2004-02-09,2012.0,2025.0,2012.0,2025.0,42322550,21035,7,2117.0,2025.0,1382-11-20
3291,2004-02-14,1924.0,2022.0,1924.0,2022.0,982220,510,2,2025.0,2022.0,1382-11-25
3290,2004-02-15,1921.0,1921.0,1921.0,1921.0,135430500,70500,15,2022.0,1921.0,1382-11-26
3289,2004-02-16,1825.0,1908.0,1825.0,1908.0,5758705,3155,7,1921.0,1908.0,1382-11-27
3288,2004-02-17,1813.0,1820.0,1813.0,1820.0,39904200,22010,8,1908.0,1820.0,1382-11-28
3287,2004-02-18,1729.0,1813.0,1729.0,1735.0,993992683,572843,109,1820.0,1735.0,1382-11-29
3286,2004-02-21,1800.0,1821.0,1750.0,1797.0,423538717,235623,37,1735.0,1797.0,1382-12-02
3285,2004-02-22,1825.0,1886.0,1825.0,1873.0,289069496,154326,36,1797.0,1873.0,1382-12-03
3284,2004-02-23,1850.0,1966.0,1850.0,1960.0,452938804,231020,63,1873.0,1960.0,1382-12-04
3283,2004-02-24,1884.0,1964.0,1862.0,1926.0,645058530,334749,72,1960.0,1926.0,1382-12-05
3282,2004-02-25,1960.0,2022.0,1960.0,2003.0,394192370,196778,42,1926.0,2003.0,1382-12-06
3281,2004-02-28,2103.0,2103.0,2103.0,2103.0,549791496,261432,57,2003.0,2103.0,1382-12-09
3280,2004-02-29,2208.0,2208.0,2208.0,2208.0,427431264,193583,58,2103.0,2208.0,1382-12-10
3279,2004-03-03,2318.0,2318.0,2318.0,2318.0,811564252,350114,94,2208.0,2318.0,1382-12-13
3278,2004-03-06,2318.0,2321.0,2270.0,2305.0,330764406,143479,39,2318.0,2305.0,1382-12-16
3277,2004-03-07,2330.0,2350.0,2321.0,2333.0,341100887,146166,47,2305.0,2333.0,1382-12-17
3276,2004-03-08,2335.0,2449.0,2335.0,2424.0,419917912,173177,37,2333.0,2424.0,1382-12-18
3275,2004-03-09,2450.0,2460.0,2335.0,2401.0,1049706345,436945,72,2424.0,2401.0,1382-12-19
3274,2004-03-10,2410.0,2521.0,2380.0,2444.0,441184196,180449,44,2401.0,2444.0,1382-12-20
3273,2004-03-13,2566.0,2566.0,2521.0,2546.0,317222514,124579,35,2444.0,2546.0,1382-12-23
3272,2004-03-14,2673.0,2673.0,2567.0,2657.0,1396803910,525635,101,2546.0,2657.0,1382-12-24
3271,2004-03-15,2789.0,2789.0,2789.0,2789.0,113199932,40588,15,2657.0,2789.0,1382-12-25
3270,2004-03-16,2789.0,2899.0,2701.0,2826.0,1375278974,482719,76,2789.0,2826.0,1382-12-26
3269,2004-03-17,2829.0,2835.0,2800.0,2825.0,885954196,313556,53,2826.0,2825.0,1382-12-27
3268,2004-03-27,2840.0,2840.0,2708.0,2793.0,96517013,34556,9,2825.0,2793.0,1383-01-08
3267,2004-03-28,2654.0,2672.0,2654.0,2672.0,55272384,20826,6,2793.0,2672.0,1383-01-09
3266,2004-03-29,2539.0,2600.0,2539.0,2547.0,434940530,170699,31,2672.0,2547.0,1383-01-10
3265,2004-03-30,2500.0,2534.0,2420.0,2451.0,393664630,160610,42,2547.0,2451.0,1383-01-11
3264,2004-04-03,2455.0,2573.0,2455.0,2561.0,242560274,94710,29,2451.0,2561.0,1383-01-15
3263,2004-04-04,2689.0,2689.0,2640.0,2685.0,420719986,156641,45,2561.0,2685.0,1383-01-16
3262,2004-04-05,2684.0,2750.0,2576.0,2687.0,561663582,208975,55,2685.0,2687.0,1383-01-17
3261,2004-04-06,2708.0,2785.0,2649.0,2688.0,1678095896,631330,50,2687.0,2688.0,1383-01-18
3260,2004-04-07,2822.0,2822.0,2700.0,2814.0,130292520,46300,22,2688.0,2814.0,1383-01-19
3259,2004-04-10,3000.0,3000.0,2989.0,2993.0,361150991,120660,27,2814.0,2993.0,1383-01-22
3258,2004-04-12,2888.0,3140.0,2842.0,3035.0,577624473,190260,66,2993.0,3035.0,1383-01-24
3257,2004-04-13,3035.0,3035.0,2884.0,2929.0,510754810,174369,32,3035.0,2929.0,1383-01-25
3256,2004-04-14,2882.0,3050.0,2800.0,2966.0,1232838367,415640,88,2929.0,2966.0,1383-01-26
3255,2004-04-17,3100.0,3114.0,2961.0,3083.0,537683196,174363,56,2966.0,3083.0,1383-01-29
3254,2004-04-18,3237.0,3237.0,3237.0,3237.0,400721178,123794,51,3083.0,3237.0,1383-01-30
3253,2004-04-21,3398.0,3398.0,3398.0,3398.0,117373716,34542,7,3237.0,3398.0,1383-02-02
3252,2004-04-24,3567.0,3567.0,3390.0,3565.0,3066721755,860121,205,3398.0,3565.0,1383-02-05
3251,2004-04-25,3739.0,3743.0,3550.0,3684.0,1862770905,505630,142,3565.0,3684.0,1383-02-06
3250,2004-04-26,3868.0,3868.0,3868.0,3868.0,2603585612,673109,139,3684.0,3868.0,1383-02-07
3249,2004-04-27,4061.0,4061.0,3701.0,3790.0,1048014684,276492,105,3868.0,3790.0,1383-02-08
3248,2004-04-28,3790.0,3900.0,3709.0,3794.0,1533132494,404032,106,3790.0,3794.0,1383-02-09
