,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1033,2014-01-14,1600.0,1600.0,1600.0,1600.0,61975489600,38734681,2,1000.0,1600.0,1392-10-24
1032,2014-02-08,1400.0,1400.0,1400.0,1400.0,2016000,1440,2,1600.0,1400.0,1392-11-19
1031,2014-03-03,1600.0,1600.0,1600.0,1600.0,19200000000,12000000,1,1400.0,1600.0,1392-12-12
1030,2014-03-04,1400.0,1400.0,1400.0,1400.0,700000,500,5,1600.0,1400.0,1392-12-13
1029,2014-06-01,1000.0,1000.0,1000.0,1000.0,3105000,3105,1,900.0,1000.0,1393-03-11
1028,2014-12-02,1050.0,1050.0,1050.0,1050.0,1554000,1480,1,1000.0,1050.0,1393-09-11
1027,2015-01-12,1350.0,1350.0,1050.0,1242.0,14166750,11405,2,1050.0,1050.0,1393-10-22
1026,2015-01-14,1350.0,1350.0,1350.0,1350.0,9933300,7358,1,1242.0,1350.0,1393-10-24
1025,2015-01-17,1350.0,1350.0,1350.0,1350.0,53789400,39844,9,1350.0,1350.0,1393-10-27
1024,2015-01-18,1350.0,1350.0,1350.0,1350.0,10516500,7790,6,1350.0,1350.0,1393-10-28
1023,2015-01-19,1350.0,1350.0,1350.0,1350.0,20206800,14968,8,1350.0,1350.0,1393-10-29
1022,2015-01-20,1350.0,1350.0,1350.0,1350.0,6458400,4784,2,1350.0,1350.0,1393-10-30
1021,2015-01-21,1350.0,1350.0,1350.0,1350.0,9254250,6855,2,1350.0,1350.0,1393-11-01
1020,2015-01-24,1350.0,1350.0,1350.0,1350.0,22503150,16669,4,1350.0,1350.0,1393-11-04
1019,2015-01-25,1350.0,1350.0,1350.0,1350.0,2700000,2000,1,1350.0,1350.0,1393-11-05
1018,2015-01-27,1350.0,1350.0,1350.0,1350.0,3580200,2652,3,1350.0,1350.0,1393-11-07
1017,2015-01-28,1350.0,1350.0,1350.0,1350.0,20864250,15455,7,1350.0,1350.0,1393-11-08
1016,2015-01-31,1350.0,1350.0,1350.0,1350.0,11923200,8832,4,1350.0,1350.0,1393-11-11
1015,2015-02-01,1350.0,1450.0,1350.0,1351.0,23915800,17708,8,1350.0,1450.0,1393-11-12
1014,2015-02-02,1350.0,1350.0,1350.0,1350.0,19244250,14255,9,1351.0,1350.0,1393-11-13
1013,2015-02-03,1350.0,1350.0,1350.0,1350.0,23908500,17710,6,1350.0,1350.0,1393-11-14
1012,2015-02-04,1350.0,1350.0,1350.0,1350.0,26082000,19320,3,1350.0,1350.0,1393-11-15
1011,2015-02-07,1350.0,1350.0,1350.0,1350.0,12417300,9198,4,1350.0,1350.0,1393-11-18
1010,2015-02-08,1350.0,1350.0,1350.0,1350.0,12330900,9134,3,1350.0,1350.0,1393-11-19
1009,2015-02-09,1350.0,1350.0,1350.0,1350.0,23207850,17191,5,1350.0,1350.0,1393-11-20
1008,2015-02-10,1350.0,1350.0,1350.0,1350.0,15160500,11230,4,1350.0,1350.0,1393-11-21
1007,2015-02-14,1350.0,1350.0,1350.0,1350.0,1798200,1332,1,1350.0,1350.0,1393-11-25
1006,2015-02-15,1350.0,1350.0,1350.0,1350.0,9315000,6900,3,1350.0,1350.0,1393-11-26
1005,2015-02-16,1350.0,1350.0,1350.0,1350.0,3618000,2680,1,1350.0,1350.0,1393-11-27
1004,2015-02-17,1360.0,1360.0,1360.0,1360.0,7942400,5840,2,1350.0,1360.0,1393-11-28
1003,2015-02-18,1350.0,1350.0,1350.0,1350.0,2700000,2000,1,1360.0,1350.0,1393-11-29
1002,2015-02-21,1350.0,1350.0,1350.0,1350.0,4468500,3310,1,1350.0,1350.0,1393-12-02
1001,2015-02-22,1350.0,1350.0,1350.0,1350.0,4509000,3340,1,1350.0,1350.0,1393-12-03
1000,2015-02-23,1350.0,1350.0,1350.0,1350.0,1798200,1332,1,1350.0,1350.0,1393-12-04
999,2015-02-28,1350.0,1350.0,1350.0,1350.0,5400000,4000,2,1350.0,1350.0,1393-12-09
998,2015-03-02,1350.0,1350.0,1350.0,1350.0,11657250,8635,3,1350.0,1350.0,1393-12-11
997,2015-03-03,1350.0,1350.0,1350.0,1350.0,13689000,10140,2,1350.0,1350.0,1393-12-12
996,2015-03-07,1350.0,1350.0,1350.0,1350.0,2700000,2000,1,1350.0,1350.0,1393-12-16
995,2015-03-08,1350.0,1350.0,1350.0,1350.0,4225500,3130,1,1350.0,1350.0,1393-12-17
994,2015-03-09,1350.0,1350.0,1350.0,1350.0,7977150,5909,4,1350.0,1350.0,1393-12-18
993,2015-03-10,1350.0,1350.0,1350.0,1350.0,2485350,1841,1,1350.0,1350.0,1393-12-19
992,2015-03-11,1350.0,1350.0,1350.0,1350.0,2227500,1650,1,1350.0,1350.0,1393-12-20
991,2015-03-14,1350.0,1350.0,1350.0,1350.0,2700000,2000,1,1350.0,1350.0,1393-12-23
990,2015-03-15,1350.0,1352.0,1350.0,1351.0,12972750,9605,4,1350.0,1352.0,1393-12-24
989,2015-03-16,1350.0,1350.0,1350.0,1350.0,6237000,4620,2,1351.0,1350.0,1393-12-25
988,2015-04-12,1265.0,1265.0,1265.0,1265.0,4174500,3300,2,1265.0,1265.0,1394-01-23
987,2015-04-13,1265.0,1265.0,1265.0,1265.0,4225100,3340,1,1265.0,1265.0,1394-01-24
