,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
544,2018-02-07,530.0,530.0,530.0,530.0,2712540000,5118000,110,1000.0,530.0,1396-11-18
543,2018-02-10,550.0,603.0,550.0,595.0,738889550,1241001,56,530.0,603.0,1396-11-21
542,2018-02-12,620.0,640.0,620.0,620.0,2416064700,3895148,209,595.0,640.0,1396-11-23
541,2018-02-14,600.0,600.0,560.0,577.0,326974280,566853,96,620.0,560.0,1396-11-25
540,2018-02-17,511.0,513.0,511.0,511.0,752854089,1472599,173,577.0,513.0,1396-11-28
539,2018-02-19,501.0,506.0,501.0,502.0,1532795299,3055244,389,511.0,506.0,1396-11-30
538,2018-02-21,501.0,504.0,501.0,501.0,664470000,1326000,186,502.0,504.0,1396-12-02
537,2018-02-24,501.0,501.0,480.0,499.0,1016418411,2036911,298,501.0,480.0,1396-12-05
536,2018-02-26,480.0,480.0,452.0,478.0,2001458960,4184622,564,499.0,452.0,1396-12-07
535,2018-02-28,440.0,450.0,440.0,441.0,1852220650,4203428,588,478.0,450.0,1396-12-09
534,2018-03-03,431.0,441.0,431.0,433.0,987844000,2284000,308,441.0,441.0,1396-12-12
533,2018-03-05,430.0,430.0,430.0,430.0,2000297220,4651854,653,433.0,430.0,1396-12-14
532,2018-03-07,401.0,403.0,401.0,401.0,1348035209,3359803,465,430.0,403.0,1396-12-16
531,2018-03-10,402.0,402.0,402.0,402.0,875462334,2177767,260,401.0,402.0,1396-12-19
530,2018-03-12,355.0,390.0,355.0,368.0,971920000,2640000,328,402.0,390.0,1396-12-21
529,2018-03-14,390.0,400.0,390.0,391.0,988468210,2524983,285,368.0,400.0,1396-12-23
528,2018-03-17,400.0,400.0,381.0,392.0,403930917,1031015,131,391.0,381.0,1396-12-26
527,2018-03-19,376.0,393.0,376.0,386.0,521752256,1352292,129,392.0,393.0,1396-12-28
526,2018-03-26,391.0,391.0,390.0,391.0,593854714,1519654,126,386.0,390.0,1397-01-06
525,2018-03-28,397.0,397.0,393.0,396.0,364002767,920271,66,391.0,393.0,1397-01-08
524,2018-04-04,399.0,407.0,399.0,399.0,750477745,1880255,164,396.0,407.0,1397-01-15
523,2018-04-07,400.0,402.0,400.0,400.0,279880000,699500,103,399.0,402.0,1397-01-18
522,2018-04-09,399.0,399.0,399.0,399.0,653983743,1639057,209,400.0,399.0,1397-01-20
521,2018-04-11,391.0,391.0,370.0,384.0,540763219,1406500,185,399.0,370.0,1397-01-22
520,2018-04-16,370.0,370.0,361.0,370.0,831013950,2247735,226,384.0,361.0,1397-01-27
519,2018-04-18,380.0,381.0,380.0,380.0,903606000,2377700,220,370.0,381.0,1397-01-29
518,2018-04-21,400.0,400.0,399.0,400.0,603618800,1509832,144,380.0,399.0,1397-02-01
517,2018-04-23,367.0,375.0,367.0,369.0,503548000,1364000,197,400.0,375.0,1397-02-03
516,2018-04-25,375.0,375.0,375.0,375.0,789750000,2106000,236,369.0,375.0,1397-02-05
515,2018-04-28,355.0,370.0,355.0,362.0,407705760,1125312,119,375.0,370.0,1397-02-08
514,2018-04-30,366.0,366.0,358.0,364.0,427919952,1175672,173,362.0,358.0,1397-02-10
513,2018-05-05,353.0,353.0,353.0,353.0,546091000,1547000,226,364.0,353.0,1397-02-15
512,2018-05-07,345.0,345.0,345.0,345.0,493342410,1429978,197,353.0,345.0,1397-02-17
511,2018-05-09,340.0,340.0,339.0,340.0,383886069,1130000,99,345.0,339.0,1397-02-19
510,2018-05-12,340.0,340.0,315.0,327.0,242368140,741671,107,340.0,315.0,1397-02-22
509,2018-05-14,331.0,340.0,331.0,331.0,496137000,1497000,183,327.0,340.0,1397-02-24
508,2018-05-16,315.0,340.0,315.0,325.0,397360000,1224000,140,331.0,340.0,1397-02-26
507,2018-05-19,332.0,340.0,332.0,335.0,233952640,697376,77,325.0,340.0,1397-02-29
506,2018-05-21,339.0,350.0,339.0,343.0,410377069,1197409,131,335.0,350.0,1397-02-31
505,2018-05-23,341.0,351.0,341.0,343.0,432896447,1262497,169,343.0,351.0,1397-03-02
