,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
950,2014-02-22,500.0,500.0,500.0,500.0,999000,1998,1,447.0,500.0,1392-12-03
949,2014-08-13,1212.0,1213.0,1200.0,1207.0,131920132,109284,5,483.0,1210.0,1393-05-22
948,2014-09-03,1200.0,1200.0,1200.0,1200.0,17980800,14984,2,1064.0,1200.0,1393-06-12
947,2014-09-07,1100.0,1100.0,1001.0,1045.0,37527600,35916,6,1200.0,1001.0,1393-06-16
946,2014-09-17,1000.0,1000.0,1000.0,1000.0,100000,100,1,1045.0,1000.0,1393-06-26
945,2014-09-20,1000.0,1000.0,1000.0,1000.0,200000,200,1,1000.0,1000.0,1393-06-29
944,2014-09-24,1000.0,1000.0,1000.0,1000.0,245105000,245105,4,1000.0,1000.0,1393-07-02
943,2014-10-04,1000.0,1050.0,1000.0,1000.0,78461150,78450,2,1000.0,1050.0,1393-07-12
942,2014-10-08,1194.0,1194.0,1000.0,1000.0,1587827700,1587818,6,1000.0,1000.0,1393-07-16
941,2014-10-12,1194.0,1194.0,1194.0,1194.0,1647720,1380,2,1000.0,1194.0,1393-07-20
940,2014-10-15,1194.0,1194.0,1194.0,1194.0,1482948,1242,3,1194.0,1194.0,1393-07-23
939,2014-10-21,830.0,1220.0,830.0,1038.0,5891790,5677,7,1194.0,1194.0,1393-07-29
938,2014-10-22,1100.0,1100.0,1100.0,1100.0,2713700,2467,1,1038.0,1100.0,1393-07-30
937,2014-11-01,1110.0,1110.0,1110.0,1110.0,42834900,38590,1,1100.0,1110.0,1393-08-10
936,2014-12-01,930.0,1010.0,930.0,962.0,21045190,21879,5,1110.0,930.0,1393-09-10
935,2014-12-09,962.0,962.0,962.0,962.0,4810000,5000,1,962.0,962.0,1393-09-18
934,2014-12-15,840.0,840.0,840.0,840.0,42000000,50000,1,962.0,840.0,1393-09-24
933,2014-12-24,851.0,851.0,851.0,851.0,25530000,30000,1,840.0,851.0,1393-10-03
932,2015-01-05,841.0,841.0,841.0,841.0,25230000,30000,1,851.0,841.0,1393-10-15
931,2015-01-11,836.0,836.0,836.0,836.0,45980000,55000,1,841.0,836.0,1393-10-21
930,2015-01-18,812.0,812.0,811.0,811.0,80796380,99580,3,836.0,812.0,1393-10-28
929,2015-01-21,820.0,820.0,820.0,820.0,16400000,20000,1,811.0,820.0,1393-11-01
928,2015-01-24,811.0,813.0,811.0,811.0,22856698,28168,3,820.0,813.0,1393-11-04
927,2015-01-25,811.0,811.0,811.0,811.0,30007000,37000,1,811.0,811.0,1393-11-05
926,2015-01-26,1000.0,1000.0,1000.0,1000.0,55000000,55000,1,811.0,1000.0,1393-11-06
925,2015-01-27,811.0,811.0,811.0,811.0,16220000,20000,1,1000.0,811.0,1393-11-07
924,2015-01-31,1000.0,1000.0,1000.0,1000.0,20000000,20000,1,811.0,1000.0,1393-11-11
923,2015-02-01,1000.0,1000.0,1000.0,1000.0,17500000,17500,2,1000.0,1000.0,1393-11-12
922,2015-02-09,1000.0,1000.0,1000.0,1000.0,100000000,100000,1,1000.0,1000.0,1393-11-20
921,2015-02-14,1000.0,1000.0,1000.0,1000.0,32500000,32500,1,1000.0,1000.0,1393-11-25
920,2015-02-15,1000.0,1000.0,1000.0,1000.0,200000000,200000,2,1000.0,1000.0,1393-11-26
919,2015-03-07,1000.0,1000.0,1000.0,1000.0,100000,100,1,1000.0,1000.0,1393-12-16
918,2015-03-09,970.0,970.0,970.0,970.0,4335900,4470,1,1000.0,970.0,1393-12-18
917,2015-03-16,970.0,970.0,970.0,970.0,73826700,76110,2,970.0,970.0,1393-12-25
916,2015-04-06,970.0,1049.0,970.0,974.0,9448500,9700,2,970.0,1049.0,1394-01-17
915,2015-04-14,1000.0,1000.0,1000.0,1000.0,1000000,1000,1,974.0,1000.0,1394-01-25
914,2015-04-27,1000.0,1000.0,1000.0,1000.0,30000000,30000,1,1000.0,1000.0,1394-02-07
913,2015-04-29,1050.0,1050.0,1050.0,1050.0,4973850,4737,1,1000.0,1050.0,1394-02-09
912,2015-05-11,970.0,970.0,970.0,970.0,363750,375,1,1050.0,970.0,1394-02-21
911,2015-05-18,970.0,971.0,970.0,970.0,14092373,14528,2,970.0,971.0,1394-02-28
910,2015-05-26,960.0,960.0,960.0,960.0,20658240,21519,1,970.0,960.0,1394-03-05
909,2015-06-10,961.0,961.0,961.0,961.0,4552257,4737,1,960.0,961.0,1394-03-20
908,2015-06-24,960.0,960.0,960.0,960.0,1152000,1200,1,961.0,960.0,1394-04-03
907,2015-07-12,960.0,960.0,960.0,960.0,1440000,1500,2,960.0,960.0,1394-04-21
906,2015-07-15,960.0,960.0,960.0,960.0,4800,5,1,960.0,960.0,1394-04-24
905,2015-11-16,603.0,603.0,603.0,603.0,2731590,4530,1,960.0,603.0,1394-08-25
904,2015-11-17,603.0,615.0,603.0,614.0,645150,1050,2,603.0,615.0,1394-08-26
903,2015-12-19,990.0,990.0,990.0,990.0,103474800,104520,2,547.0,990.0,1394-09-28
902,2015-12-27,1000.0,1000.0,1000.0,1000.0,10000000,10000,1,990.0,1000.0,1394-10-06
901,2016-01-06,1000.0,1000.0,1000.0,1000.0,137000000,137000,1,1000.0,1000.0,1394-10-16
900,2016-01-26,1001.0,1015.0,990.0,1005.0,3160337095,3144873,18,1000.0,1000.0,1394-11-06
899,2016-02-01,1000.0,1000.0,1000.0,1000.0,2238000000,2238000,32,1005.0,1000.0,1394-11-12
898,2016-02-02,1000.0,1000.0,1000.0,1000.0,1045001000,1045001,9,1000.0,1000.0,1394-11-13
897,2016-02-06,1008.0,1008.0,1008.0,1008.0,10080000,10000,1,1000.0,1008.0,1394-11-17
896,2016-02-13,1020.0,1020.0,1020.0,1020.0,10200,10,1,1008.0,1020.0,1394-11-24
895,2016-02-16,1000.0,1000.0,1000.0,1000.0,190000000,190000,3,1020.0,1000.0,1394-11-27
894,2016-02-20,1020.0,1020.0,1000.0,1007.0,153877860,152743,3,1000.0,1000.0,1394-12-01
893,2016-02-21,1000.0,1000.0,1000.0,1000.0,70000000,70000,1,1007.0,1000.0,1394-12-02
892,2016-02-22,1000.0,1000.0,1000.0,1000.0,13724000,13724,1,1000.0,1000.0,1394-12-03
891,2016-02-28,1011.0,1011.0,1011.0,1011.0,73803000,73000,2,1000.0,1011.0,1394-12-09
