,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
528,2018-11-03,1506.0,1506.0,1506.0,1506.0,8351372400,5545400,127,2130.0,1506.0,1397-08-12
527,2018-11-04,1656.0,1656.0,1656.0,1656.0,7687092384,4641964,194,1506.0,1656.0,1397-08-13
526,2018-11-05,1821.0,1821.0,1750.0,1821.0,12057240884,6621940,400,1656.0,1821.0,1397-08-14
525,2018-11-06,1720.0,1947.0,1710.0,1834.0,12596549526,6869741,640,1821.0,1787.0,1397-08-15
524,2018-11-10,1850.0,1880.0,1651.0,1699.0,3218035336,1893978,250,1834.0,1651.0,1397-08-19
523,2018-11-11,1700.0,1700.0,1530.0,1549.0,3671769542,2369896,285,1699.0,1568.0,1397-08-20
522,2018-11-12,1649.0,1649.0,1420.0,1592.0,2541326948,1596576,270,1549.0,1582.0,1397-08-21
521,2018-11-13,1618.0,1637.0,1470.0,1574.0,2127256055,1351670,255,1592.0,1495.0,1397-08-22
520,2018-11-14,1597.0,1610.0,1479.0,1534.0,1604855729,1046514,138,1574.0,1534.0,1397-08-23
519,2018-11-17,1418.0,1539.0,1381.0,1412.0,3713817519,2631015,280,1534.0,1386.0,1397-08-26
518,2018-11-18,1412.0,1412.0,1317.0,1357.0,790807885,582763,139,1412.0,1330.0,1397-08-27
517,2018-11-19,1365.0,1404.0,1242.0,1339.0,2156176919,1610538,156,1357.0,1300.0,1397-08-28
516,2018-11-20,1297.0,1386.0,1250.0,1329.0,2123171131,1597680,202,1339.0,1370.0,1397-08-29
515,2018-11-21,1420.0,1451.0,1253.0,1412.0,1358218281,961723,130,1329.0,1400.0,1397-08-30
514,2018-11-24,1524.0,1524.0,1368.0,1409.0,881491606,625832,72,1412.0,1401.0,1397-09-03
513,2018-11-26,1519.0,1519.0,1301.0,1383.0,337423227,244060,51,1409.0,1400.0,1397-09-05
512,2018-11-27,1440.0,1440.0,1274.0,1327.0,564798753,425739,94,1383.0,1309.0,1397-09-06
511,2018-11-28,1230.0,1326.0,1230.0,1283.0,1215709685,947538,99,1327.0,1301.0,1397-09-07
510,2018-12-01,1209.0,1319.0,1209.0,1235.0,969066295,784401,87,1283.0,1240.0,1397-09-10
509,2018-12-02,1240.0,1340.0,1195.0,1304.0,1219786792,935679,122,1235.0,1329.0,1397-09-11
508,2018-12-03,1385.0,1385.0,1305.0,1332.0,1218896244,915427,90,1304.0,1305.0,1397-09-12
507,2018-12-04,1250.0,1348.0,1250.0,1327.0,281019187,211801,44,1332.0,1347.0,1397-09-13
506,2018-12-05,1280.0,1379.0,1280.0,1337.0,881854838,659685,51,1327.0,1327.0,1397-09-14
505,2018-12-08,1337.0,1358.0,1288.0,1315.0,341394148,259698,66,1337.0,1305.0,1397-09-17
504,2018-12-09,1345.0,1398.0,1260.0,1338.0,1691411894,1264435,158,1315.0,1355.0,1397-09-18
503,2018-12-10,1338.0,1395.0,1326.0,1361.0,2093853563,1538626,150,1338.0,1375.0,1397-09-19
502,2018-12-12,1290.0,1355.0,1290.0,1349.0,4752427985,3522093,187,1361.0,1330.0,1397-09-21
501,2018-12-15,1340.0,1349.0,1282.0,1313.0,235991639,179721,33,1349.0,1282.0,1397-09-24
500,2018-12-16,1260.0,1340.0,1244.0,1338.0,5531526051,4135166,139,1313.0,1340.0,1397-09-25
499,2018-12-17,1300.0,1349.0,1294.0,1314.0,231896167,176447,39,1338.0,1336.0,1397-09-26
498,2018-12-18,1291.0,1340.0,1287.0,1325.0,226204853,170742,43,1314.0,1337.0,1397-09-27
497,2018-12-19,1338.0,1450.0,1300.0,1419.0,2045831910,1441852,117,1325.0,1450.0,1397-09-28
496,2018-12-22,1450.0,1530.0,1388.0,1489.0,2258839537,1516722,232,1419.0,1450.0,1397-10-01
495,2018-12-23,1530.0,1530.0,1400.0,1470.0,1959353394,1332876,171,1489.0,1470.0,1397-10-02
494,2018-12-24,1362.0,1520.0,1362.0,1475.0,1973936478,1338408,173,1470.0,1450.0,1397-10-03
493,2018-12-25,1498.0,1545.0,1450.0,1491.0,2284388145,1532623,163,1475.0,1455.0,1397-10-04
492,2018-12-26,1450.0,1452.0,1375.0,1431.0,3535804782,2471619,97,1491.0,1452.0,1397-10-05
491,2018-12-29,1366.0,1450.0,1365.0,1411.0,544086549,385598,74,1431.0,1450.0,1397-10-08
490,2018-12-30,1383.0,1450.0,1343.0,1445.0,592956951,410298,38,1411.0,1435.0,1397-10-09
489,2018-12-31,1384.0,1440.0,1384.0,1416.0,109974710,77672,31,1445.0,1427.0,1397-10-10
488,2019-01-01,1438.0,1485.0,1420.0,1458.0,2129239012,1460066,136,1416.0,1458.0,1397-10-11
487,2019-01-02,1480.0,1480.0,1361.0,1440.0,1163417470,807786,87,1458.0,1412.0,1397-10-12
486,2019-01-05,1384.0,1438.0,1373.0,1406.0,500420978,356042,54,1440.0,1417.0,1397-10-15
485,2019-01-06,1375.0,1425.0,1375.0,1406.0,1041583630,740914,91,1406.0,1400.0,1397-10-16
484,2019-01-07,1372.0,1400.0,1351.0,1389.0,1365568712,982867,60,1406.0,1385.0,1397-10-17
483,2019-01-08,1352.0,1356.0,1313.0,1337.0,558324692,417482,87,1389.0,1339.0,1397-10-18
482,2019-01-09,1340.0,1340.0,1322.0,1331.0,182436186,137019,31,1337.0,1330.0,1397-10-19
481,2019-01-12,1340.0,1340.0,1301.0,1308.0,262923091,201060,61,1331.0,1317.0,1397-10-22
480,2019-01-13,1291.0,1339.0,1290.0,1307.0,899462935,688204,108,1308.0,1337.0,1397-10-23
479,2019-01-14,1338.0,1395.0,1292.0,1353.0,762066131,563341,83,1307.0,1344.0,1397-10-24
478,2019-01-15,1387.0,1387.0,1344.0,1362.0,223965422,164472,33,1353.0,1351.0,1397-10-25
477,2019-01-16,1375.0,1375.0,1336.0,1351.0,862133565,638065,69,1362.0,1341.0,1397-10-26
476,2019-01-19,1340.0,1440.0,1336.0,1403.0,1104788899,787582,116,1351.0,1396.0,1397-10-29
475,2019-01-20,1407.0,1407.0,1356.0,1370.0,147422385,107606,34,1403.0,1366.0,1397-10-30
474,2019-01-21,1368.0,1368.0,1323.0,1347.0,270899121,201079,60,1370.0,1341.0,1397-11-01
473,2019-01-22,1379.0,1408.0,1349.0,1373.0,454112060,330714,34,1347.0,1350.0,1397-11-02
472,2019-01-23,1312.0,1365.0,1302.0,1342.0,197193227,146934,48,1373.0,1331.0,1397-11-03
471,2019-01-26,1384.0,1384.0,1290.0,1309.0,976547425,746273,85,1342.0,1291.0,1397-11-06
470,2019-01-27,1300.0,1310.0,1290.0,1300.0,603549770,464225,90,1309.0,1300.0,1397-11-07
469,2019-01-28,1300.0,1313.0,1288.0,1294.0,265864960,205529,30,1300.0,1303.0,1397-11-08
468,2019-01-29,1328.0,1335.0,1300.0,1311.0,53019682,40453,12,1294.0,1305.0,1397-11-09
467,2019-01-30,1293.0,1329.0,1290.0,1296.0,130634878,100796,25,1311.0,1290.0,1397-11-10
466,2019-02-02,1320.0,1320.0,1224.0,1296.0,768265949,592937,55,1296.0,1224.0,1397-11-13
465,2019-02-03,1232.0,1315.0,1232.0,1253.0,294254572,234779,29,1296.0,1248.0,1397-11-14
464,2019-02-04,1310.0,1310.0,1230.0,1251.0,166384670,132950,27,1253.0,1230.0,1397-11-15
463,2019-02-05,1307.0,1307.0,1226.0,1235.0,681368561,551735,77,1251.0,1227.0,1397-11-16
462,2019-02-06,1230.0,1279.0,1230.0,1242.0,9117556,7341,7,1235.0,1234.0,1397-11-17
461,2019-02-10,1270.0,1315.0,1221.0,1251.0,173770470,138856,34,1242.0,1287.0,1397-11-21
460,2019-02-12,1297.0,1297.0,1226.0,1233.0,15888410,12891,6,1251.0,1228.0,1397-11-23
459,2019-02-13,1250.0,1250.0,1112.0,1192.0,120832991,101389,32,1233.0,1204.0,1397-11-24
458,2019-02-16,1249.0,1249.0,1075.0,1104.0,400517517,362682,59,1192.0,1097.0,1397-11-27
457,2019-02-17,1170.0,1170.0,1041.0,1073.0,514396521,479408,112,1104.0,1049.0,1397-11-28
456,2019-02-18,1120.0,1145.0,1056.0,1076.0,1035313397,962022,85,1073.0,1080.0,1397-11-29
455,2019-02-19,1109.0,1109.0,1010.0,1027.0,677986107,659978,66,1076.0,1069.0,1397-11-30
454,2019-02-20,1020.0,1126.0,1020.0,1083.0,297310116,274432,51,1027.0,1095.0,1397-12-01
453,2019-02-23,1090.0,1090.0,1065.0,1079.0,825213526,764940,53,1083.0,1065.0,1397-12-04
452,2019-02-24,1070.0,1151.0,1070.0,1083.0,7628746855,7044702,226,1079.0,1101.0,1397-12-05
451,2019-02-25,1110.0,1170.0,1110.0,1134.0,346403249,305485,52,1083.0,1138.0,1397-12-06
450,2019-02-26,1100.0,1129.0,1100.0,1104.0,77918405,70564,20,1134.0,1129.0,1397-12-07
449,2019-02-27,1120.0,1120.0,1085.0,1090.0,85699416,78655,26,1104.0,1102.0,1397-12-08
448,2019-03-02,1100.0,1102.0,1082.0,1087.0,294128106,270600,26,1090.0,1085.0,1397-12-11
447,2019-03-03,1085.0,1127.0,1072.0,1084.0,331937717,306110,34,1087.0,1100.0,1397-12-12
446,2019-03-04,1100.0,1100.0,1040.0,1066.0,504792060,473720,64,1084.0,1040.0,1397-12-13
445,2019-03-05,1033.0,1089.0,1022.0,1028.0,353097309,343345,50,1066.0,1069.0,1397-12-14
444,2019-03-06,1090.0,1090.0,1033.0,1050.0,72049764,68592,22,1028.0,1062.0,1397-12-15
