,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
87,2020-09-30,1290.0,1290.0,1290.0,1290.0,55420980,42962,2,1000.0,1290.0,1399-07-09
86,2020-10-03,1350.0,1350.0,1350.0,1290.0,50832900,37654,1,1290.0,1350.0,1399-07-12
85,2020-10-05,1350.0,1350.0,1350.0,1290.0,285817950,211717,6,1290.0,1350.0,1399-07-14
84,2020-10-06,1350.0,1350.0,1350.0,1290.0,374269950,277237,15,1290.0,1350.0,1399-07-15
83,2020-10-07,1350.0,1350.0,1350.0,1290.0,143775000,106500,6,1290.0,1350.0,1399-07-16
82,2020-10-10,1350.0,1350.0,1350.0,1290.0,545611950,404157,10,1290.0,1350.0,1399-07-19
81,2020-10-11,1350.0,1350.0,1350.0,1290.0,204441300,151438,11,1290.0,1350.0,1399-07-20
80,2020-10-12,1350.0,1350.0,1350.0,1290.0,354603150,262669,21,1290.0,1350.0,1399-07-21
79,2020-10-13,1350.0,1350.0,1350.0,1290.0,289552050,214483,23,1290.0,1350.0,1399-07-22
78,2020-10-14,1350.0,1350.0,1350.0,1290.0,828486900,613694,59,1290.0,1350.0,1399-07-23
77,2020-10-18,1350.0,1350.0,1350.0,1290.0,1105600050,818963,57,1290.0,1350.0,1399-07-27
76,2020-10-19,1350.0,1350.0,1300.0,1290.0,589919550,437283,49,1290.0,1350.0,1399-07-28
75,2020-10-20,1350.0,1350.0,1350.0,1290.0,1587304350,1175781,97,1290.0,1350.0,1399-07-29
74,2020-10-21,1350.0,1350.0,1230.0,1290.0,2519346270,1922726,155,1290.0,1350.0,1399-07-30
73,2020-10-24,1300.0,1300.0,1230.0,1290.0,1014420260,817748,71,1290.0,1230.0,1399-08-03
72,2020-10-26,1230.0,1230.0,1230.0,1290.0,273085830,222021,21,1290.0,1230.0,1399-08-05
71,2020-10-27,1230.0,1230.0,1230.0,1290.0,117819240,95788,16,1290.0,1230.0,1399-08-06
70,2020-10-28,1230.0,1230.0,1230.0,1290.0,200262450,162815,22,1290.0,1230.0,1399-08-07
69,2020-10-31,1230.0,1350.0,1230.0,1280.0,10178707570,8055925,205,1290.0,1230.0,1399-08-10
68,2020-11-01,1220.0,1220.0,1220.0,1280.0,285023720,233626,15,1280.0,1220.0,1399-08-11
67,2020-11-02,1220.0,1220.0,1220.0,1280.0,37743140,30937,5,1280.0,1220.0,1399-08-12
66,2020-11-04,1220.0,1220.0,1220.0,1280.0,199543200,163560,13,1280.0,1220.0,1399-08-14
65,2020-11-07,1220.0,1220.0,1220.0,1280.0,61000000,50000,3,1280.0,1220.0,1399-08-17
64,2020-11-08,1220.0,1220.0,1220.0,1280.0,32208000,26400,3,1280.0,1220.0,1399-08-18
63,2020-11-11,1220.0,1220.0,1220.0,1280.0,425116320,348456,31,1280.0,1220.0,1399-08-21
62,2020-11-14,1220.0,1220.0,1220.0,1280.0,231061900,189395,22,1280.0,1220.0,1399-08-24
61,2020-11-15,1220.0,1220.0,1220.0,1280.0,59736080,48964,6,1280.0,1220.0,1399-08-25
60,2020-11-16,1220.0,1220.0,1220.0,1280.0,41680080,34164,5,1280.0,1220.0,1399-08-26
59,2020-11-17,1220.0,1220.0,1220.0,1280.0,14640000,12000,1,1280.0,1220.0,1399-08-27
58,2020-11-18,1220.0,1220.0,1220.0,1280.0,200317900,164195,10,1280.0,1220.0,1399-08-28
57,2020-11-21,1220.0,1220.0,1220.0,1280.0,39092460,32043,8,1280.0,1220.0,1399-09-01
56,2020-11-22,1220.0,1220.0,1220.0,1280.0,30805000,25250,3,1280.0,1220.0,1399-09-02
55,2020-11-23,1220.0,1220.0,1220.0,1280.0,33876960,27768,4,1280.0,1220.0,1399-09-03
54,2020-11-24,1220.0,1220.0,1220.0,1280.0,129305360,105988,10,1280.0,1220.0,1399-09-04
53,2020-11-25,1220.0,1220.0,1220.0,1280.0,40748000,33400,5,1280.0,1220.0,1399-09-05
52,2020-11-28,1220.0,1220.0,1220.0,1280.0,16604200,13610,3,1280.0,1220.0,1399-09-08
51,2020-11-29,1220.0,1220.0,1220.0,1280.0,308534340,252897,12,1280.0,1220.0,1399-09-09
50,2020-11-30,1220.0,1220.0,1220.0,1280.0,735713680,603044,35,1280.0,1220.0,1399-09-10
49,2020-12-01,1220.0,1220.0,1220.0,1280.0,27951420,22911,4,1280.0,1220.0,1399-09-11
48,2020-12-02,1220.0,1220.0,1220.0,1280.0,18300000,15000,3,1280.0,1220.0,1399-09-12
47,2020-12-05,1220.0,1220.0,1220.0,1280.0,87352000,71600,8,1280.0,1220.0,1399-09-15
46,2020-12-06,1220.0,1220.0,1220.0,1280.0,155746420,127661,14,1280.0,1220.0,1399-09-16
45,2020-12-07,1220.0,1220.0,1220.0,1280.0,27866020,22841,6,1280.0,1220.0,1399-09-17
44,2020-12-08,1220.0,1220.0,1220.0,1280.0,227705680,186644,11,1280.0,1220.0,1399-09-18
43,2020-12-09,1220.0,1220.0,1220.0,1280.0,147665140,121037,10,1280.0,1220.0,1399-09-19
42,2020-12-12,1220.0,1220.0,1220.0,1280.0,377252060,309223,16,1280.0,1220.0,1399-09-22
41,2020-12-13,1220.0,1220.0,1220.0,1280.0,70933240,58142,7,1280.0,1220.0,1399-09-23
40,2020-12-14,1220.0,1220.0,1220.0,1280.0,59670200,48910,3,1280.0,1220.0,1399-09-24
39,2020-12-16,1220.0,1220.0,1220.0,1280.0,11163000,9150,2,1280.0,1220.0,1399-09-26
38,2020-12-19,1220.0,1220.0,1220.0,1280.0,6100000,5000,1,1280.0,1220.0,1399-09-29
37,2020-12-20,1220.0,1220.0,1220.0,1280.0,5709600,4680,1,1280.0,1220.0,1399-09-30
36,2020-12-21,1220.0,1220.0,1220.0,1280.0,24400000,20000,2,1280.0,1220.0,1399-10-01
35,2020-12-22,1220.0,1220.0,1220.0,1280.0,41665440,34152,6,1280.0,1220.0,1399-10-02
34,2020-12-23,1220.0,1220.0,1220.0,1280.0,111096860,91063,11,1280.0,1220.0,1399-10-03
33,2020-12-26,1220.0,1220.0,1220.0,1280.0,14840080,12164,3,1280.0,1220.0,1399-10-06
32,2020-12-27,1220.0,1220.0,1220.0,1280.0,25709060,21073,4,1280.0,1220.0,1399-10-07
31,2020-12-28,1220.0,1220.0,1220.0,1280.0,5037380,4129,1,1280.0,1220.0,1399-10-08
30,2020-12-30,1220.0,1220.0,1220.0,1280.0,12200000,10000,1,1280.0,1220.0,1399-10-10
29,2021-01-02,1220.0,1220.0,1220.0,1280.0,11056860,9063,2,1280.0,1220.0,1399-10-13
28,2021-01-04,1220.0,1220.0,1220.0,1280.0,6100000,5000,1,1280.0,1220.0,1399-10-15
27,2021-01-05,1220.0,1220.0,1220.0,1280.0,5917000,4850,1,1280.0,1220.0,1399-10-16
26,2021-01-09,1220.0,1220.0,1220.0,1280.0,21257280,17424,5,1280.0,1220.0,1399-10-20
25,2021-01-10,1220.0,1220.0,1220.0,1280.0,31615080,25914,5,1280.0,1220.0,1399-10-21
24,2021-01-11,1220.0,1220.0,1220.0,1280.0,11016600,9030,2,1280.0,1220.0,1399-10-22
23,2021-01-12,1220.0,1220.0,1220.0,1280.0,10187000,8350,2,1280.0,1220.0,1399-10-23
22,2021-01-13,1220.0,1220.0,1220.0,1280.0,27407300,22465,4,1280.0,1220.0,1399-10-24
21,2021-03-13,1260.0,1260.0,1260.0,1280.0,544065480,431798,22,1280.0,1260.0,1399-12-23
20,2021-03-14,1260.0,1260.0,1260.0,1280.0,35280000,28000,3,1280.0,1260.0,1399-12-24
19,2021-03-15,1260.0,1260.0,1260.0,1280.0,41316660,32791,8,1280.0,1260.0,1399-12-25
18,2021-04-05,1260.0,1260.0,1260.0,1280.0,11340000,9000,2,1280.0,1260.0,1400-01-16
17,2021-04-06,1260.0,1260.0,1260.0,1280.0,5040000,4000,1,1280.0,1260.0,1400-01-17
16,2021-04-07,1260.0,1260.0,1260.0,1280.0,5080320,4032,1,1280.0,1260.0,1400-01-18
15,2021-04-10,1260.0,1260.0,1260.0,1280.0,5040000,4000,1,1280.0,1260.0,1400-01-21
14,2021-04-12,1260.0,1260.0,1260.0,1280.0,12600000,10000,1,1280.0,1260.0,1400-01-23
13,2021-04-13,1260.0,1260.0,1260.0,1280.0,103834080,82408,12,1280.0,1260.0,1400-01-24
12,2021-04-14,1260.0,1260.0,1260.0,1280.0,432709200,343420,14,1280.0,1260.0,1400-01-25
11,2021-04-17,1260.0,1260.0,1260.0,1280.0,26346600,20910,6,1280.0,1260.0,1400-01-28
10,2021-04-20,1260.0,1260.0,1260.0,1280.0,10117800,8030,5,1280.0,1260.0,1400-01-31
9,2021-04-21,1250.0,1250.0,1250.0,1280.0,1250000,1000,1,1280.0,1250.0,1400-02-01
8,2021-04-24,1250.0,1250.0,1250.0,1280.0,136377500,109102,9,1280.0,1250.0,1400-02-04
7,2021-04-26,1250.0,1250.0,1250.0,1280.0,5000000,4000,1,1280.0,1250.0,1400-02-06
6,2021-04-27,1250.0,1250.0,1250.0,1280.0,11250000,9000,2,1280.0,1250.0,1400-02-07
5,2021-04-28,1250.0,1250.0,1250.0,1280.0,7500000,6000,1,1280.0,1250.0,1400-02-08
4,2021-05-02,1250.0,1250.0,1250.0,1280.0,9875000,7900,1,1280.0,1250.0,1400-02-12
3,2021-05-03,1242.0,1242.0,1242.0,1280.0,67205862,54111,5,1280.0,1242.0,1400-02-13
2,2021-05-05,1242.0,1242.0,1242.0,1280.0,19002600,15300,3,1280.0,1242.0,1400-02-15
1,2021-05-16,1216.0,1216.0,1216.0,1280.0,12393472,10192,2,1280.0,1216.0,1400-02-26
0,2021-05-17,1216.0,1216.0,1216.0,1280.0,12160000,10000,1,1280.0,1216.0,1400-02-27
