,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1242,2016-01-27,1490.0,1490.0,1490.0,1490.0,193700000000,130000000,15378,1000.0,1490.0,1394-11-07
1241,2016-01-30,1564.0,1564.0,1564.0,1564.0,233104816,149044,100,1490.0,1564.0,1394-11-10
1240,2016-01-31,1642.0,1642.0,1642.0,1642.0,1060027582,645571,242,1564.0,1642.0,1394-11-11
1239,2016-02-01,1724.0,1724.0,1652.0,1699.0,132320554716,77900408,20666,1642.0,1724.0,1394-11-12
1238,2016-02-02,1700.0,1738.0,1661.0,1687.0,34315500325,20342139,5337,1699.0,1661.0,1394-11-13
1237,2016-02-03,1668.0,1669.0,1620.0,1645.0,17619145968,10710529,2743,1687.0,1641.0,1394-11-14
1236,2016-02-06,1642.0,1717.0,1626.0,1682.0,21371001523,12703644,3089,1645.0,1698.0,1394-11-17
1235,2016-02-07,1701.0,1748.0,1690.0,1718.0,20339211860,11838253,2072,1682.0,1696.0,1394-11-18
1234,2016-02-08,1690.0,1725.0,1675.0,1695.0,25169793548,14853355,2550,1718.0,1677.0,1394-11-19
1233,2016-02-09,1709.0,1739.0,1642.0,1703.0,34550270004,20290438,3037,1695.0,1646.0,1394-11-20
1232,2016-02-10,1646.0,1688.0,1620.0,1638.0,16129056149,9844588,1391,1703.0,1622.0,1394-11-21
1231,2016-02-13,1659.0,1659.0,1563.0,1589.0,10704597045,6736821,1082,1638.0,1578.0,1394-11-24
1230,2016-02-14,1579.0,1610.0,1551.0,1576.0,5191385890,3294526,736,1589.0,1566.0,1394-11-25
1229,2016-02-15,1573.0,1630.0,1564.0,1589.0,9890066824,6222669,1013,1576.0,1571.0,1394-11-26
1228,2016-02-16,1571.0,1595.0,1539.0,1553.0,9029947055,5814443,1123,1589.0,1541.0,1394-11-27
1227,2016-02-17,1554.0,1589.0,1520.0,1549.0,15191060142,9804625,1496,1553.0,1561.0,1394-11-28
1226,2016-02-20,1561.0,1585.0,1540.0,1559.0,10957213902,7027631,1045,1549.0,1565.0,1394-12-01
1225,2016-02-21,1590.0,1590.0,1540.0,1559.0,10480952320,6721656,929,1559.0,1570.0,1394-12-02
1224,2016-02-22,1550.0,1630.0,1550.0,1597.0,13522479263,8466636,1148,1559.0,1600.0,1394-12-03
1223,2016-02-23,1613.0,1619.0,1562.0,1584.0,6456726229,4076574,637,1597.0,1579.0,1394-12-04
1222,2016-02-24,1563.0,1595.0,1556.0,1569.0,4674700268,2978658,483,1584.0,1570.0,1394-12-05
1221,2016-02-27,1597.0,1600.0,1560.0,1572.0,3979331499,2531880,405,1569.0,1560.0,1394-12-08
1220,2016-02-28,1570.0,1570.0,1524.0,1540.0,6358345534,4129038,753,1572.0,1547.0,1394-12-09
1219,2016-02-29,1540.0,1564.0,1520.0,1528.0,4120523707,2696980,479,1540.0,1520.0,1394-12-10
1218,2016-03-01,1529.0,1540.0,1510.0,1522.0,5653763764,3714120,647,1528.0,1530.0,1394-12-11
1217,2016-03-02,1525.0,1539.0,1500.0,1511.0,5256845638,3478499,571,1522.0,1506.0,1394-12-12
1216,2016-03-05,1512.0,1582.0,1512.0,1562.0,7952018000,5090218,730,1511.0,1570.0,1394-12-15
1215,2016-03-06,1565.0,1579.0,1511.0,1534.0,4325931142,2819876,494,1562.0,1530.0,1394-12-16
1214,2016-03-07,1522.0,1540.0,1506.0,1516.0,6566691874,4331694,635,1534.0,1515.0,1394-12-17
1213,2016-03-08,1520.0,1530.0,1506.0,1513.0,4664090056,3081972,543,1516.0,1509.0,1394-12-18
1212,2016-03-09,1512.0,1520.0,1502.0,1509.0,3603437897,2387960,404,1513.0,1517.0,1394-12-19
1211,2016-03-12,1510.0,1549.0,1503.0,1527.0,6599024075,4321742,586,1509.0,1512.0,1394-12-22
1210,2016-03-14,1521.0,1559.0,1506.0,1520.0,7359387463,4842722,742,1527.0,1510.0,1394-12-24
1209,2016-03-15,1520.0,1530.0,1496.0,1505.0,3458742495,2297656,398,1520.0,1509.0,1394-12-25
1208,2016-03-16,1501.0,1510.0,1480.0,1493.0,6023889959,4035059,598,1505.0,1483.0,1394-12-26
1207,2016-03-26,1510.0,1527.0,1471.0,1496.0,3022045367,2019776,270,1493.0,1479.0,1395-01-07
1206,2016-03-27,1510.0,1510.0,1490.0,1499.0,2013692880,1343101,261,1496.0,1490.0,1395-01-08
1205,2016-03-28,1500.0,1509.0,1480.0,1492.0,2454489896,1645185,276,1499.0,1500.0,1395-01-09
1204,2016-03-29,1485.0,1498.0,1480.0,1486.0,2737391380,1841778,330,1492.0,1484.0,1395-01-10
1203,2016-03-30,1490.0,1508.0,1480.0,1488.0,2011600474,1351829,273,1486.0,1496.0,1395-01-11
1202,2016-04-02,1499.0,1518.0,1490.0,1500.0,3393007423,2262395,379,1488.0,1500.0,1395-01-14
1201,2016-04-03,1500.0,1505.0,1481.0,1494.0,2757983819,1846333,293,1500.0,1481.0,1395-01-15
1200,2016-04-04,1495.0,1540.0,1486.0,1518.0,5544171690,3652602,518,1494.0,1538.0,1395-01-16
1199,2016-04-05,1542.0,1593.0,1524.0,1583.0,16323174933,10311527,1162,1518.0,1593.0,1395-01-17
1198,2016-04-06,1592.0,1650.0,1557.0,1597.0,6045103790,3784258,571,1583.0,1571.0,1395-01-18
