,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
80,2020-10-11,1260.0,1260.0,1260.0,1260.0,93301740,74049,2,1000.0,1260.0,1399-07-20
79,2020-10-12,1320.0,1320.0,1320.0,1260.0,284601240,215607,7,1260.0,1320.0,1399-07-21
78,2020-10-13,1320.0,1320.0,1320.0,1260.0,345037440,261392,12,1260.0,1320.0,1399-07-22
77,2020-10-14,1320.0,1320.0,1320.0,1260.0,9956760,7543,3,1260.0,1320.0,1399-07-23
76,2020-10-18,1320.0,1320.0,1320.0,1260.0,621192000,470600,29,1260.0,1320.0,1399-07-27
75,2020-10-19,1320.0,1320.0,1320.0,1260.0,173042760,131093,7,1260.0,1320.0,1399-07-28
74,2020-10-20,1320.0,1320.0,1320.0,1260.0,20394000,15450,5,1260.0,1320.0,1399-07-29
73,2020-10-21,1320.0,1320.0,1320.0,1260.0,238472520,180661,19,1260.0,1320.0,1399-07-30
72,2020-10-24,1320.0,1320.0,1320.0,1260.0,1442531640,1092827,55,1260.0,1320.0,1399-08-03
71,2020-10-26,1320.0,1320.0,1300.0,1260.0,3090316760,2342176,214,1260.0,1320.0,1399-08-05
70,2020-10-27,1320.0,1320.0,1250.0,1260.0,2315898720,1776945,146,1260.0,1320.0,1399-08-06
69,2020-10-28,1320.0,1320.0,1320.0,1260.0,2431965360,1842398,74,1260.0,1320.0,1399-08-07
68,2020-10-31,1320.0,1320.0,1260.0,1260.0,3683122310,2801789,220,1260.0,1320.0,1399-08-10
67,2020-11-01,1300.0,1320.0,1270.0,1260.0,3287324050,2520135,222,1260.0,1320.0,1399-08-11
66,2020-11-02,1300.0,1320.0,1200.0,1260.0,2771842580,2150487,200,1260.0,1300.0,1399-08-12
65,2020-11-04,1200.0,1200.0,1200.0,1260.0,745279200,621066,58,1260.0,1200.0,1399-08-14
64,2020-11-07,1200.0,1200.0,1200.0,1260.0,208006800,173339,11,1260.0,1200.0,1399-08-17
63,2020-11-08,1200.0,1200.0,1200.0,1260.0,15480000,12900,3,1260.0,1200.0,1399-08-18
62,2020-11-09,1200.0,1200.0,1200.0,1260.0,96830400,80692,9,1260.0,1200.0,1399-08-19
61,2020-11-10,1200.0,1200.0,1200.0,1260.0,114194400,95162,16,1260.0,1200.0,1399-08-20
60,2020-11-11,1200.0,1200.0,1200.0,1260.0,1085235600,904363,37,1260.0,1200.0,1399-08-21
59,2020-11-14,1200.0,1200.0,1200.0,1260.0,137944800,114954,18,1260.0,1200.0,1399-08-24
58,2020-11-15,1200.0,1200.0,1200.0,1260.0,30240000,25200,4,1260.0,1200.0,1399-08-25
57,2020-11-16,1200.0,1200.0,1200.0,1260.0,18000000,15000,3,1260.0,1200.0,1399-08-26
56,2020-11-17,1200.0,1200.0,1200.0,1260.0,82140000,68450,7,1260.0,1200.0,1399-08-27
55,2020-11-18,1200.0,1200.0,1200.0,1260.0,68499600,57083,8,1260.0,1200.0,1399-08-28
54,2020-11-21,1200.0,1200.0,1200.0,1260.0,102966000,85805,5,1260.0,1200.0,1399-09-01
53,2020-11-22,1200.0,1200.0,1200.0,1260.0,42230400,35192,6,1260.0,1200.0,1399-09-02
52,2020-11-23,1200.0,1200.0,1200.0,1260.0,140457600,117048,17,1260.0,1200.0,1399-09-03
51,2020-11-24,1200.0,1200.0,1200.0,1260.0,85238400,71032,7,1260.0,1200.0,1399-09-04
50,2020-11-25,1200.0,1200.0,1200.0,1260.0,45230400,37692,5,1260.0,1200.0,1399-09-05
49,2020-11-28,1200.0,1200.0,1200.0,1260.0,10299600,8583,2,1260.0,1200.0,1399-09-08
48,2020-11-29,1200.0,1200.0,1200.0,1260.0,175573200,146311,17,1260.0,1200.0,1399-09-09
47,2020-11-30,1200.0,1200.0,1200.0,1260.0,386029200,321691,30,1260.0,1200.0,1399-09-10
46,2020-12-01,1200.0,1200.0,1200.0,1260.0,553173600,460978,11,1260.0,1200.0,1399-09-11
45,2020-12-02,1200.0,1200.0,1200.0,1260.0,6000000,5000,1,1260.0,1200.0,1399-09-12
44,2020-12-05,1200.0,1200.0,1200.0,1260.0,62973600,52478,8,1260.0,1200.0,1399-09-15
43,2020-12-06,1200.0,1200.0,1200.0,1260.0,125451600,104543,13,1260.0,1200.0,1399-09-16
42,2020-12-07,1200.0,1200.0,1200.0,1260.0,27988800,23324,6,1260.0,1200.0,1399-09-17
41,2020-12-08,1200.0,1200.0,1200.0,1260.0,188514000,157095,12,1260.0,1200.0,1399-09-18
40,2020-12-09,1200.0,1200.0,1200.0,1260.0,104600400,87167,16,1260.0,1200.0,1399-09-19
39,2020-12-12,1200.0,1200.0,1200.0,1260.0,29400000,24500,3,1260.0,1200.0,1399-09-22
38,2020-12-14,1200.0,1200.0,1200.0,1260.0,6000000,5000,1,1260.0,1200.0,1399-09-24
37,2020-12-15,1200.0,1200.0,1200.0,1260.0,5400000,4500,1,1260.0,1200.0,1399-09-25
36,2020-12-19,1200.0,1200.0,1200.0,1260.0,84324000,70270,6,1260.0,1200.0,1399-09-29
35,2020-12-20,1200.0,1200.0,1200.0,1260.0,6960000,5800,1,1260.0,1200.0,1399-09-30
34,2020-12-23,1200.0,1200.0,1200.0,1260.0,5080800,4234,1,1260.0,1200.0,1399-10-03
33,2020-12-27,1200.0,1200.0,1200.0,1260.0,7200000,6000,1,1260.0,1200.0,1399-10-07
32,2020-12-28,1200.0,1200.0,1200.0,1260.0,9840000,8200,2,1260.0,1200.0,1399-10-08
31,2020-12-29,1200.0,1200.0,1200.0,1260.0,44640000,37200,2,1260.0,1200.0,1399-10-09
30,2020-12-30,1200.0,1200.0,1200.0,1260.0,5943600,4953,1,1260.0,1200.0,1399-10-10
29,2021-01-02,1200.0,1200.0,1200.0,1260.0,34928400,29107,3,1260.0,1200.0,1399-10-13
28,2021-01-04,1200.0,1200.0,1200.0,1260.0,5348400,4457,1,1260.0,1200.0,1399-10-15
27,2021-01-05,1200.0,1200.0,1200.0,1260.0,5248800,4374,1,1260.0,1200.0,1399-10-16
26,2021-01-09,1200.0,1200.0,1200.0,1260.0,6000000,5000,1,1260.0,1200.0,1399-10-20
25,2021-01-11,1200.0,1200.0,1200.0,1260.0,5400000,4500,1,1260.0,1200.0,1399-10-22
24,2021-01-16,1200.0,1200.0,1200.0,1260.0,49696800,41414,4,1260.0,1200.0,1399-10-27
23,2021-01-18,1200.0,1200.0,1200.0,1260.0,44833200,37361,2,1260.0,1200.0,1399-10-29
22,2021-01-20,1200.0,1200.0,1200.0,1260.0,188556000,157130,10,1260.0,1200.0,1399-11-01
21,2021-01-23,1200.0,1200.0,1200.0,1260.0,6000000,5000,1,1260.0,1200.0,1399-11-04
20,2021-01-24,1200.0,1200.0,1200.0,1260.0,94668000,78890,2,1260.0,1200.0,1399-11-05
19,2021-01-26,1200.0,1200.0,1200.0,1260.0,20400000,17000,3,1260.0,1200.0,1399-11-07
18,2021-01-27,1200.0,1200.0,1200.0,1260.0,9600000,8000,1,1260.0,1200.0,1399-11-08
17,2021-01-30,1200.0,1200.0,1200.0,1260.0,20775600,17313,1,1260.0,1200.0,1399-11-11
16,2021-01-31,1200.0,1200.0,1200.0,1260.0,5400000,4500,1,1260.0,1200.0,1399-11-12
15,2021-02-01,1200.0,1200.0,1200.0,1260.0,6000000,5000,1,1260.0,1200.0,1399-11-13
14,2021-02-02,1200.0,1200.0,1200.0,1260.0,10954800,9129,2,1260.0,1200.0,1399-11-14
13,2021-02-03,1200.0,1200.0,1200.0,1260.0,5080800,4234,2,1260.0,1200.0,1399-11-15
12,2021-02-15,1240.0,1240.0,1240.0,1260.0,14880000,12000,1,1260.0,1240.0,1399-11-27
11,2021-02-16,1240.0,1240.0,1240.0,1260.0,11160000,9000,1,1260.0,1240.0,1399-11-28
10,2021-02-20,1240.0,1240.0,1240.0,1260.0,18600000,15000,1,1260.0,1240.0,1399-12-02
9,2021-02-21,1240.0,1240.0,1240.0,1260.0,5069120,4088,1,1260.0,1240.0,1399-12-03
8,2021-02-23,1240.0,1240.0,1240.0,1260.0,26177640,21111,3,1260.0,1240.0,1399-12-05
7,2021-02-24,1240.0,1240.0,1240.0,1260.0,5000920,4033,1,1260.0,1240.0,1399-12-06
6,2021-02-27,1240.0,1240.0,1240.0,1260.0,9920000,8000,1,1260.0,1240.0,1399-12-09
5,2021-02-28,1240.0,1240.0,1240.0,1260.0,12897240,10401,2,1260.0,1240.0,1399-12-10
4,2021-03-01,1240.0,1240.0,1240.0,1260.0,12400000,10000,1,1260.0,1240.0,1399-12-11
3,2021-03-02,1240.0,1240.0,1240.0,1260.0,30256000,24400,5,1260.0,1240.0,1399-12-12
2,2021-03-03,1240.0,1240.0,1240.0,1260.0,9358280,7547,1,1260.0,1240.0,1399-12-13
1,2021-03-08,1240.0,1240.0,1240.0,1260.0,9920000,8000,1,1260.0,1240.0,1399-12-18
0,2021-03-09,1240.0,1240.0,1240.0,1260.0,12400000,10000,2,1260.0,1240.0,1399-12-19
