,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
149,2020-08-16,1620.0,1700.0,1620.0,1680.0,364018000,216340,55,1000.0,1700.0,1399-05-26
148,2020-08-17,1760.0,1760.0,1760.0,1010.0,598706240,340174,30,1000.0,1760.0,1399-05-27
147,2020-08-18,1760.0,1760.0,1760.0,1680.0,778851040,442529,70,1680.0,1760.0,1399-05-28
146,2020-08-19,1760.0,1760.0,1760.0,1680.0,1898686240,1078799,56,1680.0,1760.0,1399-05-29
145,2020-08-22,1760.0,1760.0,1760.0,1680.0,2023577600,1149760,88,1680.0,1760.0,1399-06-01
144,2020-08-23,1760.0,1760.0,1760.0,1690.0,4937391360,2805336,127,1680.0,1760.0,1399-06-02
143,2020-08-24,1770.0,1770.0,1770.0,1700.0,4035012360,2279668,57,1690.0,1770.0,1399-06-03
142,2020-08-25,1780.0,1780.0,1780.0,1700.0,2608299860,1465337,48,1700.0,1780.0,1399-06-04
141,2020-08-26,1780.0,1780.0,1780.0,1710.0,5362641600,3012720,133,1700.0,1780.0,1399-06-05
140,2020-08-31,1790.0,1790.0,1790.0,1720.0,6118796380,3418322,84,1710.0,1790.0,1399-06-10
139,2020-09-01,1800.0,1800.0,1800.0,1730.0,5409716400,3005398,66,1720.0,1800.0,1399-06-11
138,2020-09-02,1810.0,1810.0,1810.0,1740.0,5767840120,3186652,70,1730.0,1810.0,1399-06-12
137,2020-09-05,1820.0,1820.0,1820.0,1750.0,9743481020,5353561,85,1740.0,1820.0,1399-06-15
136,2020-09-06,1830.0,1830.0,1830.0,1770.0,11256114060,6150882,97,1750.0,1830.0,1399-06-16
135,2020-09-07,1850.0,1850.0,1850.0,1790.0,14645658200,7916572,112,1770.0,1850.0,1399-06-17
134,2020-09-08,1870.0,1870.0,1870.0,1820.0,20766149910,11104893,158,1790.0,1870.0,1399-06-18
133,2020-09-09,1910.0,1910.0,1910.0,1830.0,7517813480,3936028,123,1820.0,1910.0,1399-06-19
132,2020-09-12,1920.0,1920.0,1920.0,1850.0,10433952000,5434350,113,1830.0,1920.0,1399-06-22
131,2020-09-13,1940.0,1940.0,1940.0,1880.0,18965395380,9775977,192,1850.0,1940.0,1399-06-23
130,2020-09-14,1970.0,1970.0,1970.0,1910.0,20607833130,10460829,194,1880.0,1970.0,1399-06-24
129,2020-09-15,2000.0,2000.0,2000.0,1940.0,17091276000,8545638,176,1910.0,2000.0,1399-06-25
128,2020-09-16,2030.0,2030.0,2030.0,1960.0,12544133280,6179376,143,1940.0,2030.0,1399-06-26
127,2020-09-19,2050.0,2050.0,2050.0,1980.0,12386659650,6042273,159,1960.0,2050.0,1399-06-29
126,2020-09-20,2070.0,2070.0,2070.0,2030.0,31512092310,15223233,363,1980.0,2070.0,1399-06-30
125,2020-09-21,2130.0,2130.0,2130.0,2070.0,24164155620,11344674,221,2030.0,2130.0,1399-06-31
124,2020-09-22,2170.0,2170.0,2170.0,2130.0,32942437990,15180847,272,2070.0,2170.0,1399-07-01
123,2020-09-23,2230.0,2230.0,2230.0,2170.0,23891397130,10713631,176,2130.0,2230.0,1399-07-02
122,2020-09-26,2270.0,2270.0,2270.0,2220.0,27618297770,12166651,236,2170.0,2270.0,1399-07-05
121,2020-09-27,2330.0,2330.0,2330.0,2320.0,53871578170,23120849,358,2220.0,2330.0,1399-07-06
120,2020-09-28,2430.0,2430.0,2210.0,2380.0,209471294780,87947800,2510,2320.0,2210.0,1399-07-07
119,2020-09-29,2270.0,2270.0,2270.0,2360.0,11560385870,5092681,304,2380.0,2270.0,1399-07-08
118,2020-09-30,2250.0,2250.0,2250.0,2310.0,24696371250,10976165,313,2360.0,2250.0,1399-07-09
117,2020-10-03,2200.0,2200.0,2200.0,2290.0,9226309400,4193777,207,2310.0,2200.0,1399-07-12
