,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
971,2014-02-24,1070.0,1070.0,1070.0,1070.0,21400000,20000,2,1000.0,1070.0,1392-12-05
970,2014-03-02,1071.0,1071.0,1050.0,1069.0,155928900,145900,26,1070.0,1071.0,1392-12-11
969,2014-03-09,1069.0,1200.0,1069.0,1079.0,263733000,244500,36,1069.0,1200.0,1392-12-18
968,2014-03-10,1200.0,1200.0,1200.0,1200.0,2400000,2000,1,1079.0,1200.0,1392-12-19
967,2014-03-11,1200.0,1300.0,1200.0,1223.0,15900000,13000,3,1200.0,1300.0,1392-12-20
966,2014-03-19,1500.0,1500.0,1500.0,1500.0,4500000,3000,1,1223.0,1500.0,1392-12-28
965,2014-04-05,2000.0,2000.0,2000.0,2000.0,4000000,2000,1,1500.0,2000.0,1393-01-16
964,2014-04-08,2000.0,2000.0,2000.0,2000.0,6000000,3000,1,2000.0,2000.0,1393-01-19
963,2014-04-12,2000.0,2000.0,2000.0,2000.0,16000000,8000,1,2000.0,2000.0,1393-01-23
962,2014-04-14,1900.0,1900.0,1900.0,1900.0,190000000,100000,1,2000.0,1900.0,1393-01-25
961,2014-04-15,1900.0,1900.0,1900.0,1900.0,55100000,29000,4,1900.0,1900.0,1393-01-26
960,2014-05-10,1900.0,1900.0,1900.0,1900.0,38000000,20000,2,1900.0,1900.0,1393-02-20
959,2014-05-12,1900.0,1900.0,1900.0,1900.0,190000,100,1,1900.0,1900.0,1393-02-22
958,2014-06-08,1900.0,1900.0,1900.0,1900.0,19000,10,1,1900.0,1900.0,1393-03-18
957,2014-06-24,1750.0,1750.0,1600.0,1635.0,16182600,9900,3,1750.0,1600.0,1393-04-03
956,2014-07-21,1900.0,1900.0,1900.0,1900.0,38000000,20000,2,1635.0,1900.0,1393-04-30
955,2014-07-27,1900.0,1900.0,1890.0,1898.0,22761000,11990,2,1900.0,1890.0,1393-05-05
954,2014-07-28,2000.0,2000.0,2000.0,2000.0,20000,10,1,1898.0,2000.0,1393-05-06
953,2014-08-02,2000.0,2000.0,2000.0,2000.0,79800000,39900,2,2000.0,2000.0,1393-05-11
952,2014-08-03,2000.0,2000.0,2000.0,2000.0,300000,150,1,2000.0,2000.0,1393-05-12
951,2014-08-05,1800.0,1800.0,1800.0,1800.0,36000000,20000,2,2000.0,1800.0,1393-05-14
950,2014-08-09,1900.0,1900.0,1900.0,1900.0,323000,170,1,1800.0,1900.0,1393-05-18
949,2014-08-10,1750.0,1750.0,1750.0,1750.0,8750000,5000,1,1900.0,1750.0,1393-05-19
948,2014-08-16,1750.0,1750.0,1750.0,1750.0,175000,100,1,1750.0,1750.0,1393-05-25
947,2014-08-23,1600.0,1600.0,1600.0,1600.0,24000000,15000,1,1750.0,1600.0,1393-06-01
946,2014-09-16,1505.0,1550.0,1505.0,1509.0,150885000,100000,4,1600.0,1550.0,1393-06-25
945,2014-09-24,1750.0,1750.0,1750.0,1750.0,8277500,4730,1,1509.0,1750.0,1393-07-02
944,2014-09-27,2000.0,2000.0,2000.0,2000.0,2400000,1200,1,1750.0,2000.0,1393-07-05
943,2014-10-28,1520.0,1520.0,1520.0,1520.0,1808800,1190,1,2000.0,1520.0,1393-08-06
942,2014-11-09,1510.0,1510.0,1510.0,1510.0,12080000,8000,1,1520.0,1510.0,1393-08-18
941,2014-11-18,1530.0,1530.0,1530.0,1530.0,1820700,1190,1,1510.0,1530.0,1393-08-27
940,2014-12-01,2000.0,2000.0,2000.0,2000.0,27480000,13740,2,1530.0,2000.0,1393-09-10
939,2014-12-02,2000.0,2000.0,2000.0,2000.0,22120000,11060,2,2000.0,2000.0,1393-09-11
938,2015-01-07,1550.0,1550.0,1550.0,1550.0,15500000,10000,1,2000.0,1550.0,1393-10-17
937,2015-01-11,1531.0,1531.0,1531.0,1531.0,15310000,10000,1,1550.0,1531.0,1393-10-21
936,2015-01-13,1750.0,1750.0,1750.0,1750.0,10675000,6100,3,1531.0,1750.0,1393-10-23
935,2015-01-24,1750.0,1750.0,1750.0,1750.0,875000,500,1,1750.0,1750.0,1393-11-04
934,2015-01-26,1470.0,1470.0,1470.0,1470.0,617910090,420347,67,1750.0,1470.0,1393-11-06
933,2015-01-27,1470.0,1531.0,1470.0,1470.0,627907550,427065,50,1470.0,1531.0,1393-11-07
932,2015-01-28,1700.0,1700.0,1700.0,1700.0,25500000,15000,1,1470.0,1700.0,1393-11-08
