,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
108,2020-09-27,1430.0,1430.0,1430.0,1430.0,5219500,3650,1,1000.0,1430.0,1399-07-06
107,2020-09-28,1500.0,1500.0,1500.0,1430.0,107487000,71658,4,1430.0,1500.0,1399-07-07
106,2020-09-29,1500.0,1500.0,1500.0,1430.0,95976000,63984,1,1430.0,1500.0,1399-07-08
105,2020-10-03,1500.0,1500.0,1500.0,1430.0,51969000,34646,2,1430.0,1500.0,1399-07-12
104,2020-10-04,1500.0,1500.0,1500.0,1430.0,30000000,20000,2,1430.0,1500.0,1399-07-13
103,2020-10-05,1500.0,1500.0,1500.0,1430.0,7500000,5000,1,1430.0,1500.0,1399-07-14
102,2020-10-06,1500.0,1500.0,1500.0,1430.0,128430000,85620,3,1430.0,1500.0,1399-07-15
101,2020-10-07,1500.0,1500.0,1500.0,1430.0,70752000,47168,5,1430.0,1500.0,1399-07-16
100,2020-10-10,1500.0,1500.0,1500.0,1430.0,656616000,437744,6,1430.0,1500.0,1399-07-19
99,2020-10-11,1500.0,1500.0,1500.0,1430.0,45975000,30650,2,1430.0,1500.0,1399-07-20
98,2020-10-12,1500.0,1500.0,1500.0,1430.0,221682000,147788,8,1430.0,1500.0,1399-07-21
97,2020-10-14,1500.0,1500.0,1500.0,1430.0,237481500,158321,20,1430.0,1500.0,1399-07-23
96,2020-10-18,1500.0,1500.0,1500.0,1430.0,415998000,277332,31,1430.0,1500.0,1399-07-27
95,2020-10-19,1500.0,1500.0,1500.0,1430.0,21027000,14018,3,1430.0,1500.0,1399-07-28
94,2020-10-20,1500.0,1500.0,1500.0,1430.0,733951500,489301,67,1430.0,1500.0,1399-07-29
93,2020-10-21,1500.0,1500.0,1500.0,1430.0,533461500,355641,42,1430.0,1500.0,1399-07-30
92,2020-10-24,1470.0,1470.0,1360.0,1430.0,635710470,463559,61,1430.0,1360.0,1399-08-03
91,2020-10-26,1360.0,1360.0,1360.0,1430.0,162626080,119578,20,1430.0,1360.0,1399-08-05
90,2020-10-27,1360.0,1360.0,1360.0,1430.0,43855920,32247,6,1430.0,1360.0,1399-08-06
89,2020-10-28,1360.0,1360.0,1360.0,1430.0,461441200,339295,20,1430.0,1360.0,1399-08-07
88,2020-10-31,1360.0,1360.0,1360.0,1430.0,93895760,69041,11,1430.0,1360.0,1399-08-10
87,2020-11-01,1360.0,1360.0,1360.0,1430.0,30673440,22554,4,1430.0,1360.0,1399-08-11
86,2020-11-04,1360.0,1360.0,1360.0,1430.0,60413920,44422,4,1430.0,1360.0,1399-08-14
85,2020-11-07,1360.0,1360.0,1360.0,1420.0,3934086960,2892711,94,1430.0,1360.0,1399-08-17
84,2020-11-08,1350.0,1350.0,1350.0,1420.0,23319900,17274,4,1420.0,1350.0,1399-08-18
83,2020-11-09,1350.0,1350.0,1350.0,1420.0,25728300,19058,3,1420.0,1350.0,1399-08-19
82,2020-11-10,1350.0,1350.0,1350.0,1420.0,18495000,13700,6,1420.0,1350.0,1399-08-20
81,2020-11-11,1350.0,1350.0,1350.0,1420.0,52095150,38589,6,1420.0,1350.0,1399-08-21
80,2020-11-14,1350.0,1350.0,1350.0,1420.0,509593950,377477,19,1420.0,1350.0,1399-08-24
79,2020-11-15,1350.0,1350.0,1350.0,1420.0,45979650,34059,5,1420.0,1350.0,1399-08-25
78,2020-11-16,1350.0,1350.0,1350.0,1420.0,18900000,14000,2,1420.0,1350.0,1399-08-26
77,2020-11-17,1350.0,1350.0,1350.0,1420.0,56149200,41592,6,1420.0,1350.0,1399-08-27
76,2020-11-18,1350.0,1350.0,1350.0,1420.0,24811650,18379,4,1420.0,1350.0,1399-08-28
75,2020-11-21,1350.0,1350.0,1350.0,1420.0,5103000,3780,1,1420.0,1350.0,1399-09-01
74,2020-11-22,1350.0,1350.0,1350.0,1420.0,10489500,7770,2,1420.0,1350.0,1399-09-02
73,2020-11-23,1350.0,1350.0,1350.0,1420.0,67682250,50135,4,1420.0,1350.0,1399-09-03
72,2020-11-24,1350.0,1350.0,1350.0,1420.0,318442050,235883,10,1420.0,1350.0,1399-09-04
71,2020-11-25,1350.0,1350.0,1350.0,1420.0,29754000,22040,5,1420.0,1350.0,1399-09-05
70,2020-11-28,1350.0,1350.0,1350.0,1420.0,46453500,34410,5,1420.0,1350.0,1399-09-08
69,2020-11-29,1350.0,1350.0,1350.0,1420.0,1311530400,971504,71,1420.0,1350.0,1399-09-09
68,2020-11-30,1350.0,1350.0,1350.0,1420.0,1797030900,1331134,57,1420.0,1350.0,1399-09-10
67,2020-12-01,1350.0,1350.0,1350.0,1420.0,38830050,28763,3,1420.0,1350.0,1399-09-11
66,2020-12-02,1350.0,1350.0,1350.0,1420.0,126580050,93763,6,1420.0,1350.0,1399-09-12
65,2020-12-05,1350.0,1350.0,1350.0,1420.0,63942750,47365,6,1420.0,1350.0,1399-09-15
64,2020-12-06,1350.0,1350.0,1350.0,1420.0,373177800,276428,18,1420.0,1350.0,1399-09-16
63,2020-12-07,1350.0,1350.0,1350.0,1420.0,110835000,82100,6,1420.0,1350.0,1399-09-17
62,2020-12-08,1350.0,1350.0,1350.0,1420.0,106255800,78708,3,1420.0,1350.0,1399-09-18
61,2020-12-09,1350.0,1350.0,1350.0,1420.0,87424650,64759,6,1420.0,1350.0,1399-09-19
60,2020-12-12,1350.0,1350.0,1350.0,1420.0,127919250,94755,11,1420.0,1350.0,1399-09-22
59,2020-12-13,1350.0,1350.0,1350.0,1420.0,127237500,94250,9,1420.0,1350.0,1399-09-23
58,2020-12-14,1350.0,1350.0,1350.0,1420.0,5400000,4000,2,1420.0,1350.0,1399-09-24
57,2020-12-16,1350.0,1350.0,1350.0,1420.0,63855000,47300,3,1420.0,1350.0,1399-09-26
56,2020-12-19,1350.0,1350.0,1350.0,1420.0,5400000,4000,1,1420.0,1350.0,1399-09-29
55,2020-12-20,1350.0,1350.0,1350.0,1420.0,12552300,9298,2,1420.0,1350.0,1399-09-30
54,2020-12-21,1350.0,1350.0,1350.0,1420.0,10882350,8061,2,1420.0,1350.0,1399-10-01
53,2020-12-27,1350.0,1350.0,1350.0,1420.0,18900000,14000,2,1420.0,1350.0,1399-10-07
52,2020-12-28,1350.0,1350.0,1350.0,1420.0,5248800,3888,1,1420.0,1350.0,1399-10-08
51,2020-12-29,1350.0,1350.0,1350.0,1420.0,5400000,4000,1,1420.0,1350.0,1399-10-09
50,2021-01-02,1350.0,1350.0,1350.0,1420.0,15191550,11253,2,1420.0,1350.0,1399-10-13
49,2021-01-03,1350.0,1350.0,1350.0,1420.0,5670000,4200,1,1420.0,1350.0,1399-10-14
48,2021-01-04,1350.0,1350.0,1350.0,1420.0,27573750,20425,4,1420.0,1350.0,1399-10-15
47,2021-01-05,1350.0,1350.0,1350.0,1420.0,32478300,24058,5,1420.0,1350.0,1399-10-16
46,2021-01-09,1350.0,1350.0,1350.0,1420.0,17111250,12675,3,1420.0,1350.0,1399-10-20
45,2021-01-10,1350.0,1350.0,1350.0,1420.0,89742600,66476,6,1420.0,1350.0,1399-10-21
44,2021-01-13,1350.0,1350.0,1350.0,1420.0,41646150,30849,5,1420.0,1350.0,1399-10-24
43,2021-01-16,1350.0,1350.0,1350.0,1420.0,18966150,14049,2,1420.0,1350.0,1399-10-27
42,2021-01-19,1350.0,1350.0,1350.0,1420.0,5062500,3750,1,1420.0,1350.0,1399-10-30
41,2021-01-23,1350.0,1350.0,1350.0,1420.0,68850000,51000,9,1420.0,1350.0,1399-11-04
40,2021-01-24,1350.0,1350.0,1350.0,1420.0,25650000,19000,3,1420.0,1350.0,1399-11-05
39,2021-01-25,1350.0,1350.0,1350.0,1420.0,13500000,10000,1,1420.0,1350.0,1399-11-06
38,2021-01-30,1350.0,1350.0,1350.0,1420.0,4731750,3505,1,1420.0,1350.0,1399-11-11
37,2021-01-31,1350.0,1350.0,1350.0,1420.0,23365800,17308,3,1420.0,1350.0,1399-11-12
36,2021-02-02,1350.0,1350.0,1350.0,1420.0,13500000,10000,2,1420.0,1350.0,1399-11-14
35,2021-02-06,1350.0,1350.0,1350.0,1420.0,20459250,15155,3,1420.0,1350.0,1399-11-18
34,2021-02-07,1350.0,1350.0,1350.0,1420.0,6075000,4500,1,1420.0,1350.0,1399-11-19
33,2021-02-15,1400.0,1400.0,1400.0,1420.0,16182600,11559,3,1420.0,1400.0,1399-11-27
32,2021-02-23,1400.0,1400.0,1400.0,1420.0,33600000,24000,3,1420.0,1400.0,1399-12-05
31,2021-02-27,1400.0,1400.0,1400.0,1420.0,54574800,38982,2,1420.0,1400.0,1399-12-09
30,2021-02-28,1400.0,1400.0,1400.0,1420.0,10627400,7591,2,1420.0,1400.0,1399-12-10
29,2021-03-03,1400.0,1400.0,1400.0,1420.0,10024000,7160,2,1420.0,1400.0,1399-12-13
28,2021-03-07,1400.0,1400.0,1400.0,1420.0,5600000,4000,1,1420.0,1400.0,1399-12-17
27,2021-03-10,1400.0,1400.0,1400.0,1420.0,5600000,4000,1,1420.0,1400.0,1399-12-20
26,2021-03-13,1400.0,1400.0,1400.0,1420.0,5040000,3600,1,1420.0,1400.0,1399-12-23
25,2021-04-06,1400.0,1400.0,1400.0,1420.0,5600000,4000,1,1420.0,1400.0,1400-01-17
24,2021-04-12,1400.0,1400.0,1400.0,1420.0,19054000,13610,2,1420.0,1400.0,1400-01-23
23,2021-04-13,1400.0,1400.0,1400.0,1420.0,115754800,82682,8,1420.0,1400.0,1400-01-24
22,2021-04-14,1400.0,1400.0,1400.0,1420.0,434168000,310120,10,1420.0,1400.0,1400-01-25
21,2021-04-17,1400.0,1400.0,1400.0,1420.0,27503000,19645,7,1420.0,1400.0,1400-01-28
20,2021-04-19,1400.0,1400.0,1400.0,1420.0,280000,200,2,1420.0,1400.0,1400-01-30
19,2021-04-20,1400.0,1400.0,1400.0,1420.0,5460000,3900,2,1420.0,1400.0,1400-01-31
18,2021-04-21,1380.0,1380.0,1380.0,1420.0,5478600,3970,2,1420.0,1380.0,1400-02-01
17,2021-04-27,1380.0,1380.0,1380.0,1420.0,5037000,3650,1,1420.0,1380.0,1400-02-07
16,2021-05-02,1380.0,1380.0,1380.0,1420.0,6181020,4479,1,1420.0,1380.0,1400-02-12
15,2021-05-03,1378.0,1378.0,1378.0,1420.0,5098600,3700,1,1420.0,1378.0,1400-02-13
14,2021-05-05,1378.0,1378.0,1378.0,1420.0,5098600,3700,1,1420.0,1378.0,1400-02-15
13,2021-05-15,1349.0,1349.0,1349.0,1420.0,5895130,4370,1,1420.0,1349.0,1400-02-25
12,2021-05-16,1349.0,1349.0,1349.0,1420.0,5126200,3800,1,1420.0,1349.0,1400-02-26
11,2021-05-22,1349.0,1349.0,1349.0,1420.0,26980000,20000,1,1420.0,1349.0,1400-03-01
10,2021-05-25,1349.0,1349.0,1349.0,1420.0,5868150,4350,2,1420.0,1349.0,1400-03-04
9,2021-05-30,1349.0,1349.0,1349.0,1420.0,19774991,14659,3,1420.0,1349.0,1400-03-09
8,2021-06-21,1349.0,1349.0,1349.0,1420.0,5016931,3719,1,1420.0,1349.0,1400-03-31
7,2021-08-01,1349.0,1349.0,1349.0,1420.0,15513500,11500,1,1420.0,1349.0,1400-05-10
6,2021-08-03,1349.0,1349.0,1349.0,1420.0,8633600,6400,1,1420.0,1349.0,1400-05-12
5,2021-08-04,1349.0,1349.0,1349.0,1420.0,64084245,47505,4,1420.0,1349.0,1400-05-13
4,2021-08-07,1349.0,1349.0,1349.0,1420.0,7006706,5194,1,1420.0,1349.0,1400-05-16
3,2021-08-09,1349.0,1349.0,1349.0,1420.0,31385834,23266,5,1420.0,1349.0,1400-05-18
2,2021-08-10,1349.0,1349.0,1349.0,1420.0,13490000,10000,1,1420.0,1349.0,1400-05-19
1,2021-08-11,1349.0,1349.0,1349.0,1420.0,101175000,75000,2,1420.0,1349.0,1400-05-20
0,2021-08-14,1349.0,1349.0,1349.0,1420.0,151286303,112147,5,1420.0,1349.0,1400-05-23
