,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
116,2020-11-23,990.0,990.0,990.0,990.0,386151480,390052,11,1000.0,990.0,1399-09-03
115,2020-11-24,1030.0,1030.0,950.0,990.0,3258027040,3188047,120,990.0,1030.0,1399-09-04
114,2020-11-25,1030.0,1030.0,970.0,990.0,4982721190,4877626,236,990.0,1030.0,1399-09-05
113,2020-11-28,1030.0,1030.0,960.0,990.0,8269408630,8205099,266,990.0,1030.0,1399-09-08
112,2020-11-29,1030.0,1030.0,970.0,990.0,10459010680,10324113,248,990.0,1030.0,1399-09-09
111,2020-11-30,1030.0,1030.0,980.0,990.0,8670021320,8575134,279,990.0,1030.0,1399-09-10
110,2020-12-01,1020.0,1030.0,1000.0,990.0,2195182980,2160463,156,990.0,1020.0,1399-09-11
109,2020-12-02,990.0,1030.0,970.0,990.0,13357097310,13279706,276,990.0,1030.0,1399-09-12
108,2020-12-05,1020.0,1030.0,990.0,990.0,8861464770,8707804,279,990.0,1030.0,1399-09-15
107,2020-12-06,1030.0,1030.0,1000.0,1000.0,13563736480,13337417,332,990.0,1030.0,1399-09-16
106,2020-12-07,1020.0,1050.0,1010.0,1010.0,13777496660,13329264,326,1000.0,1050.0,1399-09-17
105,2020-12-08,1060.0,1060.0,1030.0,1020.0,13952949310,13271304,505,1010.0,1060.0,1399-09-18
104,2020-12-09,1070.0,1070.0,1040.0,1020.0,6087976430,5744293,320,1020.0,1060.0,1399-09-19
103,2020-12-12,1050.0,1070.0,1000.0,1030.0,24923178280,23760620,568,1020.0,1070.0,1399-09-22
102,2020-12-13,1070.0,1080.0,1030.0,1040.0,26180752330,24565212,616,1030.0,1080.0,1399-09-23
101,2020-12-14,1090.0,1090.0,1050.0,1040.0,9410348470,8777131,375,1040.0,1080.0,1399-09-24
100,2020-12-15,1050.0,1060.0,990.0,1040.0,4952724000,4918051,228,1040.0,990.0,1399-09-25
99,2020-12-16,1020.0,1090.0,990.0,1030.0,26302110260,25811002,652,1040.0,990.0,1399-09-26
98,2020-12-19,980.0,990.0,980.0,1030.0,3299454340,3365703,140,1030.0,980.0,1399-09-29
97,2020-12-20,980.0,980.0,980.0,1030.0,226786700,231415,17,1030.0,980.0,1399-09-30
96,2020-12-21,980.0,980.0,980.0,1030.0,2040364900,2082005,39,1030.0,980.0,1399-10-01
