,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
50,2020-10-21,1130.0,1130.0,1130.0,1130.0,47054330,41641,1,1000.0,1130.0,1399-07-30
49,2020-10-24,1180.0,1180.0,1180.0,1130.0,117955160,99962,2,1130.0,1180.0,1399-08-03
48,2020-10-26,1180.0,1180.0,1180.0,1130.0,1015764060,860817,44,1130.0,1180.0,1399-08-05
47,2020-10-27,1180.0,1180.0,1180.0,1130.0,1488866180,1261751,98,1130.0,1180.0,1399-08-06
46,2020-10-28,1180.0,1180.0,1180.0,1130.0,4806405500,4073225,133,1130.0,1180.0,1399-08-07
45,2020-10-31,1080.0,1080.0,1080.0,1130.0,1187572320,1099604,65,1130.0,1080.0,1399-08-10
44,2020-11-01,1080.0,1080.0,1080.0,1130.0,489405240,453153,30,1130.0,1080.0,1399-08-11
43,2020-11-02,1080.0,1080.0,1080.0,1130.0,82846800,76710,12,1130.0,1080.0,1399-08-12
42,2020-11-04,1080.0,1080.0,1080.0,1130.0,118538640,109758,8,1130.0,1080.0,1399-08-14
41,2020-11-07,1080.0,1080.0,1080.0,1130.0,30703320,28429,5,1130.0,1080.0,1399-08-17
40,2020-11-08,1080.0,1080.0,1080.0,1130.0,92011680,85196,8,1130.0,1080.0,1399-08-18
39,2020-11-09,1080.0,1080.0,1080.0,1130.0,55760400,51630,6,1130.0,1080.0,1399-08-19
38,2020-11-10,1080.0,1080.0,1080.0,1130.0,59340600,54945,11,1130.0,1080.0,1399-08-20
37,2020-11-11,1080.0,1080.0,1080.0,1130.0,99685080,92301,9,1130.0,1080.0,1399-08-21
36,2020-11-14,1080.0,1080.0,1080.0,1130.0,210471480,194881,18,1130.0,1080.0,1399-08-24
35,2020-11-15,1080.0,1080.0,1080.0,1130.0,134801280,124816,15,1130.0,1080.0,1399-08-25
34,2020-11-16,1080.0,1080.0,1080.0,1130.0,79544160,73652,11,1130.0,1080.0,1399-08-26
33,2020-11-17,1080.0,1080.0,1080.0,1130.0,130252320,120604,13,1130.0,1080.0,1399-08-27
32,2020-11-18,1080.0,1080.0,1080.0,1130.0,233616960,216312,14,1130.0,1080.0,1399-08-28
31,2020-11-21,1080.0,1080.0,1080.0,1130.0,59080320,54704,3,1130.0,1080.0,1399-09-01
30,2020-11-22,1080.0,1080.0,1080.0,1130.0,47778120,44239,3,1130.0,1080.0,1399-09-02
29,2020-11-23,1080.0,1080.0,1080.0,1130.0,68286240,63228,4,1130.0,1080.0,1399-09-03
28,2020-11-24,1080.0,1080.0,1080.0,1130.0,64476000,59700,3,1130.0,1080.0,1399-09-04
27,2020-11-25,1080.0,1080.0,1080.0,1130.0,16200000,15000,3,1130.0,1080.0,1399-09-05
26,2020-11-28,1080.0,1080.0,1080.0,1130.0,10800000,10000,1,1130.0,1080.0,1399-09-08
25,2020-11-29,1080.0,1080.0,1080.0,1130.0,5400000,5000,1,1130.0,1080.0,1399-09-09
24,2020-11-30,1080.0,1080.0,1080.0,1130.0,217838160,201702,25,1130.0,1080.0,1399-09-10
23,2020-12-01,1080.0,1080.0,1080.0,1130.0,43200000,40000,6,1130.0,1080.0,1399-09-11
22,2020-12-05,1080.0,1080.0,1080.0,1130.0,21550320,19954,5,1130.0,1080.0,1399-09-15
21,2020-12-06,1080.0,1080.0,1080.0,1130.0,88864560,82282,7,1130.0,1080.0,1399-09-16
20,2020-12-07,1080.0,1080.0,1080.0,1130.0,142382880,131836,17,1130.0,1080.0,1399-09-17
19,2020-12-08,1080.0,1080.0,1080.0,1130.0,19995120,18514,2,1130.0,1080.0,1399-09-18
