,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
75,2020-11-23,990.0,990.0,910.0,980.0,2177079970,2221906,125,1000.0,980.0,1399-09-03
74,2020-11-24,950.0,970.0,940.0,980.0,570538750,602759,54,980.0,940.0,1399-09-04
73,2020-11-25,940.0,940.0,940.0,980.0,337253200,358780,36,980.0,940.0,1399-09-05
72,2020-11-28,940.0,940.0,940.0,980.0,79588860,84669,11,980.0,940.0,1399-09-08
71,2020-11-29,940.0,940.0,940.0,980.0,235956920,251018,26,980.0,940.0,1399-09-09
70,2020-11-30,940.0,980.0,940.0,980.0,5908506830,6249326,195,980.0,950.0,1399-09-10
69,2020-12-01,940.0,970.0,940.0,980.0,3905704920,4148006,163,980.0,960.0,1399-09-11
68,2020-12-02,940.0,940.0,940.0,980.0,243215600,258740,22,980.0,940.0,1399-09-12
67,2020-12-05,940.0,940.0,940.0,980.0,211776360,225294,15,980.0,940.0,1399-09-15
66,2020-12-06,940.0,940.0,940.0,980.0,92731940,98651,12,980.0,940.0,1399-09-16
65,2020-12-07,940.0,940.0,940.0,980.0,16985800,18070,3,980.0,940.0,1399-09-17
64,2020-12-08,940.0,940.0,940.0,980.0,114210000,121500,6,980.0,940.0,1399-09-18
63,2020-12-09,940.0,940.0,940.0,980.0,26320000,28000,4,980.0,940.0,1399-09-19
62,2020-12-30,940.0,940.0,940.0,980.0,237182680,252322,16,980.0,940.0,1399-10-10
61,2021-01-02,940.0,940.0,940.0,980.0,104915280,111612,10,980.0,940.0,1399-10-13
60,2021-01-03,940.0,940.0,940.0,980.0,21228020,22583,4,980.0,940.0,1399-10-14
59,2021-01-04,940.0,940.0,940.0,980.0,23876000,25400,4,980.0,940.0,1399-10-15
58,2021-01-05,940.0,940.0,940.0,980.0,26605760,28304,5,980.0,940.0,1399-10-16
57,2021-01-06,940.0,940.0,940.0,980.0,50288120,53498,8,980.0,940.0,1399-10-17
56,2021-01-09,940.0,940.0,940.0,980.0,36962680,39322,5,980.0,940.0,1399-10-20
