,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
61,2014-03-17,1300.0,1300.0,1300.0,1300.0,15746900,12113,1,1000.0,1300.0,1392-12-26
60,2015-08-19,1950.0,1950.0,1800.0,1817.0,9816204750,5402050,18,1300.0,1800.0,1394-05-28
59,2020-10-05,13500.0,13500.0,13095.0,13201.0,9078642302,687732,233,1817.0,13095.0,1399-07-14
58,2020-10-07,12840.0,13095.0,12805.0,12886.0,32821763787,2546989,930,13201.0,12900.0,1399-07-16
57,2020-10-10,12500.0,12600.0,12500.0,12504.0,12320933779,985323,639,12886.0,12500.0,1399-07-19
56,2020-10-11,12130.0,12879.0,12129.0,12653.0,27567142639,2178761,746,12504.0,12726.0,1399-07-20
55,2020-10-12,12275.0,12726.0,12274.0,12332.0,7559095524,612952,291,12653.0,12280.0,1399-07-21
54,2020-10-13,11970.0,12100.0,11963.0,11994.0,11087895514,924490,288,12332.0,12000.0,1399-07-22
53,2020-10-14,12000.0,12353.0,12000.0,12348.0,4272794963,346029,203,11994.0,12353.0,1399-07-23
52,2020-10-18,12718.0,12718.0,12718.0,12718.0,3002465440,236080,154,12348.0,12718.0,1399-07-27
51,2020-10-19,13099.0,13099.0,12337.0,12943.0,42759752491,3303704,381,12718.0,12340.0,1399-07-28
50,2020-10-20,12555.0,12700.0,12555.0,12557.0,13518380902,1076599,214,12943.0,12560.0,1399-07-29
49,2020-10-21,12933.0,12933.0,12311.0,12923.0,20806475306,1610066,265,12557.0,12400.0,1399-07-30
48,2020-10-24,12537.0,12915.0,12536.0,12537.0,5822690134,464447,94,12923.0,12536.0,1399-08-03
47,2020-10-26,12161.0,12200.0,12161.0,12166.0,4691612796,385639,127,12537.0,12166.0,1399-08-05
46,2020-10-27,11803.0,11825.0,11802.0,11807.0,4358188665,369106,70,12166.0,11802.0,1399-08-06
45,2020-10-28,11453.0,11900.0,11453.0,11457.0,6905871684,602752,152,11807.0,11453.0,1399-08-07
44,2020-10-31,11114.0,11650.0,11114.0,11137.0,3854471970,346087,131,11457.0,11114.0,1399-08-10
43,2020-11-01,11471.0,11471.0,10803.0,11032.0,2939238547,266417,93,11137.0,10803.0,1399-08-11
42,2020-11-02,10702.0,10803.0,10702.0,10708.0,1226603451,114551,65,11032.0,10702.0,1399-08-12
41,2020-11-04,10387.0,10700.0,10387.0,10392.0,2625248324,252615,92,10708.0,10387.0,1399-08-14
40,2020-11-07,10081.0,10081.0,10081.0,10081.0,4439329646,440366,52,10392.0,10081.0,1399-08-17
39,2020-11-08,9779.0,9780.0,9779.0,9779.0,2351488470,240463,39,10081.0,9779.0,1399-08-18
38,2020-11-09,9486.0,9500.0,9486.0,9486.0,2882728541,303878,114,9779.0,9486.0,1399-08-19
37,2020-11-10,9202.0,9500.0,9202.0,9202.0,9027985910,981071,124,9486.0,9202.0,1399-08-20
36,2020-11-11,8962.0,9417.0,8926.0,9084.0,3224433319,354940,174,9202.0,9400.0,1399-08-21
35,2020-11-14,8881.0,9356.0,8881.0,9164.0,1700923368,185605,123,9084.0,9356.0,1399-08-24
34,2020-11-15,9438.0,9438.0,9438.0,9438.0,7777421652,824054,101,9164.0,9438.0,1399-08-25
33,2020-11-16,9717.0,9721.0,9155.0,9489.0,5679998236,598570,218,9438.0,9220.0,1399-08-26
32,2020-11-17,9773.0,9773.0,9205.0,9731.0,12637711719,1298727,297,9489.0,9773.0,1399-08-27
31,2020-11-18,9610.0,10022.0,9610.0,10012.0,2556017524,255303,113,9731.0,10022.0,1399-08-28
30,2020-11-21,10312.0,10312.0,9724.0,10292.0,11555434164,1122732,227,10012.0,10199.0,1399-09-01
29,2020-11-22,9984.0,10199.0,9984.0,9990.0,8238926001,824707,127,10292.0,10196.0,1399-09-02
28,2020-11-23,9692.0,10285.0,9691.0,9859.0,7948678496,806212,217,9990.0,9691.0,1399-09-03
