,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
116,2020-11-17,900.0,900.0,900.0,900.0,756314100,840349,36,1000.0,900.0,1399-08-27
115,2020-11-18,940.0,940.0,920.0,900.0,2332508210,2482998,161,900.0,940.0,1399-08-28
114,2020-11-21,940.0,940.0,910.0,900.0,2387868700,2588508,135,900.0,930.0,1399-09-01
113,2020-11-22,930.0,940.0,870.0,900.0,2951358740,3192775,160,900.0,920.0,1399-09-02
112,2020-11-23,880.0,940.0,880.0,900.0,5301262530,5704163,171,900.0,940.0,1399-09-03
111,2020-11-24,940.0,940.0,870.0,900.0,3470989860,3843537,142,900.0,890.0,1399-09-04
110,2020-11-25,870.0,900.0,860.0,900.0,2587922340,2973005,158,900.0,890.0,1399-09-05
109,2020-11-28,860.0,880.0,860.0,900.0,981385480,1141009,92,900.0,860.0,1399-09-08
108,2020-11-29,860.0,910.0,860.0,900.0,4547981390,5180089,233,900.0,900.0,1399-09-09
107,2020-11-30,920.0,940.0,880.0,900.0,7926734130,8640427,290,900.0,930.0,1399-09-10
106,2020-12-01,870.0,910.0,870.0,900.0,3091557210,3469659,171,900.0,900.0,1399-09-11
105,2020-12-02,900.0,910.0,880.0,900.0,1426552570,1604148,83,900.0,890.0,1399-09-12
104,2020-12-05,890.0,890.0,870.0,900.0,2291928500,2610827,128,900.0,890.0,1399-09-15
103,2020-12-06,870.0,890.0,860.0,900.0,3100215330,3558456,164,900.0,880.0,1399-09-16
102,2020-12-07,870.0,910.0,860.0,900.0,6647989700,7575268,208,900.0,870.0,1399-09-17
101,2020-12-08,860.0,940.0,860.0,900.0,5115108760,5739227,226,900.0,880.0,1399-09-18
100,2020-12-09,870.0,880.0,860.0,900.0,2616047290,3026046,179,900.0,880.0,1399-09-19
99,2020-12-12,860.0,860.0,860.0,900.0,4257939980,4951093,168,900.0,860.0,1399-09-22
98,2020-12-13,860.0,860.0,860.0,900.0,536308900,623615,39,900.0,860.0,1399-09-23
97,2020-12-14,860.0,880.0,860.0,890.0,11341211060,13153725,269,900.0,870.0,1399-09-24
96,2020-12-15,850.0,850.0,850.0,890.0,229189750,269635,18,890.0,850.0,1399-09-25
95,2020-12-16,850.0,850.0,850.0,890.0,216873250,255145,16,890.0,850.0,1399-09-26
94,2020-12-19,850.0,850.0,850.0,890.0,37116100,43666,6,890.0,850.0,1399-09-29
93,2020-12-20,850.0,850.0,850.0,890.0,31098100,36586,6,890.0,850.0,1399-09-30
92,2020-12-21,850.0,850.0,850.0,890.0,14728800,17328,2,890.0,850.0,1399-10-01
91,2020-12-22,850.0,850.0,850.0,890.0,434531050,511213,11,890.0,850.0,1399-10-02
90,2020-12-23,850.0,850.0,850.0,890.0,114368350,134551,14,890.0,850.0,1399-10-03
89,2020-12-26,850.0,850.0,850.0,890.0,74192250,87285,9,890.0,850.0,1399-10-06
88,2020-12-27,850.0,850.0,850.0,890.0,63245100,74406,6,890.0,850.0,1399-10-07
87,2020-12-28,850.0,850.0,850.0,890.0,198124800,233088,13,890.0,850.0,1399-10-08
