,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
104,2020-10-18,1270.0,1270.0,1270.0,1270.0,74067670,58321,1,1000.0,1270.0,1399-07-27
103,2020-10-19,1330.0,1330.0,1330.0,1270.0,188272140,141558,3,1270.0,1330.0,1399-07-28
102,2020-10-20,1330.0,1330.0,1330.0,1270.0,370515390,278583,9,1270.0,1330.0,1399-07-29
101,2020-10-21,1330.0,1330.0,1330.0,1270.0,592194470,445259,15,1270.0,1330.0,1399-07-30
100,2020-10-24,1330.0,1330.0,1330.0,1270.0,220185490,165553,17,1270.0,1330.0,1399-08-03
99,2020-10-26,1330.0,1330.0,1330.0,1270.0,319138820,239954,22,1270.0,1330.0,1399-08-05
98,2020-10-27,1330.0,1330.0,1330.0,1270.0,343269010,258097,16,1270.0,1330.0,1399-08-06
97,2020-10-28,1330.0,1330.0,1330.0,1270.0,530691280,399016,22,1270.0,1330.0,1399-08-07
96,2020-10-31,1330.0,1330.0,1220.0,1280.0,5137857150,3878376,240,1270.0,1330.0,1399-08-10
95,2020-11-01,1340.0,1340.0,1340.0,1280.0,2647960600,1976090,142,1280.0,1340.0,1399-08-11
94,2020-11-02,1340.0,1340.0,1220.0,1280.0,3049415810,2297141,151,1280.0,1340.0,1399-08-12
93,2020-11-04,1340.0,1340.0,1310.0,1280.0,2861058570,2139981,161,1280.0,1330.0,1399-08-14
92,2020-11-07,1330.0,1330.0,1220.0,1280.0,1541263650,1247765,108,1280.0,1220.0,1399-08-17
91,2020-11-08,1220.0,1220.0,1220.0,1280.0,175228600,143630,20,1280.0,1220.0,1399-08-18
90,2020-11-09,1220.0,1220.0,1220.0,1280.0,408370600,334730,27,1280.0,1220.0,1399-08-19
89,2020-11-10,1220.0,1220.0,1220.0,1280.0,299329440,245352,17,1280.0,1220.0,1399-08-20
88,2020-11-11,1220.0,1220.0,1220.0,1280.0,197266680,161694,22,1280.0,1220.0,1399-08-21
87,2020-11-14,1220.0,1340.0,1220.0,1280.0,7146135010,5597497,251,1280.0,1280.0,1399-08-24
86,2020-11-15,1300.0,1300.0,1220.0,1280.0,1549417280,1246565,82,1280.0,1280.0,1399-08-25
85,2020-11-16,1220.0,1250.0,1220.0,1280.0,2062471100,1685737,83,1280.0,1220.0,1399-08-26
84,2020-11-17,1220.0,1220.0,1220.0,1280.0,1121471580,919239,55,1280.0,1220.0,1399-08-27
83,2020-11-18,1220.0,1270.0,1220.0,1280.0,551321860,451388,54,1280.0,1220.0,1399-08-28
82,2020-11-21,1220.0,1230.0,1220.0,1280.0,289860540,237557,19,1280.0,1220.0,1399-09-01
81,2020-11-22,1220.0,1220.0,1220.0,1280.0,63847480,52334,7,1280.0,1220.0,1399-09-02
80,2020-11-23,1220.0,1220.0,1220.0,1280.0,94019300,77065,7,1280.0,1220.0,1399-09-03
79,2020-11-24,1220.0,1220.0,1220.0,1280.0,5124000,4200,1,1280.0,1220.0,1399-09-04
78,2020-11-25,1220.0,1220.0,1220.0,1280.0,270877820,222031,12,1280.0,1220.0,1399-09-05
77,2020-11-28,1220.0,1220.0,1220.0,1280.0,121247260,99383,6,1280.0,1220.0,1399-09-08
76,2020-11-29,1220.0,1220.0,1220.0,1280.0,143029140,117237,15,1280.0,1220.0,1399-09-09
75,2020-11-30,1220.0,1220.0,1220.0,1280.0,400089240,327942,29,1280.0,1220.0,1399-09-10
74,2020-12-01,1220.0,1220.0,1220.0,1280.0,281023340,230347,19,1280.0,1220.0,1399-09-11
73,2020-12-02,1220.0,1220.0,1220.0,1280.0,19437040,15932,4,1280.0,1220.0,1399-09-12
72,2020-12-05,1220.0,1220.0,1220.0,1280.0,62130940,50927,7,1280.0,1220.0,1399-09-15
71,2020-12-06,1220.0,1220.0,1220.0,1280.0,48193660,39503,8,1280.0,1220.0,1399-09-16
70,2020-12-07,1220.0,1220.0,1220.0,1280.0,11130060,9123,2,1280.0,1220.0,1399-09-17
69,2020-12-08,1220.0,1220.0,1220.0,1280.0,189091460,154993,5,1280.0,1220.0,1399-09-18
68,2020-12-09,1220.0,1220.0,1220.0,1280.0,41480000,34000,4,1280.0,1220.0,1399-09-19
67,2020-12-12,1220.0,1220.0,1220.0,1280.0,41968000,34400,7,1280.0,1220.0,1399-09-22
66,2020-12-13,1220.0,1220.0,1220.0,1280.0,265529340,217647,8,1280.0,1220.0,1399-09-23
65,2020-12-14,1220.0,1220.0,1220.0,1280.0,14640000,12000,3,1280.0,1220.0,1399-09-24
64,2020-12-15,1220.0,1220.0,1220.0,1280.0,12200000,10000,2,1280.0,1220.0,1399-09-25
63,2020-12-16,1220.0,1220.0,1220.0,1280.0,29821680,24444,4,1280.0,1220.0,1399-09-26
62,2020-12-19,1220.0,1220.0,1220.0,1280.0,13646920,11186,2,1280.0,1220.0,1399-09-29
61,2020-12-20,1220.0,1220.0,1220.0,1280.0,199254060,163323,7,1280.0,1220.0,1399-09-30
60,2020-12-21,1220.0,1220.0,1220.0,1280.0,81316660,66653,3,1280.0,1220.0,1399-10-01
59,2020-12-22,1220.0,1220.0,1220.0,1280.0,154513000,126650,7,1280.0,1220.0,1399-10-02
58,2020-12-23,1220.0,1220.0,1220.0,1280.0,30789140,25237,4,1280.0,1220.0,1399-10-03
57,2020-12-26,1220.0,1220.0,1220.0,1280.0,10100380,8279,2,1280.0,1220.0,1399-10-06
56,2020-12-27,1220.0,1220.0,1220.0,1280.0,9950320,8156,1,1280.0,1220.0,1399-10-07
55,2020-12-29,1220.0,1220.0,1220.0,1280.0,12566000,10300,2,1280.0,1220.0,1399-10-09
54,2020-12-30,1220.0,1220.0,1220.0,1280.0,1220000,1000,1,1280.0,1220.0,1399-10-10
53,2021-01-02,1220.0,1220.0,1220.0,1280.0,5080080,4164,1,1280.0,1220.0,1399-10-13
52,2021-01-03,1220.0,1220.0,1220.0,1280.0,5856000,4800,1,1280.0,1220.0,1399-10-14
51,2021-01-05,1220.0,1220.0,1220.0,1280.0,19300400,15820,3,1280.0,1220.0,1399-10-16
50,2021-01-06,1220.0,1220.0,1220.0,1280.0,5581500,4575,1,1280.0,1220.0,1399-10-17
49,2021-01-09,1220.0,1220.0,1220.0,1280.0,56974000,46700,6,1280.0,1220.0,1399-10-20
48,2021-01-10,1220.0,1220.0,1220.0,1280.0,6100000,5000,1,1280.0,1220.0,1399-10-21
47,2021-01-11,1220.0,1220.0,1220.0,1280.0,125050000,102500,6,1280.0,1220.0,1399-10-22
46,2021-01-12,1220.0,1220.0,1220.0,1280.0,11102000,9100,2,1280.0,1220.0,1399-10-23
45,2021-01-24,1220.0,1220.0,1220.0,1280.0,71936080,58964,10,1280.0,1220.0,1399-11-05
44,2021-01-26,1220.0,1220.0,1220.0,1280.0,391367460,320793,8,1280.0,1220.0,1399-11-07
43,2021-01-27,1220.0,1220.0,1220.0,1280.0,11102000,9100,2,1280.0,1220.0,1399-11-08
42,2021-02-24,1260.0,1260.0,1260.0,1280.0,40285980,31973,9,1280.0,1260.0,1399-12-06
41,2021-02-27,1260.0,1260.0,1260.0,1280.0,11345040,9004,2,1280.0,1260.0,1399-12-09
40,2021-03-02,1260.0,1260.0,1260.0,1280.0,32733540,25979,5,1280.0,1260.0,1399-12-12
39,2021-03-03,1260.0,1260.0,1260.0,1280.0,5040000,4000,1,1280.0,1260.0,1399-12-13
38,2021-03-06,1260.0,1260.0,1260.0,1280.0,16503480,13098,3,1280.0,1260.0,1399-12-16
37,2021-03-08,1260.0,1260.0,1260.0,1280.0,6300000,5000,1,1280.0,1260.0,1399-12-18
36,2021-03-09,1260.0,1260.0,1260.0,1280.0,6300000,5000,1,1280.0,1260.0,1399-12-19
35,2021-03-10,1260.0,1260.0,1260.0,1280.0,11778480,9348,2,1280.0,1260.0,1399-12-20
34,2021-04-04,1260.0,1260.0,1260.0,1280.0,6300000,5000,1,1280.0,1260.0,1400-01-15
33,2021-04-06,1260.0,1260.0,1260.0,1280.0,5144580,4083,1,1280.0,1260.0,1400-01-17
32,2021-04-11,1260.0,1260.0,1260.0,1280.0,18900000,15000,3,1280.0,1260.0,1400-01-22
31,2021-04-12,1260.0,1260.0,1260.0,1280.0,29795220,23647,4,1280.0,1260.0,1400-01-23
30,2021-04-13,1260.0,1260.0,1260.0,1280.0,75601260,60001,8,1280.0,1260.0,1400-01-24
29,2021-04-14,1260.0,1260.0,1260.0,1280.0,345786840,274434,15,1280.0,1260.0,1400-01-25
28,2021-04-17,1260.0,1260.0,1260.0,1280.0,16282980,12923,5,1280.0,1260.0,1400-01-28
27,2021-04-20,1260.0,1260.0,1260.0,1280.0,37800,30,3,1280.0,1260.0,1400-01-31
26,2021-05-03,1242.0,1242.0,1242.0,1280.0,14034600,11300,3,1280.0,1242.0,1400-02-13
25,2021-05-08,1242.0,1242.0,1242.0,1280.0,15190902,12231,3,1280.0,1242.0,1400-02-18
24,2021-05-23,1216.0,1216.0,1216.0,1280.0,21960960,18060,1,1280.0,1216.0,1400-03-02
23,2021-05-25,1216.0,1216.0,1216.0,1280.0,995904,819,1,1280.0,1216.0,1400-03-04
22,2021-05-26,1216.0,1216.0,1216.0,1280.0,9910400,8150,2,1280.0,1216.0,1400-03-05
21,2021-05-29,1216.0,1216.0,1216.0,1280.0,15017600,12350,1,1280.0,1216.0,1400-03-08
20,2021-05-30,1216.0,1216.0,1216.0,1280.0,5208128,4283,1,1280.0,1216.0,1400-03-09
19,2021-05-31,1216.0,1216.0,1216.0,1280.0,31737600,26100,3,1280.0,1216.0,1400-03-10
18,2021-06-01,1216.0,1216.0,1216.0,1280.0,35507200,29200,3,1280.0,1216.0,1400-03-11
17,2021-06-07,1216.0,1216.0,1216.0,1280.0,6080000,5000,1,1280.0,1216.0,1400-03-17
16,2021-06-13,1216.0,1216.0,1216.0,1280.0,36480000,30000,1,1280.0,1216.0,1400-03-23
15,2021-06-26,1216.0,1216.0,1216.0,1280.0,23104000,19000,3,1280.0,1216.0,1400-04-05
14,2021-06-27,1216.0,1216.0,1216.0,1280.0,30119104,24769,5,1280.0,1216.0,1400-04-06
13,2021-06-28,1216.0,1216.0,1216.0,1280.0,61043200,50200,4,1280.0,1216.0,1400-04-07
12,2021-07-06,1216.0,1216.0,1216.0,1280.0,12160000,10000,2,1280.0,1216.0,1400-04-15
11,2021-07-07,1216.0,1216.0,1216.0,1280.0,22313600,18350,4,1280.0,1216.0,1400-04-16
10,2021-07-11,1216.0,1216.0,1216.0,1280.0,75616960,62185,6,1280.0,1216.0,1400-04-20
9,2021-07-12,1216.0,1216.0,1216.0,1280.0,121840768,100198,4,1280.0,1216.0,1400-04-21
8,2021-07-13,1216.0,1216.0,1216.0,1280.0,48883200,40200,4,1280.0,1216.0,1400-04-22
7,2021-07-26,1216.0,1216.0,1216.0,1280.0,5705472,4692,1,1280.0,1216.0,1400-05-04
6,2021-07-31,1216.0,1216.0,1216.0,1280.0,11187200,9200,3,1280.0,1216.0,1400-05-09
5,2021-08-03,1216.0,1216.0,1216.0,1280.0,24320000,20000,2,1280.0,1216.0,1400-05-12
4,2021-08-09,1216.0,1216.0,1216.0,1280.0,76379392,62812,7,1280.0,1216.0,1400-05-18
3,2021-08-10,1216.0,1216.0,1216.0,1280.0,181909952,149597,8,1280.0,1216.0,1400-05-19
2,2021-08-11,1216.0,1216.0,1216.0,1280.0,69691392,57312,10,1280.0,1216.0,1400-05-20
1,2021-08-14,1216.0,1216.0,1216.0,1280.0,5107200,4200,1,1280.0,1216.0,1400-05-23
0,2021-08-15,1216.0,1216.0,1216.0,1274.0,2923480448,2404178,33,1280.0,1216.0,1400-05-24
