,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
104,2020-11-17,900.0,900.0,900.0,900.0,806300100,895889,17,1000.0,900.0,1399-08-27
103,2020-11-18,940.0,940.0,940.0,900.0,2102465100,2236665,80,900.0,940.0,1399-08-28
102,2020-11-21,940.0,940.0,940.0,900.0,1959384880,2084452,83,900.0,940.0,1399-09-01
101,2020-11-22,940.0,940.0,870.0,900.0,3010877110,3226553,203,900.0,940.0,1399-09-02
100,2020-11-23,940.0,940.0,870.0,900.0,4015904350,4514822,178,900.0,880.0,1399-09-03
99,2020-11-24,860.0,870.0,860.0,900.0,1833392780,2130573,80,900.0,860.0,1399-09-04
98,2020-11-25,860.0,860.0,860.0,900.0,257802200,299770,21,900.0,860.0,1399-09-05
97,2020-11-28,860.0,860.0,860.0,900.0,40444080,47028,6,900.0,860.0,1399-09-08
96,2020-11-29,860.0,920.0,860.0,890.0,14449814190,16460186,410,900.0,890.0,1399-09-09
95,2020-11-30,860.0,930.0,850.0,890.0,23621241510,26372039,547,890.0,930.0,1399-09-10
94,2020-12-01,880.0,930.0,880.0,890.0,5468503290,6110123,210,890.0,890.0,1399-09-11
93,2020-12-02,880.0,900.0,870.0,890.0,3352466260,3784692,103,890.0,890.0,1399-09-12
92,2020-12-05,870.0,890.0,860.0,890.0,4071579380,4663976,139,890.0,890.0,1399-09-15
91,2020-12-06,860.0,880.0,850.0,880.0,9438943770,10966374,240,890.0,860.0,1399-09-16
90,2020-12-07,860.0,860.0,840.0,870.0,10408571910,12299757,236,880.0,840.0,1399-09-17
89,2020-12-08,830.0,860.0,830.0,870.0,6155766110,7394432,166,870.0,830.0,1399-09-18
88,2020-12-09,830.0,850.0,830.0,860.0,6836355960,8224442,235,870.0,840.0,1399-09-19
87,2020-12-12,820.0,860.0,820.0,850.0,15661867490,18977874,446,860.0,830.0,1399-09-22
86,2020-12-13,810.0,830.0,810.0,840.0,10704995920,13176882,277,850.0,810.0,1399-09-23
85,2020-12-14,800.0,880.0,800.0,830.0,20397285580,24659750,515,840.0,850.0,1399-09-24
84,2020-12-15,810.0,830.0,790.0,820.0,15346032460,18946638,387,830.0,810.0,1399-09-25
83,2020-12-16,790.0,830.0,780.0,810.0,21951128080,27456492,562,820.0,820.0,1399-09-26
82,2020-12-19,790.0,820.0,770.0,800.0,19572394360,24883948,639,810.0,780.0,1399-09-29
81,2020-12-20,760.0,800.0,760.0,790.0,11520500300,15079924,288,800.0,760.0,1399-09-30
80,2020-12-21,760.0,760.0,760.0,790.0,1511316240,1988574,41,790.0,760.0,1399-10-01
79,2020-12-22,760.0,760.0,760.0,790.0,462356640,608364,29,790.0,760.0,1399-10-02
78,2020-12-23,760.0,760.0,760.0,790.0,225544440,296769,19,790.0,760.0,1399-10-03
77,2020-12-26,760.0,760.0,760.0,790.0,206016240,271074,15,790.0,760.0,1399-10-06
76,2020-12-27,760.0,760.0,760.0,790.0,501340840,659659,18,790.0,760.0,1399-10-07
75,2020-12-28,760.0,760.0,760.0,790.0,170578200,224445,17,790.0,760.0,1399-10-08
74,2020-12-29,760.0,760.0,760.0,790.0,96093640,126439,5,790.0,760.0,1399-10-09
73,2020-12-30,760.0,760.0,760.0,790.0,71893720,94597,4,790.0,760.0,1399-10-10
72,2021-01-02,760.0,760.0,760.0,790.0,100661240,132449,4,790.0,760.0,1399-10-13
71,2021-01-03,760.0,760.0,760.0,790.0,178711720,235147,11,790.0,760.0,1399-10-14
70,2021-01-04,760.0,760.0,760.0,790.0,615547560,809931,31,790.0,760.0,1399-10-15
69,2021-01-05,760.0,760.0,760.0,790.0,17184360,22611,2,790.0,760.0,1399-10-16
68,2021-01-06,760.0,760.0,760.0,790.0,108735480,143073,8,790.0,760.0,1399-10-17
67,2021-01-09,760.0,760.0,760.0,790.0,39088320,51432,5,790.0,760.0,1399-10-20
66,2021-01-10,760.0,760.0,760.0,790.0,44966920,59167,7,790.0,760.0,1399-10-21
65,2021-01-11,760.0,760.0,760.0,790.0,28120000,37000,4,790.0,760.0,1399-10-22
64,2021-01-13,760.0,760.0,760.0,790.0,80598000,106050,11,790.0,760.0,1399-10-24
63,2021-01-16,760.0,760.0,760.0,790.0,39432600,51885,5,790.0,760.0,1399-10-27
62,2021-01-18,760.0,760.0,760.0,790.0,43130000,56750,6,790.0,760.0,1399-10-29
61,2021-01-19,760.0,760.0,760.0,790.0,346744680,456243,15,790.0,760.0,1399-10-30
60,2021-01-20,760.0,760.0,760.0,790.0,52617840,69234,7,790.0,760.0,1399-11-01
59,2021-01-23,760.0,760.0,760.0,790.0,352259240,463499,28,790.0,760.0,1399-11-04
58,2021-01-24,760.0,760.0,760.0,790.0,44252520,58227,6,790.0,760.0,1399-11-05
57,2021-01-25,760.0,760.0,760.0,790.0,530811360,698436,22,790.0,760.0,1399-11-06
56,2021-01-26,760.0,760.0,760.0,790.0,12815120,16862,3,790.0,760.0,1399-11-07
55,2021-01-27,760.0,760.0,760.0,790.0,24570800,32330,4,790.0,760.0,1399-11-08
54,2021-01-30,760.0,760.0,760.0,790.0,22891960,30121,5,790.0,760.0,1399-11-11
53,2021-01-31,760.0,760.0,760.0,790.0,44536000,58600,7,790.0,760.0,1399-11-12
52,2021-02-01,760.0,760.0,760.0,790.0,35125680,46218,4,790.0,760.0,1399-11-13
51,2021-02-02,760.0,820.0,760.0,770.0,49012951710,63888686,1004,790.0,760.0,1399-11-14
50,2021-02-03,740.0,740.0,740.0,770.0,53351780,72097,8,770.0,740.0,1399-11-15
49,2021-02-06,740.0,740.0,740.0,770.0,204416120,276238,13,770.0,740.0,1399-11-18
48,2021-02-07,740.0,740.0,740.0,770.0,628684760,849574,22,770.0,740.0,1399-11-19
47,2021-02-08,740.0,740.0,740.0,770.0,108811080,147042,6,770.0,740.0,1399-11-20
46,2021-02-09,740.0,740.0,740.0,770.0,129151460,174529,6,770.0,740.0,1399-11-21
