,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
91,2020-10-06,1220.0,1220.0,1220.0,1220.0,183751520,150616,2,1000.0,1220.0,1399-07-15
90,2020-10-07,1280.0,1280.0,1280.0,1220.0,426536960,333232,6,1220.0,1280.0,1399-07-16
89,2020-10-10,1280.0,1280.0,1280.0,1220.0,1865748480,1457616,40,1220.0,1280.0,1399-07-19
88,2020-10-11,1280.0,1280.0,1280.0,1220.0,3914499840,3058203,66,1220.0,1280.0,1399-07-20
87,2020-10-12,1280.0,1280.0,1280.0,1230.0,6327792640,4943588,140,1220.0,1280.0,1399-07-21
86,2020-10-13,1290.0,1290.0,1240.0,1250.0,18526431480,14422411,595,1230.0,1290.0,1399-07-22
85,2020-10-14,1220.0,1220.0,1190.0,1240.0,8806004760,7367782,367,1250.0,1190.0,1399-07-23
84,2020-10-18,1180.0,1180.0,1180.0,1240.0,614899180,521101,58,1240.0,1180.0,1399-07-27
83,2020-10-19,1180.0,1180.0,1180.0,1240.0,355731060,301467,24,1240.0,1180.0,1399-07-28
82,2020-10-20,1180.0,1180.0,1180.0,1240.0,404122860,342477,29,1240.0,1180.0,1399-07-29
81,2020-10-21,1180.0,1180.0,1180.0,1240.0,363270080,307856,33,1240.0,1180.0,1399-07-30
80,2020-10-24,1180.0,1180.0,1180.0,1240.0,187651860,159027,24,1240.0,1180.0,1399-08-03
79,2020-10-26,1180.0,1180.0,1180.0,1240.0,251622020,213239,19,1240.0,1180.0,1399-08-05
78,2020-10-27,1180.0,1180.0,1180.0,1240.0,64758400,54880,8,1240.0,1180.0,1399-08-06
77,2020-10-28,1180.0,1180.0,1180.0,1240.0,635615260,538657,22,1240.0,1180.0,1399-08-07
76,2020-10-31,1180.0,1180.0,1180.0,1240.0,81458940,69033,7,1240.0,1180.0,1399-08-10
75,2020-11-01,1180.0,1180.0,1180.0,1240.0,32750900,27755,7,1240.0,1180.0,1399-08-11
74,2020-11-02,1120.0,1120.0,1120.0,1240.0,528198720,471606,46,1240.0,1120.0,1399-08-12
73,2020-11-04,1180.0,1180.0,1180.0,1240.0,55058800,46660,7,1240.0,1180.0,1399-08-14
72,2020-11-07,1180.0,1180.0,1180.0,1240.0,49516340,41963,6,1240.0,1180.0,1399-08-17
71,2020-11-11,1180.0,1180.0,1180.0,1240.0,440969540,373703,29,1240.0,1180.0,1399-08-21
