,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
4273,2001-03-25,1520.0,1520.0,1520.0,1520.0,40574880,26694,14,1520.0,1520.0,1380-01-05
4272,2001-03-26,1492.0,1514.0,1490.0,1500.0,91825260,61373,29,1520.0,1500.0,1380-01-06
4271,2001-03-27,1500.0,1501.0,1500.0,1500.0,110383700,73589,34,1500.0,1500.0,1380-01-07
4270,2001-03-28,1500.0,1519.0,1499.0,1505.0,126649410,84307,38,1500.0,1505.0,1380-01-08
4269,2001-03-31,1523.0,1570.0,1512.0,1550.0,220942746,142772,34,1505.0,1550.0,1380-01-11
4268,2001-04-03,1550.0,1550.0,1550.0,1550.0,4650000,3000,3,1550.0,1550.0,1380-01-14
4267,2001-04-07,1565.0,1585.0,1565.0,1580.0,265182037,168430,52,1550.0,1580.0,1380-01-18
4266,2001-04-08,1580.0,1581.0,1565.0,1570.0,368056951,233367,80,1580.0,1570.0,1380-01-19
4265,2001-04-09,1560.0,1570.0,1552.0,1554.0,394121125,252788,71,1570.0,1554.0,1380-01-20
4264,2001-04-10,1545.0,1554.0,1510.0,1554.0,265567133,173217,61,1554.0,1554.0,1380-01-21
4263,2001-04-11,1548.0,1555.0,1541.0,1550.0,364926746,235400,105,1554.0,1550.0,1380-01-22
4262,2001-04-14,1540.0,1548.0,1517.0,1548.0,791875782,516715,111,1550.0,1548.0,1380-01-25
4261,2001-04-15,1544.0,1580.0,1544.0,1557.0,755563429,483322,139,1548.0,1557.0,1380-01-26
4260,2001-04-16,1600.0,1610.0,1562.0,1566.0,1772234674,1116013,243,1557.0,1566.0,1380-01-27
4259,2001-04-17,1600.0,1603.0,1585.0,1585.0,3053175408,1923699,176,1566.0,1585.0,1380-01-28
4258,2001-04-18,1610.0,1631.0,1610.0,1631.0,32586250,20050,6,1585.0,1631.0,1380-01-29
4257,2001-04-21,1712.0,1712.0,1652.0,1661.0,3659649175,2172289,519,1631.0,1661.0,1380-02-01
4256,2001-04-22,1737.0,1737.0,1680.0,1700.0,2992131012,1763120,453,1661.0,1700.0,1380-02-02
4255,2001-04-23,1715.0,1735.0,1700.0,1700.0,2067349481,1208489,310,1700.0,1700.0,1380-02-03
4254,2001-04-24,1730.0,1754.0,1720.0,1736.0,672070856,387690,131,1700.0,1736.0,1380-02-04
4253,2001-04-25,1800.0,1822.0,1779.0,1800.0,1370079406,764033,206,1736.0,1800.0,1380-02-05
4252,2001-04-28,1890.0,1890.0,1800.0,1818.0,5413231545,2963252,592,1800.0,1818.0,1380-02-08
4251,2001-04-29,1870.0,1893.0,1861.0,1870.0,253219598,134282,73,1818.0,1870.0,1380-02-09
4250,2001-04-30,1920.0,1925.0,1870.0,1870.0,1997698742,1062585,345,1870.0,1870.0,1380-02-10
4249,2001-05-01,1840.0,1870.0,1781.0,1800.0,555357523,305059,151,1870.0,1800.0,1380-02-11
4248,2001-05-02,1794.0,1794.0,1731.0,1774.0,730595749,413643,186,1800.0,1774.0,1380-02-12
4247,2001-05-05,1770.0,1774.0,1740.0,1768.0,357988237,204004,101,1774.0,1768.0,1380-02-15
4246,2001-05-06,1750.0,1800.0,1750.0,1770.0,438511132,246020,93,1768.0,1770.0,1380-02-16
4245,2001-05-07,1780.0,1801.0,1771.0,1801.0,1203001936,670269,166,1770.0,1801.0,1380-02-17
4244,2001-05-08,1800.0,1870.0,1800.0,1850.0,697024617,377823,125,1801.0,1850.0,1380-02-18
4243,2001-05-09,1870.0,1920.0,1850.0,1850.0,2245677068,1203720,278,1850.0,1850.0,1380-02-19
4242,2001-05-12,1857.0,1872.0,1825.0,1825.0,490790533,264819,89,1850.0,1825.0,1380-02-22
4241,2001-05-13,1825.0,1825.0,1770.0,1799.0,362736505,202891,93,1825.0,1799.0,1380-02-23
4240,2001-05-15,1786.0,1800.0,1780.0,1789.0,290462516,162120,76,1799.0,1789.0,1380-02-25
4239,2001-05-16,1783.0,1801.0,1770.0,1800.0,540192992,301435,124,1789.0,1800.0,1380-02-26
4238,2001-05-19,1800.0,1841.0,1800.0,1820.0,425750700,233245,75,1800.0,1820.0,1380-02-29
4237,2001-05-20,1830.0,1847.0,1814.0,1820.0,412147438,225291,111,1820.0,1820.0,1380-02-30
4236,2001-05-21,1820.0,1821.0,1798.0,1800.0,383162564,211416,103,1820.0,1800.0,1380-02-31
4235,2001-05-23,1815.0,1820.0,1800.0,1812.0,107702861,59481,41,1800.0,1812.0,1380-03-02
4234,2001-05-26,1811.0,1844.0,1810.0,1831.0,584936379,320873,93,1812.0,1831.0,1380-03-05
4233,2001-05-27,1849.0,1880.0,1832.0,1855.0,2723990455,1464320,252,1831.0,1855.0,1380-03-06
4232,2001-05-28,1853.0,1870.0,1840.0,1844.0,682027480,367963,93,1855.0,1844.0,1380-03-07
4231,2001-05-29,1839.0,1839.0,1800.0,1811.0,489886238,271000,89,1844.0,1811.0,1380-03-08
4230,2001-05-30,1811.0,1820.0,1799.0,1800.0,409748542,226879,80,1811.0,1800.0,1380-03-09
4229,2001-06-02,1800.0,1823.0,1800.0,1823.0,358603425,197684,93,1800.0,1823.0,1380-03-12
4228,2001-06-03,1824.0,1835.0,1820.0,1830.0,340449211,186349,78,1823.0,1830.0,1380-03-13
4227,2001-06-06,1840.0,1860.0,1830.0,1831.0,754799086,409449,125,1830.0,1831.0,1380-03-16
4226,2001-06-09,1854.0,1860.0,1838.0,1838.0,546857070,296571,114,1831.0,1838.0,1380-03-19
4225,2001-06-11,1855.0,1860.0,1840.0,1840.0,742370997,401735,93,1838.0,1840.0,1380-03-21
4224,2001-06-12,1880.0,1883.0,1849.0,1860.0,940732177,502766,124,1840.0,1860.0,1380-03-22
4223,2001-06-13,1870.0,1880.0,1860.0,1860.0,530634089,284830,63,1860.0,1860.0,1380-03-23
4222,2001-06-16,1862.0,1862.0,1835.0,1850.0,290345874,156859,52,1860.0,1850.0,1380-03-26
4221,2001-06-17,1821.0,1822.0,1799.0,1800.0,247587741,137288,55,1850.0,1800.0,1380-03-27
4220,2001-06-18,1800.0,1800.0,1789.0,1800.0,391665484,218029,76,1800.0,1800.0,1380-03-28
4219,2001-06-19,1799.0,1820.0,1799.0,1820.0,292279907,161438,63,1800.0,1820.0,1380-03-29
4218,2001-06-20,1806.0,1855.0,1801.0,1852.0,2790017303,1509553,68,1820.0,1852.0,1380-03-30
4217,2001-06-23,1919.0,1920.0,1853.0,1860.0,1248409894,666579,140,1852.0,1860.0,1380-04-02
4216,2001-06-24,1882.0,1890.0,1860.0,1862.0,2039704398,1090125,259,1860.0,1862.0,1380-04-03
4215,2001-06-25,1863.0,1863.0,1825.0,1825.0,468966143,255698,98,1862.0,1825.0,1380-04-04
4214,2001-06-26,1824.0,1825.0,1811.0,1824.0,324048691,178003,75,1825.0,1824.0,1380-04-05
4213,2001-06-27,1823.0,1830.0,1820.0,1825.0,696055669,381246,106,1824.0,1825.0,1380-04-06
4212,2001-06-30,1825.0,1850.0,1800.0,1820.0,744484080,409346,115,1825.0,1820.0,1380-04-09
4211,2001-07-01,1819.0,1830.0,1819.0,1824.0,2307558571,1265086,225,1820.0,1824.0,1380-04-10
4210,2001-07-02,1822.0,1822.0,1811.0,1819.0,488516481,268557,75,1824.0,1819.0,1380-04-11
4209,2001-07-03,1819.0,1825.0,1815.0,1820.0,247484517,135983,74,1819.0,1820.0,1380-04-12
4208,2001-07-04,1820.0,1825.0,1813.0,1813.0,511495229,281075,65,1820.0,1813.0,1380-04-13
4207,2001-07-07,1810.0,1820.0,1810.0,1814.0,1730396619,951661,162,1813.0,1814.0,1380-04-16
4206,2001-07-08,1820.0,1850.0,1820.0,1840.0,520651059,284386,72,1814.0,1840.0,1380-04-17
4205,2001-07-09,1870.0,1880.0,1840.0,1840.0,1388897920,749210,145,1840.0,1840.0,1380-04-18
4204,2001-07-10,1859.0,1869.0,1840.0,1869.0,347511239,187322,82,1840.0,1869.0,1380-04-19
