,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
553,2019-03-16,2700.0,2700.0,2700.0,2700.0,202500000000,75000000,328396,1000.0,2700.0,1397-12-25
552,2019-03-17,2835.0,2835.0,2835.0,2835.0,565673220,199532,954,2700.0,2835.0,1397-12-26
551,2019-03-18,2976.0,2976.0,2976.0,2976.0,1852640352,622527,2910,2835.0,2976.0,1397-12-27
550,2019-03-19,3124.0,3124.0,3071.0,3123.0,62791661914,20104192,68578,2976.0,3124.0,1397-12-28
549,2019-03-25,3124.0,3230.0,3060.0,3124.0,60607848565,19400723,68639,3123.0,3092.0,1398-01-05
548,2019-03-26,3089.0,3100.0,3041.0,3058.0,45839827296,14987944,42265,3124.0,3054.0,1398-01-06
547,2019-03-27,3055.0,3119.0,3041.0,3081.0,32528169913,10557230,24737,3058.0,3098.0,1398-01-07
546,2019-03-30,3062.0,3188.0,3062.0,3136.0,32493254029,10360577,12867,3081.0,3138.0,1398-01-10
545,2019-03-31,3165.0,3210.0,3102.0,3148.0,24746469212,7860859,8836,3136.0,3134.0,1398-01-11
544,2019-04-06,3095.0,3190.0,3095.0,3147.0,38922774586,12367143,15704,3148.0,3177.0,1398-01-17
543,2019-04-07,3180.0,3304.0,3160.0,3284.0,48208847580,14681524,7550,3147.0,3304.0,1398-01-18
542,2019-04-08,3307.0,3380.0,3200.0,3313.0,29087633976,8779902,8092,3284.0,3300.0,1398-01-19
541,2019-04-09,3300.0,3349.0,3200.0,3247.0,24744396556,7620627,6498,3313.0,3226.0,1398-01-20
540,2019-04-10,3210.0,3360.0,3210.0,3317.0,21954305417,6618501,5825,3247.0,3290.0,1398-01-21
539,2019-04-13,3300.0,3359.0,3220.0,3273.0,18293766400,5590119,5572,3317.0,3227.0,1398-01-24
538,2019-04-14,3221.0,3253.0,3160.0,3186.0,18413343585,5780331,6650,3273.0,3180.0,1398-01-25
537,2019-04-15,3161.0,3345.0,3161.0,3289.0,22731931763,6910683,4488,3186.0,3255.0,1398-01-26
