,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2952,2004-08-28,5001.0,5020.0,5000.0,5000.0,7500285100,1499841,1216,5001.0,5000.0,1383-06-07
2951,2004-08-29,5250.0,5250.0,5250.0,5250.0,2105260500,401002,192,5000.0,5250.0,1383-06-08
2950,2004-08-31,5512.0,5512.0,5512.0,5512.0,3582800000,650000,195,5250.0,5512.0,1383-06-10
2949,2004-09-01,5787.0,5787.0,5260.0,5787.0,32323812347,6122881,120,5512.0,5787.0,1383-06-11
2948,2004-09-04,6076.0,6076.0,5806.0,5806.0,39807252,6552,13,5787.0,5806.0,1383-06-14
2947,2004-09-05,6096.0,6096.0,6096.0,6096.0,3669572544,601964,220,5806.0,6096.0,1383-06-15
2946,2004-09-06,6400.0,6400.0,6400.0,6400.0,30167577600,4713684,1175,6096.0,6400.0,1383-06-16
2945,2004-09-07,6720.0,6720.0,6680.0,6720.0,29180184286,4354595,470,6400.0,6720.0,1383-06-17
2944,2004-09-08,6720.0,6870.0,6719.0,6733.0,5976432806,883620,201,6720.0,6733.0,1383-06-18
2943,2004-09-11,7069.0,7069.0,7056.0,7068.0,7250121576,1025886,247,6733.0,7068.0,1383-06-21
2942,2004-09-12,7421.0,7421.0,7174.0,7174.0,215547896,29046,34,7068.0,7174.0,1383-06-22
2941,2004-11-22,4679.0,4679.0,4001.0,4323.0,7535336318,1742923,744,7174.0,4323.0,1383-09-02
2940,2004-11-23,4519.0,4519.0,4116.0,4359.0,4427037306,1015425,496,4323.0,4359.0,1383-09-03
2939,2004-11-24,4308.0,4380.0,4250.0,4305.0,2048071771,475672,316,4359.0,4305.0,1383-09-04
2938,2004-11-27,4341.0,4520.0,4339.0,4468.0,2051974959,459216,274,4305.0,4468.0,1383-09-07
2937,2004-11-28,4691.0,4691.0,4691.0,4691.0,3112881926,663586,247,4468.0,4691.0,1383-09-08
2936,2004-11-29,4925.0,4925.0,4925.0,4925.0,1092798400,221888,118,4691.0,4925.0,1383-09-09
2935,2004-11-30,5171.0,5171.0,4680.0,5081.0,6925681380,1362819,687,4925.0,5081.0,1383-09-10
2934,2004-12-01,4939.0,4939.0,4827.0,4838.0,2577425392,532652,272,5081.0,4838.0,1383-09-11
2933,2004-12-04,4800.0,5000.0,4617.0,4858.0,2554265405,525766,310,4838.0,4858.0,1383-09-14
2932,2004-12-05,4800.0,4800.0,4619.0,4714.0,1437338142,304879,198,4858.0,4714.0,1383-09-15
2931,2004-12-06,4714.0,4801.0,4699.0,4759.0,1665233066,349864,204,4714.0,4759.0,1383-09-16
2930,2004-12-07,4749.0,4800.0,4680.0,4725.0,1539390789,325767,188,4759.0,4725.0,1383-09-17
2929,2004-12-11,4740.0,4800.0,4670.0,4723.0,1850167876,391665,207,4725.0,4723.0,1383-09-21
2928,2004-12-12,4680.0,4699.0,4590.0,4639.0,902359771,194515,124,4723.0,4639.0,1383-09-22
2927,2004-12-13,4600.0,4685.0,4517.0,4584.0,1279625132,279124,154,4639.0,4584.0,1383-09-23
2926,2004-12-14,4600.0,4605.0,4500.0,4551.0,1738095734,381866,145,4584.0,4551.0,1383-09-24
