,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
412,2019-09-17,2100.0,2100.0,2100.0,2100.0,84000000000,40000000,932,1000.0,2100.0,1398-06-26
411,2019-09-29,2400.0,2472.0,2328.0,2383.0,34033219921,14281280,744,1796.0,2472.0,1398-07-07
410,2019-09-30,2454.0,2454.0,2454.0,2454.0,2486736360,1013340,43,2383.0,2454.0,1398-07-08
409,2019-10-01,2527.0,2527.0,2527.0,2527.0,2835342013,1122019,58,2454.0,2527.0,1398-07-09
408,2019-10-02,2602.0,2602.0,2602.0,2602.0,8675068000,3334000,141,2527.0,2602.0,1398-07-10
407,2019-10-05,2680.0,2680.0,2680.0,2680.0,8149210000,3040750,126,2602.0,2680.0,1398-07-13
406,2019-10-06,2760.0,2760.0,2760.0,2760.0,151405320,54857,11,2680.0,2760.0,1398-07-14
405,2019-10-07,2842.0,2842.0,2842.0,2842.0,62273904,21912,10,2760.0,2842.0,1398-07-15
404,2019-10-08,2927.0,2927.0,2927.0,2927.0,47370568,16184,5,2842.0,2927.0,1398-07-16
403,2019-10-09,3014.0,3014.0,3014.0,3014.0,3085585514,1023751,51,2927.0,3014.0,1398-07-17
402,2019-10-12,3104.0,3104.0,3104.0,3104.0,111899200,36050,5,3014.0,3104.0,1398-07-20
401,2019-10-13,3197.0,3197.0,3011.0,3098.0,61801024510,19946542,1329,3104.0,3011.0,1398-07-21
400,2019-10-14,3006.0,3006.0,3006.0,3006.0,1312215192,436532,112,3098.0,3006.0,1398-07-22
399,2019-10-15,2916.0,2916.0,2916.0,2916.0,54164700,18575,16,3006.0,2916.0,1398-07-23
398,2019-10-16,2829.0,2829.0,2829.0,2829.0,150324573,53137,12,2916.0,2829.0,1398-07-24
397,2019-10-21,2745.0,2745.0,2745.0,2745.0,562285800,204840,74,2829.0,2745.0,1398-07-29
396,2019-10-22,2700.0,2827.0,2663.0,2705.0,37977843831,14041443,1054,2745.0,2719.0,1398-07-30
395,2019-10-23,2785.0,2786.0,2632.0,2722.0,9167281949,3368400,381,2705.0,2724.0,1398-08-01
394,2019-10-26,2750.0,2803.0,2725.0,2802.0,26370787995,9410465,514,2722.0,2803.0,1398-08-04
