,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
3615,2001-03-28,3300.0,3300.0,3300.0,3300.0,3300000,1000,1,0.0,3300.0,1380-01-08
3614,2001-03-31,3300.0,3300.0,3300.0,3300.0,1980000,600,1,3300.0,3300.0,1380-01-11
3613,2001-04-07,3300.0,3300.0,3300.0,3300.0,2415600,732,1,3300.0,3300.0,1380-01-18
3612,2001-04-08,3303.0,3310.0,3303.0,3310.0,7526540,2275,4,3300.0,3310.0,1380-01-19
3611,2001-04-09,3311.0,3316.0,3306.0,3306.0,39823714,12030,19,3310.0,3306.0,1380-01-20
3610,2001-04-10,3306.0,3306.0,3306.0,3306.0,7570740,2290,2,3306.0,3306.0,1380-01-21
3609,2001-04-14,3319.0,3320.0,3319.0,3320.0,3651000,1100,2,3306.0,3320.0,1380-01-25
3608,2001-04-15,3324.0,3345.0,3324.0,3345.0,8598294,2585,5,3320.0,3345.0,1380-01-26
3607,2001-04-16,3353.0,3380.0,3353.0,3380.0,6196980,1842,3,3345.0,3380.0,1380-01-27
3606,2001-04-17,3500.0,3549.0,3500.0,3549.0,18479566,5236,7,3380.0,3549.0,1380-01-28
3605,2001-04-18,3611.0,3650.0,3611.0,3650.0,13462532,3712,5,3549.0,3650.0,1380-01-29
3604,2001-04-21,3734.0,3741.0,3729.0,3730.0,75967595,20345,30,3650.0,3730.0,1380-02-01
3603,2001-04-22,3730.0,3735.0,3730.0,3730.0,22730335,6093,6,3730.0,3730.0,1380-02-02
3602,2001-04-23,3729.0,3729.0,3724.0,3724.0,3237156,869,2,3730.0,3724.0,1380-02-03
3601,2001-04-24,3719.0,3720.0,3719.0,3720.0,34222625,9200,9,3724.0,3720.0,1380-02-04
3600,2001-04-25,3651.0,3710.0,3650.0,3650.0,13171207,3586,6,3720.0,3650.0,1380-02-05
3599,2001-04-28,3640.0,3640.0,3560.0,3560.0,43858500,12250,12,3650.0,3560.0,1380-02-08
3598,2001-04-29,3558.0,3720.0,3549.0,3720.0,647830790,175631,56,3560.0,3720.0,1380-02-09
3597,2001-04-30,3720.0,3724.0,3700.0,3724.0,76015060,20461,10,3720.0,3724.0,1380-02-10
3596,2001-05-01,3724.0,3750.0,3720.0,3723.0,76303181,20498,26,3724.0,3723.0,1380-02-11
3595,2001-05-02,3723.0,3750.0,3723.0,3750.0,51295441,13756,18,3723.0,3750.0,1380-02-12
3594,2001-05-05,3800.0,3801.0,3799.0,3800.0,23647445,6223,12,3750.0,3800.0,1380-02-15
3593,2001-05-06,3850.0,3851.0,3800.0,3800.0,77438525,20245,26,3800.0,3800.0,1380-02-16
3592,2001-05-07,3800.0,3801.0,3800.0,3800.0,38122000,10032,11,3800.0,3800.0,1380-02-17
3591,2001-05-08,3801.0,3801.0,3800.0,3800.0,38942800,10248,11,3800.0,3800.0,1380-02-18
3590,2001-05-09,3800.0,3830.0,3800.0,3830.0,17011800,4461,3,3800.0,3830.0,1380-02-19
3589,2001-05-12,3850.0,3852.0,3850.0,3852.0,38975144,10122,13,3830.0,3852.0,1380-02-22
3588,2001-05-13,3880.0,3880.0,3880.0,3880.0,4954760,1277,2,3852.0,3880.0,1380-02-23
3587,2001-05-15,3971.0,3971.0,3914.0,3971.0,11073600,2800,5,3880.0,3971.0,1380-02-25
3586,2001-05-16,4070.0,4070.0,4070.0,4070.0,45225840,11112,11,3971.0,4070.0,1380-02-26
3585,2001-05-19,4081.0,4106.0,4078.0,4100.0,111914766,27359,16,4070.0,4100.0,1380-02-29
3584,2001-05-20,4110.0,4141.0,4110.0,4141.0,25520330,6187,6,4100.0,4141.0,1380-02-30
3583,2001-05-21,4182.0,4182.0,4182.0,4182.0,31841748,7614,8,4141.0,4182.0,1380-02-31
3582,2001-05-23,4223.0,4223.0,4223.0,4223.0,11663926,2762,2,4182.0,4223.0,1380-03-02
3581,2001-05-26,4265.0,4265.0,4265.0,4265.0,7514930,1762,4,4223.0,4265.0,1380-03-05
3580,2001-05-27,4307.0,4307.0,4307.0,4307.0,44814335,10405,12,4265.0,4307.0,1380-03-06
3579,2001-05-28,4350.0,4350.0,4350.0,4350.0,70174200,16132,25,4307.0,4350.0,1380-03-07
3578,2001-05-29,4307.0,4393.0,4307.0,4307.0,118980399,27557,35,4350.0,4307.0,1380-03-08
3577,2001-05-30,4307.0,4307.0,4265.0,4307.0,55374392,12928,17,4307.0,4307.0,1380-03-09
3576,2001-06-02,4289.0,4306.0,4289.0,4304.0,50569450,11750,15,4307.0,4304.0,1380-03-12
3575,2001-06-03,4305.0,4307.0,4305.0,4305.0,38835408,9020,16,4304.0,4305.0,1380-03-13
3574,2001-06-06,4305.0,4306.0,4305.0,4305.0,29834650,6930,12,4305.0,4305.0,1380-03-16
3573,2001-06-09,4305.0,4305.0,4302.0,4302.0,14349411,3334,4,4305.0,4302.0,1380-03-19
3572,2001-06-11,4304.0,4304.0,4300.0,4302.0,63334256,14723,24,4302.0,4302.0,1380-03-21
3571,2001-06-12,4304.0,4304.0,4302.0,4304.0,72430320,16830,16,4302.0,4304.0,1380-03-22
3570,2001-06-13,4304.0,4311.0,4304.0,4311.0,32384610,7519,9,4304.0,4311.0,1380-03-23
3569,2001-06-16,4315.0,4316.0,4310.0,4312.0,153975536,35701,36,4311.0,4312.0,1380-03-26
3568,2001-06-17,4340.0,4340.0,4340.0,4340.0,12803000,2950,7,4312.0,4340.0,1380-03-27
3567,2001-06-19,4350.0,4350.0,4342.0,4342.0,37841546,8712,13,4340.0,4342.0,1380-03-29
3566,2001-06-20,4400.0,4404.0,4400.0,4404.0,29842262,6780,8,4342.0,4404.0,1380-03-30
3565,2001-06-23,4408.0,4408.0,4400.0,4400.0,52342929,11880,20,4404.0,4400.0,1380-04-02
3564,2001-06-24,4400.0,4402.0,4350.0,4350.0,33976853,7735,14,4400.0,4350.0,1380-04-03
3563,2001-06-25,4345.0,4345.0,4345.0,4345.0,4914195,1131,1,4350.0,4345.0,1380-04-04
3562,2001-06-26,4251.0,4337.0,4250.0,4250.0,103956615,24449,20,4345.0,4250.0,1380-04-05
3561,2001-06-27,4250.0,4252.0,4150.0,4250.0,83333378,19830,24,4250.0,4250.0,1380-04-06
3560,2001-07-25,4600.0,4676.0,4060.0,4676.0,3521548670,774303,134,4250.0,4676.0,1380-05-03
3559,2001-07-28,4676.0,4792.0,4676.0,4792.0,5975715600,1277900,8,4676.0,4792.0,1380-05-06
3558,2001-07-29,4911.0,4911.0,4911.0,4911.0,37407087,7617,16,4792.0,4911.0,1380-05-07
3557,2001-07-30,5033.0,5033.0,5033.0,5033.0,74035430,14710,19,4911.0,5033.0,1380-05-08
3556,2001-07-31,5158.0,5158.0,4908.0,5000.0,5416315244,1100373,73,5033.0,5000.0,1380-05-09
3555,2001-08-01,5003.0,5017.0,4990.0,5000.0,343365552,68607,41,5000.0,5000.0,1380-05-10
3554,2001-08-04,5050.0,5057.0,5000.0,5057.0,42022350,8326,5,5000.0,5057.0,1380-05-13
3553,2001-08-05,5183.0,5183.0,5070.0,5074.0,128273278,24881,28,5057.0,5074.0,1380-05-14
3552,2001-08-06,5081.0,5150.0,5081.0,5113.0,58453984,11433,11,5074.0,5113.0,1380-05-15
3551,2001-08-07,5156.0,5157.0,5126.0,5156.0,148409798,28867,25,5113.0,5156.0,1380-05-16
3550,2001-08-08,5156.0,5200.0,5156.0,5200.0,50671923,9775,13,5156.0,5200.0,1380-05-17
3549,2001-08-11,5330.0,5330.0,5203.0,5330.0,146186538,27616,33,5200.0,5330.0,1380-05-20
3548,2001-08-12,5402.0,5463.0,5400.0,5463.0,102602418,18843,21,5330.0,5463.0,1380-05-21
3547,2001-08-13,5517.0,5517.0,5517.0,5517.0,19099854,3462,4,5463.0,5517.0,1380-05-22
3546,2001-08-14,5572.0,5572.0,5572.0,5572.0,223704656,40148,48,5517.0,5572.0,1380-05-23
3545,2001-08-15,5627.0,5627.0,5627.0,5627.0,27639824,4912,10,5572.0,5627.0,1380-05-24
3544,2001-08-18,5683.0,5683.0,5683.0,5683.0,43048725,7575,9,5627.0,5683.0,1380-05-27
