,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
271,2020-06-24,4100.0,4100.0,4100.0,4100.0,2295993456400,559998404,2547303,1000.0,4100.0,1399-04-04
270,2020-06-27,4305.0,4305.0,4305.0,4106.0,1416943395,329139,1666,4100.0,4305.0,1399-04-07
269,2020-06-28,4311.0,4311.0,4311.0,4113.0,1912945896,443736,2183,4106.0,4311.0,1399-04-08
268,2020-06-29,4318.0,4318.0,4318.0,4173.0,15334198186,3551227,3405,4113.0,4318.0,1399-04-09
267,2020-06-30,4381.0,4381.0,4381.0,4193.0,5071520077,1157617,5654,4173.0,4381.0,1399-04-10
266,2020-07-01,4402.0,4402.0,4402.0,4219.0,6793562580,1543290,2634,4193.0,4402.0,1399-04-11
265,2020-07-04,4429.0,4429.0,4429.0,4270.0,12849870987,2901303,4308,4219.0,4429.0,1399-04-14
264,2020-07-05,4483.0,4483.0,4483.0,4343.0,18086650051,4034497,5025,4270.0,4483.0,1399-04-15
263,2020-07-06,4560.0,4560.0,4560.0,4366.0,5757232560,1262551,5982,4343.0,4560.0,1399-04-16
262,2020-07-07,4584.0,4584.0,4584.0,4459.0,23214980400,5064350,5241,4366.0,4584.0,1399-04-17
261,2020-07-08,4681.0,4681.0,4681.0,4564.0,26271532056,5612376,3954,4459.0,4681.0,1399-04-18
260,2020-07-11,4792.0,4792.0,4792.0,4690.0,28948759520,6041060,5085,4564.0,4792.0,1399-04-21
259,2020-07-12,4924.0,4924.0,4924.0,4818.0,29425720596,5975979,4717,4690.0,4924.0,1399-04-22
258,2020-07-13,5058.0,5058.0,5058.0,4951.0,30790145070,6087415,5445,4818.0,5058.0,1399-04-23
257,2020-07-14,5198.0,5198.0,5198.0,5092.0,32567928654,6265473,5380,4951.0,5198.0,1399-04-24
256,2020-07-15,5346.0,5346.0,5346.0,5216.0,28500654006,5331211,1696,5092.0,5346.0,1399-04-25
255,2020-07-18,5476.0,5476.0,5476.0,5390.0,35200932720,6428220,6849,5216.0,5476.0,1399-04-28
254,2020-07-19,5659.0,5659.0,5659.0,5562.0,34768279169,6143891,5489,5390.0,5659.0,1399-04-29
253,2020-07-20,5840.0,5840.0,5840.0,5737.0,35174909840,6023101,4472,5562.0,5840.0,1399-04-30
252,2020-07-21,6023.0,6023.0,6023.0,5778.0,8320316752,1381424,5450,5737.0,6023.0,1399-04-31
251,2020-07-22,6066.0,6066.0,6066.0,5947.0,34137452286,5627671,3103,5778.0,6066.0,1399-05-01
250,2020-07-25,6244.0,6244.0,6244.0,6163.0,38158882272,6111288,4714,5947.0,6244.0,1399-05-04
249,2020-07-26,6471.0,6471.0,6471.0,6214.0,9031199382,1395642,4762,6163.0,6471.0,1399-05-05
248,2020-07-27,6524.0,6524.0,6524.0,6512.0,52763593736,8087614,5592,6214.0,6524.0,1399-05-06
247,2020-07-28,6837.0,6837.0,6837.0,6765.0,44762249220,6547060,2764,6512.0,6837.0,1399-05-07
