,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
556,2013-11-02,1200.0,1200.0,1200.0,1200.0,4326000000,3605000,1,1000.0,1200.0,1392-08-11
555,2014-02-22,1200.0,1200.0,1200.0,1200.0,63150000,52625,3,1200.0,1200.0,1392-12-03
554,2014-03-16,1200.0,1200.0,1200.0,1200.0,47250000,39375,1,1200.0,1200.0,1392-12-25
553,2014-06-29,1200.0,1200.0,1200.0,1200.0,60000,50,1,1200.0,1200.0,1393-04-08
552,2014-07-05,1200.0,1200.0,1200.0,1200.0,4440000,3700,2,1200.0,1200.0,1393-04-14
551,2014-08-04,1200.0,1200.0,1200.0,1200.0,3600000,3000,1,1200.0,1200.0,1393-05-13
550,2014-08-10,1200.0,1200.0,1200.0,1200.0,7160673600,5967228,2,1200.0,1200.0,1393-05-19
549,2014-09-15,510.0,510.0,510.0,510.0,239190,469,1,1200.0,510.0,1393-06-24
548,2015-01-14,1250.0,1250.0,1250.0,1250.0,62500,50,1,510.0,1250.0,1393-10-24
547,2015-02-03,1375.0,1375.0,1375.0,1375.0,14078625,10239,1,1250.0,1375.0,1393-11-14
546,2015-04-06,1378.0,1378.0,1378.0,1378.0,68900000,50000,1,1375.0,1378.0,1394-01-17
545,2015-04-14,1378.0,1378.0,1378.0,1378.0,6890000,5000,1,1378.0,1378.0,1394-01-25
544,2015-04-15,1378.0,1378.0,1378.0,1378.0,646282,469,1,1378.0,1378.0,1394-01-26
543,2015-04-28,1378.0,1378.0,1378.0,1378.0,1898884,1378,1,1378.0,1378.0,1394-02-08
542,2015-04-29,1378.0,1378.0,1251.0,1262.0,2271231,1800,2,1378.0,1251.0,1394-02-09
541,2015-06-08,1250.0,1250.0,1250.0,1250.0,24937500,19950,1,1262.0,1250.0,1394-03-18
540,2015-07-05,1300.0,1300.0,1300.0,1300.0,9631700,7409,1,1250.0,1300.0,1394-04-14
539,2015-10-12,1300.0,1300.0,1300.0,1300.0,3092408800,2378776,1,1300.0,1300.0,1394-07-20
538,2015-10-20,1300.0,1300.0,1300.0,1300.0,1927900,1483,1,1300.0,1300.0,1394-07-28
537,2015-10-21,1300.0,1300.0,1300.0,1300.0,40625000,31250,2,1300.0,1300.0,1394-07-29
536,2015-12-07,1301.0,1301.0,1301.0,1301.0,1951500,1500,1,1300.0,1301.0,1394-09-16
535,2015-12-08,1320.0,1320.0,1320.0,1320.0,25080000,19000,1,1301.0,1320.0,1394-09-17
534,2015-12-30,1400.0,1400.0,1400.0,1400.0,14000000,10000,1,1320.0,1400.0,1394-10-09
533,2016-01-02,1412.0,1412.0,1412.0,1412.0,2824000,2000,1,1400.0,1412.0,1394-10-12
532,2016-01-03,1411.0,1411.0,1410.0,1410.0,55023970,39017,2,1412.0,1410.0,1394-10-13
531,2016-01-25,1400.0,1400.0,1400.0,1400.0,14000000,10000,1,1410.0,1400.0,1394-11-05
530,2016-02-13,1400.0,1400.0,1400.0,1400.0,23800000,17000,2,1400.0,1400.0,1394-11-24
529,2016-02-14,1500.0,1500.0,1500.0,1500.0,22500000,15000,1,1400.0,1500.0,1394-11-25
528,2016-02-16,1700.0,1700.0,1700.0,1700.0,255000000,150000,1,1500.0,1700.0,1394-11-27
527,2016-02-17,2000.0,2000.0,2000.0,2000.0,500000000,250000,1,1700.0,2000.0,1394-11-28
526,2016-02-20,2000.0,2200.0,2000.0,2199.0,553500000,251750,2,2000.0,2200.0,1394-12-01
525,2016-02-21,2500.0,2500.0,2500.0,2500.0,2500000000,1000000,1,2199.0,2500.0,1394-12-02
524,2016-02-22,2750.0,2750.0,2750.0,2750.0,2750000000,1000000,1,2500.0,2750.0,1394-12-03
