,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
26,2019-12-31,150000.0,150000.0,150000.0,150000.0,150000000,1000,1,150000.0,150000.0,1398-10-10
25,2020-01-01,150000.0,150000.0,150000.0,150000.0,150000000,1000,1,150000.0,150000.0,1398-10-11
24,2020-01-07,150000.0,150000.0,150000.0,150000.0,4290000000,28600,8,150000.0,150000.0,1398-10-17
23,2020-01-08,150000.0,150000.0,150000.0,150000.0,3150000000,21000,7,150000.0,150000.0,1398-10-18
22,2020-01-13,150000.0,150000.0,150000.0,150000.0,510000000,3400,2,150000.0,150000.0,1398-10-23
21,2020-01-14,150000.0,150000.0,150000.0,150000.0,3300000000,22000,4,150000.0,150000.0,1398-10-24
20,2020-01-15,150000.0,150000.0,150000.0,150000.0,900000000,6000,1,150000.0,150000.0,1398-10-25
19,2020-01-18,150000.0,150000.0,150000.0,150000.0,150000000,1000,1,150000.0,150000.0,1398-10-28
18,2020-01-20,150000.0,150000.0,150000.0,150000.0,7200000000,48000,3,150000.0,150000.0,1398-10-30
17,2020-09-30,170000.0,170000.0,170000.0,170000.0,472600000,2780,2,150000.0,170000.0,1399-07-09
16,2020-10-19,170000.0,170000.0,170000.0,170000.0,1001300000,5890,1,170000.0,170000.0,1399-07-28
15,2020-10-20,170000.0,170000.0,170000.0,170000.0,1926100000,11330,1,170000.0,170000.0,1399-07-29
14,2020-10-27,170000.0,170000.0,170000.0,170000.0,340000000,2000,1,170000.0,170000.0,1399-08-06
13,2020-11-17,170000.0,170000.0,170000.0,170000.0,2210000000,13000,3,170000.0,170000.0,1399-08-27
12,2020-11-23,170000.0,170000.0,170000.0,170000.0,1360000000,8000,3,170000.0,170000.0,1399-09-03
11,2020-11-25,170000.0,170000.0,170000.0,170000.0,1020000000,6000,2,170000.0,170000.0,1399-09-05
10,2020-11-28,170000.0,170000.0,170000.0,170000.0,850000000,5000,1,170000.0,170000.0,1399-09-08
9,2020-12-06,170000.0,170000.0,170000.0,170000.0,510000000,3000,1,170000.0,170000.0,1399-09-16
8,2021-07-14,389000.0,393000.0,389000.0,391581.0,1213900000,3100,3,370000.0,393000.0,1400-04-23
7,2021-07-18,405000.0,408000.0,405000.0,407000.0,1221000000,3000,2,391581.0,408000.0,1400-04-27
6,2021-07-27,418000.0,418000.0,418000.0,418000.0,418000000,1000,1,407000.0,418000.0,1400-05-05
5,2021-08-02,418000.0,418000.0,418000.0,418000.0,836000000,2000,1,418000.0,418000.0,1400-05-11
4,2021-08-04,437000.0,441000.0,437000.0,437820.0,8537500000,19500,2,418000.0,441000.0,1400-05-13
3,2021-08-08,461000.0,463000.0,461000.0,462238.0,9707000000,21000,6,437820.0,463000.0,1400-05-17
2,2021-08-10,469000.0,469000.0,469000.0,469000.0,469000000,1000,1,462238.0,469000.0,1400-05-19
1,2021-08-11,469000.0,497000.0,469000.0,495262.0,7181300000,14500,5,469000.0,497000.0,1400-05-20
0,2021-08-15,499000.0,499000.0,499000.0,499000.0,548900000,1100,2,495262.0,499000.0,1400-05-24
