,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1197,2016-07-09,10000.0,10000.0,10000.0,10000.0,100014380000,10001438,151,10000.0,10000.0,1395-04-19
1196,2016-07-10,10000.0,10000.0,10000.0,10000.0,1210950000,121095,12,10000.0,10000.0,1395-04-20
1195,2016-07-11,10000.0,10000.0,10000.0,10000.0,55262320000,5526232,76,10000.0,10000.0,1395-04-21
1194,2016-07-12,10000.0,10000.0,10000.0,10000.0,560937670000,56093767,45,10000.0,10000.0,1395-04-22
1193,2016-07-13,10000.0,10000.0,10000.0,10000.0,25435480000,2543548,207,10000.0,10000.0,1395-04-23
1192,2016-08-10,10165.0,10172.0,10163.0,10170.0,471058800,46320,117,10000.0,10172.0,1395-05-20
1191,2016-08-13,10191.0,10191.0,10183.0,10183.0,20590128474,2021996,52,10170.0,10184.0,1395-05-23
1190,2016-08-14,10190.0,10199.0,10190.0,10196.0,29610933800,2904200,52,10183.0,10199.0,1395-05-24
1189,2016-08-15,10193.0,10194.0,10193.0,10193.0,10195168900,1000200,23,10196.0,10193.0,1395-05-25
1188,2016-08-16,10200.0,10200.0,10199.0,10199.0,10370285016,1016794,29,10193.0,10199.0,1395-05-26
1187,2016-08-17,10206.0,10219.0,10206.0,10219.0,413456190,40460,4,10199.0,10219.0,1395-05-27
1186,2016-08-20,10223.0,10223.0,10222.0,10223.0,3588105604,351000,12,10219.0,10222.0,1395-05-30
1185,2016-08-21,10241.0,10241.0,10241.0,10241.0,33948915,3315,2,10223.0,10241.0,1395-05-31
1184,2016-08-22,10246.0,10247.0,10246.0,10247.0,313655670,30610,2,10241.0,10247.0,1395-06-01
1183,2016-08-23,10245.0,10245.0,10238.0,10238.0,832880209,81350,15,10247.0,10238.0,1395-06-02
1182,2016-08-24,10244.0,10257.0,10243.0,10251.0,682161630,66545,8,10238.0,10257.0,1395-06-03
1181,2016-08-27,10261.0,10274.0,10261.0,10266.0,88855055,8655,7,10251.0,10274.0,1395-06-06
1180,2016-08-28,10279.0,10280.0,10266.0,10267.0,15432016270,1503035,44,10266.0,10267.0,1395-06-07
1179,2016-08-29,10273.0,10273.0,10273.0,10273.0,30820232760,3000120,67,10267.0,10273.0,1395-06-08
1178,2016-08-30,10288.0,10302.0,10288.0,10289.0,326703179,31753,8,10273.0,10288.0,1395-06-09
1177,2016-08-31,10295.0,10308.0,10295.0,10306.0,3123132904,303038,13,10289.0,10308.0,1395-06-10
1176,2016-09-03,10311.0,10325.0,10311.0,10325.0,2789297762,270155,34,10306.0,10325.0,1395-06-13
1175,2016-09-04,10325.0,10330.0,10325.0,10329.0,991314410,95973,15,10325.0,10330.0,1395-06-14
1174,2016-09-05,10323.0,10336.0,10322.0,10334.0,181861671,17599,14,10329.0,10322.0,1395-06-15
1173,2016-09-06,10340.0,10342.0,10334.0,10336.0,26814815236,2594362,59,10334.0,10342.0,1395-06-16
