,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1185,2016-04-25,1561.0,1570.0,1516.0,1557.0,11609519750,7455098,289,1000.0,1561.0,1395-02-06
1184,2016-04-26,1594.0,1594.0,1520.0,1559.0,22674005951,14544283,885,1557.0,1560.0,1395-02-07
1183,2016-04-27,1565.0,1570.0,1500.0,1528.0,8507196573,5582589,516,1559.0,1519.0,1395-02-08
1182,2016-04-30,1505.0,1550.0,1500.0,1518.0,10898518509,7180996,419,1528.0,1510.0,1395-02-11
1181,2016-05-01,1518.0,1518.0,1491.0,1508.0,7535249429,5008436,448,1518.0,1491.0,1395-02-12
1180,2016-05-02,1500.0,1510.0,1460.0,1488.0,11939227068,8022211,654,1508.0,1461.0,1395-02-13
1179,2016-05-03,1485.0,1485.0,1449.0,1460.0,8823766102,6052528,543,1488.0,1452.0,1395-02-14
1178,2016-05-04,1456.0,1477.0,1432.0,1447.0,8434279834,5836289,536,1460.0,1440.0,1395-02-15
1177,2016-05-07,1453.0,1453.0,1401.0,1423.0,9755779015,6856292,600,1447.0,1411.0,1395-02-18
1176,2016-05-08,1422.0,1494.0,1407.0,1479.0,23385149371,15816615,1118,1423.0,1494.0,1395-02-19
1175,2016-05-09,1514.0,1531.0,1460.0,1496.0,9147189426,6104604,521,1479.0,1480.0,1395-02-20
1174,2016-05-10,1486.0,1510.0,1430.0,1482.0,3145255556,2166717,326,1496.0,1450.0,1395-02-21
1173,2016-05-11,1468.0,1468.0,1410.0,1445.0,5959728579,4194469,392,1482.0,1430.0,1395-02-22
1172,2016-05-14,1415.0,1465.0,1410.0,1442.0,5172223949,3592224,338,1445.0,1431.0,1395-02-25
1171,2016-05-15,1450.0,1450.0,1400.0,1408.0,11614682790,8250561,640,1442.0,1415.0,1395-02-26
1170,2016-05-16,1405.0,1439.0,1405.0,1414.0,5925713927,4180954,268,1408.0,1418.0,1395-02-27
1169,2016-05-17,1437.0,1448.0,1410.0,1423.0,6790211422,4758992,486,1414.0,1424.0,1395-02-28
1168,2016-05-18,1439.0,1440.0,1412.0,1421.0,5903666327,4158518,395,1423.0,1423.0,1395-02-29
1167,2016-05-21,1436.0,1436.0,1410.0,1416.0,8059754734,5694761,497,1421.0,1413.0,1395-03-01
1166,2016-05-23,1412.0,1435.0,1405.0,1416.0,6219047626,4392636,505,1416.0,1410.0,1395-03-03
1165,2016-05-24,1429.0,1429.0,1399.0,1406.0,8764332258,6238033,571,1416.0,1401.0,1395-03-04
1164,2016-05-25,1401.0,1424.0,1390.0,1407.0,8213461878,5838420,556,1406.0,1408.0,1395-03-05
1163,2016-05-28,1420.0,1423.0,1396.0,1406.0,3778481681,2688666,422,1407.0,1400.0,1395-03-08
1162,2016-05-29,1419.0,1419.0,1392.0,1403.0,4442235503,3175926,369,1406.0,1395.0,1395-03-09
1161,2016-05-30,1405.0,1420.0,1386.0,1412.0,14865319054,10529601,572,1403.0,1393.0,1395-03-10
1160,2016-05-31,1405.0,1416.0,1383.0,1403.0,3835250024,2762451,284,1412.0,1385.0,1395-03-11
1159,2016-06-01,1384.0,1398.0,1375.0,1388.0,6131441682,4447015,368,1403.0,1380.0,1395-03-12
1158,2016-06-05,1372.0,1420.0,1372.0,1392.0,4541168927,3249271,323,1388.0,1378.0,1395-03-16
1157,2016-06-06,1405.0,1405.0,1380.0,1391.0,1892498880,1366515,220,1392.0,1384.0,1395-03-17
1156,2016-06-07,1381.0,1391.0,1361.0,1381.0,4968296304,3622297,401,1391.0,1363.0,1395-03-18
1155,2016-06-08,1371.0,1409.0,1370.0,1394.0,16377082935,11744164,1000,1381.0,1400.0,1395-03-19
1154,2016-06-11,1381.0,1390.0,1348.0,1380.0,4251869361,3121547,342,1394.0,1349.0,1395-03-22
1153,2016-06-12,1379.0,1379.0,1337.0,1357.0,7228348763,5357488,372,1380.0,1350.0,1395-03-23
1152,2016-06-13,1365.0,1369.0,1290.0,1318.0,12510780608,9495775,532,1357.0,1301.0,1395-03-24
1151,2016-06-14,1300.0,1340.0,1267.0,1308.0,10072370022,7699181,584,1318.0,1311.0,1395-03-25
1150,2016-06-15,1310.0,1338.0,1292.0,1312.0,3617190626,2742701,223,1308.0,1315.0,1395-03-26
1149,2016-06-18,1320.0,1337.0,1271.0,1308.0,1747091643,1352672,237,1312.0,1280.0,1395-03-29
1148,2016-06-19,1280.0,1289.0,1258.0,1300.0,2034308320,1600172,280,1308.0,1267.0,1395-03-30
1147,2016-06-20,1267.0,1299.0,1235.0,1252.0,8528004515,6839435,532,1300.0,1246.0,1395-03-31
1146,2016-06-21,1246.0,1285.0,1237.0,1257.0,3955695397,3129574,258,1252.0,1262.0,1395-04-01
1145,2016-06-22,1293.0,1319.0,1288.0,1293.0,8756300187,6744969,391,1257.0,1300.0,1395-04-02
1144,2016-06-25,1349.0,1355.0,1290.0,1339.0,12935566749,9661146,632,1293.0,1338.0,1395-04-05
1143,2016-06-26,1333.0,1405.0,1313.0,1402.0,92872471079,66226950,2506,1339.0,1380.0,1395-04-06
1142,2016-06-28,1410.0,1420.0,1371.0,1401.0,29158903083,20814605,1064,1402.0,1385.0,1395-04-08
1141,2016-06-29,1360.0,1398.0,1351.0,1373.0,10330406528,7526953,521,1401.0,1380.0,1395-04-09
1140,2016-07-02,1397.0,1425.0,1356.0,1399.0,25087280313,17928473,944,1373.0,1412.0,1395-04-12
1139,2016-07-03,1413.0,1444.0,1407.0,1419.0,39087947334,27542587,1374,1399.0,1439.0,1395-04-13
1138,2016-07-04,1439.0,1465.0,1405.0,1429.0,69671248163,48747064,2039,1419.0,1443.0,1395-04-14
1137,2016-07-05,1413.0,1430.0,1365.0,1401.0,76186426661,54384684,1802,1429.0,1400.0,1395-04-15
1136,2016-07-09,1380.0,1387.0,1350.0,1373.0,9512229375,6933929,314,1401.0,1357.0,1395-04-19
1135,2016-07-10,1347.0,1370.0,1315.0,1357.0,4976681868,3706752,230,1373.0,1357.0,1395-04-20
1134,2016-07-11,1365.0,1400.0,1331.0,1364.0,3294631870,2390180,203,1357.0,1377.0,1395-04-21
1133,2016-07-12,1352.0,1379.0,1347.0,1362.0,4755874936,3497481,238,1364.0,1367.0,1395-04-22
1132,2016-07-13,1367.0,1379.0,1338.0,1360.0,6967190913,5124030,238,1362.0,1363.0,1395-04-23
1131,2016-07-16,1376.0,1376.0,1350.0,1362.0,9999503335,7342012,354,1360.0,1355.0,1395-04-26
1130,2016-07-17,1355.0,1380.0,1345.0,1362.0,4798514208,3522387,279,1362.0,1346.0,1395-04-27
1129,2016-07-18,1350.0,1360.0,1332.0,1357.0,2590500228,1928466,185,1362.0,1360.0,1395-04-28
1128,2016-07-19,1335.0,1364.0,1335.0,1352.0,7902052815,5850227,248,1357.0,1350.0,1395-04-29
1127,2016-07-20,1360.0,1419.0,1350.0,1391.0,13259873772,9535325,559,1352.0,1419.0,1395-04-30
1126,2016-07-23,1419.0,1460.0,1419.0,1459.0,70109764993,48068808,1865,1391.0,1460.0,1395-05-02
1125,2016-07-24,1470.0,1470.0,1428.0,1453.0,4854456327,3354714,371,1459.0,1433.0,1395-05-03
1124,2016-07-25,1430.0,1447.0,1409.0,1430.0,9603676602,6722644,341,1453.0,1418.0,1395-05-04
1123,2016-07-26,1412.0,1430.0,1399.0,1403.0,20577011316,14669824,696,1430.0,1405.0,1395-05-05
1122,2016-07-27,1395.0,1473.0,1387.0,1462.0,66131360058,45248463,1352,1403.0,1473.0,1395-05-06
1121,2016-07-31,1473.0,1511.0,1437.0,1471.0,7437730379,5047315,415,1462.0,1437.0,1395-05-10
1120,2016-08-01,1451.0,1475.0,1442.0,1457.0,8121024850,5584945,292,1471.0,1453.0,1395-05-11
1119,2016-08-02,1434.0,1495.0,1433.0,1463.0,16315206346,11154650,619,1457.0,1491.0,1395-05-12
1118,2016-08-03,1475.0,1495.0,1397.0,1437.0,44424733994,30916528,1342,1463.0,1408.0,1395-05-13
1117,2016-08-06,1401.0,1402.0,1366.0,1378.0,25847002147,18755728,1147,1437.0,1379.0,1395-05-16
1116,2016-08-07,1358.0,1390.0,1330.0,1355.0,27743067548,20472818,1232,1378.0,1337.0,1395-05-17
1115,2016-08-08,1341.0,1360.0,1329.0,1341.0,7149662049,5347081,455,1355.0,1350.0,1395-05-18
1114,2016-08-09,1350.0,1358.0,1334.0,1343.0,3663191740,2723470,314,1341.0,1335.0,1395-05-19
1113,2016-08-10,1340.0,1350.0,1325.0,1337.0,5025367548,3773804,384,1343.0,1327.0,1395-05-20
1112,2016-08-13,1344.0,1347.0,1323.0,1334.0,4560394949,3430396,421,1337.0,1327.0,1395-05-23
1111,2016-08-14,1330.0,1339.0,1315.0,1327.0,6654024380,5028667,529,1334.0,1317.0,1395-05-24
1110,2016-08-15,1347.0,1347.0,1305.0,1322.0,4714403793,3581099,438,1327.0,1318.0,1395-05-25
1109,2016-08-16,1321.0,1322.0,1299.0,1306.0,8292894371,6363271,525,1322.0,1309.0,1395-05-26
1108,2016-08-17,1340.0,1340.0,1302.0,1306.0,2502680347,1914412,284,1306.0,1308.0,1395-05-27
1107,2016-08-20,1315.0,1329.0,1298.0,1308.0,4633598830,3534827,410,1306.0,1319.0,1395-05-30
1106,2016-08-21,1303.0,1337.0,1303.0,1311.0,2881482719,2185789,237,1308.0,1322.0,1395-05-31
1105,2016-08-22,1334.0,1334.0,1301.0,1313.0,5295878799,4028294,316,1311.0,1318.0,1395-06-01
1104,2016-08-23,1328.0,1328.0,1296.0,1308.0,4151949515,3190339,333,1313.0,1298.0,1395-06-02
1103,2016-08-24,1298.0,1319.0,1288.0,1303.0,8414949087,6465304,398,1308.0,1300.0,1395-06-03
1102,2016-08-27,1292.0,1305.0,1271.0,1296.0,5257724991,4073676,407,1303.0,1271.0,1395-06-06
1101,2016-08-28,1300.0,1300.0,1254.0,1272.0,7356579726,5817401,522,1296.0,1255.0,1395-06-07
1100,2016-08-29,1335.0,1335.0,1306.0,1330.0,25857190209,19447949,997,1272.0,1308.0,1395-06-08
1099,2016-08-30,1329.0,1332.0,1310.0,1326.0,5937987759,4488197,263,1330.0,1324.0,1395-06-09
1098,2016-08-31,1310.0,1362.0,1310.0,1339.0,10079772283,7528665,582,1326.0,1320.0,1395-06-10
1097,2016-09-03,1315.0,1330.0,1282.0,1310.0,9960336931,7602645,501,1339.0,1302.0,1395-06-13
1096,2016-09-04,1286.0,1314.0,1281.0,1303.0,5970086572,4598340,303,1310.0,1284.0,1395-06-14
1095,2016-09-05,1280.0,1297.0,1280.0,1300.0,1567619477,1218158,179,1303.0,1286.0,1395-06-15
1094,2016-09-06,1295.0,1300.0,1253.0,1274.0,14541573634,11412317,888,1300.0,1280.0,1395-06-16
1093,2016-09-24,1316.0,1317.0,1270.0,1296.0,5325797002,4110215,329,1249.0,1279.0,1395-07-03
1092,2016-09-25,1297.0,1300.0,1249.0,1269.0,7948123532,6293229,626,1296.0,1258.0,1395-07-04
1091,2016-09-26,1245.0,1269.0,1240.0,1262.0,3277130149,2627747,352,1269.0,1251.0,1395-07-05
1090,2016-09-27,1258.0,1260.0,1235.0,1252.0,5841974338,4688470,399,1262.0,1249.0,1395-07-06
1089,2016-09-28,1250.0,1298.0,1243.0,1271.0,13916628445,10950986,890,1252.0,1270.0,1395-07-07
1088,2016-10-01,1294.0,1295.0,1250.0,1267.0,8858004909,6994772,577,1271.0,1253.0,1395-07-10
1087,2016-10-02,1270.0,1270.0,1225.0,1239.0,9124761261,7373649,671,1267.0,1239.0,1395-07-11
1086,2016-10-03,1239.0,1239.0,1206.0,1216.0,12473544236,10255060,927,1239.0,1209.0,1395-07-12
1085,2016-10-04,1190.0,1215.0,1185.0,1193.0,13985880490,11726402,1009,1216.0,1210.0,1395-07-13
1084,2016-10-05,1201.0,1232.0,1194.0,1206.0,9617481741,7976110,650,1193.0,1203.0,1395-07-14
1083,2016-10-08,1250.0,1250.0,1206.0,1225.0,10357718015,8453329,620,1206.0,1215.0,1395-07-17
1082,2016-10-09,1219.0,1229.0,1198.0,1202.0,11439309839,9517086,605,1225.0,1201.0,1395-07-18
1081,2016-10-10,1210.0,1220.0,1199.0,1208.0,11815231512,9777586,530,1202.0,1210.0,1395-07-19
1080,2016-10-15,1211.0,1231.0,1197.0,1203.0,9871358622,8202409,583,1208.0,1209.0,1395-07-24
1079,2016-10-16,1206.0,1210.0,1189.0,1198.0,6751604021,5643139,428,1203.0,1195.0,1395-07-25
1078,2016-10-17,1193.0,1257.0,1190.0,1247.0,21857745855,17525415,943,1198.0,1257.0,1395-07-26
1077,2016-10-18,1281.0,1309.0,1271.0,1299.0,77920545821,59998327,2817,1247.0,1279.0,1395-07-27
1076,2016-10-19,1288.0,1309.0,1257.0,1279.0,14268646032,11159276,797,1299.0,1258.0,1395-07-28
1075,2016-10-22,1257.0,1268.0,1228.0,1239.0,14160648317,11426873,848,1279.0,1230.0,1395-08-01
1074,2016-10-23,1250.0,1250.0,1207.0,1220.0,10048279080,8237621,710,1239.0,1221.0,1395-08-02
