,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
121,2014-02-08,350.0,350.0,350.0,350.0,17500,50,1,1000.0,350.0,1392-11-19
120,2014-05-05,300.0,300.0,300.0,300.0,30000,100,1,350.0,300.0,1393-02-15
119,2014-05-10,300.0,300.0,300.0,300.0,24000,80,1,300.0,300.0,1393-02-20
118,2014-09-08,1000.0,1000.0,1000.0,1000.0,2623000,2623,1,300.0,1000.0,1393-06-17
117,2015-01-12,900.0,900.0,900.0,900.0,18000,20,1,1000.0,900.0,1393-10-22
116,2015-05-13,900.0,900.0,900.0,900.0,2350800,2612,1,900.0,900.0,1394-02-23
115,2015-06-20,900.0,900.0,900.0,900.0,548100,609,2,900.0,900.0,1394-03-30
114,2016-01-10,950.0,950.0,950.0,950.0,564300,594,1,900.0,950.0,1394-10-20
113,2016-03-01,1000.0,1000.0,1000.0,1000.0,2685000,2685,1,950.0,1000.0,1394-12-11
112,2016-03-15,1000.0,1000.0,1000.0,1000.0,43526000,43526,1,1000.0,1000.0,1394-12-25
111,2016-08-24,1000.0,1000.0,1000.0,1000.0,4283000,4283,1,1000.0,1000.0,1395-06-03
110,2016-12-21,1000.0,1000.0,1000.0,1000.0,594000,594,1,1000.0,1000.0,1395-10-01
109,2017-02-11,1000.0,1000.0,1000.0,1000.0,4333000,4333,1,1000.0,1000.0,1395-11-23
108,2017-03-28,1100.0,1100.0,1100.0,1100.0,1100000,1000,1,1000.0,1100.0,1396-01-08
107,2017-04-16,1210.0,1210.0,1210.0,1210.0,12100000,10000,4,1100.0,1210.0,1396-01-27
106,2017-05-29,1331.0,1331.0,1331.0,1331.0,23958000,18000,1,1210.0,1331.0,1396-03-08
105,2017-07-16,1464.0,1464.0,1464.0,1464.0,15370536,10499,2,1331.0,1464.0,1396-04-25
104,2017-08-27,2196.0,2196.0,2196.0,1515.0,3698064,1684,3,1464.0,2196.0,1396-06-05
103,2017-09-12,2272.0,2272.0,2272.0,1534.0,1358656,598,1,1515.0,2272.0,1396-06-21
102,2017-09-26,2301.0,2301.0,2301.0,1856.0,23265411,10111,1,1534.0,2301.0,1396-07-04
101,2017-10-16,2784.0,2784.0,2784.0,1881.0,1834656,659,1,1856.0,2784.0,1396-07-24
100,2017-11-13,2821.0,2821.0,2821.0,2532.0,47130447,16707,1,1881.0,2821.0,1396-08-22
99,2017-12-02,2785.0,2785.0,2785.0,2785.0,29239715,10499,1,2532.0,2785.0,1396-09-11
98,2017-12-03,3063.0,3063.0,3063.0,3063.0,153150000,50000,2,2785.0,3063.0,1396-09-12
97,2018-01-21,3369.0,3369.0,3369.0,3369.0,23583000,7000,2,3063.0,3369.0,1396-11-01
96,2018-01-30,3705.0,0.0,0.0,3705.0,16465020,4444,1,3369.0,3705.0,1396-11-10
95,2018-04-11,3705.0,3705.0,3705.0,3705.0,20373795,5499,2,3369.0,3705.0,1397-01-22
94,2018-05-05,3830.0,3830.0,3830.0,3830.0,757941680,197896,11,3705.0,3830.0,1397-02-15
93,2018-05-07,4211.0,4211.0,4211.0,4211.0,100849239,23949,3,3830.0,4211.0,1397-02-17
92,2018-05-23,4301.0,4320.0,4301.0,4312.0,276521442,64128,7,4211.0,4320.0,1397-03-02
91,2018-05-28,4500.0,4500.0,4500.0,4500.0,62860500,13969,7,4312.0,4500.0,1397-03-07
90,2018-05-30,4500.0,4500.0,4500.0,4500.0,934011000,207558,5,4500.0,4500.0,1397-03-09
89,2018-06-13,4600.0,4600.0,4600.0,4600.0,4613800,1003,1,4500.0,4600.0,1397-03-23
88,2018-06-20,4600.0,4600.0,4600.0,4600.0,22756200,4947,1,4600.0,4600.0,1397-03-30
87,2018-06-27,4600.0,4600.0,4600.0,4600.0,10626000,2310,1,4600.0,4600.0,1397-04-06
86,2018-07-11,4600.0,4600.0,4600.0,4600.0,11127400,2419,1,4600.0,4600.0,1397-04-20
85,2018-07-14,4600.0,4600.0,4600.0,4600.0,979800,213,1,4600.0,4600.0,1397-04-23
84,2018-08-04,4600.0,4600.0,4600.0,4600.0,26790400,5824,11,4600.0,4600.0,1397-05-13
83,2018-08-08,4600.0,4600.0,4600.0,4600.0,2392000,520,2,4600.0,4600.0,1397-05-17
82,2018-08-13,4600.0,4600.0,4600.0,4600.0,59013400,12829,2,4600.0,4600.0,1397-05-22
81,2018-09-01,4602.0,4602.0,4602.0,4602.0,920400,200,1,4600.0,4602.0,1397-06-10
80,2018-09-03,4951.0,4951.0,4951.0,4951.0,34557980,6980,2,4602.0,4951.0,1397-06-12
79,2018-09-05,4951.0,4951.0,4951.0,4951.0,69828904,14104,1,4951.0,4951.0,1397-06-14
78,2018-09-24,4952.0,4952.0,4952.0,4952.0,67896872,13711,2,4951.0,4952.0,1397-07-02
77,2018-10-03,5000.0,5001.0,5000.0,5000.0,256091013,51218,8,4952.0,5001.0,1397-07-11
76,2018-10-15,5000.0,5000.0,5000.0,5000.0,4220000,844,1,5000.0,5000.0,1397-07-23
75,2018-10-17,5000.0,5000.0,5000.0,5000.0,32625000,6525,3,5000.0,5000.0,1397-07-25
74,2018-10-24,5000.0,5000.0,5000.0,5000.0,685000,137,2,5000.0,5000.0,1397-08-02
73,2018-10-27,5000.0,5000.0,5000.0,5000.0,870000,174,1,5000.0,5000.0,1397-08-05
72,2018-11-21,5002.0,5002.0,5002.0,5002.0,19832930,3965,1,5000.0,5002.0,1397-08-30
71,2018-12-03,5002.0,5002.0,5002.0,5002.0,1205482,241,1,5002.0,5002.0,1397-09-12
70,2018-12-05,5101.0,5101.0,5101.0,5101.0,2458682,482,3,5002.0,5101.0,1397-09-14
69,2018-12-22,5506.0,5506.0,5506.0,5506.0,55060000,10000,2,5101.0,5506.0,1397-10-01
68,2018-12-26,5506.0,5506.0,5506.0,5506.0,1101200,200,1,5506.0,5506.0,1397-10-05
