,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1988,2005-04-05,2500.0,2500.0,2500.0,2500.0,2500000,1000,1,2500.0,2500.0,1384-01-16
1987,2005-05-30,2500.0,2500.0,2500.0,2500.0,500000,200,4,2500.0,2500.0,1384-03-09
1986,2005-08-28,1500.0,1500.0,1500.0,1500.0,1500000,1000,1,2500.0,1500.0,1384-06-06
1985,2005-09-04,1501.0,1501.0,1501.0,1501.0,7505000,5000,1,1500.0,1501.0,1384-06-13
1984,2006-01-29,1350.0,1685.0,1350.0,1601.0,3202416,2000,5,1501.0,1601.0,1384-11-09
1983,2006-02-01,1601.0,1601.0,1601.0,1601.0,448280,280,1,1601.0,1601.0,1384-11-12
1982,2006-07-19,1650.0,1650.0,1650.0,1650.0,1650000,1000,1,1601.0,1650.0,1385-04-28
1981,2006-07-22,1650.0,1650.0,1650.0,1650.0,8299500,5030,3,1650.0,1650.0,1385-04-31
1980,2006-07-25,1650.0,1660.0,1650.0,1650.0,3781990,2280,3,1650.0,1650.0,1385-05-03
1979,2006-07-29,1670.0,1670.0,1660.0,1660.0,40648000,24400,4,1650.0,1660.0,1385-05-07
1978,2006-07-30,1660.0,1660.0,1640.0,1657.0,23885077,14491,3,1660.0,1657.0,1385-05-08
1977,2006-07-31,1624.0,1653.0,1624.0,1653.0,13027757,8022,2,1657.0,1653.0,1385-05-09
1976,2008-02-06,1102.0,1102.0,1102.0,1102.0,1102000,1000,1,1653.0,1102.0,1386-11-17
1975,2008-06-16,1300.0,1300.0,1300.0,1300.0,13000000,10000,2,1102.0,1300.0,1387-03-27
1974,2008-06-17,1339.0,1339.0,1338.0,1338.0,9496434,7093,7,1300.0,1338.0,1387-03-28
1973,2008-06-18,1338.0,1338.0,1338.0,1338.0,7094076,5302,2,1338.0,1338.0,1387-03-29
1972,2008-06-21,1338.0,1338.0,1338.0,1338.0,133800,100,1,1338.0,1338.0,1387-04-01
1971,2008-07-01,1378.0,1378.0,1338.0,1338.0,68860,50,2,1338.0,1338.0,1387-04-11
1970,2008-10-08,1298.0,1337.0,1298.0,1337.0,1418753,1093,2,1338.0,1337.0,1387-07-17
1969,2009-02-01,1297.0,1370.0,1297.0,1334.0,17931923,13609,6,1337.0,1370.0,1387-11-13
1968,2009-02-25,1334.0,1334.0,1334.0,1334.0,17333996,12994,2,1334.0,1334.0,1387-12-07
1967,2009-05-02,1350.0,1374.0,1350.0,1335.0,3940350,2901,2,1334.0,1374.0,1388-02-12
1966,2009-06-22,1375.0,1616.0,1375.0,1453.0,2180186,1500,3,1335.0,1616.0,1388-04-01
1965,2009-06-23,1496.0,1496.0,1496.0,1459.0,14960000,10000,2,1453.0,1496.0,1388-04-02
1964,2009-06-27,1502.0,1502.0,1502.0,1461.0,4506000,3000,1,1459.0,1502.0,1388-04-06
1963,2009-06-28,1504.0,1504.0,1504.0,1463.0,4512000,3000,1,1461.0,1504.0,1388-04-07
1962,2009-06-29,1506.0,1506.0,1506.0,1506.0,180720000,120000,12,1463.0,1506.0,1388-04-08
1961,2009-07-12,1500.0,1500.0,1200.0,1227.0,13514000,11010,3,1099.0,1400.0,1388-04-21
1960,2009-07-13,1263.0,1263.0,1263.0,1230.0,7905117,6259,4,1227.0,1263.0,1388-04-22
