,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
290,2020-05-20,40353.0,40353.0,40353.0,40353.0,1557736649691,38602747,2903297,1000.0,40353.0,1399-02-31
289,2020-05-23,42370.0,42370.0,42370.0,40452.0,2579061900,60870,4722,40353.0,42370.0,1399-03-03
288,2020-05-26,42474.0,42474.0,42474.0,42474.0,62641886946,1474829,4990,40452.0,42474.0,1399-03-06
287,2020-05-27,44597.0,44597.0,44597.0,42562.0,2289743771,51343,3567,42474.0,44597.0,1399-03-07
286,2020-05-31,44690.0,44690.0,44690.0,42609.0,1169090400,26160,1983,42562.0,44690.0,1399-03-11
285,2020-06-01,44739.0,44739.0,44739.0,42810.0,4956141681,110779,8472,42609.0,44739.0,1399-03-12
284,2020-06-02,44950.0,44950.0,44950.0,42961.0,3721680200,82796,6006,42810.0,44950.0,1399-03-13
283,2020-06-06,45109.0,45109.0,45109.0,43166.0,5012512080,111120,7938,42961.0,45109.0,1399-03-17
282,2020-06-07,45324.0,45324.0,45324.0,43404.0,5827623948,128577,9754,43166.0,45324.0,1399-03-18
281,2020-06-08,45574.0,45574.0,45574.0,43642.0,5815834862,127613,10236,43404.0,45574.0,1399-03-19
280,2020-06-09,45824.0,45824.0,45824.0,43875.0,5704813056,124494,8999,43642.0,45824.0,1399-03-20
279,2020-06-10,46068.0,46068.0,46068.0,44104.0,5589200100,121325,9009,43875.0,46068.0,1399-03-21
278,2020-06-13,46309.0,46309.0,46309.0,44439.0,7976401087,172243,11433,44104.0,46309.0,1399-03-24
277,2020-06-14,46660.0,46660.0,46660.0,44724.0,6796962200,145670,11086,44439.0,46660.0,1399-03-25
276,2020-06-15,46960.0,46960.0,46960.0,45006.0,6717768880,143053,10510,44724.0,46960.0,1399-03-26
275,2020-06-16,47256.0,47256.0,47256.0,45285.0,6632710392,140357,10670,45006.0,47256.0,1399-03-27
274,2020-06-20,47549.0,47549.0,47549.0,45752.0,10829379848,227752,13374,45285.0,47549.0,1399-03-31
273,2020-06-21,48039.0,48039.0,48039.0,46107.0,8228456193,171287,12019,45752.0,48039.0,1399-04-01
272,2020-06-22,48412.0,48412.0,48412.0,46478.0,8609977376,177848,13508,46107.0,48412.0,1399-04-02
271,2020-06-23,48801.0,48801.0,48801.0,46751.0,6328904088,129688,9895,46478.0,48801.0,1399-04-03
270,2020-06-24,49088.0,49088.0,49088.0,46887.0,3151056896,64192,4409,46751.0,49088.0,1399-04-04
269,2020-06-27,49231.0,49231.0,49231.0,47100.0,4769794666,96886,7262,46887.0,49231.0,1399-04-07
268,2020-06-28,49455.0,49455.0,49455.0,47314.0,4799953935,97057,7355,47100.0,49455.0,1399-04-08
267,2020-07-04,48104.0,48104.0,48104.0,46132.0,7291027072,151568,11306,45814.0,48104.0,1399-04-14
266,2020-07-05,48438.0,48438.0,48438.0,46615.0,11062561068,228386,16942,46132.0,48438.0,1399-04-15
265,2020-07-06,48438.0,48945.0,48438.0,47070.0,10433186712,213162,15878,46615.0,48945.0,1399-04-16
