,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
3166,2001-03-26,8897.0,8897.0,8897.0,8897.0,5952093,669,3,8897.0,8897.0,1380-01-06
3165,2001-03-27,8700.0,8800.0,8700.0,8700.0,63960000,7300,9,8897.0,8700.0,1380-01-07
3164,2001-03-28,8700.0,8700.0,8670.0,8700.0,76686900,8823,12,8700.0,8700.0,1380-01-08
3163,2001-03-31,8700.0,8700.0,8700.0,8700.0,17661000,2030,6,8700.0,8700.0,1380-01-11
3162,2001-04-03,8700.0,8700.0,8700.0,8700.0,46110000,5300,7,8700.0,8700.0,1380-01-14
3161,2001-04-07,8700.0,8701.0,8700.0,8700.0,10588200,1217,5,8700.0,8700.0,1380-01-18
3160,2001-04-08,8700.0,8701.0,8700.0,8700.0,172034800,19774,24,8700.0,8700.0,1380-01-19
3159,2001-04-09,8700.0,8700.0,8700.0,8700.0,196002300,22529,26,8700.0,8700.0,1380-01-20
3158,2001-04-10,8700.0,9000.0,8700.0,8960.0,509277930,57950,40,8700.0,8960.0,1380-01-21
3157,2001-04-11,8960.0,8961.0,8950.0,8960.0,153637180,17148,20,8960.0,8960.0,1380-01-22
3156,2001-04-14,8959.0,8960.0,8800.0,8956.0,136052906,15203,14,8960.0,8956.0,1380-01-25
3155,2001-04-24,7700.0,7716.0,7700.0,7716.0,10797600,1400,3,8956.0,7716.0,1380-02-04
3154,2001-04-28,7762.0,7769.0,7762.0,7769.0,17077800,2200,2,7716.0,7769.0,1380-02-08
3153,2001-04-29,7772.0,7786.0,7772.0,7786.0,6326096,813,3,7769.0,7786.0,1380-02-09
3152,2001-04-30,7780.0,7803.0,7780.0,7803.0,19174240,2460,8,7786.0,7803.0,1380-02-10
3151,2001-05-01,7808.0,7900.0,7808.0,7900.0,12662032,1604,2,7803.0,7900.0,1380-02-11
3150,2001-05-02,7907.0,7907.0,7902.0,7903.0,58657707,7421,8,7900.0,7903.0,1380-02-12
3149,2001-05-05,7909.0,7909.0,7909.0,7909.0,2689060,340,1,7903.0,7909.0,1380-02-15
3148,2001-05-06,7912.0,7950.0,7910.0,7910.0,62280450,7869,11,7909.0,7910.0,1380-02-16
3147,2001-05-07,7910.0,7910.0,7910.0,7910.0,5228510,661,4,7910.0,7910.0,1380-02-17
3146,2001-05-08,7912.0,7912.0,7910.0,7910.0,24128850,3050,9,7910.0,7910.0,1380-02-18
3145,2001-05-09,7910.0,7910.0,7910.0,7910.0,2111970,267,2,7910.0,7910.0,1380-02-19
3144,2001-05-12,7913.0,7914.0,7913.0,7914.0,17568860,2220,2,7910.0,7914.0,1380-02-22
3143,2001-05-15,7955.0,8001.0,7941.0,8001.0,22942844,2884,6,7914.0,8001.0,1380-02-25
3142,2001-05-16,8126.0,8130.0,8100.0,8130.0,84849190,10444,11,8001.0,8130.0,1380-02-26
3141,2001-05-19,8154.0,8207.0,8153.0,8207.0,115745200,14140,14,8130.0,8207.0,1380-02-29
3140,2001-05-20,8215.0,8617.0,8215.0,8617.0,95693268,11509,8,8207.0,8617.0,1380-02-30
3139,2001-05-21,8515.0,8520.0,8515.0,8520.0,32681020,3836,5,8617.0,8520.0,1380-02-31
3138,2001-05-23,8600.0,8623.0,8600.0,8623.0,9409600,1092,2,8520.0,8623.0,1380-03-02
3137,2001-05-26,9054.0,9054.0,9054.0,9054.0,34405200,3800,6,8623.0,9054.0,1380-03-05
3136,2001-05-27,9506.0,9506.0,9506.0,9506.0,90649216,9536,4,9054.0,9506.0,1380-03-06
3135,2001-05-28,9981.0,9981.0,9981.0,9981.0,17696313,1773,4,9506.0,9981.0,1380-03-07
3134,2001-05-29,9981.0,10480.0,9981.0,9981.0,194933380,18980,28,9981.0,9981.0,1380-03-08
3133,2001-05-30,9982.0,9990.0,9982.0,9990.0,111664200,11180,5,9981.0,9990.0,1380-03-09
3132,2001-06-02,9983.0,9992.0,9951.0,9951.0,124634039,12485,16,9990.0,9951.0,1380-03-12
3131,2001-06-06,9932.0,9933.0,9932.0,9933.0,6943112,699,2,9951.0,9933.0,1380-03-16
3130,2001-06-11,9887.0,9890.0,9887.0,9889.0,17798336,1800,4,9933.0,9889.0,1380-03-21
3129,2001-06-18,9396.0,9396.0,9396.0,9396.0,766760580,81605,57,9889.0,9396.0,1380-03-28
3128,2001-06-19,9389.0,9396.0,9350.0,9396.0,610984706,65100,32,9396.0,9396.0,1380-03-29
3127,2001-06-20,9350.0,9396.0,9349.0,9396.0,354803769,37806,26,9396.0,9396.0,1380-03-30
3126,2001-06-23,9396.0,9396.0,9388.0,9396.0,274571748,29234,28,9396.0,9396.0,1380-04-02
3125,2001-06-24,9384.0,9396.0,9384.0,9396.0,187813586,20000,14,9396.0,9396.0,1380-04-03
3124,2001-06-25,9381.0,9396.0,9381.0,9396.0,217871076,23200,30,9396.0,9396.0,1380-04-04
3123,2001-06-27,9300.0,9396.0,9232.0,9396.0,360903870,38626,24,9396.0,9396.0,1380-04-06
3122,2001-06-30,9378.0,9398.0,9378.0,9398.0,345410176,36785,21,9396.0,9398.0,1380-04-09
3121,2001-07-01,9398.0,9401.0,9395.0,9399.0,133711823,14228,13,9398.0,9399.0,1380-04-10
3120,2001-07-02,9390.0,9400.0,9347.0,9399.0,535997788,57064,27,9399.0,9399.0,1380-04-11
3119,2001-07-03,9397.0,9399.0,9397.0,9399.0,69358820,7380,3,9399.0,9399.0,1380-04-12
3118,2001-07-04,9386.0,9399.0,9386.0,9399.0,140733830,14985,15,9399.0,9399.0,1380-04-13
3117,2001-07-08,9197.0,9210.0,9000.0,9198.0,49339408,5447,13,9399.0,9198.0,1380-04-17
3116,2001-07-09,9170.0,9178.0,9170.0,9178.0,10170402,1109,2,9198.0,9178.0,1380-04-18
3115,2001-07-11,8947.0,9040.0,8939.0,8948.0,224380324,25017,22,9178.0,8948.0,1380-04-20
3114,2001-07-14,8946.0,8946.0,8946.0,8946.0,5349708,598,1,8948.0,8946.0,1380-04-23
3113,2001-07-15,8940.0,8940.0,8900.0,8900.0,62406175,7000,12,8946.0,8900.0,1380-04-24
3112,2001-07-16,8850.0,8850.0,8700.0,8700.0,156079000,17800,28,8900.0,8700.0,1380-04-25
3111,2001-07-17,8692.0,8692.0,8550.0,8550.0,51493300,6000,17,8700.0,8550.0,1380-04-26
3110,2001-07-18,8501.0,8520.0,8448.0,8500.0,365654296,43034,50,8550.0,8500.0,1380-04-27
