,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
236,2020-07-22,13000.0,13000.0,12350.0,12410.0,897835466560,72355076,9425,1000.0,12350.0,1399-05-01
235,2020-07-25,11790.0,11790.0,11790.0,11790.0,690497962110,58566409,11568,12410.0,11790.0,1399-05-04
234,2020-07-26,11210.0,11210.0,11210.0,11210.0,156605942000,13970200,2835,11790.0,11210.0,1399-05-05
233,2020-07-27,10700.0,11230.0,10180.0,10730.0,2148111338380,200114822,28386,11210.0,11230.0,1399-05-06
232,2020-07-28,11260.0,11260.0,11110.0,11260.0,1878515104690,166858060,16170,10730.0,11260.0,1399-05-07
231,2020-07-29,11500.0,11800.0,10800.0,11150.0,1085969981130,97353688,22766,11260.0,10970.0,1399-05-08
230,2020-08-01,11160.0,11700.0,10990.0,11530.0,1264137055980,109644626,17690,11150.0,11250.0,1399-05-11
229,2020-08-02,12100.0,12100.0,10960.0,11030.0,1620058141330,146821605,28976,11530.0,10960.0,1399-05-12
228,2020-08-03,10900.0,11300.0,10800.0,11080.0,1100917641040,99360158,19972,11030.0,10850.0,1399-05-13
227,2020-08-04,10910.0,11060.0,10530.0,10670.0,1496220644560,140243759,24510,11080.0,10590.0,1399-05-14
226,2020-08-05,10700.0,11200.0,10700.0,11160.0,1116183477720,100008184,16924,10670.0,11200.0,1399-05-15
225,2020-08-09,11400.0,11400.0,10610.0,10710.0,1114734147400,104102185,20970,11160.0,10610.0,1399-05-19
224,2020-08-10,10600.0,10660.0,10180.0,10260.0,316327660090,30816529,6503,10710.0,10180.0,1399-05-20
223,2020-08-11,9750.0,9750.0,9750.0,9750.0,106574500500,10930718,2690,10260.0,9750.0,1399-05-21
222,2020-08-12,9600.0,10230.0,9270.0,9420.0,1487531525670,157983667,17366,9750.0,9700.0,1399-05-22
221,2020-08-15,9650.0,9890.0,9270.0,9740.0,1262456344690,129644571,16677,9420.0,9890.0,1399-05-25
220,2020-08-16,10220.0,10220.0,9740.0,10180.0,1152439368210,113235491,14978,9740.0,10220.0,1399-05-26
219,2020-09-01,9680.0,9680.0,9680.0,9680.0,56385661200,5824965,751,10180.0,9680.0,1399-06-11
218,2020-09-02,9200.0,9200.0,9200.0,9200.0,54123434400,5882982,859,9680.0,9200.0,1399-06-12
217,2020-09-05,8780.0,9660.0,8740.0,9050.0,1487204221720,164406550,17058,9200.0,9660.0,1399-06-15
216,2020-09-06,9500.0,9500.0,9100.0,9490.0,1491325589750,157140894,10606,9050.0,9500.0,1399-06-16
215,2020-09-07,9490.0,9850.0,9020.0,9190.0,1575162387390,171336952,18816,9490.0,9290.0,1399-06-17
214,2020-09-08,9100.0,9180.0,8740.0,8860.0,308514988300,34808763,4244,9190.0,8740.0,1399-06-18
213,2020-09-09,8650.0,9300.0,8650.0,9190.0,1305351729640,141971639,13825,8860.0,9300.0,1399-06-19
212,2020-09-12,9640.0,9640.0,9230.0,9620.0,1021263855520,106159309,8400,9190.0,9640.0,1399-06-22
211,2020-09-13,9600.0,10100.0,9330.0,9920.0,1884647775990,189906450,20981,9620.0,10100.0,1399-06-23
210,2020-09-14,10200.0,10410.0,10000.0,10320.0,674326447290,65358883,10004,9920.0,10410.0,1399-06-24
209,2020-09-15,10830.0,10830.0,10550.0,10830.0,438202273890,40474179,5181,10320.0,10830.0,1399-06-25
208,2020-09-16,11370.0,11370.0,10950.0,11350.0,1311596162810,115594035,15410,10830.0,11370.0,1399-06-26
207,2020-09-19,11350.0,11910.0,10900.0,11720.0,1953375831910,166648451,25762,11350.0,11350.0,1399-06-29
206,2020-09-20,11500.0,11850.0,11140.0,11240.0,347129482730,30896695,4661,11720.0,11140.0,1399-06-30
205,2020-09-21,10680.0,10680.0,10680.0,10680.0,61803643440,5786858,643,11240.0,10680.0,1399-06-31
204,2020-09-22,10150.0,10150.0,10150.0,10150.0,55786896900,5496246,858,10680.0,10150.0,1399-07-01
203,2020-09-23,9950.0,10380.0,9650.0,9870.0,1697784924490,172067981,18171,10150.0,9650.0,1399-07-02
