,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
955,2013-10-19,2500.0,2500.0,2500.0,2500.0,56250000,22500,1,1000.0,2500.0,1392-07-27
954,2013-11-30,2500.0,2500.0,2500.0,2500.0,313205000,125282,5,2500.0,2500.0,1392-09-09
953,2014-01-11,1850.0,1850.0,1850.0,1850.0,48100000,26000,2,1550.0,1850.0,1392-10-21
952,2014-11-17,1861.0,1861.0,1861.0,1861.0,558300000,300000,2,1850.0,1861.0,1393-08-26
951,2014-11-25,1905.0,1905.0,1905.0,1905.0,1333500000,700000,7,1861.0,1905.0,1393-09-04
950,2014-11-30,1905.0,1905.0,1905.0,1905.0,1578864000,828800,6,1905.0,1905.0,1393-09-09
949,2014-12-03,1905.0,1905.0,1905.0,1905.0,1238250000,650000,7,1905.0,1905.0,1393-09-12
948,2015-03-14,1500.0,1500.0,1500.0,1500.0,9864000,6576,1,1755.0,1500.0,1393-12-23
947,2015-05-09,1500.0,1500.0,1500.0,1500.0,120000000,80000,1,1500.0,1500.0,1394-02-19
946,2015-05-13,1400.0,1400.0,1400.0,1400.0,18412800,13152,2,1500.0,1400.0,1394-02-23
945,2015-05-25,1400.0,1400.0,1400.0,1400.0,44800000,32000,1,1400.0,1400.0,1394-03-04
944,2015-07-29,1280.0,1280.0,1280.0,1280.0,40960000,32000,1,1400.0,1280.0,1394-05-07
943,2015-09-01,1150.0,1150.0,1150.0,1150.0,73600000,64000,2,1280.0,1150.0,1394-06-10
942,2015-11-18,1150.0,1150.0,1150.0,1150.0,47324800,41152,3,1150.0,1150.0,1394-08-27
941,2015-11-25,1180.0,1180.0,1180.0,1180.0,6608000,5600,5,1150.0,1180.0,1394-09-04
940,2015-11-28,1200.0,1200.0,1200.0,1200.0,5760000,4800,1,1180.0,1200.0,1394-09-07
939,2015-12-05,1200.0,1200.0,1200.0,1200.0,7200000,6000,1,1200.0,1200.0,1394-09-14
938,2015-12-07,1400.0,1400.0,1400.0,1400.0,56000000,40000,1,1200.0,1400.0,1394-09-16
937,2015-12-08,1450.0,1450.0,1450.0,1450.0,14500000,10000,1,1400.0,1450.0,1394-09-17
936,2015-12-14,1600.0,1600.0,1600.0,1600.0,64000000,40000,1,1450.0,1600.0,1394-09-23
935,2015-12-15,1630.0,1630.0,1630.0,1630.0,5868000,3600,1,1600.0,1630.0,1394-09-24
934,2015-12-21,1630.0,1630.0,1630.0,1630.0,163000,100,1,1630.0,1630.0,1394-09-30
933,2016-01-05,1400.0,1400.0,1400.0,1400.0,51800000,37000,7,1480.0,1400.0,1394-10-15
932,2016-01-06,1350.0,1350.0,1350.0,1350.0,337500000,250000,5,1400.0,1350.0,1394-10-16
931,2016-01-09,1350.0,1350.0,1350.0,1350.0,862785000,639100,14,1350.0,1350.0,1394-10-19
930,2016-01-18,1300.0,1300.0,1300.0,1300.0,26000000,20000,1,1350.0,1300.0,1394-10-28
929,2016-01-24,1250.0,1250.0,1250.0,1250.0,87500000,70000,2,1300.0,1250.0,1394-11-04
928,2016-01-26,1220.0,1220.0,1220.0,1220.0,112240000,92000,2,1250.0,1220.0,1394-11-06
927,2016-01-30,1190.0,1190.0,1190.0,1190.0,73780000,62000,2,1220.0,1190.0,1394-11-10
926,2016-01-31,1190.0,1190.0,1190.0,1190.0,35700000,30000,1,1190.0,1190.0,1394-11-11
925,2016-02-03,1150.0,1150.0,1150.0,1150.0,43240000,37600,3,1190.0,1150.0,1394-11-14
924,2016-02-06,1150.0,1150.0,1150.0,1150.0,45257100,39354,3,1150.0,1150.0,1394-11-17
923,2016-02-13,1130.0,1130.0,1130.0,1130.0,7232000,6400,1,1150.0,1130.0,1394-11-24
922,2016-02-14,1130.0,1130.0,1130.0,1130.0,11300000,10000,1,1130.0,1130.0,1394-11-25
921,2016-02-15,1310.0,1310.0,1304.0,1305.0,37585200,28800,2,1130.0,1304.0,1394-11-26
